Name,Class,Latitude,Longitude,AngleDegrees
영등포,port,37.526513000000001,126.922845,322
잠실,port,37.514368,127.069068,83
상암,port,37.562282000000003,126.890156,38
용산,port,37.529096000000003,126.95839100000001,76
목동,port,37.526342999999997,126.876243,10
미아,port,37.630206999999999,127.026053,74
봉천,port,37.482832000000002,126.942245,8
사당,port,37.475766999999998,126.982185,10
성수,port,37.538916999999998,127.041635,295
연신내,port,37.611145,126.922747,43
천호,port,37.545732999999998,127.11923,110
광화문,hub,37.569009999999999,126.97360399999999,130
강남,hub,37.496290999999999,127.023303,69
가산,hub,37.489091000000002,126.878809,87
마곡,hub,37.563535000000002,126.791805,45
망우,hub,37.596919,127.08485400000001,344
수서,hub,37.487440999999997,127.10060300000001,222
