Waypoint 명,위도,경도,고도(ft),Link
가양대교 남단,37.569391,126.861026,1000,"수색교, 서울식물원, 염창교, 성산대교 중간지점, 행주대교"
염창교,37.553824,126.875819,1000,"가양대교 남단, 목동교"
목동교,37.530667,126.888262,1000,"염창교, 고척돔, 영등포"
신설동역,37.575658,127.02353,1000,"광화문, 청량리"
180고지,37.492877,126.93949,1000,"영등포, 채석장"
채석장,37.471285,126.985745,1000,"180고지, 경부고속도로 양재천 다리"
경부고속도로 양재천 다리,37.471593,127.032031,1000,"채석장, 대치교"
대치교,37.4977021,127.0738552,1000,"청담대교 중간지점, 경부고속도로 양재천 다리"
청담대교 중간지점,37.526451,127.064361,1000,"잠실대교 중간지점, 성수대교 남단, 건대입구"
천호대교 중간지점,37.5428,127.112312,1000,"아차산 고가차도, 잠실대교 중간지점"
잠실대교 중간지점,37.524288,127.091639,1000,"천호대교 중간지점, 청담대교 중간지점"
성산대교 중간지점,37.552574,126.891431,1000,"수색교, 가양대교 남단, 선유도 17고지, 홍대입구"
선유도 17고지,37.542307,126.90249,1000,"서강대교 중간지점, 성산대교 중간지점, 영등포"
서강대교 중간지점,37.536949,126.924908,1000,"선유도 17고지, 63빌딩"
서울식물원,37.5661426,126.8311467,1000,가양대교 남단
63빌딩,37.5193776,126.9402103,1000,"상도터널, 서강대교 중간지점"
상도터널,37.5086836,126.95211,1000,"63빌딩, 이수고가차로"
이수고가차로,37.4977378,126.9837209,1000,"주흥교, 상도터널"
주흥교,37.509486,127.016026,1000,"이수고가차로, 성수대교 남단"
성수대교 남단,37.53537,127.034503,1000,"왕십리역, 청담대교 중간지점, 주흥교"
중랑천 제방길,37.580774,127.077387,1000,"건대입구, 상봉"
수색교,37.586283,126.886304,1000,"성산대교 중간지점, 서오릉, 가양대교 남단"
서오릉,37.623883,126.899139,1000,수색교
고척돔,37.498183,126.867119,1000,"목동교, 영등포"
왕십리역,37.561925,127.038491,1000,"성수대교 남단, 청량리"
아차산 고가차도,37.547423,127.097424,1000,"천호대교 중간지점, 상봉"
중랑철교,37.593586,127.069978,1000,"청량리, 상봉"
월릉교,37.616266,127.071394,1000,상봉
금화터널,37.570076,126.951769,1000,"광화문, 홍대입구"
영등포,37.5159645,126.9077561,1000,"선유도 17고지, 목동교, 고척돔, 180고지"
홍대입구,37.556786,126.923706,1000,"금화터널, 성산대교 중간지점"
광화문,37.569877,126.976185,1000,"금화터널, 신설동역"
청량리,37.581542,127.048947,1000,"신설동역, 왕십리역, 중랑철교"
건대입구,37.540426,127.069298,1000,"중랑천 제방길, 청담대교 중간지점"
상봉,37.596919,127.084854,1000,"월릉교, 중랑철교, 중랑천 제방길, 아차산 고가차도"
행주대교,37.607062,126.802499,1000,"가양대교 남단, 정서진로"
정서진로,37.574791,126.75473,1000,"행주대교, 시천동 아라로"
시천동 아라로,37.570866,126.68292,1000,"정서진로, 영종대교"
영종대교,37.544982,126.576348,1000,"시천동 아라로,운북동"
운북동,37.508497,126.507888,1000,영종대교
