scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
4ab004e0af30,2026-06-20,FPL1409001,UAM0105,a2,2,2,1,가산,가산,성수,성수,6,gate-1,fato-1,gate-8,fato-4,06:30:00,06:37:30,06:46:17,06:53:07,07:03:07,450,527.49,410,1387.49,0,0,ready
4ab004e0af30,2026-06-20,FPL1417001,UAM0106,a2,2,2,1,가산,가산,수서,수서,6,gate-2,fato-2,gate-8,fato-4,06:30:00,06:38:10,06:46:06,06:53:11,07:03:11,490,476.98,424.49,1391.46,10,14.49,ready
4ab004e0af30,2026-06-20,FPL1411001,UAM0107,a4,4,4,1,가산,가산,천호,천호,6,gate-3,fato-1,gate-3,fato-3,06:30:00,06:43:30,07:46:15,07:53:35,08:03:35,810,3765.18,440,5015.18,300,87.18,ready
4ab004e0af30,2026-06-20,FPL1415001,UAM0108,a4,4,4,1,가산,가산,마곡,마곡,6,gate-4,fato-2,gate-1,fato-3,06:30:00,06:44:10,06:58:19,07:06:39,07:16:39,850,849.49,500,2199.49,310,463.59,ready
4ab004e0af30,2026-06-20,FPL1417002,UAM0109,a6,6,6,1,가산,가산,수서,수서,6,gate-5,fato-1,gate-7,fato-3,06:30:00,06:49:30,06:57:26,07:04:46,07:14:46,1170,476.98,440,2086.98,720,0,ready
4ab004e0af30,2026-06-20,FPL1415002,UAM0110,a6,6,6,1,가산,가산,마곡,마곡,6,gate-6,fato-2,gate-8,fato-4,06:30:00,06:50:10,07:04:21,07:11:11,07:21:11,1210,851.98,410,2471.98,730,117.98,ready
4ab004e0af30,2026-06-20,FPL1413001,UAM0111,a8,8,8,1,가산,가산,강남,강남,6,gate-7,fato-1,gate-4,fato-3,06:30:00,06:55:30,07:02:48,07:09:38,07:19:38,1530,438.09,410,2378.09,1020,79.03,ready
4ab004e0af30,2026-06-20,FPL1412001,UAM0112,a8,8,8,1,가산,가산,광화문,광화문,6,gate-8,fato-2,gate-8,fato-4,06:30:00,06:56:10,07:02:42,07:09:32,07:19:32,1570,392.33,410,2372.33,1030,0,ready
4ab004e0af30,2026-06-20,FPL1412002,UAM0089,a2,2,2,1,가산,가산,광화문,광화문,7,gate-4,fato-1,gate-3,fato-3,07:00:53,07:09:53,07:16:25,07:23:45,07:33:45,540,392.33,440,1372.33,0,0,ready
4ab004e0af30,2026-06-20,FPL1409002,UAM0130,a2,2,2,1,가산,가산,성수,성수,7,gate-8,fato-2,gate-4,fato-4,07:02:57,07:11:57,07:20:44,07:27:34,07:37:34,540,527.49,410,1477.49,0,0,ready
4ab004e0af30,2026-06-20,FPL1415003,UAM0066,a2,2,2,1,가산,가산,마곡,마곡,7,gate-3,fato-1,gate-3,fato-3,07:06:46,07:15:56,07:27:19,07:34:39,07:44:39,550,682.73,440,1672.73,73.76,87.49,ready
4ab004e0af30,2026-06-20,FPL1402001,UAM0081,a2,2,2,1,가산,가산,잠실,잠실,7,gate-7,fato-2,gate-7,fato-3,07:08:17,07:17:57,07:30:18,07:37:38,07:47:38,580,741.33,440,1761.33,70,257.05,ready
4ab004e0af30,2026-06-20,FPL1415004,UAM0094,a6,6,6,1,가산,가산,마곡,마곡,7,gate-2,fato-1,gate-2,fato-3,07:14:33,07:22:33,07:32:09,07:39:59,07:49:59,480,576.49,470,1526.49,0,55.49,ready
4ab004e0af30,2026-06-20,FPL1416001,UAM0103,a8,8,8,1,가산,가산,망우,망우,7,gate-4,fato-2,gate-3,fato-3,07:18:47,07:27:47,07:38:53,07:46:13,07:56:13,540,666.76,440,1646.76,0,0,ready
4ab004e0af30,2026-06-20,FPL1417003,UAM0126,a6,6,6,1,가산,가산,수서,수서,7,gate-6,fato-1,gate-7,fato-3,07:19:07,07:28:33,07:36:29,07:43:49,07:53:49,566,476.98,440,1482.98,86,0,ready
4ab004e0af30,2026-06-20,FPL1410001,UAM0072,a8,8,8,1,가산,가산,연신내,연신내,7,gate-8,fato-2,gate-8,fato-3,07:22:57,07:33:47,07:40:24,07:47:14,07:57:14,650,397.78,410,1457.78,110,0,ready
4ab004e0af30,2026-06-20,FPL1417004,UAM0087,a8,8,8,1,가산,가산,수서,수서,7,gate-1,fato-1,gate-3,fato-3,07:25:07,07:34:33,07:42:29,07:49:49,07:59:49,566,476.98,440,1482.98,116,0,ready
4ab004e0af30,2026-06-20,FPL1416002,UAM0018,a2,2,2,1,가산,가산,망우,망우,7,gate-4,fato-1,gate-3,fato-4,07:46:48,07:56:28,08:07:34,08:14:54,08:24:54,580,666.76,440,1686.76,78.06,0,ready
4ab004e0af30,2026-06-20,FPL1410002,UAM0060,a4,4,4,1,가산,가산,연신내,연신내,7,gate-8,fato-2,gate-3,fato-3,07:51:49,08:00:49,08:10:36,08:17:56,08:27:56,540,587.09,440,1567.09,0,189.31,ready
4ab004e0af30,2026-06-20,FPL1409003,UAM0102,a6,6,6,1,가산,가산,성수,성수,7,gate-3,fato-1,gate-8,fato-4,07:52:59,08:02:28,08:11:15,08:18:05,08:28:05,569.06,527.49,410,1506.54,59.06,0,ready
4ab004e0af30,2026-06-20,FPL1402002,UAM0128,a8,8,8,1,가산,가산,잠실,잠실,7,gate-7,fato-2,gate-2,fato-3,07:57:09,08:06:49,08:18:00,08:25:50,08:35:50,580,671.36,470,1721.36,70,187.08,ready
4ab004e0af30,2026-06-20,FPL1416003,UAM0024,a8,8,8,1,가산,가산,망우,망우,7,gate-2,fato-1,gate-6,fato-4,07:59:39,08:08:28,08:19:34,08:27:24,08:37:24,529.06,666.76,470,1665.82,49.06,0,ready
4ab004e0af30,2026-06-20,FPL1410003,UAM0129,a2,2,2,1,가산,가산,연신내,연신내,8,gate-4,fato-1,gate-8,fato-4,08:16:17,08:25:57,08:32:35,08:40:05,08:50:05,580,397.78,449.83,1427.6,72.91,39.83,ready
