scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
4ab004e0af30,2026-06-20,FPL1303001,UAM0097,a2,2,2,1,강남,강남,상암,상암,6,gate-1,fato-1,gate-4,fato-3,06:30:00,06:37:30,06:43:40,06:50:30,07:00:30,450,370.93,410,1230.93,0,0,ready
4ab004e0af30,2026-06-20,FPL1311001,UAM0098,a2,2,2,1,강남,강남,천호,천호,6,gate-2,fato-2,gate-4,fato-3,06:30:00,06:38:10,06:42:57,06:49:47,06:59:47,490,287.68,410,1187.68,10,0,ready
4ab004e0af30,2026-06-20,FPL1311002,UAM0099,a4,4,4,1,강남,강남,천호,천호,6,gate-3,fato-1,gate-7,fato-4,06:30:00,06:43:30,06:51:25,06:58:45,07:08:45,810,475.6,440,1725.6,300,187.92,ready
4ab004e0af30,2026-06-20,FPL1306001,UAM0100,a4,4,4,1,강남,강남,미아,미아,6,gate-4,fato-2,gate-8,fato-4,06:30:00,06:44:10,06:51:52,06:58:42,07:08:42,850,462.77,410,1722.77,310,0,ready
4ab004e0af30,2026-06-20,FPL1311003,UAM0101,a6,6,6,1,강남,강남,천호,천호,6,gate-5,fato-1,gate-8,fato-4,06:30:00,06:49:30,07:44:35,07:51:25,08:01:25,1170,3305.6,410,4885.6,720,117.6,ready
4ab004e0af30,2026-06-20,FPL1316001,UAM0102,a6,6,6,1,강남,강남,망우,망우,6,gate-6,fato-2,gate-2,fato-3,06:30:00,06:50:10,06:55:40,07:03:30,07:13:30,1210,330.92,470,2010.92,730,0,ready
4ab004e0af30,2026-06-20,FPL1314001,UAM0103,a8,8,8,1,강남,강남,가산,가산,6,gate-7,fato-1,gate-4,fato-3,06:30:00,06:55:30,07:01:32,07:08:46,07:18:46,1530,362.33,434.43,2326.76,1020,27.7,ready
4ab004e0af30,2026-06-20,FPL1315001,UAM0104,a8,8,8,1,강남,강남,마곡,마곡,6,gate-8,fato-2,gate-1,fato-3,06:30:00,06:56:10,07:17:39,07:25:59,07:35:59,1570,1289.49,500,3359.49,1030,25.49,ready
4ab004e0af30,2026-06-20,FPL1316002,UAM0017,a2,2,2,1,강남,강남,망우,망우,7,gate-4,fato-1,gate-8,fato-3,07:00:31,07:09:31,07:15:01,07:21:51,07:31:51,540,330.92,410,1280.92,0,0,ready
4ab004e0af30,2026-06-20,FPL1303002,UAM0036,a4,4,4,1,강남,강남,상암,상암,7,gate-8,fato-1,gate-8,fato-3,07:07:20,07:17:28,07:23:39,07:30:29,07:40:29,608.09,370.93,410,1389.02,68.09,0,ready
4ab004e0af30,2026-06-20,FPL1311004,UAM0077,a6,6,6,1,강남,강남,천호,천호,7,gate-3,fato-1,gate-1,fato-3,07:15:19,07:23:49,07:36:35,07:44:55,07:54:55,510,766.18,500,1776.18,0,26.18,ready
4ab004e0af30,2026-06-20,FPL1315002,UAM0127,a8,8,8,1,강남,강남,마곡,마곡,7,gate-7,fato-2,gate-6,fato-4,07:18:21,07:27:08,07:36:03,07:43:53,07:53:53,527.09,535.2,470,1532.29,17.09,0,ready
4ab004e0af30,2026-06-20,FPL1305001,UAM0111,a8,8,8,1,강남,강남,목동,목동,7,gate-4,fato-1,gate-7,fato-4,07:19:39,07:29:49,07:38:49,07:46:09,07:56:09,610,540.99,440,1590.99,70,161.43,ready
4ab004e0af30,2026-06-20,FPL1305002,UAM0039,a8,8,8,1,강남,강남,목동,목동,7,gate-2,fato-2,gate-6,fato-4,07:23:41,07:33:08,07:43:39,07:51:29,08:01:29,567.09,631.9,470,1668.99,87.09,115.99,ready
4ab004e0af30,2026-06-20,FPL1314002,UAM0024,a8,8,8,1,강남,강남,가산,가산,7,gate-6,fato-1,gate-2,fato-4,07:25:29,07:35:49,07:41:48,07:49:38,07:59:38,620,359.06,470,1449.06,140,0,ready
4ab004e0af30,2026-06-20,FPL1310001,UAM0040,a8,8,8,1,강남,강남,연신내,연신내,7,gate-1,fato-2,gate-7,fato-4,07:29:01,07:39:08,07:50:03,07:57:23,08:07:23,607.09,655.73,440,1702.82,157.09,147.63,ready
4ab004e0af30,2026-06-20,FPL1315003,UAM0048,a8,8,8,1,강남,강남,마곡,마곡,7,gate-5,fato-1,gate-3,fato-3,07:30:49,07:41:49,07:50:44,07:58:04,08:08:04,660,535.2,440,1635.2,210,0,ready
4ab004e0af30,2026-06-20,FPL1315004,UAM0059,a4,4,4,1,강남,강남,마곡,마곡,7,gate-4,fato-2,gate-6,fato-4,07:38:02,07:47:02,07:56:18,08:04:08,08:14:08,540,556.82,470,1566.82,0,21.62,ready
4ab004e0af30,2026-06-20,FPL1303003,UAM0083,a4,4,4,1,강남,강남,상암,상암,7,gate-8,fato-1,gate-4,fato-3,07:42:18,07:51:18,07:57:28,08:04:18,08:14:18,540,370.93,410,1320.93,0,0,ready
4ab004e0af30,2026-06-20,FPL1314003,UAM0124,a4,4,4,1,강남,강남,가산,가산,7,gate-3,fato-2,gate-3,fato-3,07:47:26,07:56:29,08:03:44,08:11:04,08:21:04,543.56,435.2,440,1418.76,33.56,76.14,ready
4ab004e0af30,2026-06-20,FPL1310002,UAM0054,a6,6,6,1,강남,강남,연신내,연신내,7,gate-7,fato-1,gate-4,fato-3,07:48:44,07:57:18,08:05:46,08:12:36,08:22:36,514,508.09,410,1432.09,4,0,ready
4ab004e0af30,2026-06-20,FPL1306002,UAM0013,a6,6,6,1,강남,강남,미아,미아,7,gate-4,fato-1,gate-4,fato-4,07:58:00,08:07:00,08:14:42,08:21:32,08:31:32,540,462.77,410,1412.77,0,0,ready
4ab004e0af30,2026-06-20,FPL1315005,UAM0096,a8,8,8,1,강남,강남,마곡,마곡,7,gate-2,fato-2,gate-7,fato-4,07:59:40,08:07:40,08:30:08,08:37:28,08:47:28,480,1348.82,440,2268.82,0,85.82,ready
4ab004e0af30,2026-06-20,FPL1315006,UAM0133,a6,6,6,1,강남,강남,마곡,마곡,8,gate-6,fato-1,gate-6,fato-4,08:03:50,08:13:00,08:54:18,09:02:08,09:12:08,550,2478.82,470,3498.82,70,58.82,ready
4ab004e0af30,2026-06-20,FPL1315007,UAM0055,a8,8,8,1,강남,강남,마곡,마곡,8,gate-8,fato-2,gate-4,fato-3,08:04:13,08:13:40,08:24:34,08:31:24,08:41:24,567,654.2,410,1631.2,27,119,ready
4ab004e0af30,2026-06-20,FPL1305003,UAM0041,a2,2,2,1,강남,강남,목동,목동,8,gate-3,fato-1,gate-2,fato-3,08:08:10,08:19:00,08:29:31,08:37:21,08:47:21,650,631.84,470,1751.84,140,252.28,ready
4ab004e0af30,2026-06-20,FPL1303004,UAM0025,a2,2,2,1,강남,강남,상암,상암,8,gate-7,fato-2,gate-8,fato-4,08:11:42,08:20:12,08:26:22,08:33:12,08:43:12,510,370.93,410,1290.93,0,0,ready
4ab004e0af30,2026-06-20,FPL1316003,UAM0016,a8,8,8,1,강남,강남,망우,망우,8,gate-1,fato-1,gate-4,fato-3,08:14:00,08:25:00,08:30:30,08:37:20,08:47:20,660,330.92,410,1400.92,210,0,ready
4ab004e0af30,2026-06-20,FPL1315008,UAM0043,a4,4,4,1,강남,강남,마곡,마곡,8,gate-4,fato-2,gate-5,fato-3,08:17:12,08:26:12,08:39:04,08:47:24,08:57:24,540,772.2,500,1812.2,0,19.2,ready
4ab004e0af30,2026-06-20,FPL1305004,UAM0049,a2,2,2,1,강남,강남,목동,목동,8,gate-8,fato-1,gate-8,fato-3,08:24:38,08:33:39,08:39:59,08:46:49,08:56:49,541.55,379.56,410,1331.12,1.55,0,ready
4ab004e0af30,2026-06-20,FPL1314004,UAM0053,a6,6,6,1,강남,강남,가산,가산,8,gate-3,fato-1,gate-7,fato-3,08:34:09,08:42:39,08:48:38,08:55:58,09:05:58,510,359.06,440,1309.06,0,0,ready
4ab004e0af30,2026-06-20,FPL1316004,UAM0006,a6,6,6,1,강남,강남,망우,망우,8,gate-4,fato-2,gate-4,fato-3,08:35:50,08:44:50,08:50:20,08:57:10,09:07:10,540,330.92,410,1280.92,0,0,ready
4ab004e0af30,2026-06-20,FPL1310003,UAM0092,a4,4,4,1,강남,강남,연신내,연신내,8,gate-7,fato-1,gate-3,fato-4,08:41:56,08:51:02,08:59:30,09:06:50,09:16:50,546.09,508.09,440,1494.18,36.09,0,ready
4ab004e0af30,2026-06-20,FPL1305005,UAM0122,a2,2,2,1,강남,강남,목동,목동,8,gate-8,fato-1,gate-4,fato-4,08:48:23,08:57:23,09:06:05,09:12:55,09:22:55,540,522.9,410,1472.9,0,143.34,ready
4ab004e0af30,2026-06-20,FPL1310004,UAM0075,a4,4,4,1,강남,강남,연신내,연신내,8,gate-2,fato-2,gate-7,fato-3,08:51:48,08:59:48,09:08:16,09:15:36,09:25:36,480,508.09,440,1428.09,0,0,ready
4ab004e0af30,2026-06-20,FPL1315009,UAM0118,a6,6,6,1,강남,강남,마곡,마곡,8,gate-3,fato-1,gate-2,fato-3,08:53:43,09:03:23,09:17:22,09:25:12,09:35:12,580,839.49,470,1889.49,70,304.29,ready
4ab004e0af30,2026-06-20,FPL1311005,UAM0062,a6,6,6,1,강남,강남,천호,천호,8,gate-4,fato-2,gate-1,fato-3,08:59:28,09:08:50,09:13:37,09:21:57,09:31:57,562.09,287.68,500,1349.77,22.09,0,ready
4ab004e0af30,2026-06-20,FPL1305006,UAM0042,a2,2,2,1,강남,강남,목동,목동,9,gate-8,fato-1,gate-5,fato-3,09:06:11,09:16:15,09:27:06,09:35:26,09:45:26,604.68,650.35,500,1755.02,64.68,270.78,ready
4ab004e0af30,2026-06-20,FPL1305007,UAM0044,a4,4,4,1,강남,강남,목동,목동,9,gate-7,fato-2,gate-2,fato-3,09:10:43,09:19:25,09:31:56,09:39:46,09:49:46,522.77,750.25,470,1743.02,12.77,62.02,ready
4ab004e0af30,2026-06-20,FPL1311006,UAM0052,a4,4,4,1,강남,강남,천호,천호,9,gate-2,fato-1,gate-4,fato-4,09:12:01,09:22:15,09:35:42,09:42:32,09:52:32,614.68,807.14,410,1831.82,134.68,115.82,ready
4ab004e0af30,2026-06-20,FPL1306003,UAM0029,a6,6,6,1,강남,강남,미아,미아,9,gate-3,fato-2,gate-3,fato-3,09:16:43,09:25:25,09:34:23,09:41:43,09:51:43,522.77,537.42,440,1500.19,12.77,74.65,ready
4ab004e0af30,2026-06-20,FPL1310005,UAM0069,a6,6,6,1,강남,강남,연신내,연신내,9,gate-4,fato-1,gate-4,fato-3,09:18:26,09:28:30,09:36:58,09:43:48,09:53:48,604.09,508.09,410,1522.18,64.09,0,ready
4ab004e0af30,2026-06-20,FPL1310006,UAM0008,a8,8,8,1,강남,강남,연신내,연신내,9,gate-6,fato-2,gate-6,fato-4,09:22:36,09:31:25,09:39:53,09:47:43,09:57:43,529.77,508.09,470,1507.86,49.77,0,ready
4ab004e0af30,2026-06-20,FPL1316005,UAM0073,a2,2,2,1,강남,강남,망우,망우,9,gate-8,fato-1,gate-7,fato-3,09:30:41,09:40:15,09:48:41,09:56:01,10:06:01,574.68,505.43,440,1520.11,34.68,174.52,ready
4ab004e0af30,2026-06-20,FPL1316006,UAM0121,a2,2,2,1,강남,강남,망우,망우,9,gate-4,fato-1,gate-4,fato-3,09:39:56,09:49:55,09:58:21,10:05:11,10:15:11,599.68,505.43,410,1515.11,59.68,174.52,ready
4ab004e0af30,2026-06-20,FPL1311007,UAM0098,a2,2,2,1,강남,강남,천호,천호,9,gate-3,fato-2,gate-2,fato-4,09:42:56,09:52:15,10:01:57,10:12:38,10:22:38,559.56,582.2,640.23,1782,49.56,372,ready
4ab004e0af30,2026-06-20,FPL1311008,UAM0003,a4,4,4,1,강남,강남,천호,천호,9,gate-7,fato-1,gate-6,fato-3,09:45:16,09:55:55,10:06:47,10:15:45,10:25:45,639.68,652.09,537.41,1829.18,129.68,337.18,ready
4ab004e0af30,2026-06-20,FPL1314005,UAM0022,a6,6,6,1,강남,강남,가산,가산,9,gate-2,fato-2,gate-8,fato-3,09:48:16,09:58:15,10:04:14,10:11:04,10:21:04,599.56,359.06,410,1368.62,119.56,0,ready
4ab004e0af30,2026-06-20,FPL1315010,UAM0081,a2,2,2,1,강남,강남,마곡,마곡,9,gate-8,fato-1,gate-7,fato-3,09:49:36,10:01:55,10:15:55,10:23:15,10:33:15,739.68,840.32,440,2020,199.68,88,ready
4ab004e0af30,2026-06-20,FPL1303005,UAM0032,a8,8,8,1,강남,강남,상암,상암,9,gate-6,fato-2,gate-3,fato-4,09:53:06,10:04:15,10:10:26,10:18:05,10:28:05,669.56,370.93,458.85,1499.34,189.56,18.85,ready
4ab004e0af30,2026-06-20,FPL1315011,UAM0101,a6,6,6,1,강남,강남,마곡,마곡,9,gate-1,fato-1,gate-4,fato-3,09:55:56,10:07:55,10:25:35,10:33:02,10:43:02,719.68,1060.32,446,2226,269.68,154,ready
4ab004e0af30,2026-06-20,FPL1305008,UAM0068,a4,4,4,1,강남,강남,목동,목동,9,gate-5,fato-2,gate-4,fato-3,09:58:26,10:10:15,10:16:35,10:23:25,10:33:25,709.56,379.56,410,1499.13,259.56,0,ready
4ab004e0af30,2026-06-20,FPL1316007,UAM0054,a6,6,6,1,강남,강남,망우,망우,10,gate-4,fato-1,gate-4,fato-3,10:09:56,10:20:42,10:26:13,10:33:03,10:43:03,646.86,330.92,410,1387.77,106.86,0,ready
4ab004e0af30,2026-06-20,FPL1314006,UAM0133,a6,6,6,1,강남,강남,가산,가산,10,gate-8,fato-2,gate-6,fato-3,10:11:26,10:21:22,10:31:45,10:39:35,10:49:35,596.86,623.05,470,1689.91,56.86,263.99,ready
4ab004e0af30,2026-06-20,FPL1305009,UAM0037,a6,6,6,1,강남,강남,목동,목동,10,gate-3,fato-1,gate-4,fato-3,10:22:43,10:31:45,10:38:05,10:44:55,10:54:55,542.56,379.56,410,1332.13,32.56,0,ready
4ab004e0af30,2026-06-20,FPL1311009,UAM0017,a2,2,2,1,강남,강남,천호,천호,10,gate-7,fato-2,gate-4,fato-4,10:23:23,10:32:25,10:45:00,10:51:50,11:01:50,542.56,754.44,410,1707,32.56,381,ready
4ab004e0af30,2026-06-20,FPL1315012,UAM0136,a8,8,8,1,강남,강남,마곡,마곡,10,gate-4,fato-1,gate-4,fato-3,10:27:56,10:37:45,10:49:45,10:57:02,11:07:02,589.56,720.44,436,1746,49.56,211.24,ready
4ab004e0af30,2026-06-20,FPL1315013,UAM0118,a6,6,6,1,강남,강남,마곡,마곡,10,gate-2,fato-2,gate-8,fato-4,10:28:03,10:38:25,10:49:45,10:57:42,11:07:42,622.56,680.44,476,1779,142.56,211.24,ready
4ab004e0af30,2026-06-20,FPL1305010,UAM0102,a6,6,6,1,강남,강남,목동,목동,10,gate-8,fato-1,gate-6,fato-4,10:31:53,10:43:45,10:50:05,10:58:07,11:08:07,712.56,379.56,482.19,1574.32,172.56,12.19,ready
4ab004e0af30,2026-06-20,FPL1311010,UAM0080,a8,8,8,1,강남,강남,천호,천호,10,gate-6,fato-2,gate-8,fato-3,10:34:56,10:44:25,10:56:08,11:04:05,11:14:05,569.56,702.44,477.18,1749.18,89.56,395.18,ready
4ab004e0af30,2026-06-20,FPL1316008,UAM0065,a2,2,2,1,강남,강남,망우,망우,10,gate-1,fato-1,gate-8,fato-3,10:38:13,10:49:45,10:55:16,11:02:06,11:12:06,692.56,330.92,410,1433.48,242.56,0,ready
4ab004e0af30,2026-06-20,FPL1303006,UAM0122,a2,2,2,1,강남,강남,상암,상암,10,gate-5,fato-2,gate-4,fato-3,10:40:16,10:50:25,10:56:36,11:03:26,11:13:26,609.56,370.93,410,1390.49,159.56,0,ready
4ab004e0af30,2026-06-20,FPL1305011,UAM0050,a2,2,2,1,강남,강남,목동,목동,10,gate-3,fato-1,gate-8,fato-4,10:42:03,10:55:45,11:02:05,11:08:55,11:18:55,822.56,379.56,410,1612.13,312.56,0,ready
4ab004e0af30,2026-06-20,FPL1311011,UAM0059,a4,4,4,1,강남,강남,천호,천호,10,gate-7,fato-2,gate-1,fato-3,10:44:06,10:56:25,11:10:38,11:23:48,11:33:48,739.56,852.44,790,2382,229.56,308,ready
4ab004e0af30,2026-06-20,FPL1306004,UAM0055,a8,8,8,1,강남,강남,미아,미아,10,gate-4,fato-1,gate-6,fato-4,10:46:23,11:01:45,11:11:24,11:19:17,11:29:17,922.56,578.51,473.43,1974.5,382.56,110.5,ready
4ab004e0af30,2026-06-20,FPL1306005,UAM0125,a6,6,6,1,강남,강남,미아,미아,10,gate-2,fato-2,gate-2,fato-3,10:49:26,11:02:25,11:30:07,11:37:57,11:47:57,779.56,1661.94,470,2911.5,299.56,57.5,ready
4ab004e0af30,2026-06-20,FPL1306006,UAM0001,a2,2,2,1,강남,강남,미아,미아,10,gate-8,fato-1,gate-3,fato-3,10:51:56,11:07:45,11:20:27,11:27:47,11:37:47,949.56,761.94,440,2151.5,409.56,87.5,ready
