scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
4ab004e0af30,2026-06-20,FPL1214001,UAM0089,a2,2,2,1,광화문,광화문,가산,가산,6,gate-1,fato-1,gate-4,fato-3,06:30:00,06:37:30,06:44:02,06:50:52,07:00:52,450,392.33,410,1252.33,0,0,ready
4ab004e0af30,2026-06-20,FPL1215001,UAM0090,a2,2,2,1,광화문,광화문,마곡,마곡,6,gate-2,fato-2,gate-8,fato-4,06:30:00,06:38:10,06:45:01,06:51:51,07:01:51,490,411.98,410,1311.98,10,0,ready
4ab004e0af30,2026-06-20,FPL1202001,UAM0091,a4,4,4,1,광화문,광화문,잠실,잠실,6,gate-3,fato-1,gate-7,fato-3,06:30:00,06:43:30,06:53:56,07:01:16,07:11:16,810,626.82,440,1876.82,300,175.77,ready
4ab004e0af30,2026-06-20,FPL1202002,UAM0092,a4,4,4,1,광화문,광화문,잠실,잠실,6,gate-4,fato-2,gate-6,fato-3,06:30:00,06:44:10,06:58:46,07:06:36,07:16:36,850,876.82,470,2196.82,310,425.77,ready
4ab004e0af30,2026-06-20,FPL1208001,UAM0093,a6,6,6,1,광화문,광화문,사당,사당,6,gate-5,fato-1,gate-6,fato-4,06:30:00,06:49:30,06:59:52,07:07:42,07:17:42,1170,622.84,470,2262.84,720,150.95,ready
4ab004e0af30,2026-06-20,FPL1214002,UAM0094,a6,6,6,1,광화문,광화문,가산,가산,6,gate-6,fato-2,gate-2,fato-3,06:30:00,06:50:10,06:56:42,07:04:32,07:14:32,1210,392.33,470,2072.33,730,0,ready
4ab004e0af30,2026-06-20,FPL1211001,UAM0095,a8,8,8,1,광화문,광화문,천호,천호,6,gate-7,fato-1,gate-1,fato-3,06:30:00,06:55:30,07:17:15,07:25:35,07:35:35,1530,1305.18,500,3335.18,1020,23.18,ready
4ab004e0af30,2026-06-20,FPL1216001,UAM0096,a8,8,6,0.75,광화문,광화문,망우,망우,6,gate-8,fato-2,gate-4,fato-3,06:30:00,06:56:10,07:05:20,07:12:10,07:22:10,1570,550.92,410,2530.92,1030,127.92,ready
4ab004e0af30,2026-06-20,FPL1202003,UAM0122,a2,2,2,1,광화문,광화문,잠실,잠실,6,gate-4,fato-1,gate-8,fato-3,06:59:36,07:08:36,07:16:07,07:22:57,07:32:57,540,451.05,410,1401.05,0,0,ready
4ab004e0af30,2026-06-20,FPL1211002,UAM0009,a2,2,2,1,광화문,광화문,천호,천호,7,gate-8,fato-2,gate-5,fato-4,07:01:52,07:12:21,07:20:25,07:28:45,07:38:45,629.98,483.61,500,1613.6,89.98,25.6,ready
