scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
4ab004e0af30,2026-06-20,FPL1502001,UAM0113,a2,2,2,1,마곡,마곡,잠실,잠실,6,gate-1,fato-1,gate-3,fato-4,06:30:00,06:37:30,06:49:26,06:57:06,07:07:06,450,716.19,460.63,1626.82,0,20.63,ready
4ab004e0af30,2026-06-20,FPL1511001,UAM0114,a2,2,2,1,마곡,마곡,천호,천호,6,gate-2,fato-2,gate-2,fato-3,06:30:00,06:38:10,06:53:05,07:00:55,07:10:55,490,895.18,470,1855.18,10,134.36,ready
4ab004e0af30,2026-06-20,FPL1502002,UAM0115,a4,4,4,1,마곡,마곡,잠실,잠실,6,gate-3,fato-1,gate-5,fato-3,06:30:00,06:43:30,07:03:36,07:11:56,07:21:56,810,1206.82,500,2516.82,300,490.63,ready
4ab004e0af30,2026-06-20,FPL1512001,UAM0116,a4,4,4,1,마곡,마곡,광화문,광화문,6,gate-4,fato-2,gate-7,fato-4,06:30:00,06:44:10,06:51:01,06:58:21,07:08:21,850,411.98,440,1701.98,310,0,ready
4ab004e0af30,2026-06-20,FPL1509001,UAM0117,a6,6,6,1,마곡,마곡,성수,성수,6,gate-5,fato-1,gate-6,fato-4,06:30:00,06:49:30,06:59:35,07:07:25,07:17:25,1170,605.63,470,2245.63,720,0,ready
4ab004e0af30,2026-06-20,FPL1512002,UAM0118,a6,6,6,1,마곡,마곡,광화문,광화문,6,gate-6,fato-2,gate-2,fato-3,06:30:00,06:50:10,06:57:01,07:04:51,07:14:51,1210,411.98,470,2091.98,730,0,ready
4ab004e0af30,2026-06-20,FPL1517001,UAM0119,a8,8,8,1,마곡,마곡,수서,수서,6,gate-7,fato-1,gate-1,fato-4,06:30:00,06:55:30,07:09:00,07:17:20,07:27:20,1530,810.96,500,2840.96,1020,102.07,ready
4ab004e0af30,2026-06-20,FPL1511002,UAM0120,a8,8,8,1,마곡,마곡,천호,천호,6,gate-8,fato-2,gate-7,fato-4,06:30:00,06:56:10,07:49:25,07:56:45,08:06:45,1570,3195.6,440,5205.6,1030,88.6,ready
4ab004e0af30,2026-06-20,FPL1511003,UAM0002,a2,2,2,1,마곡,마곡,천호,천호,7,gate-4,fato-1,gate-8,fato-4,07:00:40,07:09:40,07:25:15,07:32:05,07:42:05,540,935.6,410,1885.6,0,115.6,ready
4ab004e0af30,2026-06-20,FPL1511004,UAM0090,a2,2,2,1,마곡,마곡,천호,천호,7,gate-8,fato-2,gate-5,fato-4,07:01:52,07:10:52,07:39:45,07:48:05,07:58:05,540,1733.6,500,2773.6,0,27.6,ready
4ab004e0af30,2026-06-20,FPL1511005,UAM0057,a2,2,2,1,마곡,마곡,천호,천호,7,gate-3,fato-1,gate-2,fato-3,07:06:00,07:15:40,07:31:45,07:39:35,07:49:35,580,965.18,470,2015.18,70,58.18,ready
4ab004e0af30,2026-06-20,FPL1512003,UAM0065,a2,2,2,1,마곡,마곡,광화문,광화문,7,gate-7,fato-2,gate-8,fato-4,07:07:12,07:16:52,07:23:43,07:30:33,07:40:33,580,411.98,410,1401.98,70,0,ready
4ab004e0af30,2026-06-20,FPL1512004,UAM0075,a4,4,4,1,마곡,마곡,광화문,광화문,7,gate-2,fato-1,gate-2,fato-4,07:11:20,07:21:40,07:28:33,07:36:30,07:46:30,620,413.98,476.91,1510.89,140,8.91,ready
4ab004e0af30,2026-06-20,FPL1507001,UAM0076,a4,4,4,1,마곡,마곡,봉천,봉천,7,gate-6,fato-2,gate-2,fato-4,07:12:32,07:22:52,07:30:05,07:37:55,07:47:55,620,433.65,470,1523.65,140,0,ready
4ab004e0af30,2026-06-20,FPL1502003,UAM0108,a4,4,4,1,마곡,마곡,잠실,잠실,7,gate-1,fato-1,gate-1,fato-3,07:16:40,07:27:40,07:39:58,07:48:18,07:58:18,660,738.33,500,1898.33,210,22.14,ready
4ab004e0af30,2026-06-20,FPL1516001,UAM0028,a4,4,4,1,마곡,마곡,망우,망우,7,gate-5,fato-2,gate-7,fato-3,07:17:52,07:28:52,07:43:43,07:51:03,08:01:03,660,891.76,440,1991.76,210,125.03,ready
4ab004e0af30,2026-06-20,FPL1509002,UAM0052,a4,4,4,1,마곡,마곡,성수,성수,7,gate-4,fato-1,gate-4,fato-3,07:20:00,07:33:40,07:43:45,07:50:35,08:00:35,820,605.63,410,1835.63,280,0,ready
4ab004e0af30,2026-06-20,FPL1501001,UAM0110,a6,6,6,1,마곡,마곡,여의도,여의도,7,gate-8,fato-2,gate-8,fato-3,07:21:12,07:34:52,07:40:31,07:47:21,07:57:21,820,339.49,410,1569.49,280,0,ready
4ab004e0af30,2026-06-20,FPL1517002,UAM0045,a6,6,6,1,마곡,마곡,수서,수서,7,gate-3,fato-1,gate-6,fato-3,07:25:20,07:39:40,07:54:05,08:01:55,08:11:55,860,865.01,470,2195.01,350,156.13,ready
4ab004e0af30,2026-06-20,FPL1508001,UAM0064,a8,8,8,1,마곡,마곡,사당,사당,7,gate-7,fato-2,gate-8,fato-3,07:26:32,07:40:52,07:49:08,07:55:58,08:05:58,860,496.72,410,1766.72,350,0,ready
4ab004e0af30,2026-06-20,FPL1513001,UAM0016,a8,8,8,1,마곡,마곡,강남,강남,7,gate-2,fato-1,gate-1,fato-3,07:30:40,07:45:40,07:55:39,08:03:59,08:13:59,900,599.56,500,1999.56,420,64.36,ready
4ab004e0af30,2026-06-20,FPL1502004,UAM0071,a8,8,8,1,마곡,마곡,잠실,잠실,7,gate-6,fato-2,gate-4,fato-3,07:31:52,07:46:52,07:58:48,08:05:38,08:15:38,900,716.19,410,2026.19,420,0,ready
4ab004e0af30,2026-06-20,FPL1501002,UAM0104,a8,8,8,1,마곡,마곡,여의도,여의도,7,gate-1,fato-1,gate-2,fato-4,07:36:00,07:51:40,07:57:19,08:05:09,08:15:09,940,339.49,470,1749.49,490,0,ready
4ab004e0af30,2026-06-20,FPL1509003,UAM0121,a2,2,2,1,마곡,마곡,성수,성수,7,gate-5,fato-2,gate-1,fato-3,07:37:12,07:52:52,08:06:32,08:14:52,08:24:52,940,820.22,500,2260.22,490,214.59,ready
4ab004e0af30,2026-06-20,FPL1504001,UAM0125,a6,6,6,1,마곡,마곡,용산,용산,7,gate-4,fato-1,gate-4,fato-3,07:39:20,07:57:40,08:04:10,08:11:00,08:21:00,1100,390.75,410,1900.75,560,0,ready
4ab004e0af30,2026-06-20,FPL1513002,UAM0049,a2,2,2,1,마곡,마곡,강남,강남,7,gate-8,fato-2,gate-8,fato-3,07:41:03,07:58:52,08:07:47,08:14:37,08:24:37,1068.71,535.2,410,2013.91,560,0,ready
