scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
4ab004e0af30,2026-06-20,FPL1601001,UAM0121,a2,2,2,1,망우,망우,여의도,여의도,6,gate-1,fato-1,gate-4,fato-3,06:30:00,06:37:30,06:45:50,06:52:40,07:02:40,450,500.32,410,1360.32,0,0,ready
4ab004e0af30,2026-06-20,FPL1612001,UAM0122,a2,2,2,1,망우,망우,광화문,광화문,6,gate-2,fato-2,gate-4,fato-3,06:30:00,06:38:10,06:42:45,06:49:35,06:59:35,490,275.95,410,1175.95,10,0,ready
4ab004e0af30,2026-06-20,FPL1612002,UAM0123,a4,4,4,1,망우,망우,광화문,광화문,6,gate-3,fato-1,gate-3,fato-3,06:30:00,06:43:30,06:48:05,06:55:25,07:05:25,810,275.95,440,1525.95,300,0,ready
4ab004e0af30,2026-06-20,FPL1605001,UAM0124,a4,4,4,1,망우,망우,목동,목동,6,gate-4,fato-2,gate-2,fato-4,06:30:00,06:44:10,06:56:29,07:04:19,07:14:19,850,739.99,470,2059.99,310,128.9,ready
4ab004e0af30,2026-06-20,FPL1615001,UAM0125,a6,6,6,1,망우,망우,마곡,마곡,6,gate-5,fato-1,gate-4,fato-3,06:30:00,06:49:30,07:22:29,07:29:19,07:39:19,1170,1979.49,410,3559.49,720,117.49,ready
4ab004e0af30,2026-06-20,FPL1614001,UAM0126,a6,6,5,0.8333,망우,망우,가산,가산,6,gate-6,fato-2,gate-6,fato-4,06:30:00,06:50:10,07:01:16,07:09:06,07:19:06,1210,666.76,470,2346.76,730,0,ready
4ab004e0af30,2026-06-20,FPL1613001,UAM0127,a8,8,5,0.625,망우,망우,강남,강남,6,gate-7,fato-1,gate-7,fato-4,06:30:00,06:55:30,07:01:00,07:08:20,07:18:20,1530,330.92,440,2300.92,1020,0,ready
4ab004e0af30,2026-06-20,FPL1612003,UAM0128,a8,8,5,0.625,망우,망우,광화문,광화문,6,gate-8,fato-2,gate-4,fato-3,06:30:00,06:56:10,07:01:51,07:08:41,07:18:41,1570,341.98,410,2321.98,1030,66.04,ready
4ab004e0af30,2026-06-20,FPL1601002,UAM0001,a2,2,2,1,망우,망우,여의도,여의도,7,gate-4,fato-1,gate-3,fato-4,07:02:41,07:12:12,07:20:32,07:27:52,07:37:52,571.45,500.32,440,1511.76,31.45,0,ready
4ab004e0af30,2026-06-20,FPL1617001,UAM0026,a2,2,2,1,망우,망우,수서,수서,7,gate-8,fato-2,gate-3,fato-3,07:03:21,07:12:52,07:18:42,07:26:02,07:36:02,571.45,349.77,440,1361.21,31.45,0,ready
4ab004e0af30,2026-06-20,FPL1614002,UAM0018,a2,2,2,1,망우,망우,가산,가산,7,gate-3,fato-1,gate-4,fato-3,07:08:01,07:18:12,07:29:19,07:36:09,07:46:09,611.45,666.76,410,1688.21,101.45,0,ready
