scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
4ab004e0af30,2026-06-20,FPL0506001,UAM0033,a2,2,2,1,목동,목동,미아,미아,6,gate-1,fato-1,gate-4,fato-3,06:30:00,06:37:30,06:49:14,06:56:04,07:06:04,450,704.7,410,1564.7,0,0,ready
4ab004e0af30,2026-06-20,FPL0511001,UAM0034,a2,2,2,1,목동,목동,천호,천호,6,gate-2,fato-2,gate-3,fato-3,06:30:00,06:38:10,06:48:15,06:55:35,07:05:35,490,605.18,440,1535.18,10,0,ready
4ab004e0af30,2026-06-20,FPL0502001,UAM0035,a4,4,4,1,목동,목동,잠실,잠실,6,gate-3,fato-1,gate-1,fato-4,06:30:00,06:43:30,06:59:06,07:07:46,07:17:46,810,936.19,520.63,2266.82,300,444.5,ready
4ab004e0af30,2026-06-20,FPL0513001,UAM0036,a4,4,4,1,목동,목동,강남,강남,6,gate-4,fato-2,gate-8,fato-3,06:30:00,06:44:10,06:50:29,06:57:19,07:07:19,850,379.56,410,1639.56,310,0,ready
4ab004e0af30,2026-06-20,FPL0502002,UAM0037,a6,6,6,1,목동,목동,잠실,잠실,6,gate-5,fato-1,gate-4,fato-4,06:30:00,06:49:30,07:03:56,07:11:06,07:21:06,1170,866.19,430.63,2466.82,720,198.82,ready
4ab004e0af30,2026-06-20,FPL0508001,UAM0038,a6,6,6,1,목동,목동,사당,사당,6,gate-6,fato-2,gate-7,fato-4,06:30:00,06:50:10,06:55:02,07:02:22,07:12:22,1210,292.84,440,1942.84,730,0,ready
4ab004e0af30,2026-06-20,FPL0513002,UAM0039,a8,8,8,1,목동,목동,강남,강남,6,gate-7,fato-1,gate-2,fato-4,06:30:00,06:55:30,07:05:50,07:13:40,07:23:40,1530,620.92,470,2620.92,1020,241.35,ready
4ab004e0af30,2026-06-20,FPL0513003,UAM0040,a8,8,8,1,목동,목동,강남,강남,6,gate-8,fato-2,gate-1,fato-4,06:30:00,06:56:10,07:10:40,07:19:00,07:29:00,1570,870.92,500,2940.92,1030,491.35,ready
4ab004e0af30,2026-06-20,FPL0516001,UAM0129,a2,2,2,1,목동,목동,망우,망우,7,gate-4,fato-1,gate-7,fato-3,07:02:46,07:11:46,07:21:57,07:29:17,07:39:17,540,611.09,440,1591.09,0,0,ready
4ab004e0af30,2026-06-20,FPL0509001,UAM0067,a4,4,4,1,목동,목동,성수,성수,7,gate-8,fato-2,gate-7,fato-3,07:07:50,07:16:50,07:24:19,07:31:39,07:41:39,540,449.99,440,1429.99,0,0,ready
4ab004e0af30,2026-06-20,FPL0502003,UAM0068,a4,4,4,1,목동,목동,잠실,잠실,7,gate-3,fato-1,gate-2,fato-4,07:09:00,07:17:46,07:30:43,07:38:48,07:48:48,526,777.03,485.3,1788.33,16,280.02,ready
4ab004e0af30,2026-06-20,FPL0509002,UAM0084,a4,4,4,1,목동,목동,성수,성수,7,gate-7,fato-2,gate-2,fato-3,07:13:10,07:22:50,07:30:19,07:38:09,07:48:09,580,449.99,470,1499.99,70,0,ready
4ab004e0af30,2026-06-20,FPL0513004,UAM0124,a4,4,4,1,목동,목동,강남,강남,7,gate-2,fato-1,gate-3,fato-3,07:14:20,07:23:46,07:30:05,07:37:25,07:47:25,566,379.56,440,1385.56,86,0,ready
4ab004e0af30,2026-06-20,FPL0516002,UAM0061,a6,6,6,1,목동,목동,망우,망우,7,gate-6,fato-2,gate-2,fato-4,07:18:30,07:28:50,07:39:47,07:47:37,07:57:37,620,657.93,470,1747.93,140,46.85,ready
4ab004e0af30,2026-06-20,FPL0508002,UAM0062,a6,6,6,1,목동,목동,사당,사당,7,gate-1,fato-1,gate-7,fato-3,07:19:40,07:29:46,07:35:33,07:42:53,07:52:53,606,347.89,440,1393.89,156,55.05,ready
