scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
4ab004e0af30,2026-06-20,FPL0609001,UAM0041,a2,2,2,1,미아,미아,성수,성수,6,gate-1,fato-1,gate-4,fato-3,06:30:00,06:37:30,06:43:08,06:49:58,06:59:58,450,338.07,410,1198.07,0,0,ready
4ab004e0af30,2026-06-20,FPL0604001,UAM0042,a2,2,2,1,미아,미아,용산,용산,6,gate-2,fato-2,gate-4,fato-3,06:30:00,06:38:10,06:47:46,06:54:36,07:04:36,490,576.06,410,1476.06,10,0,ready
4ab004e0af30,2026-06-20,FPL0617001,UAM0043,a4,4,4,1,미아,미아,수서,수서,6,gate-3,fato-1,gate-3,fato-3,06:30:00,06:43:30,06:51:31,06:58:51,07:08:51,810,481.13,440,1731.13,300,0,ready
4ab004e0af30,2026-06-20,FPL0608001,UAM0044,a4,4,4,1,미아,미아,사당,사당,6,gate-4,fato-2,gate-3,fato-3,06:30:00,06:44:10,06:54:18,07:01:38,07:11:38,850,608.5,440,1898.5,310,0,ready
4ab004e0af30,2026-06-20,FPL0615001,UAM0045,a6,6,6,1,미아,미아,마곡,마곡,6,gate-5,fato-1,gate-3,fato-3,06:30:00,06:49:30,07:07:59,07:15:19,07:25:19,1170,1109.49,440,2719.49,720,88.49,ready
4ab004e0af30,2026-06-20,FPL0609002,UAM0046,a6,6,6,1,미아,미아,성수,성수,6,gate-6,fato-2,gate-2,fato-3,06:30:00,06:50:10,06:55:48,07:03:38,07:13:38,1210,338.07,470,2018.07,730,0,ready
4ab004e0af30,2026-06-20,FPL0605001,UAM0047,a8,8,8,1,미아,미아,목동,목동,6,gate-7,fato-1,gate-3,fato-4,06:30:00,06:55:30,07:10:59,07:18:19,07:28:19,1530,929.99,440,2899.99,1020,87.99,ready
4ab004e0af30,2026-06-20,FPL0613001,UAM0048,a8,8,8,1,미아,미아,강남,강남,6,gate-8,fato-2,gate-5,fato-3,06:30:00,06:56:10,07:12:28,07:20:48,07:30:48,1570,978.09,500,3048.09,1030,515.32,ready
4ab004e0af30,2026-06-20,FPL0603001,UAM0033,a2,2,2,1,미아,미아,상암,상암,7,gate-4,fato-1,gate-7,fato-3,07:06:05,07:15:05,07:28:29,07:35:49,07:45:49,540,804.02,440,1784.02,0,107.96,ready
4ab004e0af30,2026-06-20,FPL0611001,UAM0100,a4,4,4,1,미아,미아,천호,천호,7,gate-8,fato-2,gate-4,fato-3,07:08:43,07:17:43,07:41:25,07:48:15,07:58:15,540,1422.18,410,2372.18,0,117.18,ready
4ab004e0af30,2026-06-20,FPL0603002,UAM0070,a6,6,6,1,미아,미아,상암,상암,7,gate-3,fato-1,gate-6,fato-3,07:13:09,07:21:39,07:33:19,07:41:17,07:51:17,510,700.02,478.34,1688.35,0,12.29,ready
4ab004e0af30,2026-06-20,FPL0608002,UAM0030,a6,6,6,1,미아,미아,사당,사당,7,gate-7,fato-2,gate-4,fato-4,07:17:07,07:25:37,07:37:39,07:44:29,07:54:29,510,722.1,410,1642.1,0,113.59,ready
4ab004e0af30,2026-06-20,FPL0613002,UAM0025,a2,2,2,1,미아,미아,강남,강남,7,gate-4,fato-1,gate-7,fato-4,07:37:39,07:46:39,07:54:21,08:01:41,08:11:41,540,462.77,440,1442.77,0,0,ready
4ab004e0af30,2026-06-20,FPL0615002,UAM0082,a2,2,2,1,미아,미아,마곡,마곡,7,gate-8,fato-2,gate-7,fato-4,07:39:05,07:49:46,08:10:48,08:18:08,08:28:08,641.69,1262.13,440,2343.82,101.69,85.82,ready
4ab004e0af30,2026-06-20,FPL0613003,UAM0043,a4,4,4,1,미아,미아,강남,강남,7,gate-3,fato-1,gate-4,fato-4,07:44:09,07:52:39,08:00:21,08:07:11,08:17:11,510,462.77,410,1382.77,0,0,ready
4ab004e0af30,2026-06-20,FPL0605002,UAM0091,a4,4,4,1,미아,미아,목동,목동,7,gate-7,fato-2,gate-4,fato-3,07:44:49,07:55:46,08:07:31,08:14:21,08:24:21,657.69,704.7,410,1772.39,147.69,0,ready
4ab004e0af30,2026-06-20,FPL0615003,UAM0035,a4,4,4,1,미아,미아,마곡,마곡,7,gate-2,fato-1,gate-6,fato-4,07:51:58,07:59:58,08:15:38,08:23:28,08:33:28,480,940.82,470,1890.82,0,55.82,ready
4ab004e0af30,2026-06-20,FPL0607001,UAM0085,a6,6,6,1,미아,미아,봉천,봉천,7,gate-6,fato-2,gate-3,fato-4,07:52:57,08:01:46,08:13:07,08:20:27,08:30:27,529.69,680.69,440,1650.38,49.69,0,ready
4ab004e0af30,2026-06-20,FPL0609003,UAM0067,a4,4,4,1,미아,미아,성수,성수,8,gate-4,fato-1,gate-6,fato-4,08:12:39,08:21:39,08:27:17,08:35:07,08:45:07,540,338.07,470,1348.07,0,0,ready
4ab004e0af30,2026-06-20,FPL0605003,UAM0074,a2,2,2,1,미아,미아,목동,목동,8,gate-8,fato-1,gate-3,fato-4,08:19:35,08:29:22,08:41:22,08:48:42,08:58:42,587.77,719.24,440,1747.01,47.77,14.54,ready
4ab004e0af30,2026-06-20,FPL0605004,UAM0004,a4,4,4,1,미아,미아,목동,목동,8,gate-3,fato-2,gate-7,fato-3,08:21:55,08:30:25,08:44:49,08:52:09,09:02:09,510,864.12,440,1814.12,0,136.12,ready
4ab004e0af30,2026-06-20,FPL0617002,UAM0038,a6,6,6,1,미아,미아,수서,수서,8,gate-7,fato-1,gate-4,fato-3,08:29:52,08:39:31,08:47:32,08:54:22,09:04:22,579.69,481.13,410,1470.82,69.69,0,ready
4ab004e0af30,2026-06-20,FPL0602001,UAM0013,a6,6,6,1,미아,미아,잠실,잠실,8,gate-4,fato-2,gate-7,fato-4,08:31:33,08:40:33,08:49:54,08:57:14,09:07:14,540,561.36,440,1541.36,0,171.22,ready
4ab004e0af30,2026-06-20,FPL0611002,UAM0001,a2,2,2,1,미아,미아,천호,천호,8,gate-8,fato-1,gate-6,fato-4,08:40:22,08:50:42,08:57:09,09:05:58,09:15:58,620.34,386.86,528.81,1536,80.34,89.19,ready
4ab004e0af30,2026-06-20,FPL0609004,UAM0080,a8,8,8,1,미아,미아,성수,성수,8,gate-3,fato-2,gate-4,fato-3,08:42:12,08:51:22,08:57:00,09:03:50,09:13:50,550.34,338.07,410,1298.41,40.34,0,ready
4ab004e0af30,2026-06-20,FPL0613004,UAM0008,a8,8,8,1,미아,미아,강남,강남,8,gate-7,fato-1,gate-6,fato-3,08:48:33,08:57:03,09:04:45,09:12:35,09:22:35,510,462.77,470,1442.77,0,0,ready
4ab004e0af30,2026-06-20,FPL0605005,UAM0083,a4,4,4,1,미아,미아,목동,목동,8,gate-4,fato-2,gate-2,fato-3,08:51:46,09:00:46,09:12:30,09:20:20,09:30:20,540,704.7,470,1714.7,0,0,ready
4ab004e0af30,2026-06-20,FPL0603003,UAM0079,a8,8,8,1,미아,미아,상암,상암,8,gate-2,fato-1,gate-4,fato-3,08:53:53,09:03:03,09:14:39,09:21:29,09:31:29,550,696.06,410,1656.06,70,0,ready
4ab004e0af30,2026-06-20,FPL0607002,UAM0009,a2,2,2,1,미아,미아,봉천,봉천,8,gate-6,fato-2,gate-3,fato-3,08:57:36,09:06:46,09:18:06,09:25:26,09:35:26,550,680.69,440,1670.69,70,0,ready
4ab004e0af30,2026-06-20,FPL0605006,UAM0128,a8,8,8,1,미아,미아,목동,목동,9,gate-8,fato-1,gate-3,fato-3,09:08:22,09:17:22,09:41:36,09:48:56,09:58:56,540,1454.02,440,2434.02,0,88.02,ready
4ab004e0af30,2026-06-20,FPL0615004,UAM0106,a2,2,2,1,미아,미아,마곡,마곡,9,gate-4,fato-1,gate-5,fato-3,09:19:07,09:29:14,09:46:55,09:55:15,10:05:15,607.07,1061.92,500,2169,67.07,201.59,ready
4ab004e0af30,2026-06-20,FPL0609005,UAM0041,a2,2,2,1,미아,미아,성수,성수,9,gate-8,fato-1,gate-7,fato-3,09:26:17,09:35:17,09:40:55,09:48:15,09:58:15,540,338.07,440,1318.07,0,0,ready
4ab004e0af30,2026-06-20,FPL0602002,UAM0035,a4,4,4,1,미아,미아,잠실,잠실,9,gate-3,fato-2,gate-8,fato-4,09:29:21,09:37:51,09:44:21,09:51:11,10:01:11,510,390.14,410,1310.14,0,0,ready
4ab004e0af30,2026-06-20,FPL0611003,UAM0091,a4,4,4,1,미아,미아,천호,천호,9,gate-7,fato-1,gate-7,fato-4,09:31:55,09:41:17,09:52:17,10:01:28,10:11:28,562,660.77,550.23,1773,52,322,ready
4ab004e0af30,2026-06-20,FPL0602003,UAM0114,a2,2,2,1,미아,미아,잠실,잠실,9,gate-4,fato-1,gate-8,fato-4,09:46:24,09:55:24,10:03:38,10:10:41,10:20:41,540,494.19,423.46,1457.65,0,117.51,ready
4ab004e0af30,2026-06-20,FPL0601001,UAM0097,a2,2,2,1,미아,미아,여의도,여의도,9,gate-8,fato-2,gate-3,fato-4,09:49:25,09:58:25,10:08:18,10:15:38,10:25:38,540,593.93,440,1573.93,0,0,ready
4ab004e0af30,2026-06-20,FPL0611004,UAM0029,a6,6,6,1,미아,미아,천호,천호,9,gate-3,fato-1,gate-5,fato-3,09:51:44,10:01:24,10:11:37,10:23:48,10:33:48,580,613.77,730.23,1924,70,302,ready
4ab004e0af30,2026-06-20,FPL0613005,UAM0102,a6,6,6,1,미아,미아,강남,강남,9,gate-7,fato-2,gate-8,fato-3,09:55:21,10:04:31,10:15:02,10:21:52,10:31:52,550,631.66,410,1591.66,76.19,168.89,ready
4ab004e0af30,2026-06-20,FPL0613006,UAM0050,a2,2,2,1,미아,미아,강남,강남,10,gate-4,fato-1,gate-3,fato-3,10:03:53,10:13:06,10:24:42,10:32:02,10:42:02,553.07,696.78,440,1689.86,13.07,86.86,ready
4ab004e0af30,2026-06-20,FPL0611005,UAM0076,a4,4,4,1,미아,미아,천호,천호,10,gate-2,fato-2,gate-6,fato-3,10:07:42,10:15:42,10:30:57,10:39:45,10:49:45,480,915.77,527.41,1923.18,0,338.18,ready
4ab004e0af30,2026-06-20,FPL0601002,UAM0090,a2,2,2,1,미아,미아,여의도,여의도,10,gate-8,fato-1,gate-7,fato-4,10:15:50,10:25:30,10:35:24,10:42:44,10:52:44,580,593.93,440,1613.93,73.34,0,ready
4ab004e0af30,2026-06-20,FPL0613007,UAM0078,a6,6,6,1,미아,미아,강남,강남,10,gate-4,fato-1,gate-1,fato-3,10:22:51,10:31:51,10:39:55,10:48:15,10:58:15,540,484.56,500,1524.56,0,21.79,ready
4ab004e0af30,2026-06-20,FPL0609006,UAM0043,a4,4,4,1,미아,미아,성수,성수,10,gate-3,fato-2,gate-4,fato-3,10:24:28,10:32:58,10:38:36,10:45:26,10:55:26,510,338.07,410,1258.07,0,0,ready
4ab004e0af30,2026-06-20,FPL0601003,UAM0014,a6,6,6,1,미아,미아,여의도,여의도,10,gate-7,fato-1,gate-4,fato-3,10:28:11,10:37:51,10:47:44,10:54:34,11:04:34,580,593.93,410,1583.93,70,0,ready
4ab004e0af30,2026-06-20,FPL0614001,UAM0071,a8,8,8,1,미아,미아,가산,가산,10,gate-4,fato-1,gate-5,fato-4,10:54:03,11:03:52,11:19:45,11:28:05,11:38:05,589.34,953.57,500,2042.91,49.34,171.38,ready
4ab004e0af30,2026-06-20,FPL0605007,UAM0115,a4,4,4,1,미아,미아,목동,목동,10,gate-8,fato-2,gate-4,fato-4,10:55:29,11:04:32,11:16:17,11:23:07,11:33:07,543.34,704.7,410,1658.03,3.34,0,ready
4ab004e0af30,2026-06-20,FPL0608003,UAM0020,a4,4,4,1,미아,미아,사당,사당,10,gate-3,fato-1,gate-7,fato-3,10:59:23,11:09:52,11:20:40,11:28:00,11:38:00,629.34,647.83,440,1717.16,119.34,39.32,ready
4ab004e0af30,2026-06-20,FPL0601004,UAM0016,a8,8,8,1,미아,미아,여의도,여의도,11,gate-7,fato-2,gate-7,fato-4,11:00:49,11:10:32,11:20:26,11:27:46,11:37:46,583.34,593.93,440,1617.26,73.34,0,ready
4ab004e0af30,2026-06-20,FPL0605008,UAM0106,a2,2,2,1,미아,미아,목동,목동,11,gate-2,fato-1,gate-2,fato-3,11:07:03,11:15:52,11:30:45,11:38:35,11:48:35,529.34,892.75,470,1892.09,49.34,188.06,ready
4ab004e0af30,2026-06-20,FPL0601005,UAM0008,a8,8,8,1,미아,미아,여의도,여의도,11,gate-6,fato-2,gate-6,fato-4,11:09:05,11:17:05,11:26:58,11:34:48,11:44:48,480,593.93,470,1543.93,0,0,ready
4ab004e0af30,2026-06-20,FPL0604002,UAM0023,a8,8,8,1,미아,미아,용산,용산,11,gate-4,fato-1,gate-4,fato-3,11:12:11,11:21:52,11:31:28,11:38:18,11:48:18,581.34,576.06,410,1567.39,41.34,0,ready
4ab004e0af30,2026-06-20,FPL0614002,UAM0064,a8,8,8,1,미아,미아,가산,가산,11,gate-8,fato-2,gate-4,fato-3,11:13:26,11:23:05,11:36:07,11:42:57,11:52:57,579,782.19,410,1771.19,39,0,ready
4ab004e0af30,2026-06-20,FPL0617003,UAM0019,a4,4,4,1,미아,미아,수서,수서,11,gate-3,fato-1,gate-3,fato-3,11:18:28,11:27:52,11:36:29,11:43:49,11:53:49,564.34,517.01,440,1521.34,54.34,35.88,ready
4ab004e0af30,2026-06-20,FPL0605009,UAM0066,a2,2,2,1,미아,미아,목동,목동,11,gate-7,fato-2,gate-1,fato-4,11:19:08,11:29:05,11:40:49,11:49:33,11:59:33,597,704.7,524.15,1825.84,87,24.15,ready
4ab004e0af30,2026-06-20,FPL0605010,UAM0086,a6,6,6,1,미아,미아,목동,목동,11,gate-1,fato-1,gate-7,fato-4,11:24:18,11:33:52,11:45:39,11:53:23,12:03:23,574.34,707.36,464.15,1745.84,124.34,26.81,ready
4ab004e0af30,2026-06-20,FPL0613008,UAM0007,a8,8,8,1,미아,미아,강남,강남,11,gate-5,fato-2,gate-5,fato-3,11:24:58,11:35:05,11:47:27,11:55:47,12:05:47,607,742.2,500,1849.2,157,279.43,ready
4ab004e0af30,2026-06-20,FPL0611006,UAM0003,a4,4,4,1,미아,미아,천호,천호,11,gate-2,fato-1,gate-5,fato-3,11:28:38,11:39:52,11:49:18,11:59:48,12:09:48,674.34,565.66,630,1870,194.34,305,ready
4ab004e0af30,2026-06-20,FPL0615005,UAM0055,a8,8,8,1,미아,미아,마곡,마곡,11,gate-6,fato-2,gate-6,fato-3,11:29:18,11:41:05,12:00:46,12:12:50,12:22:50,707,1181,724,2612,227,338,ready
4ab004e0af30,2026-06-20,FPL0617004,UAM0104,a8,8,8,1,미아,미아,수서,수서,11,gate-4,fato-1,gate-8,fato-4,11:32:28,11:45:52,11:53:53,12:00:43,12:10:43,804.34,481.13,410,1695.47,264.34,0,ready
4ab004e0af30,2026-06-20,FPL0609007,UAM0110,a6,6,6,1,미아,미아,성수,성수,11,gate-8,fato-2,gate-4,fato-3,11:33:08,11:47:05,11:52:43,11:59:33,12:09:33,837,338.07,410,1585.07,297,0,ready
4ab004e0af30,2026-06-20,FPL0603004,UAM0001,a2,2,2,1,미아,미아,상암,상암,11,gate-3,fato-1,gate-8,fato-4,11:37:48,11:51:52,12:03:28,12:10:18,12:20:18,844.34,696.06,410,1950.39,334.34,0,ready
4ab004e0af30,2026-06-20,FPL0602004,UAM0036,a4,4,4,1,미아,미아,잠실,잠실,11,gate-7,fato-2,gate-4,fato-4,11:38:28,11:53:05,11:59:35,12:06:25,12:16:25,877,390.14,410,1677.14,367,0,ready
4ab004e0af30,2026-06-20,FPL0609008,UAM0041,a2,2,2,1,미아,미아,성수,성수,11,gate-1,fato-1,gate-8,fato-3,11:43:38,11:57:52,12:03:30,12:10:20,12:20:20,854.34,338.07,410,1602.41,404.34,0,ready
4ab004e0af30,2026-06-20,FPL0603005,UAM0068,a4,4,4,1,미아,미아,상암,상암,11,gate-5,fato-2,gate-3,fato-3,11:44:18,11:59:05,12:10:41,12:18:01,12:28:01,887,696.06,440,2023.06,437,0,ready
4ab004e0af30,2026-06-20,FPL0611007,UAM0125,a6,6,6,1,미아,미아,천호,천호,11,gate-2,fato-1,gate-4,fato-4,11:47:58,12:03:52,12:42:28,12:50:38,13:00:38,954.34,2315.66,490,3760,474.34,406,ready
