scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
4ab004e0af30,2026-06-20,FPL0702001,UAM0049,a2,2,2,1,봉천,봉천,잠실,잠실,6,gate-1,fato-1,gate-4,fato-3,06:30:00,06:37:30,06:43:36,06:50:26,07:00:26,450,366.36,410,1226.36,0,0,ready
4ab004e0af30,2026-06-20,FPL0711001,UAM0050,a2,2,2,1,봉천,봉천,천호,천호,6,gate-2,fato-2,gate-8,fato-4,06:30:00,06:38:10,06:46:35,06:53:25,07:03:25,490,505.6,410,1405.6,10,0,ready
4ab004e0af30,2026-06-20,FPL0709001,UAM0051,a4,4,4,1,봉천,봉천,성수,성수,6,gate-3,fato-1,gate-7,fato-4,06:30:00,06:43:30,06:51:07,06:58:27,07:08:27,810,457.49,440,1707.49,300,17.86,ready
4ab004e0af30,2026-06-20,FPL0715001,UAM0052,a4,4,4,1,봉천,봉천,마곡,마곡,6,gate-4,fato-2,gate-4,fato-3,06:30:00,06:44:10,07:03:09,07:09:59,07:19:59,850,1139.49,410,2399.49,310,118.49,ready
4ab004e0af30,2026-06-20,FPL0716001,UAM0053,a6,6,6,1,봉천,봉천,망우,망우,6,gate-5,fato-1,gate-5,fato-4,06:30:00,06:49:30,07:02:22,07:10:42,07:20:42,1170,772.45,500,2442.45,720,223.61,ready
4ab004e0af30,2026-06-20,FPL0710001,UAM0054,a6,6,6,1,봉천,봉천,연신내,연신내,6,gate-6,fato-2,gate-3,fato-3,06:30:00,06:50:10,06:57:04,07:04:24,07:14:24,1210,414.28,440,2064.28,730,0,ready
4ab004e0af30,2026-06-20,FPL0711002,UAM0055,a8,8,7,0.875,봉천,봉천,천호,천호,6,gate-7,fato-1,gate-7,fato-4,06:30:00,06:55:30,07:10:45,07:18:05,07:28:05,1530,915.6,440,2885.6,1020,87.6,ready
4ab004e0af30,2026-06-20,FPL0709002,UAM0056,a8,8,5,0.625,봉천,봉천,성수,성수,6,gate-8,fato-2,gate-1,fato-4,06:30:00,06:56:10,07:04:25,07:12:45,07:22:45,1570,495.63,500,2565.63,1030,56,ready
4ab004e0af30,2026-06-20,FPL0710002,UAM0069,a6,6,6,1,봉천,봉천,연신내,연신내,7,gate-4,fato-1,gate-4,fato-3,07:13:40,07:22:40,07:29:34,07:36:24,07:46:24,540,414.28,410,1364.28,0,0,ready
4ab004e0af30,2026-06-20,FPL0706001,UAM0085,a6,6,6,1,봉천,봉천,미아,미아,7,gate-8,fato-2,gate-6,fato-4,07:14:46,07:23:46,07:35:06,07:42:56,07:52:56,540,680.69,470,1690.69,0,0,ready
4ab004e0af30,2026-06-20,FPL0702002,UAM0015,a8,8,8,1,봉천,봉천,잠실,잠실,7,gate-3,fato-1,gate-8,fato-4,07:19:00,07:28:40,07:35:33,07:42:38,07:52:38,580,413.03,425.3,1418.33,70,61.97,ready
4ab004e0af30,2026-06-20,FPL0710003,UAM0098,a2,2,2,1,봉천,봉천,연신내,연신내,7,gate-4,fato-1,gate-2,fato-3,07:34:04,07:43:04,07:52:00,07:59:50,08:09:50,540,536.46,470,1546.46,0,122.18,ready
4ab004e0af30,2026-06-20,FPL0709003,UAM0058,a2,2,2,1,봉천,봉천,성수,성수,7,gate-8,fato-2,gate-3,fato-4,07:35:43,07:44:45,07:52:05,08:00:02,08:10:02,542.65,439.63,476.94,1459.22,2.65,36.94,ready
4ab004e0af30,2026-06-20,FPL0711003,UAM0113,a2,2,2,1,봉천,봉천,천호,천호,7,gate-3,fato-1,gate-4,fato-3,07:39:24,07:49:04,08:20:05,08:26:55,08:36:55,580,1861.18,410,2851.18,70,108.18,ready
4ab004e0af30,2026-06-20,FPL0711004,UAM0132,a4,4,4,1,봉천,봉천,천호,천호,7,gate-7,fato-2,gate-8,fato-4,07:45:22,07:53:52,08:23:15,08:30:05,08:40:05,510,1763.6,410,2683.6,0,117.6,ready
4ab004e0af30,2026-06-20,FPL0711005,UAM0076,a4,4,4,1,봉천,봉천,천호,천호,7,gate-2,fato-1,gate-6,fato-4,07:47:56,07:55:56,08:13:35,08:21:25,08:31:25,480,1059.6,470,2009.6,0,56.6,ready
4ab004e0af30,2026-06-20,FPL0715002,UAM0027,a4,4,4,1,봉천,봉천,마곡,마곡,7,gate-4,fato-1,gate-2,fato-3,07:52:40,08:02:20,08:14:54,08:22:44,08:32:44,580,754.19,470,1804.19,76.01,58.2,ready
4ab004e0af30,2026-06-20,FPL0702003,UAM0020,a4,4,4,1,봉천,봉천,잠실,잠실,7,gate-8,fato-2,gate-3,fato-3,07:58:04,08:07:04,08:13:10,08:20:30,08:30:30,540,366.36,440,1346.36,0,0,ready
4ab004e0af30,2026-06-20,FPL0706002,UAM0080,a8,8,8,1,봉천,봉천,미아,미아,8,gate-3,fato-1,gate-3,fato-4,08:05:01,08:13:31,08:24:51,08:32:11,08:42:11,510,680.69,440,1630.69,0,0,ready
4ab004e0af30,2026-06-20,FPL0710004,UAM0097,a2,2,2,1,봉천,봉천,연신내,연신내,8,gate-7,fato-2,gate-6,fato-4,08:07:23,08:15:53,08:22:47,08:30:37,08:40:37,510,414.28,470,1394.28,0,0,ready
4ab004e0af30,2026-06-20,FPL0709004,UAM0078,a6,6,6,1,봉천,봉천,성수,성수,8,gate-4,fato-1,gate-8,fato-3,08:14:25,08:24:05,08:31:24,08:38:14,08:48:14,580,439.63,410,1429.63,74.36,0,ready
4ab004e0af30,2026-06-20,FPL0717001,UAM0015,a8,8,8,1,봉천,봉천,수서,수서,8,gate-8,fato-1,gate-7,fato-3,08:26:16,08:36:23,08:42:22,08:49:42,08:59:42,607.65,359.05,440,1406.71,67.65,0,ready
4ab004e0af30,2026-06-20,FPL0702004,UAM0085,a6,6,6,1,봉천,봉천,잠실,잠실,8,gate-3,fato-2,gate-8,fato-4,08:30:28,08:38:58,08:45:04,08:51:54,09:01:54,510,366.36,410,1286.36,0,0,ready
4ab004e0af30,2026-06-20,FPL0711006,UAM0094,a6,6,6,1,봉천,봉천,천호,천호,8,gate-4,fato-1,gate-2,fato-3,08:33:44,08:43:53,08:52:19,09:03:45,09:13:45,609.6,505.6,685.99,1801.18,69.6,215.99,ready
4ab004e0af30,2026-06-20,FPL0702005,UAM0057,a2,2,2,1,봉천,봉천,잠실,잠실,8,gate-7,fato-2,gate-2,fato-3,08:35:18,08:44:58,08:51:04,08:58:54,09:08:54,580,366.36,470,1416.36,70,0,ready
4ab004e0af30,2026-06-20,FPL0716002,UAM0032,a8,8,8,1,봉천,봉천,망우,망우,8,gate-2,fato-1,gate-1,fato-3,08:39:34,08:49:53,09:00:00,09:08:20,09:18:20,619.6,607.32,500,1726.92,139.6,58.48,ready
4ab004e0af30,2026-06-20,FPL0709005,UAM0100,a4,4,4,1,봉천,봉천,성수,성수,8,gate-8,fato-2,gate-8,fato-3,08:46:04,08:55:04,09:02:23,09:09:13,09:19:13,540,439.63,410,1389.63,0,0,ready
4ab004e0af30,2026-06-20,FPL0711007,UAM0105,a2,2,2,1,봉천,봉천,천호,천호,9,gate-4,fato-1,gate-5,fato-3,09:04:04,09:13:53,09:47:27,09:59:48,10:09:48,589.6,2014.17,740.23,3344,49.6,304,ready
4ab004e0af30,2026-06-20,FPL0717002,UAM0021,a6,6,6,1,봉천,봉천,수서,수서,9,gate-8,fato-2,gate-8,fato-3,09:07:16,09:16:16,09:22:15,09:29:05,09:39:05,540,359.05,410,1309.05,0,0,ready
