scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
4ab004e0af30,2026-06-20,FPL0815001,UAM0057,a2,2,2,1,사당,사당,마곡,마곡,6,gate-1,fato-1,gate-3,fato-3,06:30:00,06:37:30,06:48:39,06:55:59,07:05:59,450,669.49,440,1559.49,0,172.77,ready
4ab004e0af30,2026-06-20,FPL0810001,UAM0058,a2,2,2,1,사당,사당,연신내,연신내,6,gate-2,fato-2,gate-4,fato-3,06:30:00,06:38:10,06:46:07,06:52:57,07:02:57,490,477.34,410,1377.34,10,0,ready
4ab004e0af30,2026-06-20,FPL0803001,UAM0059,a4,4,4,1,사당,사당,상암,상암,6,gate-3,fato-1,gate-8,fato-3,06:30:00,06:43:30,06:49:10,06:56:00,07:06:00,810,340.18,410,1560.18,300,0,ready
4ab004e0af30,2026-06-20,FPL0811001,UAM0060,a4,4,4,1,사당,사당,천호,천호,6,gate-4,fato-2,gate-6,fato-4,06:30:00,06:44:10,06:56:15,07:04:05,07:14:05,850,725.6,470,2045.6,310,292.19,ready
4ab004e0af30,2026-06-20,FPL0805001,UAM0061,a6,6,6,1,사당,사당,목동,목동,6,gate-5,fato-1,gate-6,fato-3,06:30:00,06:49:30,07:00:39,07:08:29,07:18:29,1170,669.99,470,2309.99,720,377.14,ready
4ab004e0af30,2026-06-20,FPL0805002,UAM0062,a6,6,6,1,사당,사당,목동,목동,6,gate-6,fato-2,gate-1,fato-4,06:30:00,06:50:10,07:01:19,07:09:39,07:19:39,1210,669.99,500,2379.99,730,377.14,ready
4ab004e0af30,2026-06-20,FPL0811002,UAM0063,a8,8,7,0.875,사당,사당,천호,천호,6,gate-7,fato-1,gate-2,fato-3,06:30:00,06:55:30,07:12:25,07:20:15,07:30:15,1530,1015.18,470,3015.18,1020,57.18,ready
4ab004e0af30,2026-06-20,FPL0815002,UAM0064,a8,8,5,0.625,사당,사당,마곡,마곡,6,gate-8,fato-2,gate-7,fato-4,06:30:00,06:56:10,07:09:11,07:16:31,07:26:31,1570,781.98,440,2791.98,1030,87.98,ready
4ab004e0af30,2026-06-20,FPL0811003,UAM0074,a2,2,2,1,사당,사당,천호,천호,7,gate-4,fato-1,gate-4,fato-3,07:02:58,07:11:58,07:22:05,07:28:55,07:38:55,540,607.18,410,1557.18,0,116.18,ready
4ab004e0af30,2026-06-20,FPL0812001,UAM0131,a4,4,4,1,사당,사당,광화문,광화문,7,gate-8,fato-2,gate-4,fato-3,07:05:07,07:14:32,07:22:24,07:29:14,07:39:14,565.84,471.89,410,1447.74,25.84,0,ready
4ab004e0af30,2026-06-20,FPL0812002,UAM0044,a4,4,4,1,사당,사당,광화문,광화문,7,gate-3,fato-1,gate-7,fato-3,07:11:39,07:20:09,07:28:00,07:35:20,07:45:20,510,471.89,440,1421.89,0,0,ready
4ab004e0af30,2026-06-20,FPL0811004,UAM0038,a6,6,6,1,사당,사당,천호,천호,7,gate-7,fato-2,gate-7,fato-4,07:12:23,07:20:53,07:30:05,07:37:25,07:47:25,510,552.6,440,1502.6,0,88.6,ready
4ab004e0af30,2026-06-20,FPL0811005,UAM0022,a6,6,6,1,사당,사당,천호,천호,7,gate-2,fato-1,gate-6,fato-4,07:16:59,07:26:09,07:34:55,07:42:45,07:52:45,550,526.6,470,1546.6,70,49.6,ready
4ab004e0af30,2026-06-20,FPL0817001,UAM0093,a6,6,6,1,사당,사당,수서,수서,7,gate-6,fato-2,gate-4,fato-3,07:17:43,07:26:53,07:31:39,07:38:29,07:48:29,550,286.87,410,1246.87,70,0,ready
4ab004e0af30,2026-06-20,FPL0817002,UAM0106,a2,2,2,1,사당,사당,수서,수서,7,gate-4,fato-1,gate-8,fato-4,07:35:43,07:45:23,07:51:31,07:58:21,08:08:21,580,367.87,410,1357.87,79.89,81.01,ready
4ab004e0af30,2026-06-20,FPL0805003,UAM0118,a6,6,6,1,사당,사당,목동,목동,7,gate-8,fato-1,gate-7,fato-3,07:47:34,07:56:34,08:01:26,08:08:46,08:18:46,540,292.84,440,1272.84,0,0,ready
4ab004e0af30,2026-06-20,FPL0811006,UAM0029,a6,6,6,1,사당,사당,천호,천호,7,gate-3,fato-2,gate-7,fato-4,07:50:10,07:58:40,08:08:45,08:16:05,08:26:05,510,605.6,440,1555.6,0,87.6,ready
4ab004e0af30,2026-06-20,FPL0816001,UAM0062,a6,6,6,1,사당,사당,망우,망우,7,gate-7,fato-1,gate-4,fato-3,07:52:54,08:02:34,08:10:30,08:17:20,08:27:20,580,476.65,410,1466.65,70,0,ready
