scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
4ab004e0af30,2026-06-20,FPL0313001,UAM0017,a2,2,2,1,상암,상암,강남,강남,6,gate-1,fato-1,gate-4,fato-3,06:30:00,06:37:30,06:43:40,06:50:30,07:00:30,450,370.93,410,1230.93,0,0,ready
4ab004e0af30,2026-06-20,FPL0316001,UAM0018,a2,2,2,1,상암,상암,망우,망우,6,gate-2,fato-2,gate-3,fato-3,06:30:00,06:38:10,06:50:40,06:58:00,07:08:00,490,750.32,440,1680.32,10,147.87,ready
4ab004e0af30,2026-06-20,FPL0311001,UAM0019,a4,4,4,1,상암,상암,천호,천호,6,gate-3,fato-1,gate-5,fato-4,06:30:00,06:43:30,07:01:05,07:09:25,07:19:25,810,1055.6,500,2365.6,300,459.05,ready
4ab004e0af30,2026-06-20,FPL0311002,UAM0020,a4,4,4,1,상암,상암,천호,천호,6,gate-4,fato-2,gate-4,fato-3,06:30:00,06:44:10,07:02:45,07:09:35,07:19:35,850,1115.18,410,2375.18,310,145.18,ready
4ab004e0af30,2026-06-20,FPL0317001,UAM0021,a6,6,6,1,상암,상암,수서,수서,6,gate-5,fato-1,gate-6,fato-3,06:30:00,06:49:30,07:02:16,07:10:06,07:20:06,1170,766.98,470,2406.98,720,214.64,ready
4ab004e0af30,2026-06-20,FPL0308001,UAM0022,a6,6,5,0.8333,상암,상암,사당,사당,6,gate-6,fato-2,gate-2,fato-3,06:30:00,06:50:10,06:59:08,07:06:58,07:16:58,1210,538.5,470,2218.5,730,198.32,ready
4ab004e0af30,2026-06-20,FPL0309001,UAM0023,a8,8,5,0.625,상암,상암,성수,성수,6,gate-7,fato-1,gate-4,fato-3,06:30:00,06:55:30,07:02:51,07:09:41,07:19:41,1530,441.35,410,2381.35,1020,0,ready
4ab004e0af30,2026-06-20,FPL0313002,UAM0024,a8,8,4,0.5,상암,상암,강남,강남,6,gate-8,fato-2,gate-6,fato-3,06:30:00,06:56:10,07:07:38,07:15:28,07:25:28,1570,688.09,470,2728.09,1030,317.17,ready
4ab004e0af30,2026-06-20,FPL0309002,UAM0097,a2,2,2,1,상암,상암,성수,성수,7,gate-4,fato-1,gate-3,fato-3,07:00:31,07:09:31,07:16:52,07:24:12,07:34:12,540,441.35,440,1421.35,0,0,ready
4ab004e0af30,2026-06-20,FPL0313003,UAM0059,a4,4,4,1,상암,상암,강남,강남,7,gate-8,fato-2,gate-4,fato-3,07:06:01,07:15:01,07:21:11,07:28:01,07:38:01,540,370.93,410,1320.93,0,0,ready
