scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
4ab004e0af30,2026-06-20,FPL0915001,UAM0065,a2,2,2,1,성수,성수,마곡,마곡,6,gate-1,fato-1,gate-7,fato-4,06:30:00,06:37:30,06:49:51,06:57:11,07:07:11,450,741.98,440,1631.98,0,136.36,ready
4ab004e0af30,2026-06-20,FPL0914001,UAM0066,a2,2,2,1,성수,성수,가산,가산,6,gate-2,fato-2,gate-3,fato-3,06:30:00,06:38:10,06:48:52,06:56:12,07:06:12,490,642.33,440,1572.33,10,114.84,ready
4ab004e0af30,2026-06-20,FPL0905001,UAM0067,a4,4,4,1,성수,성수,목동,목동,6,gate-3,fato-1,gate-8,fato-3,06:30:00,06:43:30,06:50:59,06:57:49,07:07:49,810,449.99,410,1669.99,300,0,ready
4ab004e0af30,2026-06-20,FPL0905002,UAM0068,a4,4,4,1,성수,성수,목동,목동,6,gate-4,fato-2,gate-3,fato-4,06:30:00,06:44:10,06:51:39,06:58:59,07:08:59,850,449.99,440,1739.99,310,0,ready
4ab004e0af30,2026-06-20,FPL0907001,UAM0069,a6,6,6,1,성수,성수,봉천,봉천,6,gate-5,fato-1,gate-4,fato-3,06:30:00,06:49:30,06:56:49,07:03:39,07:13:39,1170,439.63,410,2019.63,720,0,ready
4ab004e0af30,2026-06-20,FPL0906001,UAM0070,a6,6,6,1,성수,성수,미아,미아,6,gate-6,fato-2,gate-3,fato-3,06:30:00,06:50:10,06:55:48,07:03:08,07:13:08,1210,338.07,440,1988.07,730,0,ready
4ab004e0af30,2026-06-20,FPL0915002,UAM0071,a8,8,8,1,성수,성수,마곡,마곡,6,gate-7,fato-1,gate-6,fato-4,06:30:00,06:55:30,07:14:01,07:21:51,07:31:51,1530,1111.98,470,3111.98,1020,57.98,ready
4ab004e0af30,2026-06-20,FPL0914002,UAM0072,a8,8,6,0.75,성수,성수,가산,가산,6,gate-8,fato-2,gate-8,fato-4,06:30:00,06:56:10,07:06:06,07:12:56,07:22:56,1570,596.76,410,2576.76,1030,69.27,ready
4ab004e0af30,2026-06-20,FPL0903001,UAM0041,a2,2,2,1,성수,성수,상암,상암,6,gate-4,fato-1,gate-4,fato-3,06:59:59,07:08:59,07:16:20,07:23:10,07:33:10,540,441.35,410,1391.35,0,0,ready
4ab004e0af30,2026-06-20,FPL0901001,UAM0105,a2,2,2,1,성수,성수,여의도,여의도,7,gate-8,fato-2,gate-8,fato-3,07:03:08,07:12:08,07:17:47,07:24:37,07:34:37,540,339.22,410,1289.22,0,0,ready
4ab004e0af30,2026-06-20,FPL0905003,UAM0004,a4,4,4,1,성수,성수,목동,목동,7,gate-3,fato-1,gate-6,fato-4,07:07:10,07:15:40,07:23:09,07:31:10,07:41:10,510,449.99,480.37,1440.36,0,10.37,ready
4ab004e0af30,2026-06-20,FPL0901002,UAM0051,a4,4,4,1,성수,성수,여의도,여의도,7,gate-7,fato-2,gate-4,fato-3,07:08:28,07:18:08,07:23:47,07:30:37,07:40:37,580,339.22,410,1329.22,70,0,ready
