scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
4ab004e0af30,2026-06-20,FPL1705001,UAM0129,a2,2,2,1,수서,수서,목동,목동,6,gate-1,fato-1,gate-4,fato-3,06:30:00,06:37:30,06:45:55,06:52:45,07:02:45,450,505.01,410,1365.01,0,0,ready
4ab004e0af30,2026-06-20,FPL1714001,UAM0130,a2,2,2,1,수서,수서,가산,가산,6,gate-2,fato-2,gate-8,fato-4,06:30:00,06:38:10,06:46:06,06:52:56,07:02:56,490,476.98,410,1376.98,10,0,ready
4ab004e0af30,2026-06-20,FPL1708001,UAM0131,a4,4,4,1,수서,수서,사당,사당,6,gate-3,fato-1,gate-8,fato-4,06:30:00,06:43:30,06:48:16,06:55:06,07:05:06,810,286.87,410,1506.87,300,0,ready
4ab004e0af30,2026-06-20,FPL1716001,UAM0132,a4,4,4,1,수서,수서,망우,망우,6,gate-4,fato-2,gate-7,fato-4,06:30:00,06:44:10,06:51:02,06:58:40,07:08:40,850,412.45,457.87,1720.32,310,80.55,ready
4ab004e0af30,2026-06-20,FPL1705002,UAM0133,a6,6,6,1,수서,수서,목동,목동,6,gate-5,fato-1,gate-5,fato-3,06:30:00,06:49:30,07:05:29,07:13:49,07:23:49,1170,959.99,500,2629.99,720,454.98,ready
4ab004e0af30,2026-06-20,FPL1715001,UAM0134,a6,6,6,1,수서,수서,마곡,마곡,6,gate-6,fato-2,gate-7,fato-4,06:30:00,06:50:10,07:28:31,07:35:51,07:45:51,1210,2301.98,440,3951.98,730,87.98,ready
4ab004e0af30,2026-06-20,FPL1712001,UAM0135,a8,8,8,1,수서,수서,광화문,광화문,6,gate-7,fato-1,gate-1,fato-3,06:30:00,06:55:30,07:06:41,07:15:01,07:25:01,1530,671.98,500,2701.98,1020,178.93,ready
4ab004e0af30,2026-06-20,FPL1701001,UAM0136,a8,8,7,0.875,수서,수서,여의도,여의도,6,gate-8,fato-2,gate-4,fato-3,06:30:00,06:56:10,07:04:10,07:11:00,07:21:00,1570,480.96,410,2460.96,1030,0,ready
4ab004e0af30,2026-06-20,FPL1706001,UAM0025,a2,2,2,1,수서,수서,미아,미아,7,gate-4,fato-1,gate-4,fato-3,07:02:32,07:12:46,07:20:48,07:27:38,07:37:38,614.98,481.13,410,1506.11,74.98,0,ready
4ab004e0af30,2026-06-20,FPL1708002,UAM0106,a2,2,2,1,수서,수서,사당,사당,7,gate-8,fato-2,gate-4,fato-3,07:03:12,07:13:26,07:18:13,07:25:03,07:35:03,614.98,286.87,410,1311.84,74.98,0,ready
4ab004e0af30,2026-06-20,FPL1706002,UAM0043,a4,4,4,1,수서,수서,미아,미아,7,gate-3,fato-1,gate-3,fato-3,07:08:52,07:18:46,07:26:48,07:34:08,07:44:08,594.98,481.13,440,1516.11,84.98,0,ready
4ab004e0af30,2026-06-20,FPL1705003,UAM0109,a6,6,6,1,수서,수서,목동,목동,7,gate-7,fato-2,gate-5,fato-3,07:14:47,07:23:40,07:37:10,07:45:30,07:55:30,533.96,809.4,500,1843.36,23.96,304.4,ready
4ab004e0af30,2026-06-20,FPL1716002,UAM0005,a6,6,6,1,수서,수서,망우,망우,7,gate-2,fato-1,gate-4,fato-3,07:15:57,07:24:46,07:30:36,07:37:26,07:47:26,529.98,349.77,410,1289.75,49.98,0,ready
4ab004e0af30,2026-06-20,FPL1703001,UAM0021,a6,6,6,1,수서,수서,상암,상암,7,gate-6,fato-2,gate-1,fato-3,07:20:07,07:29:40,07:38:53,07:47:13,07:57:13,573.96,552.34,500,1626.3,93.96,0,ready
4ab004e0af30,2026-06-20,FPL1715002,UAM0008,a8,8,8,1,수서,수서,마곡,마곡,7,gate-4,fato-1,gate-4,fato-4,07:21:01,07:30:46,07:42:35,07:49:25,07:59:25,585.98,708.88,410,1704.86,45.98,0,ready
4ab004e0af30,2026-06-20,FPL1710001,UAM0032,a8,8,8,1,수서,수서,연신내,연신내,7,gate-8,fato-2,gate-4,fato-3,07:23:57,07:35:40,07:47:10,07:54:00,08:04:00,703.96,689.51,410,1803.46,163.96,0,ready
4ab004e0af30,2026-06-20,FPL1701002,UAM0119,a8,8,8,1,수서,수서,여의도,여의도,7,gate-1,fato-1,gate-4,fato-3,07:27:21,07:36:46,07:45:21,07:52:11,08:02:11,565.98,514.51,410,1490.49,115.98,33.56,ready
4ab004e0af30,2026-06-20,FPL1707001,UAM0080,a8,8,8,1,수서,수서,봉천,봉천,7,gate-5,fato-2,gate-3,fato-3,07:30:17,07:41:40,07:47:40,07:55:00,08:05:00,683.96,359.05,440,1483.01,233.96,0,ready
4ab004e0af30,2026-06-20,FPL1715003,UAM0026,a2,2,2,1,수서,수서,마곡,마곡,7,gate-3,fato-1,gate-5,fato-3,07:36:03,07:44:33,08:00:24,08:08:44,08:18:44,510,951.2,500,1961.2,0,242.32,ready
4ab004e0af30,2026-06-20,FPL1714002,UAM0093,a6,6,6,1,수서,수서,가산,가산,7,gate-4,fato-1,gate-7,fato-4,07:48:30,07:57:30,08:06:56,08:14:16,08:24:16,540,566.33,440,1546.33,0,89.35,ready
