scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
4ab004e0af30,2026-06-20,FPL0116001,UAM0001,a2,2,2,1,여의도,여의도,망우,망우,6,gate-1,fato-1,gate-4,fato-3,06:30:00,06:37:30,06:45:50,06:52:40,07:02:40,450,500.32,410,1360.32,0,0,ready
4ab004e0af30,2026-06-20,FPL0115001,UAM0002,a2,2,2,1,여의도,여의도,마곡,마곡,6,gate-2,fato-2,gate-4,fato-3,06:30:00,06:38:10,06:43:49,06:50:39,07:00:39,490,339.49,410,1239.49,10,0,ready
4ab004e0af30,2026-06-20,FPL0102001,UAM0003,a4,4,4,1,여의도,여의도,잠실,잠실,6,gate-3,fato-1,gate-2,fato-4,06:30:00,06:43:30,06:54:16,07:02:26,07:12:26,810,646.19,490.63,1946.82,300,199.48,ready
4ab004e0af30,2026-06-20,FPL0109001,UAM0004,a4,4,4,1,여의도,여의도,성수,성수,6,gate-4,fato-2,gate-3,fato-3,06:30:00,06:44:10,06:49:49,06:57:09,07:07:09,850,339.22,440,1629.22,310,0,ready
4ab004e0af30,2026-06-20,FPL0117001,UAM0005,a6,6,6,1,여의도,여의도,수서,수서,6,gate-5,fato-1,gate-2,fato-4,06:30:00,06:49:30,06:57:30,07:05:56,07:15:56,1170,480.96,506.02,2156.98,720,36.02,ready
4ab004e0af30,2026-06-20,FPL0116002,UAM0006,a6,6,6,1,여의도,여의도,망우,망우,6,gate-6,fato-2,gate-1,fato-3,06:30:00,06:50:10,07:00:30,07:08:50,07:18:50,1210,620.92,500,2330.92,730,120.6,ready
4ab004e0af30,2026-06-20,FPL0111001,UAM0007,a8,8,8,1,여의도,여의도,천호,천호,6,gate-7,fato-1,gate-8,fato-4,06:30:00,06:55:30,07:05:55,07:12:45,07:22:45,1530,625.6,410,2565.6,1020,117.6,ready
4ab004e0af30,2026-06-20,FPL0117002,UAM0008,a8,8,4,0.5,여의도,여의도,수서,수서,6,gate-8,fato-2,gate-4,fato-4,06:30:00,06:56:10,07:04:10,07:11:00,07:21:00,1570,480.96,410,2460.96,1030,0,ready
4ab004e0af30,2026-06-20,FPL0115002,UAM0121,a2,2,2,1,여의도,여의도,마곡,마곡,7,gate-4,fato-1,gate-5,fato-4,07:02:41,07:11:41,07:18:51,07:27:11,07:37:11,540,430.98,500,1470.98,0,27.98,ready
4ab004e0af30,2026-06-20,FPL0106001,UAM0082,a2,2,2,1,여의도,여의도,미아,미아,7,gate-8,fato-2,gate-8,fato-4,07:03:21,07:12:21,07:22:14,07:29:04,07:39:04,540,593.93,410,1543.93,0,0,ready
