scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
4ab004e0af30,2026-06-20,FPL1002001,UAM0073,a2,2,2,1,연신내,연신내,잠실,잠실,6,gate-1,fato-1,gate-8,fato-3,06:30:00,06:37:30,06:49:06,06:55:56,07:05:56,450,696.82,410,1556.82,0,0,ready
4ab004e0af30,2026-06-20,FPL1008001,UAM0074,a2,2,2,1,연신내,연신내,사당,사당,6,gate-2,fato-2,gate-4,fato-3,06:30:00,06:38:10,06:46:07,06:52:57,07:02:57,490,477.34,410,1377.34,10,0,ready
4ab004e0af30,2026-06-20,FPL1015001,UAM0075,a4,4,4,1,연신내,연신내,마곡,마곡,6,gate-3,fato-1,gate-2,fato-3,06:30:00,06:43:30,06:53:29,07:01:19,07:11:19,810,599.49,470,1879.49,300,262.48,ready
4ab004e0af30,2026-06-20,FPL1015002,UAM0076,a4,4,4,1,연신내,연신내,마곡,마곡,6,gate-4,fato-2,gate-6,fato-4,06:30:00,06:44:10,06:54:41,07:02:31,07:12:31,850,631.98,470,1951.98,310,294.98,ready
4ab004e0af30,2026-06-20,FPL1013001,UAM0077,a6,6,6,1,연신내,연신내,강남,강남,6,gate-5,fato-1,gate-3,fato-3,06:30:00,06:49:30,06:57:58,07:05:18,07:15:18,1170,508.09,440,2118.09,720,0,ready
4ab004e0af30,2026-06-20,FPL1011001,UAM0078,a6,6,6,1,연신내,연신내,천호,천호,6,gate-6,fato-2,gate-6,fato-4,06:30:00,06:50:10,07:15:35,07:23:25,07:33:25,1210,1525.6,470,3205.6,730,55.6,ready
4ab004e0af30,2026-06-20,FPL1009001,UAM0079,a8,8,7,0.875,연신내,연신내,성수,성수,6,gate-7,fato-1,gate-8,fato-3,06:30:00,06:55:30,07:07:41,07:14:31,07:24:31,1530,731.35,410,2671.35,1020,152.83,ready
4ab004e0af30,2026-06-20,FPL1017001,UAM0080,a8,8,7,0.875,연신내,연신내,수서,수서,6,gate-8,fato-2,gate-5,fato-3,06:30:00,06:56:10,07:11:56,07:20:16,07:30:16,1570,946.98,500,3016.98,1030,257.47,ready
4ab004e0af30,2026-06-20,FPL1007001,UAM0058,a2,2,2,1,연신내,연신내,봉천,봉천,7,gate-4,fato-1,gate-8,fato-4,07:02:58,07:11:58,07:18:52,07:25:42,07:35:42,540,414.28,410,1364.28,0,0,ready
4ab004e0af30,2026-06-20,FPL1009002,UAM0010,a2,2,2,1,연신내,연신내,성수,성수,7,gate-8,fato-2,gate-8,fato-4,07:06:37,07:15:37,07:25:34,07:32:24,07:42:24,540,597.49,410,1547.49,0,18.97,ready
4ab004e0af30,2026-06-20,FPL1013002,UAM0054,a6,6,6,1,연신내,연신내,강남,강남,7,gate-3,fato-1,gate-7,fato-4,07:14:25,07:22:55,07:31:23,07:38:43,07:48:43,510,508.09,440,1458.09,0,0,ready
4ab004e0af30,2026-06-20,FPL1011002,UAM0069,a6,6,6,1,연신내,연신내,천호,천호,7,gate-4,fato-1,gate-2,fato-3,07:46:25,07:55:25,08:10:25,08:18:15,08:28:15,540,900.18,470,1910.18,0,51.18,ready
4ab004e0af30,2026-06-20,FPL1014001,UAM0072,a8,8,8,1,연신내,연신내,가산,가산,7,gate-8,fato-1,gate-6,fato-4,07:57:15,08:06:40,08:13:18,08:21:08,08:31:08,565.46,397.78,470,1433.24,25.46,0,ready
4ab004e0af30,2026-06-20,FPL1002002,UAM0115,a4,4,4,1,연신내,연신내,잠실,잠실,8,gate-3,fato-2,gate-4,fato-4,08:02:34,08:11:04,08:22:40,08:29:30,08:39:30,510,696.82,410,1616.82,0,0,ready
4ab004e0af30,2026-06-20,FPL1007002,UAM0032,a8,8,8,1,연신내,연신내,봉천,봉천,8,gate-4,fato-1,gate-2,fato-3,08:04:01,08:13:01,08:21:43,08:29:33,08:39:33,540,522.65,470,1532.65,0,108.37,ready
4ab004e0af30,2026-06-20,FPL1017002,UAM0040,a8,8,8,1,연신내,연신내,수서,수서,8,gate-7,fato-2,gate-4,fato-3,08:07:24,08:17:04,08:28:33,08:35:23,08:45:23,580,689.51,410,1679.51,70,0,ready
4ab004e0af30,2026-06-20,FPL1011003,UAM0098,a2,2,2,1,연신내,연신내,천호,천호,8,gate-2,fato-1,gate-2,fato-3,08:09:51,08:19:01,08:31:14,08:39:04,08:49:04,550,733.71,470,1753.71,70,0,ready
