scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
4ab004e0af30,2026-06-20,FPL0417001,UAM0025,a2,2,2,1,용산,용산,수서,수서,6,gate-1,fato-1,gate-4,fato-3,06:30:00,06:37:30,06:45:41,06:52:31,07:02:31,450,491.46,410,1351.46,0,0,ready
4ab004e0af30,2026-06-20,FPL0416001,UAM0026,a2,2,2,1,용산,용산,망우,망우,6,gate-2,fato-2,gate-8,fato-4,06:30:00,06:38:10,06:46:12,06:53:20,07:03:20,490,482.45,427.87,1400.32,10,17.87,ready
4ab004e0af30,2026-06-20,FPL0411001,UAM0027,a4,4,4,1,용산,용산,천호,천호,6,gate-3,fato-1,gate-1,fato-3,06:30:00,06:43:30,06:57:55,07:06:15,07:16:15,810,865.18,500,2175.18,300,388.64,ready
4ab004e0af30,2026-06-20,FPL0415001,UAM0028,a4,4,2,0.5,용산,용산,마곡,마곡,6,gate-4,fato-2,gate-5,fato-4,06:30:00,06:44:10,06:59:31,07:07:51,07:17:51,850,921.98,500,2271.98,310,531.23,ready
4ab004e0af30,2026-06-20,FPL0416002,UAM0029,a6,6,2,0.3333,용산,용산,망우,망우,6,gate-5,fato-1,gate-6,fato-4,06:30:00,06:49:30,06:57:32,07:05:22,07:15:22,1170,482.45,470,2122.45,720,0,ready
4ab004e0af30,2026-06-20,FPL0406001,UAM0030,a6,6,2,0.3333,용산,용산,미아,미아,6,gate-6,fato-2,gate-7,fato-4,06:30:00,06:50:10,06:59:46,07:07:06,07:17:06,1210,576.06,440,2226.06,730,0,ready
4ab004e0af30,2026-06-20,FPL0411002,UAM0031,a8,8,2,0.25,용산,용산,천호,천호,6,gate-7,fato-1,gate-3,fato-3,06:30:00,06:55:30,07:07:35,07:14:55,07:24:55,1530,725.18,440,2695.18,1020,87.18,ready
4ab004e0af30,2026-06-20,FPL0417002,UAM0032,a8,8,1,0.125,용산,용산,수서,수서,6,gate-8,fato-2,gate-8,fato-3,06:30:00,06:56:10,07:07:06,07:13:56,07:23:56,1570,656.98,410,2636.98,1030,165.51,ready
4ab004e0af30,2026-06-20,FPL0411003,UAM0042,a2,2,2,1,용산,용산,천호,천호,7,gate-4,fato-1,gate-3,fato-3,07:04:37,07:13:37,07:26:55,07:34:15,07:44:15,540,798.18,440,1778.18,0,87.18,ready
4ab004e0af30,2026-06-20,FPL0411004,UAM0099,a4,4,4,1,용산,용산,천호,천호,7,gate-4,fato-1,gate-3,fato-3,07:43:22,07:52:22,08:05:35,08:12:55,08:22:55,540,793.18,440,1773.18,0,87.18,ready
4ab004e0af30,2026-06-20,FPL0417003,UAM0125,a6,6,6,1,용산,용산,수서,수서,8,gate-4,fato-1,gate-3,fato-4,08:21:01,08:30:01,08:38:12,08:45:32,08:55:32,540,491.46,440,1471.46,0,0,ready
4ab004e0af30,2026-06-20,FPL0416003,UAM0022,a6,6,6,1,용산,용산,망우,망우,8,gate-8,fato-1,gate-3,fato-3,08:37:22,08:46:22,08:55:10,09:02:30,09:12:30,540,528.92,440,1508.92,0,46.47,ready
4ab004e0af30,2026-06-20,FPL0415002,UAM0120,a8,8,8,1,용산,용산,마곡,마곡,8,gate-4,fato-1,gate-7,fato-4,08:55:22,09:04:22,09:12:55,09:20:32,09:30:32,540,513.63,456.86,1510.49,0,139.74,ready
4ab004e0af30,2026-06-20,FPL0411005,UAM0089,a2,2,2,1,용산,용산,천호,천호,9,gate-8,fato-1,gate-3,fato-3,09:01:22,09:10:22,09:28:07,09:36:08,09:46:08,540,1065.77,480.23,2086,0,246,ready
4ab004e0af30,2026-06-20,FPL0417004,UAM0066,a2,2,2,1,용산,용산,수서,수서,9,gate-3,fato-1,gate-3,fato-4,09:08:30,09:17:00,09:25:11,09:32:31,09:42:31,510,491.46,440,1441.46,0,0,ready
4ab004e0af30,2026-06-20,FPL0411006,UAM0087,a8,8,8,1,용산,용산,천호,천호,9,gate-4,fato-1,gate-1,fato-3,09:33:01,09:42:01,10:01:57,10:11:48,10:21:48,540,1196.77,590.23,2327,0,436,ready
4ab004e0af30,2026-06-20,FPL0415003,UAM0048,a8,8,8,1,용산,용산,마곡,마곡,9,gate-4,fato-1,gate-2,fato-4,09:59:03,10:08:03,10:16:28,10:26:02,10:36:02,540,505.98,573.02,1619,0,150,ready
4ab004e0af30,2026-06-20,FPL0415004,UAM0046,a6,6,6,1,용산,용산,마곡,마곡,10,gate-4,fato-1,gate-7,fato-3,10:39:35,10:48:35,11:04:15,11:11:35,11:21:35,540,941,440,1921,0,490,ready
4ab004e0af30,2026-06-20,FPL0417005,UAM0051,a4,4,4,1,용산,용산,수서,수서,10,gate-8,fato-1,gate-8,fato-4,10:55:22,11:05:11,11:13:23,11:20:13,11:30:13,589.72,491.46,410,1491.18,49.72,0,ready
4ab004e0af30,2026-06-20,FPL0406002,UAM0036,a4,4,4,1,용산,용산,미아,미아,10,gate-4,fato-2,gate-7,fato-4,10:57:01,11:06:01,11:21:04,11:28:27,11:38:27,540,903.07,443.43,1886.5,0,87.5,ready
4ab004e0af30,2026-06-20,FPL0415005,UAM0112,a8,8,8,1,용산,용산,마곡,마곡,11,gate-3,fato-1,gate-3,fato-3,11:00:42,11:11:11,11:24:39,11:32:20,11:42:20,629.72,807.93,460.35,1898,119.72,375,ready
4ab004e0af30,2026-06-20,FPL0411007,UAM0105,a2,2,2,1,용산,용산,천호,천호,11,gate-7,fato-2,gate-4,fato-4,11:07:52,11:16:22,11:29:58,11:38:18,11:48:18,510,816,500,1826,0,399,ready
4ab004e0af30,2026-06-20,FPL0411008,UAM0006,a6,6,6,1,용산,용산,천호,천호,11,gate-2,fato-1,gate-1,fato-3,11:11:13,11:19:13,11:34:48,11:47:48,11:57:48,480,935,780,2195,0,308,ready
