scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
4ab004e0af30,2026-06-20,FPL0212001,UAM0009,a2,2,2,1,잠실,잠실,광화문,광화문,6,gate-1,fato-1,gate-8,fato-4,06:30:00,06:37:30,06:45:01,06:51:51,07:01:51,450,451.05,410,1311.05,0,0,ready
4ab004e0af30,2026-06-20,FPL0210001,UAM0010,a2,2,2,1,잠실,잠실,연신내,연신내,6,gate-2,fato-2,gate-8,fato-4,06:30:00,06:38:10,06:49:46,06:56:36,07:06:36,490,696.82,410,1596.82,10,0,ready
4ab004e0af30,2026-06-20,FPL0201001,UAM0011,a4,4,4,1,잠실,잠실,여의도,여의도,6,gate-3,fato-1,gate-3,fato-3,06:30:00,06:43:30,06:51:17,06:58:37,07:08:37,810,467.33,440,1717.33,300,0,ready
4ab004e0af30,2026-06-20,FPL0203001,UAM0012,a4,4,4,1,잠실,잠실,상암,상암,6,gate-4,fato-2,gate-7,fato-3,06:30:00,06:44:10,06:54:00,07:01:26,07:11:26,850,590.18,446.36,1886.54,310,36.89,ready
4ab004e0af30,2026-06-20,FPL0205001,UAM0013,a6,6,6,1,잠실,잠실,목동,목동,6,gate-5,fato-1,gate-4,fato-4,06:30:00,06:49:30,07:06:09,07:12:59,07:22:59,1170,999.99,410,2579.99,720,171.99,ready
4ab004e0af30,2026-06-20,FPL0205002,UAM0014,a6,6,6,1,잠실,잠실,목동,목동,6,gate-6,fato-2,gate-8,fato-3,06:30:00,06:50:10,07:10:19,07:17:09,07:27:09,1210,1209.99,410,2829.99,730,117.99,ready
4ab004e0af30,2026-06-20,FPL0207001,UAM0015,a8,8,8,1,잠실,잠실,봉천,봉천,6,gate-7,fato-1,gate-3,fato-3,06:30:00,06:55:30,07:01:39,07:08:59,07:18:59,1530,369.63,440,2339.63,1020,3.27,ready
4ab004e0af30,2026-06-20,FPL0215001,UAM0016,a8,8,8,1,잠실,잠실,마곡,마곡,6,gate-8,fato-2,gate-2,fato-3,06:30:00,06:56:10,07:12:49,07:20:39,07:30:39,1570,999.49,470,3039.49,1030,55.49,ready
4ab004e0af30,2026-06-20,FPL0215002,UAM0049,a2,2,2,1,잠실,잠실,마곡,마곡,7,gate-4,fato-1,gate-8,fato-4,07:00:27,07:09:27,07:23:41,07:30:31,07:40:31,540,854.98,410,1804.98,0,117.98,ready
4ab004e0af30,2026-06-20,FPL0203002,UAM0073,a2,2,2,1,잠실,잠실,상암,상암,7,gate-8,fato-2,gate-3,fato-4,07:05:57,07:14:57,07:24:16,07:31:39,07:41:39,540,559.65,442.37,1542.02,0,2.37,ready
