scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
4ab004e0af30,2026-06-20,FPL1114001,UAM0081,a2,2,2,1,천호,천호,가산,가산,6,gate-1,fato-1,gate-7,fato-4,06:30:00,06:37:30,06:50:56,06:58:16,07:08:16,450,806.98,440,1696.98,0,183.46,ready
4ab004e0af30,2026-06-20,FPL1101001,UAM0082,a2,2,2,1,천호,천호,여의도,여의도,6,gate-2,fato-2,gate-8,fato-4,06:30:00,06:38:10,06:46:24,06:53:20,07:03:20,490,494.41,415.91,1400.32,10,5.91,ready
4ab004e0af30,2026-06-20,FPL1103001,UAM0083,a4,4,4,1,천호,천호,상암,상암,6,gate-3,fato-1,gate-3,fato-4,06:30:00,06:43:30,06:53:26,07:00:46,07:10:46,810,596.54,440,1846.54,300,0,ready
4ab004e0af30,2026-06-20,FPL1105001,UAM0084,a4,4,4,1,천호,천호,목동,목동,6,gate-4,fato-2,gate-7,fato-3,06:30:00,06:44:10,06:55:49,07:03:09,07:13:09,850,699.99,440,1989.99,310,94.81,ready
4ab004e0af30,2026-06-20,FPL1107001,UAM0085,a6,6,6,1,천호,천호,봉천,봉천,6,gate-5,fato-1,gate-8,fato-4,06:30:00,06:49:30,06:57:55,07:04:45,07:14:45,1170,505.6,410,2085.6,720,0,ready
4ab004e0af30,2026-06-20,FPL1112001,UAM0086,a6,6,6,1,천호,천호,광화문,광화문,6,gate-6,fato-2,gate-6,fato-4,06:30:00,06:50:10,06:57:13,07:05:31,07:15:31,1210,423.94,498.05,2131.98,730,28.05,ready
4ab004e0af30,2026-06-20,FPL1114002,UAM0087,a8,8,8,1,천호,천호,가산,가산,6,gate-7,fato-1,gate-1,fato-3,06:30:00,06:55:30,07:06:22,07:15:06,07:25:06,1530,652.33,524.43,2706.76,1020,53.24,ready
4ab004e0af30,2026-06-20,FPL1105002,UAM0088,a8,8,8,1,천호,천호,목동,목동,6,gate-8,fato-2,gate-7,fato-3,06:30:00,06:56:10,07:15:09,07:22:29,07:32:29,1570,1139.99,440,3149.99,1030,87.99,ready
4ab004e0af30,2026-06-20,FPL1107002,UAM0098,a2,2,2,1,천호,천호,봉천,봉천,6,gate-4,fato-1,gate-4,fato-3,06:59:48,07:08:48,07:17:13,07:24:03,07:34:03,540,505.6,410,1455.6,0,0,ready
4ab004e0af30,2026-06-20,FPL1105003,UAM0050,a2,2,2,1,천호,천호,목동,목동,7,gate-8,fato-2,gate-2,fato-3,07:03:26,07:12:35,07:22:40,07:30:30,07:40:30,549.18,605.18,470,1624.36,9.18,0,ready
