type,vertiport_id,vertiport,bucket,value,description
departure_wait,천호,천호,departure,1455.9,평균 출발 절차 대기시간(sec)
departure_wait,마곡,마곡,departure,1260.5,평균 출발 절차 대기시간(sec)
departure_wait,용산,용산,departure,365.7,평균 출발 절차 대기시간(sec)
departure_wait,목동,목동,departure,294.7,평균 출발 절차 대기시간(sec)
arrival_wait,천호,천호,arrival,292.6,평균 도착 절차 대기시간(sec)
unserved_demand,강남,강남,09:00,269,시간대 미처리 수요 269명
unserved_demand,강남,강남,11:00,252,시간대 미처리 수요 252명
unserved_demand,목동,목동,10:00,249,시간대 미처리 수요 249명
unserved_demand,강남,강남,07:00,247,시간대 미처리 수요 247명
unserved_demand,강남,강남,08:00,236,시간대 미처리 수요 236명
unserved_demand,강남,강남,14:00,227,시간대 미처리 수요 227명
unserved_demand,강남,강남,17:00,223,시간대 미처리 수요 223명
unserved_demand,목동,목동,17:00,222,시간대 미처리 수요 222명
unserved_demand,강남,강남,15:00,221,시간대 미처리 수요 221명
unserved_demand,강남,강남,16:00,216,시간대 미처리 수요 216명
unserved_demand,천호,천호,08:00,213,시간대 미처리 수요 213명
unserved_demand,강남,강남,12:00,211,시간대 미처리 수요 211명
departure_wait,상암,상암,departure,207.3,평균 출발 절차 대기시간(sec)
arrival_wait,마곡,마곡,arrival,181.8,평균 도착 절차 대기시간(sec)
departure_wait,봉천,봉천,departure,155,평균 출발 절차 대기시간(sec)
departure_wait,망우,망우,departure,149.2,평균 출발 절차 대기시간(sec)
departure_wait,미아,미아,departure,149,평균 출발 절차 대기시간(sec)
departure_wait,강남,강남,departure,147.3,평균 출발 절차 대기시간(sec)
arrival_wait,잠실,잠실,arrival,145.6,평균 도착 절차 대기시간(sec)
