hour,hour_label,vertiport_id,vertiport,requested,processed,unserved,processing_rate,flight_count,avg_load_factor,avg_gate_to_gate_sec,avg_departure_wait_sec,avg_arrival_wait_sec
6,06:00,가산,가산,75,40,35,0.5333,8,1,2412.875,588.5714285714286,152.454
6,06:00,강남,강남,120,40,80,0.3333,8,1,2306.21875,588.5714285714286,89.6775
6,06:00,광화문,광화문,62,40,22,0.6452,9,0.9722222222222222,2026.6966666666667,588.5714285714286,180.718
6,06:00,마곡,마곡,101,40,61,0.396,8,1,2510.62125,588.5714285714286,167.258
6,06:00,망우,망우,57,33,24,0.5789,8,0.8854125,2081.42,588.5714285714286,104.14333333333333
6,06:00,목동,목동,121,40,81,0.3306,8,1,2122.2200000000003,588.5714285714286,344.005
6,06:00,미아,미아,65,40,25,0.6154,8,1,2123.675,588.5714285714286,230.60000000000002
6,06:00,봉천,봉천,46,36,10,0.7826,8,0.9375,2087.1125,588.5714285714286,100.71200000000002
6,06:00,사당,사당,54,36,18,0.6667,8,0.9375,2129.96875,588.5714285714286,227.4
6,06:00,상암,상암,38,32,6,0.8421,8,0.8697875,2173.36875,588.5714285714286,247.03833333333338
6,06:00,성수,성수,62,40,22,0.6452,9,0.9722222222222222,1966.8977777777775,588.5714285714286,94.6125
6,06:00,수서,수서,75,39,36,0.52,8,0.984375,2214.2612499999996,588.5714285714286,200.61
6,06:00,여의도,여의도,47,36,11,0.766,8,0.9375,1961.2887500000002,588.5714285714286,118.42500000000001
6,06:00,연신내,연신내,71,38,33,0.5352,8,0.96875,2222.20625,588.5714285714286,204.67200000000003
6,06:00,용산,용산,17,17,0,1,8,0.5677,2109.95125,588.5714285714286,238.086
6,06:00,잠실,잠실,85,40,45,0.4706,8,1,2162.6049999999996,588.5714285714286,77.126
6,06:00,천호,천호,128,42,86,0.3281,9,1,2051.5288888888886,588.5714285714286,75.57666666666667
7,07:00,가산,가산,201,72,129,0.3582,14,1,1573.4599999999998,79.10444444444443,155.28400000000002
7,07:00,강남,강남,339,92,247,0.2714,15,1,1563.0439999999996,87.43555555555557,90.68714285714285
7,07:00,광화문,광화문,182,62,120,0.3407,13,1,1539.166923076923,74.081,95.58624999999999
