vertiport_id,vertiport,phase,resource_type,resource_id,fpl_id,aircraft_id,state,description,start_sec,end_sec,start_time,end_time,duration_sec
여의도,여의도,departure,fato,fato-1,FPL0116001,UAM0001,procedure,engine start,23570,23810,06:32:50,06:36:50,240
잠실,잠실,departure,fato,fato-1,FPL0212001,UAM0009,procedure,engine start,23570,23810,06:32:50,06:36:50,240
상암,상암,departure,fato,fato-1,FPL0313001,UAM0017,procedure,engine start,23570,23810,06:32:50,06:36:50,240
용산,용산,departure,fato,fato-1,FPL0417001,UAM0025,procedure,engine start,23570,23810,06:32:50,06:36:50,240
목동,목동,departure,fato,fato-1,FPL0506001,UAM0033,procedure,engine start,23570,23810,06:32:50,06:36:50,240
미아,미아,departure,fato,fato-1,FPL0609001,UAM0041,procedure,engine start,23570,23810,06:32:50,06:36:50,240
봉천,봉천,departure,fato,fato-1,FPL0702001,UAM0049,procedure,engine start,23570,23810,06:32:50,06:36:50,240
사당,사당,departure,fato,fato-1,FPL0815001,UAM0057,procedure,engine start,23570,23810,06:32:50,06:36:50,240
성수,성수,departure,fato,fato-1,FPL0915001,UAM0065,procedure,engine start,23570,23810,06:32:50,06:36:50,240
연신내,연신내,departure,fato,fato-1,FPL1002001,UAM0073,procedure,engine start,23570,23810,06:32:50,06:36:50,240
천호,천호,departure,fato,fato-1,FPL1114001,UAM0081,procedure,engine start,23570,23810,06:32:50,06:36:50,240
광화문,광화문,departure,fato,fato-1,FPL1214001,UAM0089,procedure,engine start,23570,23810,06:32:50,06:36:50,240
강남,강남,departure,fato,fato-1,FPL1303001,UAM0097,procedure,engine start,23570,23810,06:32:50,06:36:50,240
가산,가산,departure,fato,fato-1,FPL1409001,UAM0105,procedure,engine start,23570,23810,06:32:50,06:36:50,240
마곡,마곡,departure,fato,fato-1,FPL1502001,UAM0113,procedure,engine start,23570,23810,06:32:50,06:36:50,240
망우,망우,departure,fato,fato-1,FPL1601001,UAM0121,procedure,engine start,23570,23810,06:32:50,06:36:50,240
수서,수서,departure,fato,fato-1,FPL1705001,UAM0129,procedure,engine start,23570,23810,06:32:50,06:36:50,240
여의도,여의도,departure,fato,fato-2,FPL0115001,UAM0002,procedure,engine start,23610,23850,06:33:30,06:37:30,240
잠실,잠실,departure,fato,fato-2,FPL0210001,UAM0010,procedure,engine start,23610,23850,06:33:30,06:37:30,240
상암,상암,departure,fato,fato-2,FPL0316001,UAM0018,procedure,engine start,23610,23850,06:33:30,06:37:30,240
용산,용산,departure,fato,fato-2,FPL0416001,UAM0026,procedure,engine start,23610,23850,06:33:30,06:37:30,240
목동,목동,departure,fato,fato-2,FPL0511001,UAM0034,procedure,engine start,23610,23850,06:33:30,06:37:30,240
미아,미아,departure,fato,fato-2,FPL0604001,UAM0042,procedure,engine start,23610,23850,06:33:30,06:37:30,240
봉천,봉천,departure,fato,fato-2,FPL0711001,UAM0050,procedure,engine start,23610,23850,06:33:30,06:37:30,240
사당,사당,departure,fato,fato-2,FPL0810001,UAM0058,procedure,engine start,23610,23850,06:33:30,06:37:30,240
성수,성수,departure,fato,fato-2,FPL0914001,UAM0066,procedure,engine start,23610,23850,06:33:30,06:37:30,240
연신내,연신내,departure,fato,fato-2,FPL1008001,UAM0074,procedure,engine start,23610,23850,06:33:30,06:37:30,240
천호,천호,departure,fato,fato-2,FPL1101001,UAM0082,procedure,engine start,23610,23850,06:33:30,06:37:30,240
광화문,광화문,departure,fato,fato-2,FPL1215001,UAM0090,procedure,engine start,23610,23850,06:33:30,06:37:30,240
강남,강남,departure,fato,fato-2,FPL1311001,UAM0098,procedure,engine start,23610,23850,06:33:30,06:37:30,240
가산,가산,departure,fato,fato-2,FPL1417001,UAM0106,procedure,engine start,23610,23850,06:33:30,06:37:30,240
마곡,마곡,departure,fato,fato-2,FPL1511001,UAM0114,procedure,engine start,23610,23850,06:33:30,06:37:30,240
망우,망우,departure,fato,fato-2,FPL1612001,UAM0122,procedure,engine start,23610,23850,06:33:30,06:37:30,240
수서,수서,departure,fato,fato-2,FPL1714001,UAM0130,procedure,engine start,23610,23850,06:33:30,06:37:30,240
여의도,여의도,departure,fato,fato-1,FPL0102001,UAM0003,procedure,engine start,23930,24170,06:38:50,06:42:50,240
잠실,잠실,departure,fato,fato-1,FPL0201001,UAM0011,procedure,engine start,23930,24170,06:38:50,06:42:50,240
상암,상암,departure,fato,fato-1,FPL0311001,UAM0019,procedure,engine start,23930,24170,06:38:50,06:42:50,240
용산,용산,departure,fato,fato-1,FPL0411001,UAM0027,procedure,engine start,23930,24170,06:38:50,06:42:50,240
목동,목동,departure,fato,fato-1,FPL0502001,UAM0035,procedure,engine start,23930,24170,06:38:50,06:42:50,240
미아,미아,departure,fato,fato-1,FPL0617001,UAM0043,procedure,engine start,23930,24170,06:38:50,06:42:50,240
봉천,봉천,departure,fato,fato-1,FPL0709001,UAM0051,procedure,engine start,23930,24170,06:38:50,06:42:50,240
사당,사당,departure,fato,fato-1,FPL0803001,UAM0059,procedure,engine start,23930,24170,06:38:50,06:42:50,240
성수,성수,departure,fato,fato-1,FPL0905001,UAM0067,procedure,engine start,23930,24170,06:38:50,06:42:50,240
연신내,연신내,departure,fato,fato-1,FPL1015001,UAM0075,procedure,engine start,23930,24170,06:38:50,06:42:50,240
천호,천호,departure,fato,fato-1,FPL1103001,UAM0083,procedure,engine start,23930,24170,06:38:50,06:42:50,240
광화문,광화문,departure,fato,fato-1,FPL1202001,UAM0091,procedure,engine start,23930,24170,06:38:50,06:42:50,240
강남,강남,departure,fato,fato-1,FPL1311002,UAM0099,procedure,engine start,23930,24170,06:38:50,06:42:50,240
가산,가산,departure,fato,fato-1,FPL1411001,UAM0107,procedure,engine start,23930,24170,06:38:50,06:42:50,240
마곡,마곡,departure,fato,fato-1,FPL1502002,UAM0115,procedure,engine start,23930,24170,06:38:50,06:42:50,240
망우,망우,departure,fato,fato-1,FPL1612002,UAM0123,procedure,engine start,23930,24170,06:38:50,06:42:50,240
수서,수서,departure,fato,fato-1,FPL1708001,UAM0131,procedure,engine start,23930,24170,06:38:50,06:42:50,240
여의도,여의도,departure,fato,fato-2,FPL0109001,UAM0004,procedure,engine start,23970,24210,06:39:30,06:43:30,240
잠실,잠실,departure,fato,fato-2,FPL0203001,UAM0012,procedure,engine start,23970,24210,06:39:30,06:43:30,240
상암,상암,departure,fato,fato-2,FPL0311002,UAM0020,procedure,engine start,23970,24210,06:39:30,06:43:30,240
용산,용산,departure,fato,fato-2,FPL0415001,UAM0028,procedure,engine start,23970,24210,06:39:30,06:43:30,240
목동,목동,departure,fato,fato-2,FPL0513001,UAM0036,procedure,engine start,23970,24210,06:39:30,06:43:30,240
미아,미아,departure,fato,fato-2,FPL0608001,UAM0044,procedure,engine start,23970,24210,06:39:30,06:43:30,240
봉천,봉천,departure,fato,fato-2,FPL0715001,UAM0052,procedure,engine start,23970,24210,06:39:30,06:43:30,240
사당,사당,departure,fato,fato-2,FPL0811001,UAM0060,procedure,engine start,23970,24210,06:39:30,06:43:30,240
성수,성수,departure,fato,fato-2,FPL0905002,UAM0068,procedure,engine start,23970,24210,06:39:30,06:43:30,240
연신내,연신내,departure,fato,fato-2,FPL1015002,UAM0076,procedure,engine start,23970,24210,06:39:30,06:43:30,240
천호,천호,departure,fato,fato-2,FPL1105001,UAM0084,procedure,engine start,23970,24210,06:39:30,06:43:30,240
광화문,광화문,departure,fato,fato-2,FPL1202002,UAM0092,procedure,engine start,23970,24210,06:39:30,06:43:30,240
강남,강남,departure,fato,fato-2,FPL1306001,UAM0100,procedure,engine start,23970,24210,06:39:30,06:43:30,240
가산,가산,departure,fato,fato-2,FPL1415001,UAM0108,procedure,engine start,23970,24210,06:39:30,06:43:30,240
마곡,마곡,departure,fato,fato-2,FPL1512001,UAM0116,procedure,engine start,23970,24210,06:39:30,06:43:30,240
망우,망우,departure,fato,fato-2,FPL1605001,UAM0124,procedure,engine start,23970,24210,06:39:30,06:43:30,240
수서,수서,departure,fato,fato-2,FPL1716001,UAM0132,procedure,engine start,23970,24210,06:39:30,06:43:30,240
광화문,광화문,arrival,fato,fato-3,FPL1612001,UAM0122,fatoLock,fato lock,24165.95,24225.95,06:42:45,06:43:45,60
천호,천호,arrival,fato,fato-3,FPL1311001,UAM0098,fatoLock,fato lock,24177.68,24237.68,06:42:57,06:43:57,60
성수,성수,arrival,fato,fato-3,FPL0609001,UAM0041,fatoLock,fato lock,24188.07,24248.07,06:43:08,06:44:08,60
잠실,잠실,arrival,fato,fato-3,FPL0702001,UAM0049,fatoLock,fato lock,24216.36,24276.36,06:43:36,06:44:36,60
강남,강남,arrival,fato,fato-3,FPL0313001,UAM0017,fatoLock,fato lock,24220.93,24280.93,06:43:40,06:44:40,60
상암,상암,arrival,fato,fato-3,FPL1303001,UAM0097,fatoLock,fato lock,24220.93,24280.93,06:43:40,06:44:40,60
광화문,광화문,arrival,fato,fato-3,FPL1612001,UAM0122,procedure,engine stop,24225.95,24405.95,06:43:45,06:46:45,180
마곡,마곡,arrival,fato,fato-3,FPL0115001,UAM0002,fatoLock,fato lock,24229.49,24289.49,06:43:49,06:44:49,60
천호,천호,arrival,fato,fato-3,FPL1311001,UAM0098,procedure,engine stop,24237.68,24417.68,06:43:57,06:46:57,180
가산,가산,arrival,fato,fato-3,FPL1214001,UAM0089,fatoLock,fato lock,24242.33,24302.33,06:44:02,06:45:02,60
성수,성수,arrival,fato,fato-3,FPL0609001,UAM0041,procedure,engine stop,24248.07,24428.07,06:44:08,06:47:08,180
잠실,잠실,arrival,fato,fato-3,FPL0702001,UAM0049,procedure,engine stop,24276.36,24456.36,06:44:36,06:47:36,180
강남,강남,arrival,fato,fato-3,FPL0313001,UAM0017,procedure,engine stop,24280.93,24460.93,06:44:40,06:47:40,180
상암,상암,arrival,fato,fato-3,FPL1303001,UAM0097,procedure,engine stop,24280.93,24460.93,06:44:40,06:47:40,180
마곡,마곡,arrival,fato,fato-3,FPL0115001,UAM0002,procedure,engine stop,24289.49,24469.49,06:44:49,06:47:49,180
여의도,여의도,departure,fato,fato-1,FPL0117001,UAM0005,procedure,engine start,24290,24530,06:44:50,06:48:50,240
잠실,잠실,departure,fato,fato-1,FPL0205001,UAM0013,procedure,engine start,24290,24530,06:44:50,06:48:50,240
상암,상암,departure,fato,fato-1,FPL0317001,UAM0021,procedure,engine start,24290,24530,06:44:50,06:48:50,240
용산,용산,departure,fato,fato-1,FPL0416002,UAM0029,procedure,engine start,24290,24530,06:44:50,06:48:50,240
목동,목동,departure,fato,fato-1,FPL0502002,UAM0037,procedure,engine start,24290,24530,06:44:50,06:48:50,240
미아,미아,departure,fato,fato-1,FPL0615001,UAM0045,procedure,engine start,24290,24530,06:44:50,06:48:50,240
봉천,봉천,departure,fato,fato-1,FPL0716001,UAM0053,procedure,engine start,24290,24530,06:44:50,06:48:50,240
사당,사당,departure,fato,fato-1,FPL0805001,UAM0061,procedure,engine start,24290,24530,06:44:50,06:48:50,240
성수,성수,departure,fato,fato-1,FPL0907001,UAM0069,procedure,engine start,24290,24530,06:44:50,06:48:50,240
연신내,연신내,departure,fato,fato-1,FPL1013001,UAM0077,procedure,engine start,24290,24530,06:44:50,06:48:50,240
천호,천호,departure,fato,fato-1,FPL1107001,UAM0085,procedure,engine start,24290,24530,06:44:50,06:48:50,240
광화문,광화문,departure,fato,fato-1,FPL1208001,UAM0093,procedure,engine start,24290,24530,06:44:50,06:48:50,240
강남,강남,departure,fato,fato-1,FPL1311003,UAM0101,procedure,engine start,24290,24530,06:44:50,06:48:50,240
가산,가산,departure,fato,fato-1,FPL1417002,UAM0109,procedure,engine start,24290,24530,06:44:50,06:48:50,240
마곡,마곡,departure,fato,fato-1,FPL1509001,UAM0117,procedure,engine start,24290,24530,06:44:50,06:48:50,240
망우,망우,departure,fato,fato-1,FPL1615001,UAM0125,procedure,engine start,24290,24530,06:44:50,06:48:50,240
수서,수서,departure,fato,fato-1,FPL1705002,UAM0133,procedure,engine start,24290,24530,06:44:50,06:48:50,240
광화문,광화문,arrival,fato,fato-4,FPL0212001,UAM0009,fatoLock,fato lock,24301.05,24361.05,06:45:01,06:46:01,60
마곡,마곡,arrival,fato,fato-4,FPL1215001,UAM0090,fatoLock,fato lock,24301.98,24361.98,06:45:01,06:46:01,60
가산,가산,arrival,fato,fato-3,FPL1214001,UAM0089,procedure,engine stop,24302.33,24482.33,06:45:02,06:48:02,180
여의도,여의도,departure,fato,fato-2,FPL0116002,UAM0006,procedure,engine start,24330,24570,06:45:30,06:49:30,240
잠실,잠실,departure,fato,fato-2,FPL0205002,UAM0014,procedure,engine start,24330,24570,06:45:30,06:49:30,240
상암,상암,departure,fato,fato-2,FPL0308001,UAM0022,procedure,engine start,24330,24570,06:45:30,06:49:30,240
용산,용산,departure,fato,fato-2,FPL0406001,UAM0030,procedure,engine start,24330,24570,06:45:30,06:49:30,240
목동,목동,departure,fato,fato-2,FPL0508001,UAM0038,procedure,engine start,24330,24570,06:45:30,06:49:30,240
미아,미아,departure,fato,fato-2,FPL0609002,UAM0046,procedure,engine start,24330,24570,06:45:30,06:49:30,240
봉천,봉천,departure,fato,fato-2,FPL0710001,UAM0054,procedure,engine start,24330,24570,06:45:30,06:49:30,240
사당,사당,departure,fato,fato-2,FPL0805002,UAM0062,procedure,engine start,24330,24570,06:45:30,06:49:30,240
성수,성수,departure,fato,fato-2,FPL0906001,UAM0070,procedure,engine start,24330,24570,06:45:30,06:49:30,240
연신내,연신내,departure,fato,fato-2,FPL1011001,UAM0078,procedure,engine start,24330,24570,06:45:30,06:49:30,240
천호,천호,departure,fato,fato-2,FPL1112001,UAM0086,procedure,engine start,24330,24570,06:45:30,06:49:30,240
광화문,광화문,departure,fato,fato-2,FPL1214002,UAM0094,procedure,engine start,24330,24570,06:45:30,06:49:30,240
강남,강남,departure,fato,fato-2,FPL1316001,UAM0102,procedure,engine start,24330,24570,06:45:30,06:49:30,240
가산,가산,departure,fato,fato-2,FPL1415002,UAM0110,procedure,engine start,24330,24570,06:45:30,06:49:30,240
마곡,마곡,departure,fato,fato-2,FPL1512002,UAM0118,procedure,engine start,24330,24570,06:45:30,06:49:30,240
망우,망우,departure,fato,fato-2,FPL1614001,UAM0126,procedure,engine start,24330,24570,06:45:30,06:49:30,240
수서,수서,departure,fato,fato-2,FPL1715001,UAM0134,procedure,engine start,24330,24570,06:45:30,06:49:30,240
수서,수서,arrival,fato,fato-3,FPL0417001,UAM0025,fatoLock,fato lock,24341.46,24401.46,06:45:41,06:46:41,60
망우,망우,arrival,fato,fato-3,FPL0116001,UAM0001,fatoLock,fato lock,24350.32,24410.32,06:45:50,06:46:50,60
여의도,여의도,arrival,fato,fato-3,FPL1601001,UAM0121,fatoLock,fato lock,24350.32,24410.32,06:45:50,06:46:50,60
목동,목동,arrival,fato,fato-3,FPL1705001,UAM0129,fatoLock,fato lock,24355.01,24415.01,06:45:55,06:46:55,60
광화문,광화문,arrival,fato,fato-4,FPL0212001,UAM0009,procedure,engine stop,24361.05,24541.05,06:46:01,06:49:01,180
마곡,마곡,arrival,fato,fato-4,FPL1215001,UAM0090,procedure,engine stop,24361.98,24541.98,06:46:01,06:49:01,180
수서,수서,arrival,fato,fato-4,FPL1417001,UAM0106,fatoLock,fato lock,24366.98,24426.98,06:46:06,06:47:06,60
가산,가산,arrival,fato,fato-4,FPL1714001,UAM0130,fatoLock,fato lock,24366.98,24426.98,06:46:06,06:47:06,60
연신내,연신내,arrival,fato,fato-3,FPL0810001,UAM0058,fatoLock,fato lock,24367.34,24427.34,06:46:07,06:47:07,60
사당,사당,arrival,fato,fato-3,FPL1008001,UAM0074,fatoLock,fato lock,24367.34,24427.34,06:46:07,06:47:07,60
망우,망우,arrival,fato,fato-4,FPL0416001,UAM0026,fatoLock,fato lock,24372.45,24432.45,06:46:12,06:47:12,60
