scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
ce68cfea0bd5,2026-06-20,FPL1406001,UAM0105,a2,2,2,1,가산,가산,미아,미아,6,gate-1,fato-1,gate-3,fato-4,06:30:00,06:37:30,06:50:32,06:57:52,07:07:52,450,782.19,440,1672.19,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1411001,UAM0106,a2,2,2,1,가산,가산,천호,천호,6,gate-2,fato-2,gate-6,fato-4,06:30:00,06:38:10,06:55:06,07:02:56,07:12:56,490,1016.54,470,1976.54,10,393.02,ready
ce68cfea0bd5,2026-06-20,FPL1402001,UAM0107,a4,4,4,1,가산,가산,잠실,잠실,6,gate-3,fato-1,gate-7,fato-4,06:30:00,06:43:30,06:54:36,07:01:56,07:11:56,810,666.82,440,1916.82,300,182.53,ready
ce68cfea0bd5,2026-06-20,FPL1410001,UAM0108,a4,4,4,1,가산,가산,연신내,연신내,6,gate-4,fato-2,gate-2,fato-3,06:30:00,06:44:10,06:55:38,07:03:28,07:13:28,850,688.09,470,2008.09,310,290.31,ready
ce68cfea0bd5,2026-06-20,FPL1413001,UAM0109,a6,6,3,0.5,가산,가산,강남,강남,6,gate-5,fato-1,gate-6,fato-4,06:30:00,06:49:30,06:55:32,07:03:22,07:13:22,1170,362.77,470,2002.77,720,3.72,ready
ce68cfea0bd5,2026-06-20,FPL1417001,UAM0110,a6,6,3,0.5,가산,가산,수서,수서,6,gate-6,fato-2,gate-1,fato-3,06:30:00,06:50:10,07:02:20,07:10:40,07:20:40,1210,730.96,500,2440.96,730,253.98,ready
ce68cfea0bd5,2026-06-20,FPL1411002,UAM0111,a8,8,3,0.375,가산,가산,천호,천호,6,gate-7,fato-1,gate-7,fato-4,06:30:00,06:55:30,07:48:16,07:55:36,08:05:36,1530,3166.54,440,5136.54,1020,87.54,ready
ce68cfea0bd5,2026-06-20,FPL1412001,UAM0112,a8,8,2,0.25,가산,가산,광화문,광화문,6,gate-8,fato-2,gate-6,fato-4,06:30:00,06:56:10,07:02:42,07:10:32,07:20:32,1570,392.33,470,2432.33,1030,0,ready
ce68cfea0bd5,2026-06-20,FPL1413002,UAM0010,a2,2,2,1,가산,가산,강남,강남,7,gate-4,fato-1,gate-3,fato-4,07:03:05,07:12:05,07:18:04,07:25:24,07:35:24,540,359.06,440,1339.06,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1409001,UAM0012,a4,4,4,1,가산,가산,성수,성수,7,gate-8,fato-1,gate-8,fato-3,07:09:05,07:18:53,07:28:33,07:35:23,07:45:23,588.52,579.7,410,1578.22,48.52,52.21,ready
ce68cfea0bd5,2026-06-20,FPL1406002,UAM0084,a4,4,4,1,가산,가산,미아,미아,7,gate-3,fato-2,gate-7,fato-3,07:11:54,07:20:24,07:33:26,07:40:46,07:50:46,510,782.19,440,1732.19,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1412002,UAM0101,a6,6,6,1,가산,가산,광화문,광화문,7,gate-7,fato-1,gate-7,fato-4,07:14:25,07:24:53,07:31:25,07:38:45,07:48:45,628.52,392.33,440,1460.85,118.52,0,ready
ce68cfea0bd5,2026-06-20,FPL1413003,UAM0077,a6,6,6,1,가산,가산,강남,강남,7,gate-2,fato-2,gate-6,fato-3,07:17:14,07:26:24,07:32:23,07:40:13,07:50:13,550,359.06,470,1379.06,70,0,ready
ce68cfea0bd5,2026-06-20,FPL1410002,UAM0044,a4,4,4,1,가산,가산,연신내,연신내,7,gate-6,fato-1,gate-6,fato-3,07:19:45,07:30:53,07:38:40,07:46:30,07:56:30,668.52,467.1,470,1605.61,188.52,69.32,ready
ce68cfea0bd5,2026-06-20,FPL1411003,UAM0126,a6,6,6,1,가산,가산,천호,천호,7,gate-1,fato-2,gate-5,fato-4,07:22:34,07:32:24,08:17:16,08:26:13,08:36:13,590,2692.54,536.87,3819.41,140,65.41,ready
ce68cfea0bd5,2026-06-20,FPL1416001,UAM0034,a2,2,2,1,가산,가산,망우,망우,7,gate-4,fato-1,gate-6,fato-4,07:38:28,07:48:20,07:59:56,08:07:56,08:17:56,592.44,696.13,480.3,1768.86,127.52,39.67,ready
ce68cfea0bd5,2026-06-20,FPL1402002,UAM0059,a4,4,4,1,가산,가산,잠실,잠실,7,gate-8,fato-2,gate-8,fato-4,07:41:25,07:50:25,07:58:29,08:05:19,08:15:19,540,484.29,410,1434.29,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1409002,UAM0049,a2,2,2,1,가산,가산,성수,성수,7,gate-3,fato-1,gate-4,fato-3,07:45:04,07:54:20,08:03:08,08:09:58,08:19:58,556.52,527.49,410,1494.01,46.52,0,ready
ce68cfea0bd5,2026-06-20,FPL1411004,UAM0005,a6,6,6,1,가산,가산,천호,천호,7,gate-7,fato-2,gate-2,fato-3,07:49:43,07:58:13,08:11:43,08:19:33,08:29:33,510,810.41,470,1790.41,0,53.41,ready
ce68cfea0bd5,2026-06-20,FPL1417002,UAM0106,a2,2,2,1,가산,가산,수서,수서,7,gate-2,fato-1,gate-3,fato-3,07:51:31,08:00:20,08:08:17,08:15:37,08:25:37,529.52,476.98,440,1446.5,49.52,0,ready
ce68cfea0bd5,2026-06-20,FPL1413004,UAM0123,a4,4,4,1,가산,가산,강남,강남,7,gate-6,fato-2,gate-7,fato-3,07:55:03,08:04:13,08:11:28,08:18:48,08:28:48,550,435.71,440,1425.71,70,76.65,ready
ce68cfea0bd5,2026-06-20,FPL1417003,UAM0102,a6,6,6,1,가산,가산,수서,수서,7,gate-1,fato-1,gate-8,fato-3,07:56:51,08:06:20,08:14:17,08:21:07,08:31:07,569.52,476.98,410,1456.5,119.52,0,ready
ce68cfea0bd5,2026-06-20,FPL1415001,UAM0080,a8,8,5,0.625,가산,가산,마곡,마곡,7,gate-4,fato-2,gate-5,fato-4,07:58:53,08:10:13,08:19:51,08:28:11,08:38:11,680,578.72,500,1758.72,140,192.81,ready
