scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
ce68cfea0bd5,2026-06-20,FPL1310001,UAM0097,a2,2,2,1,강남,강남,연신내,연신내,6,gate-1,fato-1,gate-4,fato-3,06:30:00,06:37:30,06:45:58,06:52:48,07:02:48,450,508.09,410,1368.09,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1305001,UAM0098,a2,2,2,1,강남,강남,목동,목동,6,gate-2,fato-2,gate-8,fato-4,06:30:00,06:38:10,06:44:29,06:51:19,07:01:19,490,379.56,410,1279.56,10,0,ready
ce68cfea0bd5,2026-06-20,FPL1310002,UAM0099,a4,4,4,1,강남,강남,연신내,연신내,6,gate-3,fato-1,gate-6,fato-4,06:30:00,06:43:30,06:57:28,07:05:18,07:15:18,810,838.52,470,2118.52,300,330.43,ready
ce68cfea0bd5,2026-06-20,FPL1316001,UAM0100,a4,4,4,1,강남,강남,망우,망우,6,gate-4,fato-2,gate-8,fato-3,06:30:00,06:44:10,06:49:40,06:56:30,07:06:30,850,330.92,410,1590.92,310,0,ready
ce68cfea0bd5,2026-06-20,FPL1314001,UAM0101,a6,6,6,1,강남,강남,가산,가산,6,gate-5,fato-1,gate-7,fato-3,06:30:00,06:49:30,06:57:04,07:04:24,07:14:24,1170,454.29,440,2064.29,720,95.23,ready
ce68cfea0bd5,2026-06-20,FPL1316002,UAM0102,a6,6,6,1,강남,강남,망우,망우,6,gate-6,fato-2,gate-2,fato-4,06:30:00,06:50:10,06:59:11,07:07:01,07:17:01,1210,541.09,470,2221.09,730,210.17,ready
ce68cfea0bd5,2026-06-20,FPL1305002,UAM0103,a8,8,8,1,강남,강남,목동,목동,6,gate-7,fato-1,gate-3,fato-3,06:30:00,06:55:30,07:07:19,07:14:39,07:24:39,1530,709.99,440,2679.99,1020,95.99,ready
ce68cfea0bd5,2026-06-20,FPL1311001,UAM0104,a8,8,8,1,강남,강남,천호,천호,6,gate-8,fato-2,gate-8,fato-4,06:30:00,06:56:10,07:24:06,07:30:56,07:40:56,1570,1676.54,410,3656.54,1030,115.54,ready
ce68cfea0bd5,2026-06-20,FPL1315001,UAM0121,a2,2,2,1,강남,강남,마곡,마곡,6,gate-4,fato-1,gate-7,fato-3,06:59:51,07:10:12,07:19:07,07:26:27,07:36:27,621.77,535.2,440,1596.97,81.77,0,ready
ce68cfea0bd5,2026-06-20,FPL1303001,UAM0042,a2,2,2,1,강남,강남,상암,상암,7,gate-8,fato-2,gate-4,fato-3,07:02:43,07:11:43,07:17:53,07:24:43,07:34:43,540,370.93,410,1320.93,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1305003,UAM0019,a4,4,4,1,강남,강남,목동,목동,7,gate-3,fato-1,gate-8,fato-4,07:07:01,07:16:12,07:22:32,07:29:22,07:39:22,551.77,379.56,410,1341.33,41.77,0,ready
ce68cfea0bd5,2026-06-20,FPL1315002,UAM0035,a4,4,4,1,강남,강남,마곡,마곡,7,gate-7,fato-2,gate-8,fato-4,07:08:03,07:17:43,07:26:38,07:33:28,07:43:28,580,535.2,410,1525.2,70,0,ready
ce68cfea0bd5,2026-06-20,FPL1311002,UAM0115,a4,4,4,1,강남,강남,천호,천호,7,gate-2,fato-1,gate-6,fato-4,07:12:21,07:22:12,07:53:06,08:00:56,08:10:56,591.77,1853.77,470,2915.54,111.77,57.54,ready
ce68cfea0bd5,2026-06-20,FPL1311003,UAM0109,a6,6,6,1,강남,강남,천호,천호,7,gate-6,fato-2,gate-8,fato-4,07:13:23,07:23:43,07:43:26,07:50:16,08:00:16,620,1183.54,410,2213.54,140,117.54,ready
ce68cfea0bd5,2026-06-20,FPL1314002,UAM0080,a8,8,8,1,강남,강남,가산,가산,7,gate-4,fato-1,gate-4,fato-4,07:22:44,07:32:44,07:42:02,07:48:52,07:58:52,599.55,558.92,410,1568.48,135.06,199.87,ready
ce68cfea0bd5,2026-06-20,FPL1306001,UAM0098,a2,2,2,1,강남,강남,미아,미아,7,gate-8,fato-1,gate-4,fato-3,07:33:37,07:42:37,07:50:19,07:57:09,08:07:09,540,462.77,410,1412.77,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1310003,UAM0010,a2,2,2,1,강남,강남,연신내,연신내,7,gate-3,fato-2,gate-8,fato-3,07:35:25,07:43:55,07:52:23,07:59:13,08:09:13,510,508.09,410,1428.09,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1305004,UAM0050,a2,2,2,1,강남,강남,목동,목동,7,gate-4,fato-1,gate-7,fato-4,07:38:55,07:48:37,07:54:56,08:02:16,08:12:16,582,379.56,440,1401.56,42,0,ready
ce68cfea0bd5,2026-06-20,FPL1310004,UAM0130,a2,2,2,1,강남,강남,연신내,연신내,7,gate-7,fato-2,gate-7,fato-3,07:40:15,07:49:55,07:58:23,08:05:43,08:15:43,580,508.09,440,1528.09,70,0,ready
ce68cfea0bd5,2026-06-20,FPL1315003,UAM0036,a4,4,4,1,강남,강남,마곡,마곡,7,gate-2,fato-1,gate-4,fato-3,07:44:45,07:54:37,08:03:32,08:10:22,08:20:22,592,535.2,410,1537.2,112,0,ready
ce68cfea0bd5,2026-06-20,FPL1311004,UAM0077,a6,6,6,1,강남,강남,천호,천호,7,gate-6,fato-2,gate-7,fato-4,07:50:14,07:58:14,08:07:36,08:14:56,08:24:56,480,562.54,440,1482.54,0,85.54,ready
ce68cfea0bd5,2026-06-20,FPL1305005,UAM0053,a6,6,6,1,강남,강남,목동,목동,7,gate-4,fato-1,gate-7,fato-3,07:59:45,08:08:45,08:15:04,08:22:24,08:32:24,540,379.56,440,1359.56,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1314003,UAM0119,a8,8,8,1,강남,강남,가산,가산,8,gate-8,fato-2,gate-5,fato-4,08:00:33,08:09:33,08:15:32,08:23:52,08:33:52,540,359.06,500,1399.06,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1311005,UAM0103,a8,8,8,1,강남,강남,천호,천호,8,gate-3,fato-1,gate-6,fato-3,08:05:05,08:14:45,08:55:13,09:03:04,09:13:04,580,2428.41,470.59,3479,70,305,ready
ce68cfea0bd5,2026-06-20,FPL1311006,UAM0056,a8,8,8,1,강남,강남,천호,천호,8,gate-7,fato-2,gate-7,fato-4,08:08:42,08:17:12,08:26:56,08:34:16,08:44:16,510,584.54,440,1534.54,0,87.54,ready
ce68cfea0bd5,2026-06-20,FPL1315004,UAM0089,a2,2,2,1,강남,강남,마곡,마곡,8,gate-2,fato-1,gate-7,fato-4,08:10:25,08:20:45,08:29:40,08:37:00,08:47:00,620,535.2,440,1595.2,140,0,ready
ce68cfea0bd5,2026-06-20,FPL1305006,UAM0028,a4,4,4,1,강남,강남,목동,목동,8,gate-6,fato-2,gate-3,fato-3,08:15:12,08:23:12,08:32:12,08:39:32,08:49:32,480,540.18,440,1460.18,0,160.62,ready
ce68cfea0bd5,2026-06-20,FPL1311007,UAM0068,a4,4,4,1,강남,강남,천호,천호,8,gate-4,fato-1,gate-7,fato-3,08:18:39,08:27:39,08:50:23,08:57:43,09:07:43,540,1364.41,440,2344.41,0,335.41,ready
ce68cfea0bd5,2026-06-20,FPL1315005,UAM0032,a8,8,8,1,강남,강남,마곡,마곡,8,gate-8,fato-2,gate-5,fato-4,08:19:30,08:29:36,08:39:20,08:47:40,08:57:40,606.31,583.9,500,1690.2,66.31,37.2,ready
ce68cfea0bd5,2026-06-20,FPL1314004,UAM0125,a6,6,6,1,강남,강남,가산,가산,8,gate-1,fato-1,gate-6,fato-3,08:24:59,08:33:39,08:43:03,08:50:53,09:00:53,520,564.76,470,1554.76,70,205.7,ready
