scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
ce68cfea0bd5,2026-06-20,FPL1216001,UAM0089,a2,2,2,1,광화문,광화문,망우,망우,6,gate-1,fato-1,gate-4,fato-3,06:30:00,06:37:30,06:42:05,06:48:55,06:58:55,450,275.95,410,1135.95,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1208001,UAM0090,a2,2,2,1,광화문,광화문,사당,사당,6,gate-2,fato-2,gate-8,fato-4,06:30:00,06:38:10,06:46:01,06:52:51,07:02:51,490,471.89,410,1371.89,10,0,ready
ce68cfea0bd5,2026-06-20,FPL1211001,UAM0091,a4,4,4,1,광화문,광화문,천호,천호,6,gate-3,fato-1,gate-5,fato-4,06:30:00,06:43:30,06:59:56,07:08:16,07:18:16,810,986.54,500,2296.54,300,562.6,ready
ce68cfea0bd5,2026-06-20,FPL1215001,UAM0092,a4,4,3,0.75,광화문,광화문,마곡,마곡,6,gate-4,fato-2,gate-7,fato-3,06:30:00,06:44:10,06:54:16,07:01:36,07:11:36,850,606.19,440,1896.19,310,194.21,ready
ce68cfea0bd5,2026-06-20,FPL1217001,UAM0093,a6,6,3,0.5,광화문,광화문,수서,수서,6,gate-5,fato-1,gate-6,fato-4,06:30:00,06:49:30,06:59:06,07:06:56,07:16:56,1170,576.87,470,2216.87,720,83.82,ready
ce68cfea0bd5,2026-06-20,FPL1216002,UAM0094,a6,6,2,0.3333,광화문,광화문,망우,망우,6,gate-6,fato-2,gate-7,fato-3,06:30:00,06:50:10,06:54:45,07:02:21,07:12:21,1210,275.95,455.14,1941.09,730,15.14,ready
ce68cfea0bd5,2026-06-20,FPL1208002,UAM0095,a8,8,2,0.25,광화문,광화문,사당,사당,6,gate-7,fato-1,gate-4,fato-3,06:30:00,06:55:30,07:05:30,07:12:20,07:22:20,1530,600.18,410,2540.18,1020,128.28,ready
ce68cfea0bd5,2026-06-20,FPL1202001,UAM0096,a8,8,2,0.25,광화문,광화문,잠실,잠실,6,gate-8,fato-2,gate-5,fato-4,06:30:00,06:56:10,07:04:16,07:12:36,07:22:36,1570,486.82,500,2556.82,1030,35.77,ready
ce68cfea0bd5,2026-06-20,FPL1211002,UAM0083,a4,4,4,1,광화문,광화문,천호,천호,7,gate-4,fato-1,gate-3,fato-3,07:07:24,07:17:22,07:28:13,07:35:33,07:45:33,598.33,651.08,440,1689.41,58.33,88.41,ready
ce68cfea0bd5,2026-06-20,FPL1214001,UAM0059,a4,4,4,1,광화문,광화문,가산,가산,7,gate-8,fato-2,gate-8,fato-4,07:08:12,07:18:02,07:24:34,07:31:24,07:41:24,590.33,392.33,410,1392.65,50.33,0,ready
ce68cfea0bd5,2026-06-20,FPL1208003,UAM0132,a4,4,4,1,광화문,광화문,사당,사당,7,gate-3,fato-1,gate-4,fato-3,07:12:44,07:23:22,07:31:14,07:38:04,07:48:04,638.33,471.89,410,1520.22,128.33,0,ready
ce68cfea0bd5,2026-06-20,FPL1217002,UAM0117,a6,6,6,1,광화문,광화문,수서,수서,7,gate-7,fato-2,gate-8,fato-3,07:13:42,07:24:02,07:32:15,07:39:05,07:49:05,620.33,493.05,410,1523.38,110.33,0,ready
ce68cfea0bd5,2026-06-20,FPL1215002,UAM0014,a6,6,6,1,광화문,광화문,마곡,마곡,7,gate-2,fato-1,gate-7,fato-3,07:18:04,07:29:22,07:39:46,07:47:06,07:57:06,678.33,623.68,440,1742.01,198.33,167.01,ready
ce68cfea0bd5,2026-06-20,FPL1216003,UAM0112,a8,8,8,1,광화문,광화문,망우,망우,7,gate-6,fato-2,gate-3,fato-3,07:20:33,07:30:02,07:34:38,07:41:58,07:51:58,569.33,275.95,440,1285.28,89.33,0,ready
ce68cfea0bd5,2026-06-20,FPL1211003,UAM0063,a8,8,7,0.875,광화문,광화문,천호,천호,7,gate-1,fato-1,gate-3,fato-3,07:23:24,07:35:22,07:47:33,07:54:53,08:04:53,718.33,731.08,440,1889.41,268.33,88.41,ready
ce68cfea0bd5,2026-06-20,FPL1202002,UAM0074,a2,2,2,1,광화문,광화문,잠실,잠실,7,gate-4,fato-1,gate-4,fato-3,07:40:21,07:49:21,07:56:52,08:03:42,08:13:42,540,451.05,410,1401.05,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1216004,UAM0026,a2,2,2,1,광화문,광화문,망우,망우,7,gate-8,fato-2,gate-8,fato-3,07:41:01,07:50:01,07:54:36,08:01:26,08:11:26,540,275.95,410,1225.95,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1202003,UAM0033,a2,2,2,1,광화문,광화문,잠실,잠실,7,gate-3,fato-1,gate-7,fato-4,07:46:58,07:55:28,08:03:19,08:10:39,08:20:39,510,471.29,440,1421.29,0,20.24,ready
ce68cfea0bd5,2026-06-20,FPL1214002,UAM0101,a6,6,5,0.8333,광화문,광화문,가산,가산,7,gate-7,fato-2,gate-2,fato-3,07:48:46,07:57:16,08:08:09,08:15:59,08:25:59,510,653.76,470,1633.76,0,261.43,ready
ce68cfea0bd5,2026-06-20,FPL1215003,UAM0021,a6,6,3,0.5,광화문,광화문,마곡,마곡,7,gate-2,fato-1,gate-7,fato-4,07:54:38,08:02:38,08:10:11,08:17:31,08:27:31,480,453.72,440,1373.72,0,41.73,ready
ce68cfea0bd5,2026-06-20,FPL1208004,UAM0040,a8,8,2,0.25,광화문,광화문,사당,사당,7,gate-6,fato-2,gate-4,fato-3,07:55:18,08:03:18,08:11:09,08:17:59,08:27:59,480,471.89,410,1361.89,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1216005,UAM0035,a4,4,4,1,광화문,광화문,망우,망우,8,gate-4,fato-1,gate-8,fato-4,08:17:03,08:26:03,08:30:38,08:37:28,08:47:28,540,275.95,410,1225.95,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1208005,UAM0117,a6,6,6,1,광화문,광화문,사당,사당,8,gate-8,fato-1,gate-3,fato-3,08:24:00,08:33:00,08:40:51,08:48:11,08:58:11,540,471.89,440,1451.89,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1214003,UAM0071,a8,8,8,1,광화문,광화문,가산,가산,8,gate-3,fato-2,gate-4,fato-4,08:25:29,08:33:59,08:43:47,08:50:37,09:00:37,510,588.52,410,1508.52,0,196.19,ready
ce68cfea0bd5,2026-06-20,FPL1208006,UAM0069,a6,6,6,1,광화문,광화문,사당,사당,8,gate-7,fato-1,gate-2,fato-3,08:33:50,08:42:20,08:51:23,08:59:13,09:09:13,510,543.84,470,1523.84,0,71.95,ready
ce68cfea0bd5,2026-06-20,FPL1211004,UAM0016,a8,8,8,1,광화문,광화문,천호,천호,8,gate-4,fato-2,gate-1,fato-4,08:35:03,08:44:03,08:55:13,09:08:17,09:18:17,540,670.41,783.59,1994,0,307,ready
ce68cfea0bd5,2026-06-20,FPL1217003,UAM0078,a6,6,6,1,광화문,광화문,수서,수서,8,gate-2,fato-1,gate-8,fato-3,08:39:10,08:48:20,08:56:33,09:03:23,09:13:23,550,493.05,410,1453.05,70,0,ready
