scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
ce68cfea0bd5,2026-06-20,FPL1511001,UAM0113,a2,2,2,1,마곡,마곡,천호,천호,6,gate-1,fato-1,gate-1,fato-3,06:30:00,06:37:30,06:59:13,07:07:33,07:17:33,450,1303.41,500,2253.41,0,542.59,ready
ce68cfea0bd5,2026-06-20,FPL1509001,UAM0114,a2,2,2,1,마곡,마곡,성수,성수,6,gate-2,fato-2,gate-8,fato-3,06:30:00,06:38:10,06:48:15,06:55:05,07:05:05,490,605.63,410,1505.63,10,0,ready
ce68cfea0bd5,2026-06-20,FPL1513001,UAM0115,a4,4,4,1,마곡,마곡,강남,강남,6,gate-3,fato-1,gate-2,fato-3,06:30:00,06:43:30,06:54:30,07:02:20,07:12:20,810,660.93,470,1940.93,300,125.72,ready
ce68cfea0bd5,2026-06-20,FPL1509002,UAM0116,a4,4,4,1,마곡,마곡,성수,성수,6,gate-4,fato-2,gate-6,fato-3,06:30:00,06:44:10,06:57:55,07:05:45,07:15:45,850,825.63,470,2145.63,310,220,ready
ce68cfea0bd5,2026-06-20,FPL1512001,UAM0117,a6,6,3,0.5,마곡,마곡,광화문,광화문,6,gate-5,fato-1,gate-7,fato-4,06:30:00,06:49:30,06:56:21,07:03:41,07:13:41,1170,411.98,440,2021.98,720,0,ready
ce68cfea0bd5,2026-06-20,FPL1508001,UAM0118,a6,6,3,0.5,마곡,마곡,사당,사당,6,gate-6,fato-2,gate-2,fato-3,06:30:00,06:50:10,07:00:40,07:08:30,07:18:30,1210,630.18,470,2310.18,730,133.46,ready
ce68cfea0bd5,2026-06-20,FPL1516001,UAM0119,a8,8,2,0.25,마곡,마곡,망우,망우,6,gate-7,fato-1,gate-8,fato-4,06:30:00,06:55:30,07:08:51,07:15:41,07:25:41,1530,801.09,410,2741.09,1020,34.36,ready
ce68cfea0bd5,2026-06-20,FPL1501001,UAM0120,a8,8,2,0.25,마곡,마곡,여의도,여의도,6,gate-8,fato-2,gate-3,fato-4,06:30:00,06:56:10,07:01:49,07:09:49,07:19:49,1570,339.49,479.73,2389.22,1030,39.73,ready
ce68cfea0bd5,2026-06-20,FPL1509003,UAM0002,a2,2,2,1,마곡,마곡,성수,성수,7,gate-4,fato-1,gate-2,fato-4,07:00:40,07:09:58,07:20:04,07:27:54,07:37:54,558.88,605.63,470,1634.51,18.88,0,ready
ce68cfea0bd5,2026-06-20,FPL1502001,UAM0009,a2,2,2,1,마곡,마곡,잠실,잠실,7,gate-8,fato-2,gate-8,fato-4,07:06:17,07:15:17,07:27:13,07:34:03,07:44:03,540,716.19,410,1666.19,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1511002,UAM0027,a4,4,4,1,마곡,마곡,천호,천호,7,gate-3,fato-1,gate-2,fato-3,07:07:27,07:15:58,07:33:03,07:40:53,07:50:53,511.88,1024.53,470,2006.41,1.88,58.41,ready
ce68cfea0bd5,2026-06-20,FPL1510001,UAM0092,a4,4,4,1,마곡,마곡,연신내,연신내,7,gate-7,fato-2,gate-3,fato-3,07:11:37,07:21:17,07:28:20,07:35:40,07:45:40,580,423.71,440,1443.71,70,86.7,ready
ce68cfea0bd5,2026-06-20,FPL1509004,UAM0131,a4,4,4,1,마곡,마곡,성수,성수,7,gate-2,fato-1,gate-3,fato-4,07:13:09,07:21:58,07:32:04,07:39:24,07:49:24,529.88,605.63,440,1575.51,49.88,0,ready
ce68cfea0bd5,2026-06-20,FPL1504001,UAM0011,a4,4,4,1,마곡,마곡,용산,용산,7,gate-6,fato-2,gate-3,fato-3,07:16:57,07:27:17,07:33:47,07:41:07,07:51:07,620,390.75,440,1450.75,140,0,ready
ce68cfea0bd5,2026-06-20,FPL1514001,UAM0123,a4,4,4,1,마곡,마곡,가산,가산,7,gate-1,fato-1,gate-6,fato-4,07:18:29,07:27:58,07:37:12,07:45:02,07:55:02,569.88,554.1,470,1593.98,119.88,168.19,ready
ce68cfea0bd5,2026-06-20,FPL1516002,UAM0069,a6,6,6,1,마곡,마곡,망우,망우,7,gate-4,fato-2,gate-7,fato-4,07:21:49,07:33:17,07:46:03,07:53:23,08:03:23,688,766.73,440,1894.73,148,0,ready
ce68cfea0bd5,2026-06-20,FPL1513002,UAM0053,a6,6,6,1,마곡,마곡,강남,강남,7,gate-5,fato-1,gate-4,fato-3,07:22:17,07:33:58,07:42:54,07:49:44,07:59:44,701.88,535.2,410,1647.08,251.88,0,ready
ce68cfea0bd5,2026-06-20,FPL1501002,UAM0064,a8,8,8,1,마곡,마곡,여의도,여의도,7,gate-8,fato-2,gate-2,fato-3,07:25:37,07:39:17,07:48:21,07:56:11,08:06:11,820,544.41,470,1834.41,280,204.92,ready
ce68cfea0bd5,2026-06-20,FPL1508002,UAM0085,a6,6,6,1,마곡,마곡,사당,사당,7,gate-3,fato-1,gate-7,fato-3,07:27:09,07:39:58,07:48:15,07:55:35,08:05:35,769.88,496.72,440,1706.6,259.88,0,ready
ce68cfea0bd5,2026-06-20,FPL1516003,UAM0121,a2,2,2,1,마곡,마곡,망우,망우,7,gate-7,fato-1,gate-2,fato-3,07:36:58,07:46:08,07:59:26,08:07:16,08:17:16,550,798.75,470,1818.75,70.2,32.02,ready
ce68cfea0bd5,2026-06-20,FPL1502002,UAM0031,a8,8,8,1,마곡,마곡,잠실,잠실,7,gate-2,fato-2,gate-3,fato-3,07:39:21,07:47:21,08:01:42,08:09:02,08:19:02,480,861.05,440,1781.05,0,144.86,ready
ce68cfea0bd5,2026-06-20,FPL1516004,UAM0051,a4,4,4,1,마곡,마곡,망우,망우,7,gate-4,fato-1,gate-4,fato-3,07:42:07,07:52:08,08:04:54,08:11:44,08:21:44,601.2,766.73,410,1777.93,61.2,0,ready
ce68cfea0bd5,2026-06-20,FPL1512002,UAM0035,a4,4,4,1,마곡,마곡,광화문,광화문,7,gate-8,fato-2,gate-4,fato-3,07:43:29,07:53:21,08:00:12,08:07:02,08:17:02,592,411.98,410,1413.98,52,0,ready
ce68cfea0bd5,2026-06-20,FPL1511003,UAM0134,a6,6,6,1,마곡,마곡,천호,천호,7,gate-3,fato-1,gate-3,fato-3,07:47:27,07:58:08,09:09:43,09:17:03,09:27:03,641.2,4295.21,440,5376.41,131.2,337.41,ready
ce68cfea0bd5,2026-06-20,FPL1510002,UAM0043,a4,4,4,1,마곡,마곡,연신내,연신내,7,gate-6,fato-2,gate-4,fato-4,07:49:19,07:59:21,08:06:23,08:13:13,08:23:13,602,422.48,410,1434.48,122,85.48,ready
ce68cfea0bd5,2026-06-20,FPL1517001,UAM0020,a4,4,4,1,마곡,마곡,수서,수서,7,gate-1,fato-1,gate-4,fato-4,07:53:17,08:04:08,08:15:57,08:22:47,08:32:47,651.2,708.88,410,1770.08,201.2,0,ready
ce68cfea0bd5,2026-06-20,FPL1513003,UAM0116,a4,4,4,1,마곡,마곡,강남,강남,7,gate-5,fato-2,gate-5,fato-3,07:54:39,08:05:21,08:16:18,08:24:38,08:34:38,642,657.71,500,1799.71,192,122.5,ready
ce68cfea0bd5,2026-06-20,FPL1514002,UAM0014,a6,6,3,0.5,마곡,마곡,가산,가산,7,gate-7,fato-1,gate-3,fato-4,07:57:07,08:10:08,08:20:22,08:27:42,08:37:42,781.2,613.85,440,1835.06,271.2,198.06,ready
ce68cfea0bd5,2026-06-20,FPL1512003,UAM0016,a8,8,3,0.375,마곡,마곡,광화문,광화문,7,gate-2,fato-2,gate-4,fato-4,07:58:59,08:11:21,08:18:12,08:25:02,08:35:02,742,411.98,410,1563.98,262,0,ready
