scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
ce68cfea0bd5,2026-06-20,FPL1613001,UAM0121,a2,2,2,1,망우,망우,강남,강남,6,gate-1,fato-1,gate-4,fato-3,06:30:00,06:37:30,06:43:00,06:49:50,06:59:50,450,330.92,410,1190.92,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1604001,UAM0122,a2,2,2,1,망우,망우,용산,용산,6,gate-2,fato-2,gate-2,fato-4,06:30:00,06:38:10,06:46:12,06:54:36,07:04:36,490,482.45,504.09,1476.54,10,34.09,ready
ce68cfea0bd5,2026-06-20,FPL1615001,UAM0123,a4,4,4,1,망우,망우,마곡,마곡,6,gate-3,fato-1,gate-1,fato-4,06:30:00,06:43:30,07:00:08,07:08:28,07:18:28,810,998.88,500,2308.88,300,232.16,ready
ce68cfea0bd5,2026-06-20,FPL1617001,UAM0124,a4,4,4,1,망우,망우,수서,수서,6,gate-4,fato-2,gate-3,fato-3,06:30:00,06:44:10,06:51:25,06:58:45,07:08:45,850,435.01,440,1725.01,310,85.24,ready
ce68cfea0bd5,2026-06-20,FPL1608001,UAM0125,a6,6,5,0.8333,망우,망우,사당,사당,6,gate-5,fato-1,gate-7,fato-4,06:30:00,06:49:30,06:57:26,07:04:46,07:14:46,1170,476.65,440,2086.65,720,0,ready
ce68cfea0bd5,2026-06-20,FPL1614001,UAM0126,a6,6,3,0.5,망우,망우,가산,가산,6,gate-6,fato-2,gate-1,fato-4,06:30:00,06:50:10,07:04:13,07:12:33,07:22:33,1210,843.52,500,2553.52,730,176.76,ready
ce68cfea0bd5,2026-06-20,FPL1607001,UAM0127,a8,8,3,0.375,망우,망우,봉천,봉천,6,gate-7,fato-1,gate-2,fato-4,06:30:00,06:55:30,07:07:39,07:15:29,07:25:29,1530,729.63,470,2729.63,1020,180.79,ready
ce68cfea0bd5,2026-06-20,FPL1605001,UAM0128,a8,8,2,0.25,망우,망우,목동,목동,6,gate-8,fato-2,gate-7,fato-4,06:30:00,06:56:10,07:09:36,07:16:56,07:26:56,1570,806.74,440,2816.74,1030,144.74,ready
ce68cfea0bd5,2026-06-20,FPL1603001,UAM0089,a2,2,2,1,망우,망우,상암,상암,6,gate-4,fato-1,gate-7,fato-4,06:58:56,07:09:41,07:19:43,07:27:03,07:37:03,645.09,602.45,440,1687.54,105.09,0,ready
ce68cfea0bd5,2026-06-20,FPL1603002,UAM0100,a4,4,4,1,망우,망우,상암,상암,7,gate-8,fato-2,gate-8,fato-4,07:06:31,07:15:31,07:25:33,07:32:23,07:42:23,540,602.45,410,1552.45,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1613002,UAM0036,a4,4,4,1,망우,망우,강남,강남,7,gate-3,fato-1,gate-2,fato-3,07:11:42,07:20:12,07:26:54,07:34:44,07:44:44,510,402.68,470,1382.68,0,71.76,ready
ce68cfea0bd5,2026-06-20,FPL1610001,UAM0094,a6,6,6,1,망우,망우,연신내,연신내,7,gate-7,fato-2,gate-7,fato-3,07:12:22,07:21:31,07:33:50,07:41:10,07:51:10,549,739.61,440,1728.61,39,0,ready
ce68cfea0bd5,2026-06-20,FPL1614002,UAM0102,a6,6,6,1,망우,망우,가산,가산,7,gate-2,fato-1,gate-1,fato-3,07:17:02,07:26:12,07:38:30,07:46:50,07:56:50,550,738.52,500,1788.52,70,71.76,ready
ce68cfea0bd5,2026-06-20,FPL1615002,UAM0054,a6,6,6,1,망우,망우,마곡,마곡,7,gate-6,fato-2,gate-4,fato-3,07:17:42,07:27:31,07:44:36,07:51:26,08:01:26,589,1025.01,410,2024.01,109,117.01,ready
ce68cfea0bd5,2026-06-20,FPL1612001,UAM0021,a6,6,6,1,망우,망우,광화문,광화문,7,gate-4,fato-1,gate-2,fato-3,07:20:52,07:32:12,07:36:47,07:44:37,07:54:37,680,275.95,470,1425.95,140,0,ready
