scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
ce68cfea0bd5,2026-06-20,FPL0511001,UAM0033,a2,2,2,1,목동,목동,천호,천호,6,gate-1,fato-1,gate-2,fato-3,06:30:00,06:37:30,06:54:23,07:02:13,07:12:13,450,1013.41,470,1933.41,0,408.23,ready
ce68cfea0bd5,2026-06-20,FPL0517001,UAM0034,a2,2,2,1,목동,목동,수서,수서,6,gate-2,fato-2,gate-4,fato-3,06:30:00,06:38:10,06:46:35,06:53:25,07:03:25,490,505.01,410,1405.01,10,0,ready
ce68cfea0bd5,2026-06-20,FPL0513001,UAM0035,a4,4,4,1,목동,목동,강남,강남,6,gate-3,fato-1,gate-7,fato-4,06:30:00,06:43:30,06:50:42,06:58:02,07:08:02,810,432.77,440,1682.77,300,53.21,ready
ce68cfea0bd5,2026-06-20,FPL0516001,UAM0036,a4,4,4,1,목동,목동,망우,망우,6,gate-4,fato-2,gate-3,fato-4,06:30:00,06:44:10,06:54:21,07:01:41,07:11:41,850,611.09,440,1901.09,310,0,ready
ce68cfea0bd5,2026-06-20,FPL0511002,UAM0037,a6,6,6,1,목동,목동,천호,천호,6,gate-5,fato-1,gate-8,fato-4,06:30:00,06:49:30,07:04:46,07:11:36,07:21:36,1170,916.54,410,2496.54,720,117.54,ready
ce68cfea0bd5,2026-06-20,FPL0502001,UAM0038,a6,6,6,1,목동,목동,잠실,잠실,6,gate-6,fato-2,gate-1,fato-3,06:30:00,06:50:10,07:01:19,07:09:39,07:19:39,1210,669.65,500,2379.65,730,157.33,ready
ce68cfea0bd5,2026-06-20,FPL0509001,UAM0039,a8,8,8,1,목동,목동,성수,성수,6,gate-7,fato-1,gate-8,fato-3,06:30:00,06:55:30,07:07:35,07:14:25,07:24:25,1530,725.63,410,2665.63,1020,118.63,ready
ce68cfea0bd5,2026-06-20,FPL0508001,UAM0040,a8,8,6,0.75,목동,목동,사당,사당,6,gate-8,fato-2,gate-6,fato-4,06:30:00,06:56:10,07:02:16,07:10:06,07:20:06,1570,366.65,470,2406.65,1030,73.8,ready
ce68cfea0bd5,2026-06-20,FPL0506001,UAM0058,a2,2,2,1,목동,목동,미아,미아,6,gate-4,fato-1,gate-4,fato-3,06:59:53,07:09:46,07:21:31,07:28:21,07:38:21,593.74,704.7,410,1708.44,53.74,0,ready
ce68cfea0bd5,2026-06-20,FPL0513002,UAM0098,a2,2,2,1,목동,목동,강남,강남,7,gate-8,fato-2,gate-8,fato-3,07:01:20,07:10:26,07:16:46,07:23:36,07:33:36,546.74,379.56,410,1336.31,6.74,0,ready
ce68cfea0bd5,2026-06-20,FPL0513003,UAM0130,a2,2,2,1,목동,목동,강남,강남,7,gate-3,fato-1,gate-7,fato-4,07:05:13,07:15:46,07:22:54,07:30:14,07:40:14,633.74,427.31,440,1501.06,123.74,47.75,ready
ce68cfea0bd5,2026-06-20,FPL0508002,UAM0060,a4,4,4,1,목동,목동,사당,사당,7,gate-7,fato-2,gate-8,fato-3,07:06:40,07:16:26,07:21:19,07:28:09,07:38:09,586.74,292.84,410,1289.59,76.74,0,ready
ce68cfea0bd5,2026-06-20,FPL0510001,UAM0068,a4,4,4,1,목동,목동,연신내,연신내,7,gate-2,fato-1,gate-8,fato-4,07:10:33,07:21:46,07:26:43,07:33:33,07:43:33,673.74,296.74,410,1380.48,193.74,0,ready
ce68cfea0bd5,2026-06-20,FPL0511003,UAM0078,a6,6,6,1,목동,목동,천호,천호,7,gate-6,fato-2,gate-6,fato-4,07:12:57,07:22:26,07:33:46,07:41:36,07:51:36,569.74,679.8,470,1719.54,89.74,52.54,ready
ce68cfea0bd5,2026-06-20,FPL0509002,UAM0070,a6,6,6,1,목동,목동,성수,성수,7,gate-1,fato-1,gate-1,fato-3,07:16:00,07:27:46,07:35:16,07:43:36,07:53:36,706.74,449.99,500,1656.73,256.74,0,ready
