scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
ce68cfea0bd5,2026-06-20,FPL0601001,UAM0041,a2,2,2,1,미아,미아,여의도,여의도,6,gate-1,fato-1,gate-4,fato-3,06:30:00,06:37:30,06:47:23,06:54:13,07:04:13,450,593.93,410,1453.93,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0613001,UAM0042,a2,2,2,1,미아,미아,강남,강남,6,gate-2,fato-2,gate-8,fato-4,06:30:00,06:38:10,06:45:52,06:52:42,07:02:42,490,462.77,410,1362.77,10,0,ready
ce68cfea0bd5,2026-06-20,FPL0602001,UAM0043,a4,4,4,1,미아,미아,잠실,잠실,6,gate-3,fato-1,gate-3,fato-3,06:30:00,06:43:30,06:51:39,06:58:59,07:08:59,810,489.65,440,1739.65,300,99.51,ready
ce68cfea0bd5,2026-06-20,FPL0614001,UAM0044,a4,4,3,0.75,미아,미아,가산,가산,6,gate-4,fato-2,gate-6,fato-3,06:30:00,06:44:10,07:01:54,07:09:44,07:19:44,850,1064.29,470,2384.29,310,282.09,ready
ce68cfea0bd5,2026-06-20,FPL0609001,UAM0045,a6,6,3,0.5,미아,미아,성수,성수,6,gate-5,fato-1,gate-1,fato-4,06:30:00,06:49:30,06:58:49,07:07:09,07:17:09,1170,559.22,500,2229.22,720,221.15,ready
ce68cfea0bd5,2026-06-20,FPL0617001,UAM0046,a6,6,3,0.5,미아,미아,수서,수서,6,gate-6,fato-2,gate-5,fato-4,06:30:00,06:50:10,07:03:56,07:12:16,07:22:16,1210,826.87,500,2536.87,730,345.74,ready
ce68cfea0bd5,2026-06-20,FPL0611001,UAM0047,a8,8,3,0.375,미아,미아,천호,천호,6,gate-7,fato-1,gate-7,fato-4,06:30:00,06:55:30,07:09:36,07:16:56,07:26:56,1530,846.54,440,2816.54,1020,86.54,ready
ce68cfea0bd5,2026-06-20,FPL0605001,UAM0048,a8,8,2,0.25,미아,미아,목동,목동,6,gate-8,fato-2,gate-2,fato-3,06:30:00,06:56:10,07:12:09,07:19:59,07:29:59,1570,959.99,470,2999.99,1030,65.99,ready
ce68cfea0bd5,2026-06-20,FPL0604001,UAM0065,a2,2,2,1,미아,미아,용산,용산,6,gate-4,fato-1,gate-4,fato-3,06:59:59,07:08:59,07:18:35,07:25:25,07:35:25,540,576.06,410,1526.06,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0614002,UAM0049,a2,2,2,1,미아,미아,가산,가산,7,gate-8,fato-2,gate-3,fato-3,07:05:41,07:14:41,07:27:43,07:35:03,07:45:03,540,782.19,440,1762.19,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0609002,UAM0105,a2,2,2,1,미아,미아,성수,성수,7,gate-3,fato-1,gate-4,fato-3,07:07:53,07:16:23,07:23:43,07:30:33,07:40:33,510,440.22,410,1360.22,0,102.15,ready
ce68cfea0bd5,2026-06-20,FPL0617002,UAM0058,a2,2,2,1,미아,미아,수서,수서,7,gate-4,fato-1,gate-8,fato-3,07:38:22,07:48:06,07:56:07,08:02:57,08:12:57,584.19,481.13,410,1475.33,44.19,0,ready
