scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
ce68cfea0bd5,2026-06-20,FPL0706001,UAM0049,a2,2,2,1,봉천,봉천,미아,미아,6,gate-1,fato-1,gate-8,fato-3,06:30:00,06:37:30,06:48:50,06:55:40,07:05:40,450,680.69,410,1540.69,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0711001,UAM0050,a2,2,2,1,봉천,봉천,천호,천호,6,gate-2,fato-2,gate-7,fato-4,06:30:00,06:38:10,06:50:16,06:57:36,07:07:36,490,726.54,440,1656.54,10,220.94,ready
ce68cfea0bd5,2026-06-20,FPL0710001,UAM0051,a4,4,4,1,봉천,봉천,연신내,연신내,6,gate-3,fato-1,gate-7,fato-4,06:30:00,06:43:30,06:52:38,06:59:58,07:09:58,810,548.52,440,1798.52,300,134.24,ready
ce68cfea0bd5,2026-06-20,FPL0709001,UAM0052,a4,4,4,1,봉천,봉천,성수,성수,6,gate-4,fato-2,gate-7,fato-3,06:30:00,06:44:10,06:53:05,07:00:25,07:10:25,850,535.63,440,1825.63,310,96,ready
ce68cfea0bd5,2026-06-20,FPL0715001,UAM0053,a6,6,3,0.5,봉천,봉천,마곡,마곡,6,gate-5,fato-1,gate-5,fato-3,06:30:00,06:49:30,07:03:56,07:12:16,07:22:16,1170,866.19,500,2536.19,720,432.54,ready
ce68cfea0bd5,2026-06-20,FPL0716001,UAM0054,a6,6,2,0.3333,봉천,봉천,망우,망우,6,gate-6,fato-2,gate-6,fato-3,06:30:00,06:50:10,06:59:35,07:07:41,07:17:41,1210,565.95,485.14,2261.09,730,32.25,ready
ce68cfea0bd5,2026-06-20,FPL0709002,UAM0055,a8,8,2,0.25,봉천,봉천,성수,성수,6,gate-7,fato-1,gate-5,fato-4,06:30:00,06:55:30,07:03:39,07:11:59,07:21:59,1530,489.22,500,2519.22,1020,49.59,ready
ce68cfea0bd5,2026-06-20,FPL0711002,UAM0056,a8,8,2,0.25,봉천,봉천,천호,천호,6,gate-8,fato-2,gate-2,fato-3,06:30:00,06:56:10,07:13:43,07:21:33,07:31:33,1570,1053.41,470,3093.41,1030,56.41,ready
ce68cfea0bd5,2026-06-20,FPL0716002,UAM0073,a2,2,2,1,봉천,봉천,망우,망우,7,gate-4,fato-1,gate-7,fato-4,07:01:15,07:10:49,07:19:57,07:27:17,07:37:17,574.05,548.84,440,1562.89,34.05,0,ready
ce68cfea0bd5,2026-06-20,FPL0715002,UAM0134,a6,6,6,1,봉천,봉천,마곡,마곡,7,gate-8,fato-1,gate-3,fato-3,07:13:00,07:22:19,07:30:06,07:37:26,07:47:26,559.63,466.38,440,1466.01,19.63,32.73,ready
ce68cfea0bd5,2026-06-20,FPL0711003,UAM0015,a8,8,8,1,봉천,봉천,천호,천호,7,gate-3,fato-2,gate-1,fato-3,07:18:57,07:27:27,07:37:53,07:46:13,07:56:13,510,626.41,500,1636.41,0,28.41,ready
ce68cfea0bd5,2026-06-20,FPL0702001,UAM0071,a8,8,8,1,봉천,봉천,잠실,잠실,7,gate-4,fato-1,gate-3,fato-3,07:19:40,07:28:40,07:34:46,07:42:06,07:52:06,540,366.36,440,1346.36,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0717001,UAM0088,a8,8,7,0.875,봉천,봉천,수서,수서,7,gate-7,fato-2,gate-4,fato-3,07:23:47,07:33:27,07:39:26,07:46:16,07:56:16,580,359.05,410,1349.05,70,0,ready
ce68cfea0bd5,2026-06-20,FPL0709003,UAM0127,a8,8,5,0.625,봉천,봉천,성수,성수,7,gate-2,fato-1,gate-4,fato-4,07:25:30,07:34:40,07:41:59,07:48:49,07:58:49,550,439.63,410,1399.63,70,0,ready
