scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
ce68cfea0bd5,2026-06-20,FPL0811001,UAM0057,a2,2,2,1,사당,사당,천호,천호,6,gate-1,fato-1,gate-4,fato-3,06:30:00,06:37:30,06:44:43,06:51:33,07:01:33,450,433.41,410,1293.41,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0805001,UAM0058,a2,2,2,1,사당,사당,목동,목동,6,gate-2,fato-2,gate-4,fato-3,06:30:00,06:38:10,06:43:02,06:49:52,06:59:52,490,292.84,410,1192.84,10,0,ready
ce68cfea0bd5,2026-06-20,FPL0812001,UAM0059,a4,4,4,1,사당,사당,광화문,광화문,6,gate-3,fato-1,gate-8,fato-4,06:30:00,06:43:30,06:51:21,06:58:11,07:08:11,810,471.89,410,1691.89,300,0,ready
ce68cfea0bd5,2026-06-20,FPL0805002,UAM0060,a4,4,4,1,사당,사당,목동,목동,6,gate-4,fato-2,gate-7,fato-4,06:30:00,06:44:10,06:49:19,06:56:39,07:06:39,850,309.56,440,1599.56,310,16.72,ready
ce68cfea0bd5,2026-06-20,FPL0817001,UAM0061,a6,6,4,0.6667,사당,사당,수서,수서,6,gate-5,fato-1,gate-7,fato-4,06:30:00,06:49:30,06:54:16,07:01:36,07:11:36,1170,286.87,440,1896.87,720,0,ready
ce68cfea0bd5,2026-06-20,FPL0811002,UAM0062,a6,6,3,0.5,사당,사당,천호,천호,6,gate-6,fato-2,gate-6,fato-4,06:30:00,06:50:10,07:14:26,07:22:16,07:32:16,1210,1456.54,470,3136.54,730,56.54,ready
ce68cfea0bd5,2026-06-20,FPL0812002,UAM0063,a8,8,2,0.25,사당,사당,광화문,광화문,6,gate-7,fato-1,gate-1,fato-3,06:30:00,06:55:30,07:05:03,07:13:23,07:23:23,1530,573.94,500,2603.94,1020,102.04,ready
ce68cfea0bd5,2026-06-20,FPL0815001,UAM0064,a8,8,2,0.25,사당,사당,마곡,마곡,6,gate-8,fato-2,gate-8,fato-3,06:30:00,06:56:10,07:08:46,07:15:36,07:25:36,1570,756.19,410,2736.19,1030,118.19,ready
ce68cfea0bd5,2026-06-20,FPL0811003,UAM0081,a2,2,2,1,사당,사당,천호,천호,7,gate-4,fato-1,gate-4,fato-3,07:01:34,07:10:34,07:23:23,07:30:13,07:40:13,540,769.41,410,1719.41,0,118.41,ready
ce68cfea0bd5,2026-06-20,FPL0816001,UAM0090,a2,2,2,1,사당,사당,망우,망우,7,gate-8,fato-2,gate-2,fato-3,07:02:52,07:12:06,07:20:22,07:28:27,07:38:27,554.65,495.8,485.44,1535.89,14.65,34.59,ready
ce68cfea0bd5,2026-06-20,FPL0805003,UAM0022,a6,6,6,1,사당,사당,목동,목동,7,gate-3,fato-1,gate-3,fato-3,07:13:11,07:21:41,07:26:33,07:33:53,07:43:53,510,292.84,440,1242.84,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0805004,UAM0125,a6,6,6,1,사당,사당,목동,목동,7,gate-7,fato-2,gate-7,fato-4,07:14:47,07:23:17,07:28:09,07:35:29,07:45:29,510,292.84,440,1242.84,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0811004,UAM0118,a6,6,6,1,사당,사당,천호,천호,7,gate-2,fato-1,gate-5,fato-4,07:18:31,07:27:41,07:57:56,08:06:16,08:16:16,550,1815.54,500,2865.54,70,22.54,ready
ce68cfea0bd5,2026-06-20,FPL0812003,UAM0040,a8,8,8,1,사당,사당,광화문,광화문,7,gate-6,fato-2,gate-6,fato-4,07:20:07,07:29:17,07:37:08,07:45:17,07:55:17,550,471.89,489.05,1510.95,70,19.05,ready
ce68cfea0bd5,2026-06-20,FPL0815002,UAM0095,a8,8,8,1,사당,사당,마곡,마곡,7,gate-4,fato-1,gate-3,fato-3,07:22:21,07:33:41,07:49:26,07:56:46,08:06:46,680,945.01,440,2065.01,140,87.01,ready
ce68cfea0bd5,2026-06-20,FPL0816002,UAM0060,a4,4,4,1,사당,사당,망우,망우,7,gate-8,fato-1,gate-3,fato-4,07:38:10,07:47:10,07:55:06,08:02:36,08:12:36,540,476.65,450.3,1466.95,0,10.3,ready
