scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
ce68cfea0bd5,2026-06-20,FPL0302001,UAM0017,a2,2,2,1,상암,상암,잠실,잠실,6,gate-1,fato-1,gate-4,fato-3,06:30:00,06:37:30,06:46:49,06:53:39,07:03:39,450,559.65,410,1419.65,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0317001,UAM0018,a2,2,2,1,상암,상암,수서,수서,6,gate-2,fato-2,gate-8,fato-4,06:30:00,06:38:10,06:47:22,06:54:12,07:04:12,490,552.34,410,1452.34,10,0,ready
ce68cfea0bd5,2026-06-20,FPL0313001,UAM0019,a4,4,2,0.5,상암,상암,강남,강남,6,gate-3,fato-1,gate-3,fato-3,06:30:00,06:43:30,06:49:40,06:57:00,07:07:00,810,370.93,440,1620.93,300,0,ready
ce68cfea0bd5,2026-06-20,FPL0309001,UAM0020,a4,4,2,0.5,상암,상암,성수,성수,6,gate-4,fato-2,gate-2,fato-4,06:30:00,06:44:10,06:53:59,07:01:49,07:11:49,850,589.22,470,1909.22,310,147.87,ready
ce68cfea0bd5,2026-06-20,FPL0316001,UAM0021,a6,6,1,0.1667,상암,상암,망우,망우,6,gate-5,fato-1,gate-4,fato-4,06:30:00,06:49:30,07:04:01,07:10:51,07:20:51,1170,871.09,410,2451.09,720,268.64,ready
ce68cfea0bd5,2026-06-20,FPL0308001,UAM0022,a6,6,1,0.1667,상암,상암,사당,사당,6,gate-6,fato-2,gate-3,fato-3,06:30:00,06:50:10,06:55:50,07:03:10,07:13:10,1210,340.18,440,1990.18,730,0,ready
ce68cfea0bd5,2026-06-20,FPL0302002,UAM0023,a8,8,1,0.125,상암,상암,잠실,잠실,6,gate-7,fato-1,gate-4,fato-3,06:30:00,06:55:30,07:06:09,07:12:59,07:22:59,1530,639.65,410,2579.65,1020,80,ready
ce68cfea0bd5,2026-06-20,FPL0311001,UAM0024,a8,8,1,0.125,상암,상암,천호,천호,6,gate-8,fato-2,gate-3,fato-3,06:30:00,06:56:10,07:08:53,07:16:13,07:26:13,1570,763.41,440,2773.41,1030,88.41,ready
ce68cfea0bd5,2026-06-20,FPL0309002,UAM0067,a4,4,4,1,상암,상암,성수,성수,7,gate-4,fato-1,gate-6,fato-4,07:07:42,07:16:42,07:24:54,07:32:44,07:42:44,540,492.51,470,1502.51,0,51.16,ready
ce68cfea0bd5,2026-06-20,FPL0309003,UAM0135,a8,8,6,0.75,상암,상암,성수,성수,7,gate-8,fato-1,gate-7,fato-3,07:21:33,07:30:33,07:40:06,07:47:26,07:57:26,540,573.73,440,1553.73,0,132.38,ready
ce68cfea0bd5,2026-06-20,FPL0317002,UAM0087,a8,8,6,0.75,상암,상암,수서,수서,7,gate-3,fato-2,gate-3,fato-4,07:22:47,07:31:17,07:40:29,07:47:49,07:57:49,510,552.34,440,1502.34,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0308002,UAM0042,a2,2,2,1,상암,상암,사당,사당,7,gate-4,fato-1,gate-4,fato-4,07:34:44,07:43:44,07:49:24,07:56:14,08:06:14,540,340.18,410,1290.18,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0313002,UAM0089,a2,2,2,1,상암,상암,강남,강남,7,gate-7,fato-2,gate-2,fato-3,07:37:04,07:45:34,07:52:34,08:00:24,08:10:24,510,420.08,470,1400.08,0,49.16,ready
ce68cfea0bd5,2026-06-20,FPL0311002,UAM0057,a2,2,2,1,상암,상암,천호,천호,7,gate-2,fato-1,gate-4,fato-3,07:40:34,07:49:44,08:02:03,08:08:53,08:18:53,550,739.41,410,1699.41,70,118.41,ready
ce68cfea0bd5,2026-06-20,FPL0311003,UAM0100,a4,4,4,1,상암,상암,천호,천호,7,gate-8,fato-2,gate-1,fato-3,07:42:24,07:51:34,08:16:33,08:24:53,08:34:53,550,1499.41,500,2549.41,10,28.41,ready
ce68cfea0bd5,2026-06-20,FPL0316002,UAM0091,a4,4,3,0.75,상암,상암,망우,망우,7,gate-4,fato-1,gate-3,fato-4,07:56:04,08:05:04,08:15:06,08:22:26,08:32:26,540,602.45,440,1582.45,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0313003,UAM0039,a8,8,8,1,상암,상암,강남,강남,8,gate-8,fato-1,gate-8,fato-4,08:02:18,08:11:18,08:24:36,08:31:26,08:41:26,540,798.31,410,1748.31,0,275.31,ready
ce68cfea0bd5,2026-06-20,FPL0311004,UAM0009,a2,2,2,1,상암,상암,천호,천호,8,gate-4,fato-1,gate-8,fato-3,08:19:14,08:29:10,08:45:33,08:52:23,09:02:23,596.54,982.87,410,1989.41,56.54,364.41,ready
ce68cfea0bd5,2026-06-20,FPL0316003,UAM0006,a6,6,6,1,상암,상암,망우,망우,8,gate-8,fato-1,gate-4,fato-3,08:30:09,08:40:01,08:50:03,08:56:53,09:06:53,592.35,602.45,410,1604.8,52.35,0,ready
ce68cfea0bd5,2026-06-20,FPL0311005,UAM0083,a4,4,4,1,상암,상암,천호,천호,8,gate-3,fato-2,gate-4,fato-3,08:31:51,08:40:41,09:00:03,09:06:53,09:16:53,530.35,1162.06,410,2102.41,20.35,35.41,ready
ce68cfea0bd5,2026-06-20,FPL0306001,UAM0087,a8,8,4,0.5,상암,상암,미아,미아,8,gate-7,fato-1,gate-8,fato-3,08:35:29,08:46:01,08:57:37,09:04:27,09:14:27,632.35,696.06,410,1738.41,122.35,0,ready
ce68cfea0bd5,2026-06-20,FPL0309004,UAM0003,a4,4,4,1,상암,상암,성수,성수,8,gate-4,fato-2,gate-4,fato-3,08:42:12,08:51:12,08:58:33,09:05:23,09:15:23,540,441.35,410,1391.35,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0311006,UAM0033,a2,2,2,1,상암,상암,천호,천호,8,gate-8,fato-1,gate-6,fato-4,08:56:30,09:05:30,09:15:26,09:27:07,09:37:07,540,596.54,700.46,1837,0,230.46,ready
ce68cfea0bd5,2026-06-20,FPL0316004,UAM0115,a4,4,4,1,상암,상암,망우,망우,9,gate-4,fato-2,gate-8,fato-4,09:02:04,09:11:04,09:21:06,09:27:56,09:37:56,540,602.45,410,1552.45,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0317003,UAM0041,a2,2,2,1,상암,상암,수서,수서,9,gate-3,fato-1,gate-6,fato-3,09:13:01,09:22:08,09:33:37,09:41:27,09:51:27,547.9,688.97,470,1706.87,37.9,136.63,ready
ce68cfea0bd5,2026-06-20,FPL0311007,UAM0095,a8,8,6,0.75,상암,상암,천호,천호,9,gate-8,fato-2,gate-6,fato-4,09:18:46,09:27:46,09:39:33,09:51:04,10:01:04,540,707.15,690.85,1938,0,331.46,ready
ce68cfea0bd5,2026-06-20,FPL0309005,UAM0108,a4,4,4,1,상암,상암,성수,성수,9,gate-4,fato-1,gate-4,fato-4,09:22:48,09:31:48,09:39:09,09:45:59,09:55:59,540,441.35,410,1391.35,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0313004,UAM0007,a8,8,5,0.625,상암,상암,강남,강남,9,gate-7,fato-2,gate-4,fato-4,09:24:49,09:33:46,09:39:56,09:46:46,09:56:46,537,370.93,410,1317.93,27,0,ready
