scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
ce68cfea0bd5,2026-06-20,FPL0906001,UAM0065,a2,2,2,1,성수,성수,미아,미아,6,gate-1,fato-1,gate-4,fato-3,06:30:00,06:37:30,06:43:08,06:49:58,06:59:58,450,338.07,410,1198.07,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0910001,UAM0066,a2,2,2,1,성수,성수,연신내,연신내,6,gate-2,fato-2,gate-8,fato-4,06:30:00,06:38:10,06:47:48,06:54:38,07:04:38,490,578.52,410,1478.52,10,0,ready
ce68cfea0bd5,2026-06-20,FPL0903001,UAM0067,a4,4,4,1,성수,성수,상암,상암,6,gate-3,fato-1,gate-4,fato-3,06:30:00,06:43:30,06:50:51,06:57:41,07:07:41,810,441.35,410,1661.35,300,0,ready
ce68cfea0bd5,2026-06-20,FPL0905001,UAM0068,a4,4,4,1,성수,성수,목동,목동,6,gate-4,fato-2,gate-2,fato-3,06:30:00,06:44:10,06:52:42,07:00:32,07:10:32,850,512.84,470,1832.84,310,62.86,ready
ce68cfea0bd5,2026-06-20,FPL0915001,UAM0069,a6,6,5,0.8333,성수,성수,마곡,마곡,6,gate-5,fato-1,gate-4,fato-4,06:30:00,06:49:30,07:04:58,07:11:48,07:21:48,1170,928.88,410,2508.88,720,227.88,ready
ce68cfea0bd5,2026-06-20,FPL0905002,UAM0070,a6,6,4,0.6667,성수,성수,목동,목동,6,gate-6,fato-2,gate-1,fato-3,06:30:00,06:50:10,06:57:39,07:05:59,07:15:59,1210,449.99,500,2159.99,730,0,ready
ce68cfea0bd5,2026-06-20,FPL0907001,UAM0071,a8,8,4,0.5,성수,성수,봉천,봉천,6,gate-7,fato-1,gate-4,fato-4,06:30:00,06:55:30,07:02:49,07:09:39,07:19:39,1530,439.63,410,2379.63,1020,0,ready
ce68cfea0bd5,2026-06-20,FPL0901001,UAM0072,a8,8,3,0.375,성수,성수,여의도,여의도,6,gate-8,fato-2,gate-8,fato-3,06:30:00,06:56:10,07:01:49,07:08:39,07:18:39,1570,339.22,410,2319.22,1030,0,ready
ce68cfea0bd5,2026-06-20,FPL0907002,UAM0001,a2,2,2,1,성수,성수,봉천,봉천,7,gate-4,fato-1,gate-8,fato-3,07:00:00,07:09:00,07:16:19,07:23:09,07:33:09,540,439.63,410,1389.63,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0905003,UAM0114,a2,2,2,1,성수,성수,목동,목동,7,gate-8,fato-2,gate-4,fato-3,07:05:06,07:14:06,07:21:35,07:28:25,07:38:25,540,449.99,410,1399.99,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0901002,UAM0003,a4,4,4,1,성수,성수,여의도,여의도,7,gate-3,fato-1,gate-4,fato-3,07:06:30,07:15:00,07:20:39,07:27:29,07:37:29,510,339.22,410,1259.22,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0907003,UAM0052,a4,4,4,1,성수,성수,봉천,봉천,7,gate-7,fato-2,gate-4,fato-3,07:10:26,07:20:06,07:27:25,07:34:15,07:44:15,580,439.63,410,1429.63,70,0,ready
ce68cfea0bd5,2026-06-20,FPL0915002,UAM0020,a4,4,4,1,성수,성수,마곡,마곡,7,gate-2,fato-1,gate-1,fato-3,07:11:50,07:21:00,07:34:56,07:43:16,07:53:16,550,836.01,500,1886.01,70,230.38,ready
ce68cfea0bd5,2026-06-20,FPL0915003,UAM0116,a4,4,4,1,성수,성수,마곡,마곡,7,gate-6,fato-2,gate-5,fato-4,07:15:46,07:26:06,07:36:18,07:44:38,07:54:38,620,612.2,500,1732.2,140,6.57,ready
ce68cfea0bd5,2026-06-20,FPL0905004,UAM0045,a6,6,6,1,성수,성수,목동,목동,7,gate-1,fato-1,gate-6,fato-4,07:17:10,07:27:00,07:34:29,07:42:19,07:52:19,590,449.99,470,1509.99,140,0,ready
ce68cfea0bd5,2026-06-20,FPL0914001,UAM0007,a8,8,8,1,성수,성수,가산,가산,7,gate-4,fato-2,gate-5,fato-3,07:19:36,07:32:06,07:43:20,07:51:40,08:01:40,750,674.52,500,1924.52,210,147.03,ready
ce68cfea0bd5,2026-06-20,FPL0910002,UAM0055,a8,8,8,1,성수,성수,연신내,연신내,7,gate-5,fato-1,gate-4,fato-3,07:22:00,07:33:00,07:43:30,07:50:20,08:00:20,660,630.61,410,1700.61,210,52.1,ready
ce68cfea0bd5,2026-06-20,FPL0903002,UAM0039,a8,8,5,0.625,성수,성수,상암,상암,7,gate-8,fato-2,gate-8,fato-3,07:24:57,07:38:06,07:45:27,07:52:17,08:02:17,788.71,441.35,410,1640.06,280,0,ready
ce68cfea0bd5,2026-06-20,FPL0901003,UAM0079,a8,8,5,0.625,성수,성수,여의도,여의도,7,gate-3,fato-1,gate-7,fato-4,07:25:50,07:39:00,07:44:39,07:51:59,08:01:59,790,339.22,440,1569.22,280,0,ready
ce68cfea0bd5,2026-06-20,FPL0906002,UAM0041,a2,2,2,1,성수,성수,미아,미아,7,gate-7,fato-2,gate-8,fato-4,07:36:14,07:44:44,07:50:22,07:57:49,08:07:49,510,338.07,447.7,1295.77,0,37.7,ready
ce68cfea0bd5,2026-06-20,FPL0907004,UAM0002,a2,2,2,1,성수,성수,봉천,봉천,7,gate-2,fato-1,gate-4,fato-3,07:37:55,07:45:55,07:53:14,08:00:04,08:10:04,480,439.63,410,1329.63,0,0,ready
