scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
ce68cfea0bd5,2026-06-20,FPL1710001,UAM0129,a2,2,2,1,수서,수서,연신내,연신내,6,gate-1,fato-1,gate-3,fato-3,06:30:00,06:37:30,06:50:48,06:58:08,07:08:08,450,798.09,440,1688.09,0,108.58,ready
ce68cfea0bd5,2026-06-20,FPL1705001,UAM0130,a2,2,2,1,수서,수서,목동,목동,6,gate-2,fato-2,gate-3,fato-3,06:30:00,06:38:10,06:47:52,06:55:12,07:05:12,490,582.84,440,1512.84,10,77.84,ready
ce68cfea0bd5,2026-06-20,FPL1715001,UAM0131,a4,4,4,1,수서,수서,마곡,마곡,6,gate-3,fato-1,gate-2,fato-4,06:30:00,06:43:30,06:55:18,07:03:08,07:13:08,810,708.88,470,1988.88,300,0,ready
ce68cfea0bd5,2026-06-20,FPL1712001,UAM0132,a4,4,4,1,수서,수서,광화문,광화문,6,gate-4,fato-2,gate-3,fato-3,06:30:00,06:44:10,06:55:23,07:02:43,07:12:43,850,673.94,440,1963.94,310,180.89,ready
ce68cfea0bd5,2026-06-20,FPL1705002,UAM0133,a6,6,3,0.5,수서,수서,목동,목동,6,gate-5,fato-1,gate-5,fato-4,06:30:00,06:49:30,06:59:56,07:08:16,07:18:16,1170,626.74,500,2296.74,720,121.73,ready
ce68cfea0bd5,2026-06-20,FPL1707001,UAM0134,a6,6,3,0.5,수서,수서,봉천,봉천,6,gate-6,fato-2,gate-8,fato-3,06:30:00,06:50:10,06:56:09,07:02:59,07:12:59,1210,359.05,410,1979.05,730,0,ready
ce68cfea0bd5,2026-06-20,FPL1703001,UAM0135,a8,8,3,0.375,수서,수서,상암,상암,6,gate-7,fato-1,gate-8,fato-3,06:30:00,06:55:30,07:04:42,07:11:32,07:21:32,1530,552.34,410,2492.34,1020,0,ready
ce68cfea0bd5,2026-06-20,FPL1701001,UAM0136,a8,8,3,0.375,수서,수서,여의도,여의도,6,gate-8,fato-2,gate-2,fato-4,06:30:00,06:56:10,07:06:39,07:15:09,07:25:09,1570,629.49,509.73,2709.22,1030,188.27,ready
ce68cfea0bd5,2026-06-20,FPL1714001,UAM0034,a2,2,2,1,수서,수서,가산,가산,7,gate-4,fato-1,gate-4,fato-3,07:03:26,07:12:26,07:20:22,07:27:12,07:37:12,540,476.98,410,1426.98,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1704001,UAM0018,a2,2,2,1,수서,수서,용산,용산,7,gate-8,fato-2,gate-8,fato-4,07:04:13,07:13:46,07:21:58,07:28:48,07:38:48,573.87,491.46,410,1475.33,33.87,0,ready
ce68cfea0bd5,2026-06-20,FPL1706001,UAM0124,a4,4,4,1,수서,수서,미아,미아,7,gate-3,fato-1,gate-8,fato-3,07:08:46,07:18:26,07:26:27,07:33:17,07:43:17,580,481.13,410,1471.13,70,0,ready
ce68cfea0bd5,2026-06-20,FPL1716001,UAM0061,a6,6,6,1,수서,수서,망우,망우,7,gate-7,fato-2,gate-4,fato-3,07:11:37,07:20:07,07:25:56,07:32:46,07:42:46,510,349.77,410,1269.77,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1714002,UAM0005,a6,6,6,1,수서,수서,가산,가산,7,gate-2,fato-1,gate-7,fato-4,07:15:21,07:24:26,07:32:22,07:39:42,07:49:42,545,476.98,440,1461.98,65,0,ready
ce68cfea0bd5,2026-06-20,FPL1710002,UAM0093,a6,6,6,1,수서,수서,연신내,연신내,7,gate-6,fato-2,gate-1,fato-4,07:16:57,07:26:07,07:41:06,07:49:26,07:59:26,550,899.82,500,1949.82,70,210.31,ready
ce68cfea0bd5,2026-06-20,FPL1705003,UAM0110,a6,6,6,1,수서,수서,목동,목동,7,gate-1,fato-1,gate-5,fato-4,07:20:41,07:30:26,07:39:19,07:47:39,07:57:39,585,533.99,500,1618.99,135,28.98,ready
ce68cfea0bd5,2026-06-20,FPL1715002,UAM0046,a6,6,6,1,수서,수서,마곡,마곡,7,gate-5,fato-2,gate-8,fato-4,07:22:17,07:32:07,07:45:58,07:52:48,08:02:48,590,831.2,410,1831.2,140,114.2,ready
ce68cfea0bd5,2026-06-20,FPL1707002,UAM0030,a6,6,6,1,수서,수서,봉천,봉천,7,gate-4,fato-1,gate-8,fato-4,07:38:32,07:47:32,07:53:31,08:00:44,08:10:44,540,359.05,433.57,1332.63,0,23.57,ready
ce68cfea0bd5,2026-06-20,FPL1712002,UAM0117,a6,6,6,1,수서,수서,광화문,광화문,7,gate-8,fato-1,gate-8,fato-3,07:49:06,07:58:56,08:07:09,08:13:59,08:23:59,590.05,493.05,410,1493.1,50.05,0,ready
ce68cfea0bd5,2026-06-20,FPL1715003,UAM0088,a8,8,6,0.75,수서,수서,마곡,마곡,7,gate-4,fato-1,gate-4,fato-3,07:56:17,08:05:17,08:22:52,08:29:42,08:39:42,540,1055.2,410,2005.2,0,117.2,ready
ce68cfea0bd5,2026-06-20,FPL1703002,UAM0087,a8,8,5,0.625,수서,수서,상암,상암,7,gate-3,fato-2,gate-7,fato-3,07:57:50,08:06:20,08:18:08,08:25:28,08:35:28,510,708.18,440,1658.18,0,155.84,ready
ce68cfea0bd5,2026-06-20,FPL1716002,UAM0136,a8,8,8,1,수서,수서,망우,망우,8,gate-7,fato-1,gate-7,fato-3,08:01:37,08:11:17,08:17:28,08:24:48,08:34:48,580,371.32,440,1391.32,70,21.55,ready
ce68cfea0bd5,2026-06-20,FPL1710003,UAM0128,a8,8,8,1,수서,수서,연신내,연신내,8,gate-2,fato-2,gate-7,fato-3,08:06:42,08:14:42,08:29:12,08:36:32,08:46:32,480,870.52,440,1790.52,0,181.01,ready
ce68cfea0bd5,2026-06-20,FPL1712003,UAM0058,a2,2,2,1,수서,수서,광화문,광화문,8,gate-8,fato-1,gate-8,fato-3,08:12:58,08:22:57,08:31:10,08:38:00,08:48:00,599.5,493.05,410,1502.55,59.5,0,ready
ce68cfea0bd5,2026-06-20,FPL1708001,UAM0061,a6,6,6,1,수서,수서,사당,사당,8,gate-4,fato-2,gate-7,fato-3,08:14:28,08:23:37,08:28:24,08:35:44,08:45:44,549.5,286.87,440,1276.36,9.5,0,ready
ce68cfea0bd5,2026-06-20,FPL1707003,UAM0106,a2,2,2,1,수서,수서,봉천,봉천,8,gate-3,fato-1,gate-7,fato-4,08:25:38,08:34:08,08:40:07,08:47:27,08:57:27,510,359.05,440,1309.05,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1705004,UAM0102,a6,6,6,1,수서,수서,목동,목동,8,gate-8,fato-1,gate-3,fato-4,08:31:08,08:40:08,08:56:22,09:03:42,09:13:42,540,974.84,440,1954.84,0,378.84,ready
ce68cfea0bd5,2026-06-20,FPL1701002,UAM0020,a4,4,4,1,수서,수서,여의도,여의도,8,gate-4,fato-2,gate-3,fato-4,08:32:48,08:42:11,08:50:12,08:57:32,09:07:32,563.46,480.96,440,1484.42,23.46,0,ready
ce68cfea0bd5,2026-06-20,FPL1715004,UAM0011,a4,4,4,1,수서,수서,마곡,마곡,8,gate-7,fato-1,gate-1,fato-4,08:36:28,08:46:08,09:01:42,09:10:15,09:20:15,580,934.2,513.45,2027.65,70,238.77,ready
ce68cfea0bd5,2026-06-20,FPL1714003,UAM0065,a2,2,2,1,수서,수서,가산,가산,8,gate-2,fato-2,gate-8,fato-4,08:40:32,08:48:32,08:56:28,09:03:18,09:13:18,480,476.98,410,1366.98,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1714004,UAM0024,a8,8,8,1,수서,수서,가산,가산,8,gate-6,fato-1,gate-5,fato-4,08:42:21,08:52:08,09:01:18,09:09:38,09:19:38,587,550.98,500,1637.98,107,74,ready
ce68cfea0bd5,2026-06-20,FPL1712004,UAM0026,a2,2,2,1,수서,수서,광화문,광화문,8,gate-3,fato-2,gate-7,fato-3,08:44:52,08:54:32,09:02:45,09:10:05,09:20:05,580,493.05,440,1513.05,70,0,ready
ce68cfea0bd5,2026-06-20,FPL1707004,UAM0113,a2,2,2,1,수서,수서,봉천,봉천,9,gate-4,fato-1,gate-3,fato-4,09:05:03,09:14:03,09:20:02,09:27:42,09:37:42,540,359.05,460.54,1359.6,0,20.54,ready
ce68cfea0bd5,2026-06-20,FPL1706002,UAM0078,a6,6,6,1,수서,수서,미아,미아,9,gate-8,fato-1,gate-3,fato-4,09:13:24,09:22:24,09:30:25,09:37:57,09:47:57,540,481.13,451.92,1473.06,0,11.92,ready
ce68cfea0bd5,2026-06-20,FPL1714005,UAM0014,a6,6,6,1,수서,수서,가산,가산,9,gate-3,fato-2,gate-3,fato-4,09:14:34,09:23:04,09:31:00,09:38:20,09:48:20,510,476.98,440,1426.98,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1705005,UAM0084,a4,4,4,1,수서,수서,목동,목동,9,gate-7,fato-1,gate-8,fato-4,09:18:44,09:28:24,09:36:49,09:43:39,09:53:39,580,505.01,410,1495.01,70,0,ready
ce68cfea0bd5,2026-06-20,FPL1705006,UAM0035,a4,4,4,1,수서,수서,목동,목동,9,gate-4,fato-2,gate-5,fato-3,09:22:29,09:31:29,09:42:18,09:50:39,10:00:39,540,649.32,500.69,1690.01,0,145,ready
ce68cfea0bd5,2026-06-20,FPL1704002,UAM0121,a2,2,2,1,수서,수서,용산,용산,9,gate-2,fato-1,gate-3,fato-3,09:24:09,09:34:24,09:42:35,09:49:55,09:59:55,615,491.46,440,1546.46,135,0,ready
ce68cfea0bd5,2026-06-20,FPL1715005,UAM0031,a8,8,8,1,수서,수서,마곡,마곡,9,gate-6,fato-2,gate-5,fato-4,09:29:22,09:37:29,09:52:18,10:00:38,10:10:38,487,889.34,500,1876.34,7,180.45,ready
ce68cfea0bd5,2026-06-20,FPL1701003,UAM0043,a4,4,4,1,수서,수서,여의도,여의도,9,gate-8,fato-1,gate-8,fato-3,09:30:59,09:40:24,09:48:24,09:55:14,10:05:14,565,480.96,410,1455.96,25,0,ready
ce68cfea0bd5,2026-06-20,FPL1708002,UAM0013,a6,6,6,1,수서,수서,사당,사당,9,gate-3,fato-1,gate-3,fato-4,09:39:44,09:48:17,09:53:04,10:00:24,10:10:24,513.87,286.87,440,1240.73,3.87,0,ready
ce68cfea0bd5,2026-06-20,FPL1705007,UAM0001,a2,2,2,1,수서,수서,목동,목동,9,gate-4,fato-2,gate-8,fato-3,09:40:22,09:50:25,09:58:50,10:05:40,10:15:40,603.45,505.01,410,1518.46,63.45,0,ready
ce68cfea0bd5,2026-06-20,FPL1710004,UAM0135,a8,8,5,0.625,수서,수서,연신내,연신내,9,gate-7,fato-1,gate-4,fato-4,09:46:08,09:54:38,10:06:52,10:13:42,10:23:42,510,734.74,410,1654.74,0,45.23,ready
ce68cfea0bd5,2026-06-20,FPL1712005,UAM0055,a8,8,4,0.5,수서,수서,광화문,광화문,9,gate-2,fato-2,gate-4,fato-4,09:48:46,09:56:46,10:04:59,10:11:49,10:21:49,480,493.05,410,1383.05,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1707005,UAM0041,a2,2,2,1,수서,수서,봉천,봉천,9,gate-6,fato-1,gate-4,fato-3,09:51:28,10:00:38,10:06:37,10:13:27,10:23:27,550,359.05,410,1319.05,70,0,ready
ce68cfea0bd5,2026-06-20,FPL1701004,UAM0102,a6,6,4,0.6667,수서,수서,여의도,여의도,9,gate-8,fato-2,gate-8,fato-3,09:52:36,10:02:46,10:10:46,10:17:36,10:27:36,610,480.96,410,1500.96,70,0,ready
