scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
ce68cfea0bd5,2026-06-20,FPL0109001,UAM0001,a2,2,2,1,여의도,여의도,성수,성수,6,gate-1,fato-1,gate-4,fato-3,06:30:00,06:37:30,06:43:09,06:49:59,06:59:59,450,339.22,410,1199.22,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0115001,UAM0002,a2,2,2,1,여의도,여의도,마곡,마곡,6,gate-2,fato-2,gate-4,fato-3,06:30:00,06:38:10,06:43:49,06:50:39,07:00:39,490,339.49,410,1239.49,10,0,ready
ce68cfea0bd5,2026-06-20,FPL0109002,UAM0003,a4,4,4,1,여의도,여의도,성수,성수,6,gate-3,fato-1,gate-3,fato-4,06:30:00,06:43:30,06:49:09,06:56:29,07:06:29,810,339.22,440,1589.22,300,0,ready
ce68cfea0bd5,2026-06-20,FPL0102001,UAM0004,a4,4,4,1,여의도,여의도,잠실,잠실,6,gate-4,fato-2,gate-2,fato-3,06:30:00,06:44:10,06:56:29,07:04:19,07:14:19,850,739.65,470,2059.65,310,272.32,ready
ce68cfea0bd5,2026-06-20,FPL0117001,UAM0005,a6,6,3,0.5,여의도,여의도,수서,수서,6,gate-5,fato-1,gate-2,fato-3,06:30:00,06:49:30,06:57:30,07:05:20,07:15:20,1170,480.96,470,2120.96,720,0,ready
ce68cfea0bd5,2026-06-20,FPL0111001,UAM0006,a6,6,3,0.5,여의도,여의도,천호,천호,6,gate-6,fato-2,gate-4,fato-3,06:30:00,06:50:10,07:04:03,07:10:53,07:20:53,1210,833.41,410,2453.41,730,118.41,ready
ce68cfea0bd5,2026-06-20,FPL0109003,UAM0007,a8,8,2,0.25,여의도,여의도,성수,성수,6,gate-7,fato-1,gate-4,fato-3,06:30:00,06:55:30,07:02:45,07:09:35,07:19:35,1530,435.63,410,2375.63,1020,96.41,ready
ce68cfea0bd5,2026-06-20,FPL0116001,UAM0008,a8,8,1,0.125,여의도,여의도,망우,망우,6,gate-8,fato-2,gate-1,fato-3,06:30:00,06:56:10,07:04:30,07:13:01,07:23:01,1570,500.32,510.77,2581.09,1030,10.77,ready
ce68cfea0bd5,2026-06-20,FPL0109004,UAM0041,a2,2,2,1,여의도,여의도,성수,성수,7,gate-4,fato-1,gate-7,fato-3,07:04:14,07:13:14,07:18:53,07:26:13,07:36:13,540,339.22,440,1319.22,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0102002,UAM0072,a8,8,8,1,여의도,여의도,잠실,잠실,7,gate-8,fato-1,gate-7,fato-4,07:18:40,07:27:40,07:35:27,07:42:47,07:52:47,540,467.33,440,1447.33,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0111002,UAM0120,a8,8,8,1,여의도,여의도,천호,천호,7,gate-3,fato-2,gate-8,fato-4,07:19:50,07:28:20,08:02:46,08:09:36,08:19:36,510,2066.54,410,2986.54,0,115.54,ready
ce68cfea0bd5,2026-06-20,FPL0115002,UAM0016,a8,8,8,1,여의도,여의도,마곡,마곡,7,gate-7,fato-1,gate-2,fato-4,07:24:00,07:33:40,07:41:08,07:48:58,07:58:58,580,448.2,470,1498.2,70,75.2,ready
ce68cfea0bd5,2026-06-20,FPL0117002,UAM0136,a8,8,8,1,여의도,여의도,수서,수서,7,gate-2,fato-2,gate-7,fato-3,07:25:10,07:34:20,07:44:16,07:51:36,08:01:36,550,596.05,440,1586.05,70,115.1,ready
ce68cfea0bd5,2026-06-20,FPL0109005,UAM0003,a4,4,4,1,여의도,여의도,성수,성수,7,gate-4,fato-1,gate-8,fato-3,07:37:30,07:46:30,07:52:09,07:58:59,08:08:59,540,339.22,410,1289.22,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0106001,UAM0107,a4,4,4,1,여의도,여의도,미아,미아,7,gate-8,fato-1,gate-2,fato-4,07:46:37,07:55:37,08:05:30,08:13:40,08:23:40,540,593.93,489.77,1623.7,0,19.77,ready
ce68cfea0bd5,2026-06-20,FPL0116002,UAM0038,a6,6,4,0.6667,여의도,여의도,망우,망우,7,gate-4,fato-1,gate-8,fato-3,07:55:18,08:04:18,08:12:38,08:19:28,08:29:28,540,500.32,410,1450.32,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0111003,UAM0037,a6,6,6,1,여의도,여의도,천호,천호,8,gate-3,fato-2,gate-8,fato-4,08:00:52,08:09:22,08:22:06,08:28:56,08:38:56,510,764.54,410,1684.54,0,116.54,ready
ce68cfea0bd5,2026-06-20,FPL0109006,UAM0079,a8,8,8,1,여의도,여의도,성수,성수,8,gate-7,fato-1,gate-3,fato-4,08:02:00,08:10:30,08:16:09,08:23:29,08:33:29,510,339.22,440,1289.22,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0115003,UAM0064,a8,8,8,1,여의도,여의도,마곡,마곡,8,gate-2,fato-2,gate-8,fato-4,08:06:12,08:15:22,08:24:41,08:31:31,08:41:31,550,559.72,410,1519.72,70,117.72,ready
ce68cfea0bd5,2026-06-20,FPL0117003,UAM0024,a8,8,7,0.875,여의도,여의도,수서,수서,8,gate-8,fato-1,gate-6,fato-3,08:06:20,08:16:30,08:24:30,08:32:20,08:42:20,610,480.96,470,1560.96,70,0,ready
ce68cfea0bd5,2026-06-20,FPL0111004,UAM0029,a6,6,6,1,여의도,여의도,천호,천호,8,gate-6,fato-2,gate-2,fato-3,08:11:02,08:21:22,08:31:03,08:38:53,08:48:53,620,581.41,470,1671.41,140,56.41,ready
ce68cfea0bd5,2026-06-20,FPL0106002,UAM0124,a4,4,4,1,여의도,여의도,미아,미아,8,gate-4,fato-1,gate-8,fato-3,08:19:02,08:28:02,08:37:55,08:44:45,08:54:45,540,593.93,410,1543.93,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0116003,UAM0013,a6,6,5,0.8333,여의도,여의도,망우,망우,8,gate-8,fato-1,gate-8,fato-4,08:32:48,08:41:48,08:50:08,08:57:33,09:07:33,540,500.32,445.48,1485.8,0,35.48,ready
ce68cfea0bd5,2026-06-20,FPL0102003,UAM0036,a4,4,4,1,여의도,여의도,잠실,잠실,8,gate-4,fato-1,gate-7,fato-4,08:52:12,09:01:12,09:08:59,09:16:19,09:26:19,540,467.33,440,1447.33,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0109007,UAM0118,a6,6,6,1,여의도,여의도,성수,성수,9,gate-8,fato-1,gate-4,fato-3,09:06:22,09:15:22,09:21:01,09:27:51,09:37:51,540,339.22,410,1289.22,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0102004,UAM0020,a4,4,4,1,여의도,여의도,잠실,잠실,9,gate-3,fato-2,gate-8,fato-4,09:07:33,09:16:03,09:23:50,09:30:40,09:40:40,510,467.33,410,1387.33,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0102005,UAM0122,a2,2,2,1,여의도,여의도,잠실,잠실,9,gate-4,fato-1,gate-2,fato-3,09:18:59,09:28:11,09:35:58,09:43:48,09:53:48,552.41,467.33,470,1489.75,12.41,0,ready
ce68cfea0bd5,2026-06-20,FPL0111005,UAM0126,a6,6,6,1,여의도,여의도,천호,천호,9,gate-8,fato-1,gate-8,fato-4,09:30:22,09:39:22,10:08:46,10:16:56,10:26:56,540,1764.68,490,2794.68,0,410.68,ready
ce68cfea0bd5,2026-06-20,FPL0116004,UAM0059,a4,4,4,1,여의도,여의도,망우,망우,9,gate-3,fato-2,gate-6,fato-3,09:34:42,09:43:12,09:52:44,10:00:34,10:10:34,510,572.09,470,1552.09,0,71.77,ready
ce68cfea0bd5,2026-06-20,FPL0115004,UAM0098,a2,2,2,1,여의도,여의도,마곡,마곡,9,gate-4,fato-1,gate-3,fato-3,09:57:28,10:07:11,10:13:25,10:20:45,10:30:45,583.22,374.76,440,1397.98,43.22,35.27,ready
ce68cfea0bd5,2026-06-20,FPL0109008,UAM0043,a4,4,4,1,여의도,여의도,성수,성수,10,gate-8,fato-1,gate-4,fato-3,10:05:15,10:14:15,10:19:54,10:26:44,10:36:44,540,339.22,410,1289.22,0,0,ready
