scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
ce68cfea0bd5,2026-06-20,FPL1007001,UAM0073,a2,2,2,1,연신내,연신내,봉천,봉천,6,gate-1,fato-1,gate-4,fato-3,06:30:00,06:37:30,06:44:24,06:51:14,07:01:14,450,414.28,410,1274.28,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1002001,UAM0074,a2,2,2,1,연신내,연신내,잠실,잠실,6,gate-2,fato-2,gate-8,fato-4,06:30:00,06:38:10,06:49:46,06:56:36,07:06:36,490,696.82,410,1596.82,10,0,ready
ce68cfea0bd5,2026-06-20,FPL1011001,UAM0075,a4,4,4,1,연신내,연신내,천호,천호,6,gate-3,fato-1,gate-5,fato-4,06:30:00,06:43:30,07:19:16,07:27:36,07:37:36,810,2146.54,500,3456.54,300,22.54,ready
ce68cfea0bd5,2026-06-20,FPL1002002,UAM0076,a4,4,4,1,연신내,연신내,잠실,잠실,6,gate-4,fato-2,gate-6,fato-4,06:30:00,06:44:10,06:59:26,07:07:16,07:17:16,850,916.82,470,2236.82,310,220,ready
ce68cfea0bd5,2026-06-20,FPL1014001,UAM0077,a6,6,3,0.5,연신내,연신내,가산,가산,6,gate-5,fato-1,gate-2,fato-4,06:30:00,06:49:30,06:59:23,07:07:13,07:17:13,1170,593.52,470,2233.52,720,195.74,ready
ce68cfea0bd5,2026-06-20,FPL1005001,UAM0078,a6,6,3,0.5,연신내,연신내,목동,목동,6,gate-6,fato-2,gate-6,fato-4,06:30:00,06:50:10,06:55:06,07:02:56,07:12:56,1210,296.74,470,1976.74,730,0,ready
ce68cfea0bd5,2026-06-20,FPL1009001,UAM0079,a8,8,3,0.375,연신내,연신내,성수,성수,6,gate-7,fato-1,gate-3,fato-4,06:30:00,06:55:30,07:08:29,07:15:49,07:25:49,1530,779.22,440,2749.22,1020,88.22,ready
ce68cfea0bd5,2026-06-20,FPL1013001,UAM0080,a8,8,2,0.25,연신내,연신내,강남,강남,6,gate-8,fato-2,gate-4,fato-3,06:30:00,06:56:10,07:04:38,07:11:28,07:21:28,1570,508.09,410,2488.09,1030,0,ready
ce68cfea0bd5,2026-06-20,FPL1011002,UAM0097,a2,2,2,1,연신내,연신내,천호,천호,7,gate-4,fato-1,gate-7,fato-4,07:02:49,07:12:08,07:28:56,07:36:16,07:46:16,559.52,1008.02,440,2007.54,19.52,86.54,ready
ce68cfea0bd5,2026-06-20,FPL1002003,UAM0066,a2,2,2,1,연신내,연신내,잠실,잠실,7,gate-8,fato-2,gate-4,fato-3,07:04:39,07:13:39,07:25:15,07:32:05,07:42:05,540,696.82,410,1646.82,0,0,ready
