scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
ce68cfea0bd5,2026-06-20,FPL0411001,UAM0025,a2,2,2,1,용산,용산,천호,천호,6,gate-1,fato-1,gate-8,fato-4,06:30:00,06:37:30,06:45:26,06:52:16,07:02:16,450,476.54,410,1336.54,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0411002,UAM0026,a2,2,2,1,용산,용산,천호,천호,6,gate-2,fato-2,gate-3,fato-3,06:30:00,06:38:10,06:49:33,06:56:53,07:06:53,490,683.41,440,1613.41,10,206.87,ready
ce68cfea0bd5,2026-06-20,FPL0415001,UAM0027,a4,4,3,0.75,용산,용산,마곡,마곡,6,gate-3,fato-1,gate-3,fato-4,06:30:00,06:43:30,06:50:00,06:57:26,07:07:26,810,390.75,445.44,1646.19,300,5.44,ready
ce68cfea0bd5,2026-06-20,FPL0411003,UAM0028,a4,4,4,1,용산,용산,천호,천호,7,gate-4,fato-1,gate-1,fato-3,07:00:00,07:09:00,07:18:33,07:26:53,07:36:53,540,573.41,500,1613.41,0,28.41,ready
ce68cfea0bd5,2026-06-20,FPL0416001,UAM0029,a6,6,4,0.6667,용산,용산,망우,망우,7,gate-5,fato-2,gate-3,fato-3,07:00:00,07:07:30,07:15:32,07:22:52,07:32:52,450,482.45,440,1372.45,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0417001,UAM0030,a6,6,4,0.6667,용산,용산,수서,수서,7,gate-6,fato-2,gate-4,fato-3,07:00:00,07:13:30,07:21:41,07:28:31,07:38:31,810,491.46,410,1711.46,330,0,ready
ce68cfea0bd5,2026-06-20,FPL0415002,UAM0031,a8,8,3,0.375,용산,용산,마곡,마곡,7,gate-7,fato-1,gate-2,fato-4,07:00:30,07:15:00,07:21:30,07:29:20,07:39:20,870,390.75,470,1730.75,390,0,ready
ce68cfea0bd5,2026-06-20,FPL0406001,UAM0032,a8,8,2,0.25,용산,용산,미아,미아,7,gate-8,fato-2,gate-3,fato-4,07:00:00,07:19:30,07:29:06,07:36:26,07:46:26,1170,576.06,440,2186.06,630,0,ready
ce68cfea0bd5,2026-06-20,FPL0411004,UAM0082,a2,2,2,1,용산,용산,천호,천호,7,gate-3,fato-1,gate-5,fato-4,07:03:27,07:21:00,07:38:36,07:46:56,07:56:56,1053,1056.54,500,2609.54,543,22.54,ready
ce68cfea0bd5,2026-06-20,FPL0417002,UAM0011,a4,4,4,1,용산,용산,수서,수서,8,gate-3,fato-1,gate-7,fato-3,08:00:00,08:08:30,08:19:07,08:26:27,08:36:27,510,637.5,440,1587.5,0,146.03,ready
ce68cfea0bd5,2026-06-20,FPL0411005,UAM0018,a2,2,2,1,용산,용산,천호,천호,8,gate-8,fato-2,gate-4,fato-3,08:00:00,08:09:10,08:21:23,08:28:13,08:38:13,550,733.41,410,1693.41,10,118.41,ready
ce68cfea0bd5,2026-06-20,FPL0417003,UAM0065,a2,2,2,1,용산,용산,수서,수서,8,gate-4,fato-1,gate-2,fato-4,08:00:00,08:14:30,08:22:41,08:30:31,08:40:31,870,491.46,470,1831.46,330,0,ready
ce68cfea0bd5,2026-06-20,FPL0416002,UAM0122,a2,2,2,1,용산,용산,망우,망우,8,gate-2,fato-2,gate-4,fato-4,08:00:30,08:15:10,08:24:46,08:31:36,08:41:36,880,576.45,410,1866.45,430,94,ready
ce68cfea0bd5,2026-06-20,FPL0406002,UAM0057,a2,2,2,1,용산,용산,미아,미아,9,gate-4,fato-1,gate-4,fato-3,09:11:21,09:20:21,09:29:57,09:36:47,09:46:47,540,576.06,410,1526.06,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0411006,UAM0099,a4,4,4,1,용산,용산,천호,천호,9,gate-8,fato-1,gate-8,fato-3,09:24:04,09:33:04,09:44:36,09:52:44,10:02:44,540,692.68,487.32,1720,0,114,ready
ce68cfea0bd5,2026-06-20,FPL0411007,UAM0073,a2,2,2,1,용산,용산,천호,천호,9,gate-4,fato-2,gate-7,fato-4,09:29:03,09:38:03,09:59:06,10:09:14,10:19:14,540,1263.68,607.32,2411,0,369,ready
ce68cfea0bd5,2026-06-20,FPL0411008,UAM0017,a2,2,2,1,용산,용산,천호,천호,9,gate-3,fato-1,gate-5,fato-3,09:34:49,09:43:19,09:54:16,10:07:34,10:17:34,510,657.68,797.32,1965,0,307,ready
ce68cfea0bd5,2026-06-20,FPL0417004,UAM0066,a2,2,2,1,용산,용산,수서,수서,9,gate-4,fato-1,gate-3,fato-3,09:54:04,10:03:04,10:11:15,10:18:35,10:28:35,540,491.46,440,1471.46,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0416003,UAM0002,a2,2,2,1,용산,용산,망우,망우,9,gate-8,fato-2,gate-2,fato-3,09:54:53,10:03:53,10:11:55,10:19:45,10:29:45,540,482.45,470,1492.45,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0415003,UAM0121,a2,2,2,1,용산,용산,마곡,마곡,9,gate-3,fato-1,gate-7,fato-4,09:59:56,10:09:04,10:15:34,10:22:54,10:32:54,548,390.75,440,1378.75,38,0,ready
ce68cfea0bd5,2026-06-20,FPL0415004,UAM0104,a8,8,5,0.625,용산,용산,마곡,마곡,10,gate-4,fato-1,gate-5,fato-4,10:28:15,10:37:18,10:44:57,10:53:17,11:03:17,543.95,458.54,500,1502.49,3.95,67.78,ready
ce68cfea0bd5,2026-06-20,FPL0406003,UAM0087,a8,8,4,0.5,용산,용산,미아,미아,10,gate-8,fato-1,gate-3,fato-4,10:39:29,10:48:29,10:58:05,11:05:25,11:15:25,540,576.06,440,1556.06,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0411009,UAM0091,a4,4,3,0.75,용산,용산,천호,천호,10,gate-3,fato-2,gate-2,fato-3,10:42:34,10:51:04,11:05:12,11:13:02,11:23:02,510,848.41,470,1828.41,0,55.41,ready
