scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
ce68cfea0bd5,2026-06-20,FPL0215001,UAM0009,a2,2,2,1,잠실,잠실,마곡,마곡,6,gate-1,fato-1,gate-8,fato-3,06:30:00,06:37:30,06:49:26,06:56:16,07:06:16,450,716.19,410,1576.19,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0214001,UAM0010,a2,2,2,1,잠실,잠실,가산,가산,6,gate-2,fato-2,gate-4,fato-3,06:30:00,06:38:10,06:46:14,06:53:04,07:03:04,490,484.29,410,1384.29,10,0,ready
ce68cfea0bd5,2026-06-20,FPL0215002,UAM0011,a4,4,4,1,잠실,잠실,마곡,마곡,6,gate-3,fato-1,gate-6,fato-3,06:30:00,06:43:30,06:59:06,07:06:56,07:16:56,810,936.19,470,2216.19,300,220,ready
ce68cfea0bd5,2026-06-20,FPL0214002,UAM0012,a4,4,4,1,잠실,잠실,가산,가산,6,gate-4,fato-2,gate-8,fato-3,06:30:00,06:44:10,06:52:14,06:59:04,07:09:04,850,484.29,410,1744.29,310,0,ready
ce68cfea0bd5,2026-06-20,FPL0205001,UAM0013,a6,6,6,1,잠실,잠실,목동,목동,6,gate-5,fato-1,gate-4,fato-3,06:30:00,06:49:30,07:02:29,07:09:19,07:19:19,1170,779.99,410,2359.99,720,125.99,ready
ce68cfea0bd5,2026-06-20,FPL0212001,UAM0014,a6,6,3,0.5,잠실,잠실,광화문,광화문,6,gate-6,fato-2,gate-2,fato-3,06:30:00,06:50:10,07:00:13,07:08:03,07:18:03,1210,603.94,470,2283.94,730,152.89,ready
ce68cfea0bd5,2026-06-20,FPL0207001,UAM0015,a8,8,3,0.375,잠실,잠실,봉천,봉천,6,gate-7,fato-1,gate-3,fato-3,06:30:00,06:55:30,07:01:36,07:08:56,07:18:56,1530,366.36,440,2336.36,1020,0,ready
ce68cfea0bd5,2026-06-20,FPL0201001,UAM0016,a8,8,3,0.375,잠실,잠실,여의도,여의도,6,gate-8,fato-2,gate-7,fato-3,06:30:00,06:56:10,07:06:39,07:13:59,07:23:59,1570,629.22,440,2639.22,1030,161.89,ready
ce68cfea0bd5,2026-06-20,FPL0207002,UAM0017,a2,2,2,1,잠실,잠실,봉천,봉천,7,gate-4,fato-1,gate-6,fato-4,07:03:40,07:12:40,07:18:46,07:26:36,07:36:36,540,366.36,470,1376.36,0,0,ready
ce68cfea0bd5,2026-06-20,FPL0212002,UAM0074,a2,2,2,1,잠실,잠실,광화문,광화문,7,gate-8,fato-2,gate-4,fato-3,07:06:37,07:15:59,07:23:30,07:30:20,07:40:20,562.65,451.05,410,1423.7,22.65,0,ready
ce68cfea0bd5,2026-06-20,FPL0215003,UAM0043,a4,4,4,1,잠실,잠실,마곡,마곡,7,gate-3,fato-1,gate-6,fato-4,07:09:00,07:18:40,07:31:28,07:39:18,07:49:18,580,768.2,470,1818.2,70,52.01,ready
