scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status
ce68cfea0bd5,2026-06-20,FPL1108001,UAM0081,a2,2,2,1,천호,천호,사당,사당,6,gate-1,fato-1,gate-4,fato-3,06:30:00,06:37:30,06:44:43,06:51:33,07:01:33,450,433.41,410,1293.41,0,0,ready
ce68cfea0bd5,2026-06-20,FPL1104001,UAM0082,a2,2,2,1,천호,천호,용산,용산,6,gate-2,fato-2,gate-3,fato-3,06:30:00,06:38:10,06:46:06,06:53:26,07:03:26,490,476.54,440,1406.54,10,0,ready
ce68cfea0bd5,2026-06-20,FPL1112001,UAM0083,a4,4,4,1,천호,천호,광화문,광화문,6,gate-3,fato-1,gate-4,fato-3,06:30:00,06:43:30,06:50:33,06:57:23,07:07:23,810,423.94,410,1643.94,300,0,ready
ce68cfea0bd5,2026-06-20,FPL1114001,UAM0084,a4,4,4,1,천호,천호,가산,가산,6,gate-4,fato-2,gate-3,fato-4,06:30:00,06:44:10,06:54:33,07:01:53,07:11:53,850,623.52,440,1913.52,310,0,ready
ce68cfea0bd5,2026-06-20,FPL1115001,UAM0085,a6,6,4,0.6667,천호,천호,마곡,마곡,6,gate-5,fato-1,gate-3,fato-4,06:30:00,06:49:30,07:09:48,07:17:08,07:27:08,1170,1218.88,440,2828.88,720,110.88,ready
ce68cfea0bd5,2026-06-20,FPL1105001,UAM0086,a6,6,4,0.6667,천호,천호,목동,목동,6,gate-6,fato-2,gate-8,fato-4,06:30:00,06:50:10,07:04:46,07:11:36,07:21:36,1210,876.74,410,2496.74,730,174.74,ready
ce68cfea0bd5,2026-06-20,FPL1103001,UAM0087,a8,8,4,0.5,천호,천호,상암,상암,6,gate-7,fato-1,gate-3,fato-4,06:30:00,06:55:30,07:05:26,07:12:46,07:22:46,1530,596.54,440,2566.54,1020,0,ready
ce68cfea0bd5,2026-06-20,FPL1107001,UAM0088,a8,8,3,0.375,천호,천호,봉천,봉천,6,gate-8,fato-2,gate-7,fato-3,06:30:00,06:56:10,07:06:26,07:13:46,07:23:46,1570,616.36,440,2626.36,1030,110.77,ready
ce68cfea0bd5,2026-06-20,FPL1103002,UAM0057,a2,2,2,1,천호,천호,상암,상암,7,gate-4,fato-1,gate-2,fato-3,07:01:34,07:10:34,07:22:43,07:30:33,07:40:33,540,729.93,470,1739.93,0,133.38,ready
ce68cfea0bd5,2026-06-20,FPL1110001,UAM0025,a2,2,2,1,천호,천호,연신내,연신내,7,gate-8,fato-2,gate-4,fato-3,07:02:17,07:11:17,07:23:30,07:30:20,07:40:20,540,733.71,410,1683.71,0,0,ready
