type,vertiport_id,vertiport,bucket,value,description
departure_wait,마곡,마곡,departure,1081,평균 출발 절차 대기시간(sec)
departure_wait,천호,천호,departure,882.5,평균 출발 절차 대기시간(sec)
departure_wait,용산,용산,departure,274.1,평균 출발 절차 대기시간(sec)
departure_wait,목동,목동,departure,202.6,평균 출발 절차 대기시간(sec)
arrival_wait,마곡,마곡,arrival,191.8,평균 도착 절차 대기시간(sec)
departure_wait,망우,망우,departure,169.5,평균 출발 절차 대기시간(sec)
departure_wait,상암,상암,departure,161,평균 출발 절차 대기시간(sec)
departure_wait,성수,성수,departure,157.6,평균 출발 절차 대기시간(sec)
arrival_wait,천호,천호,arrival,148.1,평균 도착 절차 대기시간(sec)
departure_wait,여의도,여의도,departure,146.9,평균 출발 절차 대기시간(sec)
arrival_wait,연신내,연신내,arrival,144.2,평균 도착 절차 대기시간(sec)
departure_wait,미아,미아,departure,142.6,평균 출발 절차 대기시간(sec)
departure_wait,가산,가산,departure,141.1,평균 출발 절차 대기시간(sec)
departure_wait,봉천,봉천,departure,140.7,평균 출발 절차 대기시간(sec)
departure_wait,광화문,광화문,departure,136.8,평균 출발 절차 대기시간(sec)
departure_wait,연신내,연신내,departure,136.6,평균 출발 절차 대기시간(sec)
departure_wait,사당,사당,departure,135.4,평균 출발 절차 대기시간(sec)
departure_wait,강남,강남,departure,133.8,평균 출발 절차 대기시간(sec)
arrival_wait,여의도,여의도,arrival,132.2,평균 도착 절차 대기시간(sec)
arrival_wait,목동,목동,arrival,127.6,평균 도착 절차 대기시간(sec)
departure_wait,잠실,잠실,departure,126.9,평균 출발 절차 대기시간(sec)
departure_wait,수서,수서,departure,125.8,평균 출발 절차 대기시간(sec)
arrival_wait,가산,가산,arrival,123,평균 도착 절차 대기시간(sec)
arrival_wait,잠실,잠실,arrival,112.9,평균 도착 절차 대기시간(sec)
