hour,hour_label,vertiport_id,vertiport,requested,processed,unserved,processing_rate,flight_count,avg_load_factor,avg_gate_to_gate_sec,avg_departure_wait_sec,avg_arrival_wait_sec
6,06:00,가산,가산,31,23,8,0.7419,8,0.703125,2448.2799999999997,588.5714285714286,201.85
6,06:00,강남,강남,56,42,14,0.75,9,1,2063.996666666667,525.22125,169.472
6,06:00,광화문,광화문,21,20,1,0.9524,8,0.6354125,1994.4412499999999,588.5714285714286,169.97
6,06:00,마곡,마곡,32,22,10,0.6875,8,0.6875,2163.50875,588.5714285714286,182.64333333333335
6,06:00,망우,망우,30,27,3,0.9,9,0.7731444444444445,2063.9366666666665,528.13625,142.29666666666665
6,06:00,목동,목동,48,40,8,0.8333,9,0.9722222222222222,2064.354444444444,521.7175,154.79
6,06:00,미아,미아,27,24,3,0.8889,9,0.7083333333333334,2116.5911111111113,588.5714285714286,183.50333333333333
6,06:00,봉천,봉천,25,21,4,0.84,8,0.6666625,2153.91125,588.5714285714286,145.99571428571429
6,06:00,사당,사당,29,23,6,0.7931,8,0.7083375,2018.9050000000002,588.5714285714286,73.3725
6,06:00,상암,상암,12,12,0,1,8,0.447925,2024.55875,588.5714285714286,146.23
6,06:00,성수,성수,32,28,4,0.875,8,0.796875,1942.3124999999998,588.5714285714286,145.37
6,06:00,수서,수서,34,24,10,0.7059,8,0.71875,2078.8875,588.5714285714286,135.46200000000002
6,06:00,여의도,여의도,22,21,1,0.9545,8,0.671875,1952.3337500000002,588.5714285714286,124.47749999999999
6,06:00,연신내,연신내,28,23,5,0.8214,8,0.703125,2251.50375,588.5714285714286,131.625
6,06:00,용산,용산,7,7,0,1,3,0.9166666666666666,1532.0466666666664,155,106.155
6,06:00,잠실,잠실,37,27,10,0.7297,8,0.78125,2067.55875,588.5714285714286,165.1925
6,06:00,천호,천호,36,27,9,0.75,8,0.7760499999999999,2096.99125,588.5714285714286,132.13
7,07:00,가산,가산,84,63,21,0.75,15,0.975,1699.2933333333333,101.69454545454545,78.49714285714286
7,07:00,강남,강남,118,52,66,0.4407,13,1,1618.0638461538463,90.325,115.12250000000002
7,07:00,광화문,광화문,58,55,3,0.9483,13,0.8814076923076922,1496.9246153846154,129.0442857142857,111.205
7,07:00,마곡,마곡,111,92,19,0.8288,21,0.9464285714285714,1858.348095238095,142.27789473684211,143.855
7,07:00,망우,망우,58,56,2,0.9655,14,0.7946428571428571,1639.097857142857,90.85888888888888,165.06833333333333
7,07:00,목동,목동,112,101,11,0.9018,20,0.975,1650.3345000000002,206.25473684210522,84.9925
7,07:00,미아,미아,43,19,24,0.4419,6,0.9375,1609.9399999999998,44.19,183.51
7,07:00,봉천,봉천,52,44,8,0.8462,9,0.9444444444444444,1505.54,48.42,63.674
7,07:00,사당,사당,64,53,11,0.8281,11,0.9848454545454545,1620.3336363636365,74.45,48.650000000000006
7,07:00,상암,상암,35,29,6,0.8286,8,0.90625,1635.01375,40,75.90400000000001
7,07:00,성수,성수,63,63,0,1,18,0.8009277777777778,1564.4122222222225,148.08333333333334,113.44888888888892
7,07:00,수서,수서,84,61,23,0.7262,12,0.9479166666666666,1582.8591666666669,80.55999999999999,108.35000000000001
7,07:00,여의도,여의도,56,46,10,0.8214,8,0.9583375,1650.0725,70,81.4025
7,07:00,연신내,연신내,52,44,8,0.8462,13,0.9487153846153846,1681.8684615384616,81.68555555555555,96.46666666666665
7,07:00,용산,용산,19,19,0,1,6,0.6597333333333334,1870.6116666666665,473.25,25.475
7,07:00,잠실,잠실,78,59,19,0.7564,13,0.9711538461538461,1599.0923076923077,151.325,54.605000000000004
7,07:00,천호,천호,124,107,17,0.8629,25,0.995,1900.7000000000003,438.2608695652174,116.0975
8,08:00,가산,가산,72,65,7,0.9028,16,0.9453125,1688.1043750000001,173.6553846153846,143.82285714285715
8,08:00,강남,강남,131,113,18,0.8626,21,0.9940476190476191,1763.3785714285714,219.581875,157.98307692307694
8,08:00,광화문,광화문,55,45,10,0.8182,8,0.953125,1520.81875,70,172.09599999999998
8,08:00,마곡,마곡,99,97,2,0.9798,22,0.8522727272727273,1911.0045454545455,363.5763636363636,148.7516666666667
8,08:00,망우,망우,49,49,0,1,18,0.7013888888888888,1617.9905555555558,139.7357142857143,213.842
8,08:00,목동,목동,115,80,35,0.6957,14,1,1577.5278571428573,88.14857142857143,108.46399999999998
8,08:00,미아,미아,46,36,10,0.7826,10,0.9083300000000001,1662.6689999999999,58.50999999999999,131.72500000000002
8,08:00,봉천,봉천,57,28,29,0.4912,8,1,1427.5437499999998,40.76,35.045
8,08:00,사당,사당,50,42,8,0.84,9,0.8657333333333335,1580.9911111111112,74.71333333333332,125.7525
8,08:00,상암,상암,40,30,10,0.75,7,0.9285714285714286,1773.0985714285714,62.8975,226.3975
8,08:00,성수,성수,70,46,24,0.6571,9,1,1570.15,224,114.60666666666668
8,08:00,수서,수서,80,52,28,0.65,11,1,1568.6109090909088,58.494285714285716,178.834
8,08:00,여의도,여의도,53,48,5,0.9057,8,0.9635375,1525.36375,93.33333333333333,81.5375
8,08:00,연신내,연신내,54,46,8,0.8519,12,0.90625,1549.546666666667,90.00999999999999,48.2
8,08:00,용산,용산,17,10,7,0.5882,4,1,1744.705,256.6666666666667,119.48
8,08:00,잠실,잠실,66,48,18,0.7273,10,1,1602.8329999999999,70,101.57
8,08:00,천호,천호,115,111,4,0.9652,24,0.9218791666666665,2634.7266666666665,1243.4583333333333,81.26625
9,09:00,가산,가산,62,62,0,1,14,0.8005928571428571,1673.8064285714283,178.81636363636363,142.11874999999998
