vertiport_id,vertiport,phase,resource_type,resource_id,fpl_id,aircraft_id,state,description,start_sec,end_sec,start_time,end_time,duration_sec
여의도,여의도,departure,fato,fato-1,FPL0109001,UAM0001,procedure,engine start,23570,23810,06:32:50,06:36:50,240
잠실,잠실,departure,fato,fato-1,FPL0215001,UAM0009,procedure,engine start,23570,23810,06:32:50,06:36:50,240
상암,상암,departure,fato,fato-1,FPL0302001,UAM0017,procedure,engine start,23570,23810,06:32:50,06:36:50,240
용산,용산,departure,fato,fato-1,FPL0411001,UAM0025,procedure,engine start,23570,23810,06:32:50,06:36:50,240
목동,목동,departure,fato,fato-1,FPL0511001,UAM0033,procedure,engine start,23570,23810,06:32:50,06:36:50,240
미아,미아,departure,fato,fato-1,FPL0601001,UAM0041,procedure,engine start,23570,23810,06:32:50,06:36:50,240
봉천,봉천,departure,fato,fato-1,FPL0706001,UAM0049,procedure,engine start,23570,23810,06:32:50,06:36:50,240
사당,사당,departure,fato,fato-1,FPL0811001,UAM0057,procedure,engine start,23570,23810,06:32:50,06:36:50,240
성수,성수,departure,fato,fato-1,FPL0906001,UAM0065,procedure,engine start,23570,23810,06:32:50,06:36:50,240
연신내,연신내,departure,fato,fato-1,FPL1007001,UAM0073,procedure,engine start,23570,23810,06:32:50,06:36:50,240
천호,천호,departure,fato,fato-1,FPL1108001,UAM0081,procedure,engine start,23570,23810,06:32:50,06:36:50,240
광화문,광화문,departure,fato,fato-1,FPL1216001,UAM0089,procedure,engine start,23570,23810,06:32:50,06:36:50,240
강남,강남,departure,fato,fato-1,FPL1310001,UAM0097,procedure,engine start,23570,23810,06:32:50,06:36:50,240
가산,가산,departure,fato,fato-1,FPL1406001,UAM0105,procedure,engine start,23570,23810,06:32:50,06:36:50,240
마곡,마곡,departure,fato,fato-1,FPL1511001,UAM0113,procedure,engine start,23570,23810,06:32:50,06:36:50,240
망우,망우,departure,fato,fato-1,FPL1613001,UAM0121,procedure,engine start,23570,23810,06:32:50,06:36:50,240
수서,수서,departure,fato,fato-1,FPL1710001,UAM0129,procedure,engine start,23570,23810,06:32:50,06:36:50,240
여의도,여의도,departure,fato,fato-2,FPL0115001,UAM0002,procedure,engine start,23610,23850,06:33:30,06:37:30,240
잠실,잠실,departure,fato,fato-2,FPL0214001,UAM0010,procedure,engine start,23610,23850,06:33:30,06:37:30,240
상암,상암,departure,fato,fato-2,FPL0317001,UAM0018,procedure,engine start,23610,23850,06:33:30,06:37:30,240
용산,용산,departure,fato,fato-2,FPL0411002,UAM0026,procedure,engine start,23610,23850,06:33:30,06:37:30,240
목동,목동,departure,fato,fato-2,FPL0517001,UAM0034,procedure,engine start,23610,23850,06:33:30,06:37:30,240
미아,미아,departure,fato,fato-2,FPL0613001,UAM0042,procedure,engine start,23610,23850,06:33:30,06:37:30,240
봉천,봉천,departure,fato,fato-2,FPL0711001,UAM0050,procedure,engine start,23610,23850,06:33:30,06:37:30,240
사당,사당,departure,fato,fato-2,FPL0805001,UAM0058,procedure,engine start,23610,23850,06:33:30,06:37:30,240
성수,성수,departure,fato,fato-2,FPL0910001,UAM0066,procedure,engine start,23610,23850,06:33:30,06:37:30,240
연신내,연신내,departure,fato,fato-2,FPL1002001,UAM0074,procedure,engine start,23610,23850,06:33:30,06:37:30,240
천호,천호,departure,fato,fato-2,FPL1104001,UAM0082,procedure,engine start,23610,23850,06:33:30,06:37:30,240
광화문,광화문,departure,fato,fato-2,FPL1208001,UAM0090,procedure,engine start,23610,23850,06:33:30,06:37:30,240
강남,강남,departure,fato,fato-2,FPL1305001,UAM0098,procedure,engine start,23610,23850,06:33:30,06:37:30,240
가산,가산,departure,fato,fato-2,FPL1411001,UAM0106,procedure,engine start,23610,23850,06:33:30,06:37:30,240
마곡,마곡,departure,fato,fato-2,FPL1509001,UAM0114,procedure,engine start,23610,23850,06:33:30,06:37:30,240
망우,망우,departure,fato,fato-2,FPL1604001,UAM0122,procedure,engine start,23610,23850,06:33:30,06:37:30,240
수서,수서,departure,fato,fato-2,FPL1705001,UAM0130,procedure,engine start,23610,23850,06:33:30,06:37:30,240
여의도,여의도,departure,fato,fato-1,FPL0109002,UAM0003,procedure,engine start,23930,24170,06:38:50,06:42:50,240
잠실,잠실,departure,fato,fato-1,FPL0215002,UAM0011,procedure,engine start,23930,24170,06:38:50,06:42:50,240
