type,vertiport_id,vertiport,bucket,value,description
departure_wait,마곡,마곡,departure,522.1,평균 출발 절차 대기시간(sec)
departure_wait,망우,망우,departure,485.3,평균 출발 절차 대기시간(sec)
departure_wait,천호,천호,departure,420,평균 출발 절차 대기시간(sec)
departure_wait,미아,미아,departure,329.6,평균 출발 절차 대기시간(sec)
arrival_wait,망우,망우,arrival,292.3,평균 도착 절차 대기시간(sec)
departure_wait,여의도,여의도,departure,220.4,평균 출발 절차 대기시간(sec)
departure_wait,성수,성수,departure,203.3,평균 출발 절차 대기시간(sec)
departure_wait,목동,목동,departure,185.6,평균 출발 절차 대기시간(sec)
arrival_wait,마곡,마곡,arrival,180.6,평균 도착 절차 대기시간(sec)
departure_wait,연신내,연신내,departure,180.5,평균 출발 절차 대기시간(sec)
arrival_wait,미아,미아,arrival,180.1,평균 도착 절차 대기시간(sec)
departure_wait,용산,용산,departure,179.7,평균 출발 절차 대기시간(sec)
departure_wait,수서,수서,departure,161.9,평균 출발 절차 대기시간(sec)
departure_wait,상암,상암,departure,156.1,평균 출발 절차 대기시간(sec)
departure_wait,강남,강남,departure,155.9,평균 출발 절차 대기시간(sec)
departure_wait,가산,가산,departure,153.6,평균 출발 절차 대기시간(sec)
arrival_wait,강남,강남,arrival,145.2,평균 도착 절차 대기시간(sec)
arrival_wait,천호,천호,arrival,144.2,평균 도착 절차 대기시간(sec)
departure_wait,봉천,봉천,departure,143.1,평균 출발 절차 대기시간(sec)
departure_wait,광화문,광화문,departure,131.2,평균 출발 절차 대기시간(sec)
arrival_wait,목동,목동,arrival,127.5,평균 도착 절차 대기시간(sec)
arrival_wait,수서,수서,arrival,126.2,평균 도착 절차 대기시간(sec)
arrival_wait,연신내,연신내,arrival,126,평균 도착 절차 대기시간(sec)
departure_wait,잠실,잠실,departure,124.9,평균 출발 절차 대기시간(sec)
