hour,hour_label,vertiport_id,vertiport,requested,processed,unserved,processing_rate,flight_count,avg_load_factor,avg_gate_to_gate_sec,avg_departure_wait_sec,avg_arrival_wait_sec
6,06:00,가산,가산,21,19,2,0.9048,8,0.6197875,2044.6025,588.5714285714286,173.8225
6,06:00,강남,강남,45,33,12,0.7333,8,0.8854125,2231.965,588.5714285714286,246.82500000000002
6,06:00,광화문,광화문,24,24,0,1,7,0.8452428571428571,2057.4199999999996,515,314.27
6,06:00,마곡,마곡,25,20,5,0.8,8,0.6354125,2142.2025,588.5714285714286,89.054
6,06:00,망우,망우,12,11,1,0.9167,8,0.416675,2166.56625,588.5714285714286,112.32000000000001
6,06:00,목동,목동,28,27,1,0.9643,10,0.7625,1995.7329999999997,588.5714285714286,224.11833333333334
6,06:00,미아,미아,17,16,1,0.9412,9,0.5185111111111111,2088.4966666666664,518.96125,155.73666666666668
6,06:00,봉천,봉천,13,13,0,1,7,0.5654857142857143,1997.0185714285712,515,78.1725
6,06:00,사당,사당,18,18,0,1,9,0.5601777777777778,1940.1966666666667,588.5714285714286,79.055
6,06:00,상암,상암,10,10,0,1,8,0.385425,2078.5775,588.5714285714286,206.41750000000002
6,06:00,성수,성수,18,16,2,0.8889,8,0.520825,1982.76875,588.5714285714286,94.06750000000001
6,06:00,수서,수서,22,19,3,0.8636,9,0.5740666666666666,2192.62,588.5714285714286,216.25857142857143
6,06:00,여의도,여의도,12,12,0,1,8,0.447925,2066.75375,588.5714285714286,161.442
6,06:00,연신내,연신내,14,13,1,0.9286,8,0.46875,2141.2299999999996,588.5714285714286,84.89750000000001
6,06:00,용산,용산,8,8,0,1,6,0.47223333333333334,1899.1200000000001,414,161.0975
6,06:00,잠실,잠실,12,12,0,1,8,0.447925,2038.5575,588.5714285714286,146.6625
6,06:00,천호,천호,35,27,8,0.7714,8,0.78125,2136.955,588.5714285714286,177.88500000000002
7,07:00,가산,가산,63,58,5,0.9206,16,0.9166624999999999,1641.3500000000001,181.68785714285713,49.59111111111112
7,07:00,강남,강남,99,72,27,0.7273,18,1,1561.4383333333335,153.38666666666668,55.86
7,07:00,광화문,광화문,43,43,0,1,15,0.75278,1559.6686666666667,75.33,102.2242857142857
7,07:00,마곡,마곡,82,82,0,1,24,0.71875,1942.4137500000004,413.2069565217391,96.99
7,07:00,망우,망우,36,36,0,1,16,0.57030625,1740.3068750000002,232.18928571428572,72.33333333333333
7,07:00,목동,목동,67,66,1,0.9851,18,0.854161111111111,1616.2577777777778,132.03374999999997,76.4690909090909
7,07:00,미아,미아,34,34,0,1,15,0.5138933333333333,1670.0993333333329,131.945,92.19666666666667
7,07:00,봉천,봉천,30,27,3,0.9,6,0.7847166666666666,1688.3033333333333,0,76.82499999999999
7,07:00,사당,사당,31,23,8,0.7419,8,0.9166624999999999,1544.97125,30.976,91.64166666666667
7,07:00,상암,상암,22,17,5,0.7727,5,0.46665999999999996,1707.934,70,123.4975
7,07:00,성수,성수,38,38,0,1,13,0.6602615384615386,1484.8184615384614,75.4,82.1125
7,07:00,수서,수서,57,52,5,0.9123,13,0.8076923076923077,1518.3176923076921,90.11142857142856,80.135
7,07:00,여의도,여의도,39,39,0,1,9,0.7314777777777778,1457.9755555555557,48.59333333333333,102.16499999999999
7,07:00,연신내,연신내,41,22,19,0.5366,6,0.9097166666666666,1597.1583333333335,32.87,95.57
7,07:00,용산,용산,4,4,0,1,3,0.2916666666666667,1597.8533333333332,101.5,42.05
7,07:00,잠실,잠실,49,45,4,0.9184,12,0.8125,1533.0275000000001,46.90125,102.13
7,07:00,천호,천호,63,63,0,1,24,0.7413249999999999,1863.7441666666666,420,135.06166666666667
8,08:00,가산,가산,49,48,1,0.9796,15,0.7027800000000001,1625.4460000000004,76.795,171.73500000000004
8,08:00,강남,강남,91,80,11,0.8791,14,1,1641.2907142857146,244.05666666666664,120.247
8,08:00,광화문,광화문,49,41,8,0.8367,8,0.953125,1481.9449999999997,20.465,142.6
8,08:00,마곡,마곡,51,51,0,1,19,0.5986842105263158,2386.1926315789474,765.5157894736841,153.13400000000001
8,08:00,망우,망우,35,35,0,1,13,0.6314153846153847,1806.1523076923079,275.8333333333333,140.5525
8,08:00,목동,목동,79,64,15,0.8101,13,0.9583307692307692,1517.893846153846,107.925,87.1025
8,08:00,미아,미아,47,43,4,0.9149,12,0.715275,1647.3266666666666,95,88.474
8,08:00,봉천,봉천,31,31,0,1,9,0.7129555555555557,1447.7266666666665,0,47.27
8,08:00,사당,사당,40,40,0,1,12,0.7187500000000001,1498.0133333333333,64.1725,223.04799999999994
8,08:00,상암,상암,20,19,1,0.95,10,0.7833300000000001,1546.7339999999997,84.97142857142856,97.2175
8,08:00,성수,성수,49,41,8,0.8367,8,0.953125,1496.4525,57.5,219.04
8,08:00,수서,수서,50,50,0,1,14,0.7589285714285714,1583.2535714285714,138.12625,195.71333333333337
8,08:00,여의도,여의도,28,25,3,0.8929,7,0.7321428571428571,1510.932857142857,70,114.42333333333333
8,08:00,연신내,연신내,30,29,1,0.9667,13,0.5705153846153846,1615.8907692307694,63.336666666666666,142.35111111111112
8,08:00,용산,용산,12,12,0,1,6,0.5486166666666666,1475.405,37.45,81.26
8,08:00,잠실,잠실,36,36,0,1,12,0.7743083333333334,1641.9733333333334,81.84666666666668,199.21
8,08:00,천호,천호,77,76,1,0.987,21,0.7281714285714285,2331.1071428571436,823.7619047619048,183.6985714285714
9,09:00,가산,가산,45,44,1,0.9778,15,0.6972266666666667,1585.671333333334,140.64875,172.22166666666666
9,09:00,강남,강남,78,71,7,0.9103,13,0.9230769230769231,1566.6830769230767,139.34555555555553,210.92666666666665
9,09:00,광화문,광화문,29,29,0,1,8,0.640625,1429.025,70,158.68666666666667
9,09:00,마곡,마곡,58,58,0,1,16,0.6432312499999999,2160.9900000000002,650.8024999999999,96.1825
9,09:00,망우,망우,22,22,0,1,11,0.5075818181818182,1754.6954545454546,306.625,182.885
9,09:00,목동,목동,57,57,0,1,15,0.6861133333333334,1574.2340000000002,149.44444444444446,91.1575
9,09:00,미아,미아,37,34,3,0.9189,10,0.64583,1605.308,128.83333333333334,124.785
9,09:00,봉천,봉천,31,31,0,1,12,0.7048583333333333,1754.0358333333334,112.25,238.21142857142857
9,09:00,사당,사당,39,39,0,1,11,0.746209090909091,1702.1390909090908,79.33333333333333,281.15166666666664
9,09:00,상암,상암,21,20,1,0.9524,8,0.739575,1482.24375,64.8625,166.065
9,09:00,성수,성수,40,40,0,1,13,0.7980769230769231,1728.6838461538462,116.225,133.00833333333333
9,09:00,수서,수서,54,53,1,0.9815,13,0.8012846153846153,1497.6230769230772,60.028999999999996,122.822
9,09:00,여의도,여의도,39,36,3,0.9231,9,0.8425888888888889,1541.791111111111,0,189.62333333333333
9,09:00,연신내,연신내,35,35,0,1,12,0.7013916666666667,1628.2658333333331,65.96555555555557,108.25000000000001
9,09:00,용산,용산,10,9,1,0.9,4,0.645825,1450.4049999999997,0,60.9
9,09:00,잠실,잠실,31,31,0,1,12,0.6145833333333334,1640.5116666666663,45.80428571428571,282.2033333333333
9,09:00,천호,천호,80,72,8,0.9,17,0.9191176470588235,1958.7129411764708,378.269411764706,109.895
10,10:00,가산,가산,39,39,0,1,11,0.594690909090909,1644.7563636363636,69.07000000000001,143.15571428571428
10,10:00,강남,강남,75,62,13,0.8267,13,1,1500.7046153846156,57.14,143.1525
10,10:00,광화문,광화문,34,31,3,0.9118,8,0.7447875,1540.4649999999997,66.485,184.48000000000002
10,10:00,마곡,마곡,55,55,0,1,20,0.664585,2091.8940000000002,539.8842105263157,169.66166666666666
10,10:00,망우,망우,36,36,0,1,13,0.7115384615384616,1832.2253846153849,385.5,45
10,10:00,목동,목동,62,62,0,1,15,0.72778,1623.9206666666664,160.93166666666667,89.06125
10,10:00,미아,미아,32,32,0,1,12,0.6423583333333334,1689.4750000000004,89.36666666666666,138.98499999999999
10,10:00,봉천,봉천,32,29,3,0.9063,10,0.91666,1764.753,141.654,168.60333333333332
10,10:00,사당,사당,34,33,1,0.9706,12,0.75,1578.6691666666668,14.1,112.9042857142857
10,10:00,상암,상암,16,16,0,1,7,0.7857142857142857,1560.637142857143,70,194.34499999999997
10,10:00,성수,성수,33,33,0,1,11,0.6742454545454545,1739.9881818181818,387.5,297.84
10,10:00,수서,수서,42,42,0,1,12,0.7569416666666666,1623.4674999999997,94.34875000000001,168.46428571428572
10,10:00,여의도,여의도,34,32,2,0.9412,9,0.9259222222222222,1905.2833333333333,39.309999999999995,147.055
10,10:00,연신내,연신내,37,37,0,1,12,0.6423666666666666,1833.1516666666666,54.86333333333334,142.66571428571427
10,10:00,용산,용산,14,14,0,1,5,0.64166,1489.014,0,78.905
