type,vertiport_id,vertiport,bucket,value,description
arrival_wait,망우,망우,arrival,969.8,평균 도착 절차 대기시간(sec)
arrival_wait,마곡,마곡,arrival,913.8,평균 도착 절차 대기시간(sec)
departure_wait,마곡,마곡,departure,729.9,평균 출발 절차 대기시간(sec)
departure_wait,망우,망우,departure,423.9,평균 출발 절차 대기시간(sec)
arrival_wait,용산,용산,arrival,312.7,평균 도착 절차 대기시간(sec)
arrival_wait,가산,가산,arrival,284.1,평균 도착 절차 대기시간(sec)
arrival_wait,수서,수서,arrival,282.8,평균 도착 절차 대기시간(sec)
departure_wait,가산,가산,departure,276.6,평균 출발 절차 대기시간(sec)
arrival_wait,목동,목동,arrival,250.9,평균 도착 절차 대기시간(sec)
departure_wait,성수,성수,departure,234.5,평균 출발 절차 대기시간(sec)
arrival_wait,미아,미아,arrival,213.7,평균 도착 절차 대기시간(sec)
departure_wait,사당,사당,departure,210.5,평균 출발 절차 대기시간(sec)
departure_wait,미아,미아,departure,204.4,평균 출발 절차 대기시간(sec)
departure_wait,목동,목동,departure,203.4,평균 출발 절차 대기시간(sec)
departure_wait,잠실,잠실,departure,198.6,평균 출발 절차 대기시간(sec)
arrival_wait,사당,사당,arrival,189.7,평균 도착 절차 대기시간(sec)
arrival_wait,천호,천호,arrival,187.9,평균 도착 절차 대기시간(sec)
arrival_wait,성수,성수,arrival,183.7,평균 도착 절차 대기시간(sec)
arrival_wait,잠실,잠실,arrival,175.4,평균 도착 절차 대기시간(sec)
arrival_wait,강남,강남,arrival,174.8,평균 도착 절차 대기시간(sec)
departure_wait,상암,상암,departure,167.6,평균 출발 절차 대기시간(sec)
departure_wait,수서,수서,departure,155.9,평균 출발 절차 대기시간(sec)
departure_wait,봉천,봉천,departure,153.4,평균 출발 절차 대기시간(sec)
departure_wait,천호,천호,departure,149.4,평균 출발 절차 대기시간(sec)
