hour,hour_label,vertiport_id,vertiport,requested,processed,unserved,processing_rate,flight_count,avg_load_factor,avg_gate_to_gate_sec,avg_departure_wait_sec,avg_arrival_wait_sec
6,06:00,가산,가산,3,3,0,1,3,0.5,1354.9066666666665,139.285,28.925
6,06:00,강남,강남,3,3,0,1,2,0.75,1295.71,10,103.94
6,06:00,광화문,광화문,1,1,0,1,1,0.5,1122.28,0,6.59
6,06:00,마곡,마곡,5,5,0,1,4,0.625,1511.605,185.71333333333334,104.025
6,06:00,망우,망우,5,5,0,1,4,0.625,1615.0875,185.71333333333334,109.79333333333334
6,06:00,목동,목동,6,6,0,1,4,0.75,1505.82,185.71333333333334,126.1025
6,06:00,미아,미아,5,4,1,0.8,4,0.5,1623.865,185.71333333333334,152.96333333333334
6,06:00,봉천,봉천,2,2,0,1,2,0.5,1307.1,10,131.75
6,06:00,사당,사당,2,2,0,1,2,0.5,1200.71,10,0
6,06:00,상암,상암,6,6,0,1,5,0.6,1461.6979999999999,185.71333333333334,165.60666666666668
6,06:00,성수,성수,2,2,0,1,2,0.5,1472.54,10,196.2
6,06:00,수서,수서,7,5,2,0.7143,4,0.625,1449.645,185.71333333333334,186.83
6,06:00,여의도,여의도,4,4,0,1,3,0.6666666666666666,1308.4466666666667,139.285,0
6,06:00,연신내,연신내,3,3,0,1,3,0.5,1438.2,139.285,121.83
6,06:00,잠실,잠실,2,2,0,1,2,0.5,1248.155,10,21.9
6,06:00,천호,천호,6,5,1,0.8333,4,0.625,1525.59,185.71333333333334,183.18
7,07:00,가산,가산,17,14,3,0.8235,8,0.875,1833.96,82.38,461.12875
7,07:00,강남,강남,21,18,3,0.8571,10,0.9,1726.071,425.826,537.5883333333333
7,07:00,광화문,광화문,12,12,0,1,8,0.75,1438.62625,191.9625,320.215
7,07:00,마곡,마곡,7,7,0,1,6,0.5833333333333334,1573.89,161.6833333333333,394.23
7,07:00,망우,망우,11,11,0,1,7,0.7857142857142857,1651.5857142857144,150.75799999999998,665.1166666666667
7,07:00,목동,목동,17,16,1,0.9412,10,0.8,1507.3270000000002,223.50874999999996,299.01000000000005
7,07:00,미아,미아,8,8,0,1,5,0.8,2140.652,0.57,1049.705
7,07:00,봉천,봉천,13,10,3,0.7692,6,0.8333333333333334,2209.8333333333335,269.07,480.97200000000004
7,07:00,사당,사당,12,12,0,1,7,0.8571428571428571,1591.5185714285715,248.73857142857145,187.25000000000003
7,07:00,상암,상암,5,4,1,0.8,2,1,1380.035,0,392.06
7,07:00,성수,성수,10,10,0,1,7,0.7142857142857143,1443.1,242.57,237.67666666666665
7,07:00,수서,수서,10,10,0,1,8,0.625,1426.3937500000002,0.57,254.91800000000003
