vertiport_id,vertiport,phase,resource_type,resource_id,fpl_id,aircraft_id,state,description,start_sec,end_sec,start_time,end_time,duration_sec
여의도,여의도,departure,fato,fato-1,FPL0102001,UAM0001,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
잠실,잠실,departure,fato,fato-1,FPL0203001,UAM0005,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
상암,상암,departure,fato,fato-1,FPL0309001,UAM0009,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
목동,목동,departure,fato,fato-1,FPL0502001,UAM0017,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
미아,미아,departure,fato,fato-1,FPL0614001,UAM0021,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
봉천,봉천,departure,fato,fato-1,FPL0715001,UAM0025,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
사당,사당,departure,fato,fato-1,FPL0816001,UAM0029,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
성수,성수,departure,fato,fato-1,FPL0915001,UAM0033,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
연신내,연신내,departure,fato,fato-1,FPL1005001,UAM0037,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
천호,천호,departure,fato,fato-1,FPL1114001,UAM0041,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
광화문,광화문,departure,fato,fato-1,FPL1215001,UAM0045,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
강남,강남,departure,fato,fato-1,FPL1315001,UAM0049,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
가산,가산,departure,fato,fato-1,FPL1413001,UAM0053,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
마곡,마곡,departure,fato,fato-1,FPL1513001,UAM0057,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
망우,망우,departure,fato,fato-1,FPL1614001,UAM0061,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
수서,수서,departure,fato,fato-1,FPL1701001,UAM0065,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
여의도,여의도,departure,fato,fato-2,FPL0117001,UAM0002,procedure,engine start,23558.28,23798.28,06:32:38,06:36:38,240
잠실,잠실,departure,fato,fato-2,FPL0201001,UAM0006,procedure,engine start,23558.28,23798.28,06:32:38,06:36:38,240
상암,상암,departure,fato,fato-2,FPL0316001,UAM0010,procedure,engine start,23558.28,23798.28,06:32:38,06:36:38,240
목동,목동,departure,fato,fato-2,FPL0509001,UAM0018,procedure,engine start,23558.28,23798.28,06:32:38,06:36:38,240
미아,미아,departure,fato,fato-2,FPL0613001,UAM0022,procedure,engine start,23558.28,23798.28,06:32:38,06:36:38,240
봉천,봉천,departure,fato,fato-2,FPL0709001,UAM0026,procedure,engine start,23558.28,23798.28,06:32:38,06:36:38,240
사당,사당,departure,fato,fato-2,FPL0810001,UAM0030,procedure,engine start,23558.28,23798.28,06:32:38,06:36:38,240
성수,성수,departure,fato,fato-2,FPL0907001,UAM0034,procedure,engine start,23558.28,23798.28,06:32:38,06:36:38,240
연신내,연신내,departure,fato,fato-2,FPL1017001,UAM0038,procedure,engine start,23558.28,23798.28,06:32:38,06:36:38,240
천호,천호,departure,fato,fato-2,FPL1113001,UAM0042,procedure,engine start,23558.28,23798.28,06:32:38,06:36:38,240
강남,강남,departure,fato,fato-2,FPL1303001,UAM0050,procedure,engine start,23558.28,23798.28,06:32:38,06:36:38,240
가산,가산,departure,fato,fato-2,FPL1415001,UAM0054,procedure,engine start,23558.28,23798.28,06:32:38,06:36:38,240
마곡,마곡,departure,fato,fato-2,FPL1507001,UAM0058,procedure,engine start,23558.28,23798.28,06:32:38,06:36:38,240
망우,망우,departure,fato,fato-2,FPL1615001,UAM0062,procedure,engine start,23558.28,23798.28,06:32:38,06:36:38,240
수서,수서,departure,fato,fato-2,FPL1712001,UAM0066,procedure,engine start,23558.28,23798.28,06:32:38,06:36:38,240
여의도,여의도,departure,fato,fato-1,FPL0102002,UAM0003,procedure,engine start,23846.86,24086.86,06:37:26,06:41:26,240
상암,상암,departure,fato,fato-1,FPL0308001,UAM0011,procedure,engine start,23846.86,24086.86,06:37:26,06:41:26,240
목동,목동,departure,fato,fato-1,FPL0513001,UAM0019,procedure,engine start,23846.86,24086.86,06:37:26,06:41:26,240
미아,미아,departure,fato,fato-1,FPL0608001,UAM0023,procedure,engine start,23846.86,24086.86,06:37:26,06:41:26,240
연신내,연신내,departure,fato,fato-1,FPL1002001,UAM0039,procedure,engine start,23846.86,24086.86,06:37:26,06:41:26,240
천호,천호,departure,fato,fato-1,FPL1115001,UAM0043,procedure,engine start,23846.86,24086.86,06:37:26,06:41:26,240
가산,가산,departure,fato,fato-1,FPL1406001,UAM0055,procedure,engine start,23846.86,24086.86,06:37:26,06:41:26,240
마곡,마곡,departure,fato,fato-1,FPL1508001,UAM0059,procedure,engine start,23846.86,24086.86,06:37:26,06:41:26,240
망우,망우,departure,fato,fato-1,FPL1607001,UAM0063,procedure,engine start,23846.86,24086.86,06:37:26,06:41:26,240
수서,수서,departure,fato,fato-1,FPL1715001,UAM0067,procedure,engine start,23846.86,24086.86,06:37:26,06:41:26,240
상암,상암,departure,fato,fato-2,FPL0317001,UAM0012,procedure,engine start,23886.86,24126.86,06:38:06,06:42:06,240
목동,목동,departure,fato,fato-2,FPL0517001,UAM0020,procedure,engine start,23886.86,24126.86,06:38:06,06:42:06,240
미아,미아,departure,fato,fato-2,FPL0617001,UAM0024,procedure,engine start,23886.86,24126.86,06:38:06,06:42:06,240
천호,천호,departure,fato,fato-2,FPL1105001,UAM0044,procedure,engine start,23886.86,24126.86,06:38:06,06:42:06,240
마곡,마곡,departure,fato,fato-2,FPL1511001,UAM0060,procedure,engine start,23886.86,24126.86,06:38:06,06:42:06,240
망우,망우,departure,fato,fato-2,FPL1608001,UAM0064,procedure,engine start,23886.86,24126.86,06:38:06,06:42:06,240
수서,수서,departure,fato,fato-2,FPL1708001,UAM0068,procedure,engine start,23886.86,24126.86,06:38:06,06:42:06,240
강남,강남,arrival,fato,fato-1,FPL1113001,UAM0042,fatoLock,fato lock,24073.1,24133.1,06:41:13,06:42:13,60
강남,강남,arrival,fato,fato-2,FPL1413001,UAM0053,fatoLock,fato lock,24104.48,24164.48,06:41:44,06:42:44,60
강남,강남,arrival,fato,fato-1,FPL1113001,UAM0042,procedure,engine stop,24133.1,24313.1,06:42:13,06:45:13,180
목동,목동,arrival,fato,fato-1,FPL1005001,UAM0037,fatoLock,fato lock,24164,24224,06:42:43,06:43:43,60
마곡,마곡,arrival,fato,fato-1,FPL1215001,UAM0045,fatoLock,fato lock,24164,24224,06:42:43,06:43:43,60
상암,상암,arrival,fato,fato-1,FPL1303001,UAM0050,fatoLock,fato lock,24164,24224,06:42:43,06:43:43,60
강남,강남,arrival,fato,fato-2,FPL1413001,UAM0053,procedure,engine stop,24164.48,24344.48,06:42:44,06:45:44,180
성수,성수,arrival,fato,fato-1,FPL0309001,UAM0009,fatoLock,fato lock,24186.78,24246.78,06:43:06,06:44:06,60
마곡,마곡,arrival,fato,fato-2,FPL1415001,UAM0054,fatoLock,fato lock,24204,24264,06:43:23,06:44:23,60
잠실,잠실,arrival,fato,fato-1,FPL0102001,UAM0001,fatoLock,fato lock,24212.76,24272.76,06:43:32,06:44:32,60
봉천,봉천,arrival,fato,fato-1,FPL1507001,UAM0058,fatoLock,fato lock,24219.08,24279.08,06:43:39,06:44:39,60
망우,망우,arrival,fato,fato-1,FPL0816001,UAM0029,fatoLock,fato lock,24222.08,24282.08,06:43:42,06:44:42,60
목동,목동,arrival,fato,fato-1,FPL1005001,UAM0037,procedure,engine stop,24224,24404,06:43:43,06:46:43,180
마곡,마곡,arrival,fato,fato-1,FPL1215001,UAM0045,procedure,engine stop,24224,24404,06:43:43,06:46:43,180
상암,상암,arrival,fato,fato-1,FPL1303001,UAM0050,procedure,engine stop,24224,24404,06:43:43,06:46:43,180
성수,성수,arrival,fato,fato-2,FPL0709001,UAM0026,fatoLock,fato lock,24225.05,24285.05,06:43:45,06:44:45,60
봉천,봉천,arrival,fato,fato-2,FPL0907001,UAM0034,fatoLock,fato lock,24225.05,24285.05,06:43:45,06:44:45,60
여의도,여의도,arrival,fato,fato-1,FPL1701001,UAM0065,fatoLock,fato lock,24226.38,24286.38,06:43:46,06:44:46,60
성수,성수,arrival,fato,fato-1,FPL0309001,UAM0009,procedure,engine stop,24246.78,24426.78,06:44:06,06:47:06,180
여의도,여의도,arrival,fato,fato-2,FPL0201001,UAM0006,fatoLock,fato lock,24252.76,24312.76,06:44:12,06:45:12,60
잠실,잠실,arrival,fato,fato-2,FPL0502001,UAM0017,fatoLock,fato lock,24257.74,24317.74,06:44:17,06:45:17,60
연신내,연신내,arrival,fato,fato-1,FPL0810001,UAM0030,fatoLock,fato lock,24262.77,24322.77,06:44:22,06:45:22,60
마곡,마곡,arrival,fato,fato-2,FPL1415001,UAM0054,procedure,engine stop,24264,24444,06:44:23,06:47:23,180
수서,수서,arrival,fato,fato-1,FPL0117001,UAM0002,fatoLock,fato lock,24266.38,24326.38,06:44:26,06:45:26,60
잠실,잠실,arrival,fato,fato-1,FPL0102001,UAM0001,procedure,engine stop,24272.76,24452.76,06:44:32,06:47:32,180
광화문,광화문,arrival,fato,fato-1,FPL1712001,UAM0066,fatoLock,fato lock,24278.48,24338.48,06:44:38,06:45:38,60
봉천,봉천,arrival,fato,fato-1,FPL1507001,UAM0058,procedure,engine stop,24279.08,24459.08,06:44:39,06:47:39,180
망우,망우,arrival,fato,fato-1,FPL0816001,UAM0029,procedure,engine stop,24282.08,24462.08,06:44:42,06:47:42,180
성수,성수,arrival,fato,fato-2,FPL0709001,UAM0026,procedure,engine stop,24285.05,24465.05,06:44:45,06:47:45,180
봉천,봉천,arrival,fato,fato-2,FPL0907001,UAM0034,procedure,engine stop,24285.05,24465.05,06:44:45,06:47:45,180
여의도,여의도,arrival,fato,fato-1,FPL1701001,UAM0065,procedure,engine stop,24286.38,24466.38,06:44:46,06:47:46,180
상암,상암,arrival,fato,fato-2,FPL0203001,UAM0005,fatoLock,fato lock,24305.08,24365.08,06:45:05,06:46:05,60
여의도,여의도,arrival,fato,fato-2,FPL0201001,UAM0006,procedure,engine stop,24312.76,24492.76,06:45:12,06:48:12,180
