type,vertiport_id,vertiport,bucket,value,description
departure_wait,마곡,마곡,departure,890.7,평균 출발 절차 대기시간(sec)
departure_wait,천호,천호,departure,253.2,평균 출발 절차 대기시간(sec)
departure_wait,봉천,봉천,departure,160.8,평균 출발 절차 대기시간(sec)
departure_wait,미아,미아,departure,156.5,평균 출발 절차 대기시간(sec)
departure_wait,성수,성수,departure,150.1,평균 출발 절차 대기시간(sec)
departure_wait,목동,목동,departure,143.1,평균 출발 절차 대기시간(sec)
departure_wait,용산,용산,departure,133.8,평균 출발 절차 대기시간(sec)
departure_wait,여의도,여의도,departure,128.2,평균 출발 절차 대기시간(sec)
departure_wait,가산,가산,departure,128.1,평균 출발 절차 대기시간(sec)
departure_wait,사당,사당,departure,125.7,평균 출발 절차 대기시간(sec)
arrival_wait,마곡,마곡,arrival,124.5,평균 도착 절차 대기시간(sec)
departure_wait,강남,강남,departure,122.7,평균 출발 절차 대기시간(sec)
arrival_wait,미아,미아,arrival,121.4,평균 도착 절차 대기시간(sec)
departure_wait,망우,망우,departure,117,평균 출발 절차 대기시간(sec)
departure_wait,광화문,광화문,departure,116.3,평균 출발 절차 대기시간(sec)
arrival_wait,가산,가산,arrival,113.6,평균 도착 절차 대기시간(sec)
arrival_wait,수서,수서,arrival,112.4,평균 도착 절차 대기시간(sec)
departure_wait,상암,상암,departure,112.3,평균 출발 절차 대기시간(sec)
departure_wait,수서,수서,departure,107.3,평균 출발 절차 대기시간(sec)
departure_wait,연신내,연신내,departure,106.7,평균 출발 절차 대기시간(sec)
departure_wait,잠실,잠실,departure,106.6,평균 출발 절차 대기시간(sec)
arrival_wait,목동,목동,arrival,104.9,평균 도착 절차 대기시간(sec)
arrival_wait,성수,성수,arrival,103.9,평균 도착 절차 대기시간(sec)
arrival_wait,천호,천호,arrival,101.8,평균 도착 절차 대기시간(sec)
