vertiport_id,vertiport,phase,resource_type,resource_id,fpl_id,aircraft_id,state,description,start_sec,end_sec,start_time,end_time,duration_sec
여의도,여의도,departure,fato,fato-1,FPL0109001,UAM0001,procedure,engine start,23570,23810,06:32:50,06:36:50,240
잠실,잠실,departure,fato,fato-1,FPL0205001,UAM0009,procedure,engine start,23570,23810,06:32:50,06:36:50,240
상암,상암,departure,fato,fato-1,FPL0309001,UAM0017,procedure,engine start,23570,23810,06:32:50,06:36:50,240
용산,용산,departure,fato,fato-1,FPL0417001,UAM0025,procedure,engine start,23570,23810,06:32:50,06:36:50,240
목동,목동,departure,fato,fato-1,FPL0517001,UAM0033,procedure,engine start,23570,23810,06:32:50,06:36:50,240
미아,미아,departure,fato,fato-1,FPL0611001,UAM0041,procedure,engine start,23570,23810,06:32:50,06:36:50,240
봉천,봉천,departure,fato,fato-1,FPL0709001,UAM0049,procedure,engine start,23570,23810,06:32:50,06:36:50,240
사당,사당,departure,fato,fato-1,FPL0803001,UAM0057,procedure,engine start,23570,23810,06:32:50,06:36:50,240
성수,성수,departure,fato,fato-1,FPL0901001,UAM0065,procedure,engine start,23570,23810,06:32:50,06:36:50,240
연신내,연신내,departure,fato,fato-1,FPL1014001,UAM0073,procedure,engine start,23570,23810,06:32:50,06:36:50,240
천호,천호,departure,fato,fato-1,FPL1101001,UAM0081,procedure,engine start,23570,23810,06:32:50,06:36:50,240
광화문,광화문,departure,fato,fato-1,FPL1211001,UAM0089,procedure,engine start,23570,23810,06:32:50,06:36:50,240
강남,강남,departure,fato,fato-1,FPL1305001,UAM0097,procedure,engine start,23570,23810,06:32:50,06:36:50,240
가산,가산,departure,fato,fato-1,FPL1412001,UAM0105,procedure,engine start,23570,23810,06:32:50,06:36:50,240
마곡,마곡,departure,fato,fato-1,FPL1516001,UAM0113,procedure,engine start,23570,23810,06:32:50,06:36:50,240
망우,망우,departure,fato,fato-1,FPL1604001,UAM0121,procedure,engine start,23570,23810,06:32:50,06:36:50,240
수서,수서,departure,fato,fato-1,FPL1712001,UAM0129,procedure,engine start,23570,23810,06:32:50,06:36:50,240
여의도,여의도,departure,fato,fato-2,FPL0116001,UAM0002,procedure,engine start,23610,23850,06:33:30,06:37:30,240
잠실,잠실,departure,fato,fato-2,FPL0214001,UAM0010,procedure,engine start,23610,23850,06:33:30,06:37:30,240
상암,상암,departure,fato,fato-2,FPL0311001,UAM0018,procedure,engine start,23610,23850,06:33:30,06:37:30,240
용산,용산,departure,fato,fato-2,FPL0416001,UAM0026,procedure,engine start,23610,23850,06:33:30,06:37:30,240
목동,목동,departure,fato,fato-2,FPL0510001,UAM0034,procedure,engine start,23610,23850,06:33:30,06:37:30,240
미아,미아,departure,fato,fato-2,FPL0603001,UAM0042,procedure,engine start,23610,23850,06:33:30,06:37:30,240
봉천,봉천,departure,fato,fato-2,FPL0715001,UAM0050,procedure,engine start,23610,23850,06:33:30,06:37:30,240
사당,사당,departure,fato,fato-2,FPL0815001,UAM0058,procedure,engine start,23610,23850,06:33:30,06:37:30,240
성수,성수,departure,fato,fato-2,FPL0910001,UAM0066,procedure,engine start,23610,23850,06:33:30,06:37:30,240
연신내,연신내,departure,fato,fato-2,FPL1013001,UAM0074,procedure,engine start,23610,23850,06:33:30,06:37:30,240
천호,천호,departure,fato,fato-2,FPL1108001,UAM0082,procedure,engine start,23610,23850,06:33:30,06:37:30,240
광화문,광화문,departure,fato,fato-2,FPL1208001,UAM0090,procedure,engine start,23610,23850,06:33:30,06:37:30,240
강남,강남,departure,fato,fato-2,FPL1315001,UAM0098,procedure,engine start,23610,23850,06:33:30,06:37:30,240
가산,가산,departure,fato,fato-2,FPL1412002,UAM0106,procedure,engine start,23610,23850,06:33:30,06:37:30,240
마곡,마곡,departure,fato,fato-2,FPL1516002,UAM0114,procedure,engine start,23610,23850,06:33:30,06:37:30,240
망우,망우,departure,fato,fato-2,FPL1608001,UAM0122,procedure,engine start,23610,23850,06:33:30,06:37:30,240
수서,수서,departure,fato,fato-2,FPL1701001,UAM0130,procedure,engine start,23610,23850,06:33:30,06:37:30,240
여의도,여의도,departure,fato,fato-1,FPL0109002,UAM0003,procedure,engine start,23895.71,24135.71,06:38:15,06:42:15,240
잠실,잠실,departure,fato,fato-1,FPL0201001,UAM0011,procedure,engine start,23895.71,24135.71,06:38:15,06:42:15,240
상암,상암,departure,fato,fato-1,FPL0311002,UAM0019,procedure,engine start,23895.71,24135.71,06:38:15,06:42:15,240
용산,용산,departure,fato,fato-1,FPL0416002,UAM0027,procedure,engine start,23895.71,24135.71,06:38:15,06:42:15,240
목동,목동,departure,fato,fato-1,FPL0511001,UAM0035,procedure,engine start,23895.71,24135.71,06:38:15,06:42:15,240
미아,미아,departure,fato,fato-1,FPL0613001,UAM0043,procedure,engine start,23895.71,24135.71,06:38:15,06:42:15,240
봉천,봉천,departure,fato,fato-1,FPL0716001,UAM0051,procedure,engine start,23895.71,24135.71,06:38:15,06:42:15,240
사당,사당,departure,fato,fato-1,FPL0812001,UAM0059,procedure,engine start,23895.71,24135.71,06:38:15,06:42:15,240
성수,성수,departure,fato,fato-1,FPL0914001,UAM0067,procedure,engine start,23895.71,24135.71,06:38:15,06:42:15,240
연신내,연신내,departure,fato,fato-1,FPL1005001,UAM0075,procedure,engine start,23895.71,24135.71,06:38:15,06:42:15,240
천호,천호,departure,fato,fato-1,FPL1112001,UAM0083,procedure,engine start,23895.71,24135.71,06:38:15,06:42:15,240
광화문,광화문,departure,fato,fato-1,FPL1215001,UAM0091,procedure,engine start,23895.71,24135.71,06:38:15,06:42:15,240
강남,강남,departure,fato,fato-1,FPL1303001,UAM0099,procedure,engine start,23895.71,24135.71,06:38:15,06:42:15,240
가산,가산,departure,fato,fato-1,FPL1413001,UAM0107,procedure,engine start,23895.71,24135.71,06:38:15,06:42:15,240
마곡,마곡,departure,fato,fato-1,FPL1511001,UAM0115,procedure,engine start,23895.71,24135.71,06:38:15,06:42:15,240
망우,망우,departure,fato,fato-1,FPL1613001,UAM0123,procedure,engine start,23895.71,24135.71,06:38:15,06:42:15,240
수서,수서,departure,fato,fato-1,FPL1715001,UAM0131,procedure,engine start,23895.71,24135.71,06:38:15,06:42:15,240
여의도,여의도,departure,fato,fato-2,FPL0102001,UAM0004,procedure,engine start,23935.71,24175.71,06:38:55,06:42:55,240
잠실,잠실,departure,fato,fato-2,FPL0212001,UAM0012,procedure,engine start,23935.71,24175.71,06:38:55,06:42:55,240
상암,상암,departure,fato,fato-2,FPL0316001,UAM0020,procedure,engine start,23935.71,24175.71,06:38:55,06:42:55,240
용산,용산,departure,fato,fato-2,FPL0415001,UAM0028,procedure,engine start,23935.71,24175.71,06:38:55,06:42:55,240
목동,목동,departure,fato,fato-2,FPL0508001,UAM0036,procedure,engine start,23935.71,24175.71,06:38:55,06:42:55,240
미아,미아,departure,fato,fato-2,FPL0615001,UAM0044,procedure,engine start,23935.71,24175.71,06:38:55,06:42:55,240
봉천,봉천,departure,fato,fato-2,FPL0709002,UAM0052,procedure,engine start,23935.71,24175.71,06:38:55,06:42:55,240
사당,사당,departure,fato,fato-2,FPL0805001,UAM0060,procedure,engine start,23935.71,24175.71,06:38:55,06:42:55,240
성수,성수,departure,fato,fato-2,FPL0907001,UAM0068,procedure,engine start,23935.71,24175.71,06:38:55,06:42:55,240
연신내,연신내,departure,fato,fato-2,FPL1002001,UAM0076,procedure,engine start,23935.71,24175.71,06:38:55,06:42:55,240
천호,천호,departure,fato,fato-2,FPL1105001,UAM0084,procedure,engine start,23935.71,24175.71,06:38:55,06:42:55,240
광화문,광화문,departure,fato,fato-2,FPL1217001,UAM0092,procedure,engine start,23935.71,24175.71,06:38:55,06:42:55,240
강남,강남,departure,fato,fato-2,FPL1305002,UAM0100,procedure,engine start,23935.71,24175.71,06:38:55,06:42:55,240
가산,가산,departure,fato,fato-2,FPL1406001,UAM0108,procedure,engine start,23935.71,24175.71,06:38:55,06:42:55,240
마곡,마곡,departure,fato,fato-2,FPL1501001,UAM0116,procedure,engine start,23935.71,24175.71,06:38:55,06:42:55,240
망우,망우,departure,fato,fato-2,FPL1610001,UAM0124,procedure,engine start,23935.71,24175.71,06:38:55,06:42:55,240
수서,수서,departure,fato,fato-2,FPL1703001,UAM0132,procedure,engine start,23935.71,24175.71,06:38:55,06:42:55,240
연신내,연신내,arrival,fato,fato-3,FPL0510001,UAM0034,fatoLock,fato lock,24128.17,24188.17,06:42:08,06:43:08,60
성수,성수,arrival,fato,fato-3,FPL0109001,UAM0001,fatoLock,fato lock,24130.65,24190.65,06:42:10,06:43:10,60
여의도,여의도,arrival,fato,fato-3,FPL0901001,UAM0065,fatoLock,fato lock,24130.65,24190.65,06:42:10,06:43:10,60
상암,상암,arrival,fato,fato-3,FPL0803001,UAM0057,fatoLock,fato lock,24131.61,24191.61,06:42:11,06:43:11,60
천호,천호,arrival,fato,fato-3,FPL0611001,UAM0041,fatoLock,fato lock,24147.9,24207.9,06:42:27,06:43:27,60
목동,목동,arrival,fato,fato-3,FPL1305001,UAM0097,fatoLock,fato lock,24170.99,24230.99,06:42:50,06:43:50,60
광화문,광화문,arrival,fato,fato-3,FPL1412001,UAM0105,fatoLock,fato lock,24183.76,24243.76,06:43:03,06:44:03,60
연신내,연신내,arrival,fato,fato-3,FPL0510001,UAM0034,procedure,engine stop,24188.17,24368.17,06:43:08,06:46:08,180
가산,가산,arrival,fato,fato-3,FPL1014001,UAM0073,fatoLock,fato lock,24189.21,24249.21,06:43:09,06:44:09,60
성수,성수,arrival,fato,fato-3,FPL0109001,UAM0001,procedure,engine stop,24190.65,24370.65,06:43:10,06:46:10,180
여의도,여의도,arrival,fato,fato-3,FPL0901001,UAM0065,procedure,engine stop,24190.65,24370.65,06:43:10,06:46:10,180
