scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status,route_path,route_distance_km,segment_count,segment_001,segment_002,segment_003,segment_004,segment_005,segment_006,segment_007,segment_008,segment_009,segment_010,segment_011,segment_012,segment_013,segment_014,segment_015,segment_016,segment_017,segment_018,segment_019,segment_020,segment_021
bfaef6930eb2,2026-07-11,FPL0305001,UAM0003,a2,2,1,0.5,상암,상암,목동,목동,9,G6,F1,G8,F2,09:00:00,09:07:06,09:18:22,09:24:20,09:34:20,426.86,675.71,358.28,1460.85,0,534.13,ready,상암 > 선유도 17고지 > 목동,5.3956,9,"{""phase"":""A"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""targetSpeed"":3,""seq"":1}","{""phase"":""B"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":15},""targetSpeed"":10,""seq"":2}","{""phase"":""C"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":15},""endLLA"":{""lat"":37.55662,""lon"":126.893652,""alt"":100},""targetSpeed"":36,""seq"":3}","{""phase"":""E"",""startLLA"":{""lat"":37.55662,""lon"":126.893652,""alt"":100},""endLLA"":{""lat"":37.542307,""lon"":126.90249,""alt"":277},""targetSpeed"":44.971,""seq"":4}","{""phase"":""E"",""startLLA"":{""lat"":37.542307,""lon"":126.90249,""alt"":277},""endLLA"":{""lat"":37.540773,""lon"":126.899968,""alt"":305},""targetSpeed"":44.971,""seq"":5}","{""phase"":""G"",""startLLA"":{""lat"":37.540773,""lon"":126.899968,""alt"":305},""endLLA"":{""lat"":37.52954,""lon"":126.8815,""alt"":100},""targetSpeed"":36,""seq"":6}","{""phase"":""I"",""startLLA"":{""lat"":37.52954,""lon"":126.8815,""alt"":100},""endLLA"":{""lat"":37.526343,""lon"":126.876243,""alt"":15},""targetSpeed"":30,""seq"":7}","{""phase"":""J"",""startLLA"":{""lat"":37.526343,""lon"":126.876243,""alt"":15},""endLLA"":{""lat"":37.526343,""lon"":126.876243,""alt"":0},""targetSpeed"":10,""seq"":8}","{""phase"":""K"",""startLLA"":{""lat"":37.526343,""lon"":126.876243,""alt"":0},""endLLA"":{""lat"":37.526343,""lon"":126.876243,""alt"":0},""targetSpeed"":3,""seq"":9}",,,,,,,,,,,,
bfaef6930eb2,2026-07-11,FPL0314001,UAM0009,a2,2,1,0.5,상암,상암,가산,가산,10,G1,F1,G2,F1,10:00:00,10:06:06,10:12:53,10:19:21,10:29:21,366.86,406.43,388.28,1161.57,0,167.25,ready,상암 > 선유도 17고지 > 영등포 > 가산,9.379,11,"{""phase"":""A"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""targetSpeed"":3,""seq"":1}","{""phase"":""B"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":15},""targetSpeed"":10,""seq"":2}","{""phase"":""C"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":15},""endLLA"":{""lat"":37.552561,""lon"":126.896158,""alt"":100},""targetSpeed"":36,""seq"":3}","{""phase"":""E"",""startLLA"":{""lat"":37.552561,""lon"":126.896158,""alt"":100},""endLLA"":{""lat"":37.542307,""lon"":126.90249,""alt"":173.86},""targetSpeed"":51.4,""seq"":4}","{""phase"":""E"",""startLLA"":{""lat"":37.542307,""lon"":126.90249,""alt"":173.86},""endLLA"":{""lat"":37.522288,""lon"":126.906492,""alt"":305},""targetSpeed"":51.4,""seq"":5}","{""phase"":""F"",""startLLA"":{""lat"":37.522288,""lon"":126.906492,""alt"":305},""endLLA"":{""lat"":37.521255,""lon"":126.906699,""alt"":305},""targetSpeed"":51.4,""seq"":6}","{""phase"":""G"",""startLLA"":{""lat"":37.521255,""lon"":126.906699,""alt"":305},""endLLA"":{""lat"":37.515965,""lon"":126.907756,""alt"":270.35},""targetSpeed"":36,""seq"":7}","{""phase"":""G"",""startLLA"":{""lat"":37.515965,""lon"":126.907756,""alt"":270.35},""endLLA"":{""lat"":37.495948,""lon"":126.886195,""alt"":100},""targetSpeed"":36,""seq"":8}","{""phase"":""I"",""startLLA"":{""lat"":37.495948,""lon"":126.886195,""alt"":100},""endLLA"":{""lat"":37.489091,""lon"":126.878809,""alt"":15},""targetSpeed"":30,""seq"":9}","{""phase"":""J"",""startLLA"":{""lat"":37.489091,""lon"":126.878809,""alt"":15},""endLLA"":{""lat"":37.489091,""lon"":126.878809,""alt"":0},""targetSpeed"":10,""seq"":10}","{""phase"":""K"",""startLLA"":{""lat"":37.489091,""lon"":126.878809,""alt"":0},""endLLA"":{""lat"":37.489091,""lon"":126.878809,""alt"":0},""targetSpeed"":3,""seq"":11}",,,,,,,,,,
bfaef6930eb2,2026-07-11,FPL0313001,UAM0010,a2,2,1,0.5,상암,상암,강남,강남,10,G2,F2,G7,F2,10:00:00,10:06:46,10:15:16,10:21:44,10:31:44,406.86,509.74,388.28,1304.88,10,160.25,ready,상암 > 선유도 17고지 > 서강대교 중간지점 > 63빌딩 > 상도터널 > 이수고가차로 > 강남,15.0491,14,"{""phase"":""A"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""targetSpeed"":3,""seq"":1}","{""phase"":""B"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":15},""targetSpeed"":10,""seq"":2}","{""phase"":""C"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":15},""endLLA"":{""lat"":37.552559,""lon"":126.896159,""alt"":100},""targetSpeed"":36,""seq"":3}","{""phase"":""E"",""startLLA"":{""lat"":37.552559,""lon"":126.896159,""alt"":100},""endLLA"":{""lat"":37.542307,""lon"":126.90249,""alt"":173.84},""targetSpeed"":51.4,""seq"":4}","{""phase"":""E"",""startLLA"":{""lat"":37.542307,""lon"":126.90249,""alt"":173.84},""endLLA"":{""lat"":37.536949,""lon"":126.924908,""alt"":293.93},""targetSpeed"":51.4,""seq"":5}","{""phase"":""E"",""startLLA"":{""lat"":37.536949,""lon"":126.924908,""alt"":293.93},""endLLA"":{""lat"":37.535541,""lon"":126.926134,""alt"":305},""targetSpeed"":51.4,""seq"":6}","{""phase"":""F"",""startLLA"":{""lat"":37.535541,""lon"":126.926134,""alt"":305},""endLLA"":{""lat"":37.519378,""lon"":126.94021,""alt"":305},""targetSpeed"":51.4,""seq"":7}","{""phase"":""F"",""startLLA"":{""lat"":37.519378,""lon"":126.94021,""alt"":305},""endLLA"":{""lat"":37.508684,""lon"":126.95211,""alt"":305},""targetSpeed"":51.4,""seq"":8}","{""phase"":""F"",""startLLA"":{""lat"":37.508684,""lon"":126.95211,""alt"":305},""endLLA"":{""lat"":37.501448,""lon"":126.973006,""alt"":305},""targetSpeed"":51.4,""seq"":9}","{""phase"":""G"",""startLLA"":{""lat"":37.501448,""lon"":126.973006,""alt"":305},""endLLA"":{""lat"":37.497738,""lon"":126.983721,""alt"":245},""targetSpeed"":36,""seq"":10}","{""phase"":""G"",""startLLA"":{""lat"":37.497738,""lon"":126.983721,""alt"":245},""endLLA"":{""lat"":37.496706,""lon"":127.011945,""alt"":100},""targetSpeed"":36,""seq"":11}","{""phase"":""I"",""startLLA"":{""lat"":37.496706,""lon"":127.011945,""alt"":100},""endLLA"":{""lat"":37.496291,""lon"":127.023303,""alt"":15},""targetSpeed"":30,""seq"":12}","{""phase"":""J"",""startLLA"":{""lat"":37.496291,""lon"":127.023303,""alt"":15},""endLLA"":{""lat"":37.496291,""lon"":127.023303,""alt"":0},""targetSpeed"":10,""seq"":13}","{""phase"":""K"",""startLLA"":{""lat"":37.496291,""lon"":127.023303,""alt"":0},""endLLA"":{""lat"":37.496291,""lon"":127.023303,""alt"":0},""targetSpeed"":3,""seq"":14}",,,,,,,
bfaef6930eb2,2026-07-11,FPL0312001,UAM0011,a2,2,1,0.5,상암,상암,광화문,광화문,10,G3,F1,G7,F1,10:00:00,10:11:35,10:17:42,10:24:10,10:34:10,695.43,367.14,388.28,1450.85,268.57,164.32,ready,상암 > 홍대입구 > 광화문,7.8797,9,"{""phase"":""A"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""targetSpeed"":3,""seq"":1}","{""phase"":""B"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":15},""targetSpeed"":10,""seq"":2}","{""phase"":""C"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":15},""endLLA"":{""lat"":37.560477,""lon"":126.901172,""alt"":100},""targetSpeed"":36,""seq"":3}","{""phase"":""E"",""startLLA"":{""lat"":37.560477,""lon"":126.901172,""alt"":100},""endLLA"":{""lat"":37.556786,""lon"":126.923706,""alt"":243.25},""targetSpeed"":49.101,""seq"":4}","{""phase"":""E"",""startLLA"":{""lat"":37.556786,""lon"":126.923706,""alt"":243.25},""endLLA"":{""lat"":37.559108,""lon"":126.933184,""alt"":305},""targetSpeed"":49.101,""seq"":5}","{""phase"":""G"",""startLLA"":{""lat"":37.559108,""lon"":126.933184,""alt"":305},""endLLA"":{""lat"":37.566816,""lon"":126.964648,""alt"":100},""targetSpeed"":36,""seq"":6}","{""phase"":""I"",""startLLA"":{""lat"":37.566816,""lon"":126.964648,""alt"":100},""endLLA"":{""lat"":37.56901,""lon"":126.973604,""alt"":15},""targetSpeed"":30,""seq"":7}","{""phase"":""J"",""startLLA"":{""lat"":37.56901,""lon"":126.973604,""alt"":15},""endLLA"":{""lat"":37.56901,""lon"":126.973604,""alt"":0},""targetSpeed"":10,""seq"":8}","{""phase"":""K"",""startLLA"":{""lat"":37.56901,""lon"":126.973604,""alt"":0},""endLLA"":{""lat"":37.56901,""lon"":126.973604,""alt"":0},""targetSpeed"":3,""seq"":9}",,,,,,,,,,,,
bfaef6930eb2,2026-07-11,FPL0312002,UAM0012,a2,2,1,0.5,상암,상암,광화문,광화문,11,G4,F1,G8,F1,11:00:00,11:07:36,11:10:59,11:16:57,11:26:57,456.86,202.83,358.28,1017.97,0,0,ready,상암 > 홍대입구 > 광화문,7.8797,9,"{""phase"":""A"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""targetSpeed"":3,""seq"":1}","{""phase"":""B"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":15},""targetSpeed"":10,""seq"":2}","{""phase"":""C"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":15},""endLLA"":{""lat"":37.560477,""lon"":126.901172,""alt"":100},""targetSpeed"":36,""seq"":3}","{""phase"":""E"",""startLLA"":{""lat"":37.560477,""lon"":126.901172,""alt"":100},""endLLA"":{""lat"":37.556786,""lon"":126.923706,""alt"":243.25},""targetSpeed"":49.101,""seq"":4}","{""phase"":""E"",""startLLA"":{""lat"":37.556786,""lon"":126.923706,""alt"":243.25},""endLLA"":{""lat"":37.559108,""lon"":126.933184,""alt"":305},""targetSpeed"":49.101,""seq"":5}","{""phase"":""G"",""startLLA"":{""lat"":37.559108,""lon"":126.933184,""alt"":305},""endLLA"":{""lat"":37.566816,""lon"":126.964648,""alt"":100},""targetSpeed"":36,""seq"":6}","{""phase"":""I"",""startLLA"":{""lat"":37.566816,""lon"":126.964648,""alt"":100},""endLLA"":{""lat"":37.56901,""lon"":126.973604,""alt"":15},""targetSpeed"":30,""seq"":7}","{""phase"":""J"",""startLLA"":{""lat"":37.56901,""lon"":126.973604,""alt"":15},""endLLA"":{""lat"":37.56901,""lon"":126.973604,""alt"":0},""targetSpeed"":10,""seq"":8}","{""phase"":""K"",""startLLA"":{""lat"":37.56901,""lon"":126.973604,""alt"":0},""endLLA"":{""lat"":37.56901,""lon"":126.973604,""alt"":0},""targetSpeed"":3,""seq"":9}",,,,,,,,,,,,
bfaef6930eb2,2026-07-11,FPL0305002,UAM0015,a2,2,1,0.5,상암,상암,목동,목동,11,G1,F2,G7,F1,11:00:00,11:06:06,11:08:28,11:14:56,11:24:56,366.86,141.59,388.28,896.73,0,0,ready,상암 > 선유도 17고지 > 목동,5.3956,9,"{""phase"":""A"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""targetSpeed"":3,""seq"":1}","{""phase"":""B"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":15},""targetSpeed"":10,""seq"":2}","{""phase"":""C"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":15},""endLLA"":{""lat"":37.55662,""lon"":126.893652,""alt"":100},""targetSpeed"":36,""seq"":3}","{""phase"":""E"",""startLLA"":{""lat"":37.55662,""lon"":126.893652,""alt"":100},""endLLA"":{""lat"":37.542307,""lon"":126.90249,""alt"":277},""targetSpeed"":44.971,""seq"":4}","{""phase"":""E"",""startLLA"":{""lat"":37.542307,""lon"":126.90249,""alt"":277},""endLLA"":{""lat"":37.540773,""lon"":126.899968,""alt"":305},""targetSpeed"":44.971,""seq"":5}","{""phase"":""G"",""startLLA"":{""lat"":37.540773,""lon"":126.899968,""alt"":305},""endLLA"":{""lat"":37.52954,""lon"":126.8815,""alt"":100},""targetSpeed"":36,""seq"":6}","{""phase"":""I"",""startLLA"":{""lat"":37.52954,""lon"":126.8815,""alt"":100},""endLLA"":{""lat"":37.526343,""lon"":126.876243,""alt"":15},""targetSpeed"":30,""seq"":7}","{""phase"":""J"",""startLLA"":{""lat"":37.526343,""lon"":126.876243,""alt"":15},""endLLA"":{""lat"":37.526343,""lon"":126.876243,""alt"":0},""targetSpeed"":10,""seq"":8}","{""phase"":""K"",""startLLA"":{""lat"":37.526343,""lon"":126.876243,""alt"":0},""endLLA"":{""lat"":37.526343,""lon"":126.876243,""alt"":0},""targetSpeed"":3,""seq"":9}",,,,,,,,,,,,
bfaef6930eb2,2026-07-11,FPL0313002,UAM0001,a2,2,2,1,상암,상암,강남,강남,12,G1,F1,G1,F1,12:00:00,12:06:06,12:11:56,12:17:54,12:27:54,366.86,349.5,358.28,1074.64,0,0,ready,상암 > 선유도 17고지 > 서강대교 중간지점 > 63빌딩 > 상도터널 > 이수고가차로 > 강남,15.0491,14,"{""phase"":""A"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""targetSpeed"":3,""seq"":1}","{""phase"":""B"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":15},""targetSpeed"":10,""seq"":2}","{""phase"":""C"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":15},""endLLA"":{""lat"":37.552559,""lon"":126.896159,""alt"":100},""targetSpeed"":36,""seq"":3}","{""phase"":""E"",""startLLA"":{""lat"":37.552559,""lon"":126.896159,""alt"":100},""endLLA"":{""lat"":37.542307,""lon"":126.90249,""alt"":173.84},""targetSpeed"":51.4,""seq"":4}","{""phase"":""E"",""startLLA"":{""lat"":37.542307,""lon"":126.90249,""alt"":173.84},""endLLA"":{""lat"":37.536949,""lon"":126.924908,""alt"":293.93},""targetSpeed"":51.4,""seq"":5}","{""phase"":""E"",""startLLA"":{""lat"":37.536949,""lon"":126.924908,""alt"":293.93},""endLLA"":{""lat"":37.535541,""lon"":126.926134,""alt"":305},""targetSpeed"":51.4,""seq"":6}","{""phase"":""F"",""startLLA"":{""lat"":37.535541,""lon"":126.926134,""alt"":305},""endLLA"":{""lat"":37.519378,""lon"":126.94021,""alt"":305},""targetSpeed"":51.4,""seq"":7}","{""phase"":""F"",""startLLA"":{""lat"":37.519378,""lon"":126.94021,""alt"":305},""endLLA"":{""lat"":37.508684,""lon"":126.95211,""alt"":305},""targetSpeed"":51.4,""seq"":8}","{""phase"":""F"",""startLLA"":{""lat"":37.508684,""lon"":126.95211,""alt"":305},""endLLA"":{""lat"":37.501448,""lon"":126.973006,""alt"":305},""targetSpeed"":51.4,""seq"":9}","{""phase"":""G"",""startLLA"":{""lat"":37.501448,""lon"":126.973006,""alt"":305},""endLLA"":{""lat"":37.497738,""lon"":126.983721,""alt"":245},""targetSpeed"":36,""seq"":10}","{""phase"":""G"",""startLLA"":{""lat"":37.497738,""lon"":126.983721,""alt"":245},""endLLA"":{""lat"":37.496706,""lon"":127.011945,""alt"":100},""targetSpeed"":36,""seq"":11}","{""phase"":""I"",""startLLA"":{""lat"":37.496706,""lon"":127.011945,""alt"":100},""endLLA"":{""lat"":37.496291,""lon"":127.023303,""alt"":15},""targetSpeed"":30,""seq"":12}","{""phase"":""J"",""startLLA"":{""lat"":37.496291,""lon"":127.023303,""alt"":15},""endLLA"":{""lat"":37.496291,""lon"":127.023303,""alt"":0},""targetSpeed"":10,""seq"":13}","{""phase"":""K"",""startLLA"":{""lat"":37.496291,""lon"":127.023303,""alt"":0},""endLLA"":{""lat"":37.496291,""lon"":127.023303,""alt"":0},""targetSpeed"":3,""seq"":14}",,,,,,,
bfaef6930eb2,2026-07-11,FPL0309001,UAM0018,a2,2,1,0.5,상암,상암,성수,성수,12,G8,F2,G7,F2,12:00:00,12:06:46,12:16:06,12:23:12,12:33:12,406.86,559.91,425.92,1392.68,40,177.62,ready,상암 > 선유도 17고지 > 서강대교 중간지점 > 63빌딩 > 상도터널 > 이수고가차로 > 주흥교 > 성수,18.6691,15,"{""phase"":""A"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""targetSpeed"":3,""seq"":1}","{""phase"":""B"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":15},""targetSpeed"":10,""seq"":2}","{""phase"":""C"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":15},""endLLA"":{""lat"":37.55256,""lon"":126.896159,""alt"":100},""targetSpeed"":36,""seq"":3}","{""phase"":""E"",""startLLA"":{""lat"":37.55256,""lon"":126.896159,""alt"":100},""endLLA"":{""lat"":37.542307,""lon"":126.90249,""alt"":173.85},""targetSpeed"":51.4,""seq"":4}","{""phase"":""E"",""startLLA"":{""lat"":37.542307,""lon"":126.90249,""alt"":173.85},""endLLA"":{""lat"":37.536949,""lon"":126.924908,""alt"":293.95},""targetSpeed"":51.4,""seq"":5}","{""phase"":""E"",""startLLA"":{""lat"":37.536949,""lon"":126.924908,""alt"":293.95},""endLLA"":{""lat"":37.535544,""lon"":126.926131,""alt"":305},""targetSpeed"":51.4,""seq"":6}","{""phase"":""F"",""startLLA"":{""lat"":37.535544,""lon"":126.926131,""alt"":305},""endLLA"":{""lat"":37.519378,""lon"":126.94021,""alt"":305},""targetSpeed"":51.4,""seq"":7}","{""phase"":""F"",""startLLA"":{""lat"":37.519378,""lon"":126.94021,""alt"":305},""endLLA"":{""lat"":37.508684,""lon"":126.95211,""alt"":305},""targetSpeed"":51.4,""seq"":8}","{""phase"":""F"",""startLLA"":{""lat"":37.508684,""lon"":126.95211,""alt"":305},""endLLA"":{""lat"":37.497738,""lon"":126.983721,""alt"":305},""targetSpeed"":51.4,""seq"":9}","{""phase"":""F"",""startLLA"":{""lat"":37.497738,""lon"":126.983721,""alt"":305},""endLLA"":{""lat"":37.507423,""lon"":127.010353,""alt"":305},""targetSpeed"":51.4,""seq"":10}","{""phase"":""G"",""startLLA"":{""lat"":37.507423,""lon"":127.010353,""alt"":305},""endLLA"":{""lat"":37.509486,""lon"":127.016026,""alt"":272.98},""targetSpeed"":36,""seq"":11}","{""phase"":""G"",""startLLA"":{""lat"":37.509486,""lon"":127.016026,""alt"":272.98},""endLLA"":{""lat"":37.531493,""lon"":127.035175,""alt"":100},""targetSpeed"":36,""seq"":12}","{""phase"":""I"",""startLLA"":{""lat"":37.531493,""lon"":127.035175,""alt"":100},""endLLA"":{""lat"":37.538917,""lon"":127.041635,""alt"":15},""targetSpeed"":30,""seq"":13}","{""phase"":""J"",""startLLA"":{""lat"":37.538917,""lon"":127.041635,""alt"":15},""endLLA"":{""lat"":37.538917,""lon"":127.041635,""alt"":0},""targetSpeed"":10,""seq"":14}","{""phase"":""K"",""startLLA"":{""lat"":37.538917,""lon"":127.041635,""alt"":0},""endLLA"":{""lat"":37.538917,""lon"":127.041635,""alt"":0},""targetSpeed"":3,""seq"":15}",,,,,,
bfaef6930eb2,2026-07-11,FPL0310001,UAM0023,a2,2,1,0.5,상암,상암,연신내,연신내,12,G5,F1,G8,F2,12:00:00,12:11:35,12:15:43,12:21:42,12:31:42,695.43,248.38,358.28,1302.09,238.57,0,ready,상암 > 가양대교 남단 > 수색교 > 연신내,9.8515,11,"{""phase"":""A"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""targetSpeed"":3,""seq"":1}","{""phase"":""B"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":15},""targetSpeed"":10,""seq"":2}","{""phase"":""C"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":15},""endLLA"":{""lat"":37.565465,""lon"":126.877112,""alt"":100},""targetSpeed"":36,""seq"":3}","{""phase"":""E"",""startLLA"":{""lat"":37.565465,""lon"":126.877112,""alt"":100},""endLLA"":{""lat"":37.569391,""lon"":126.861026,""alt"":186.35},""targetSpeed"":51.4,""seq"":4}","{""phase"":""E"",""startLLA"":{""lat"":37.569391,""lon"":126.861026,""alt"":186.35},""endLLA"":{""lat"":37.581208,""lon"":126.878709,""alt"":305},""targetSpeed"":51.4,""seq"":5}","{""phase"":""F"",""startLLA"":{""lat"":37.581208,""lon"":126.878709,""alt"":305},""endLLA"":{""lat"":37.584617,""lon"":126.88381,""alt"":305},""targetSpeed"":51.4,""seq"":6}","{""phase"":""G"",""startLLA"":{""lat"":37.584617,""lon"":126.88381,""alt"":305},""endLLA"":{""lat"":37.586283,""lon"":126.886304,""alt"":288.27},""targetSpeed"":36,""seq"":7}","{""phase"":""G"",""startLLA"":{""lat"":37.586283,""lon"":126.886304,""alt"":288.27},""endLLA"":{""lat"":37.605262,""lon"":126.914124,""alt"":100},""targetSpeed"":36,""seq"":8}","{""phase"":""I"",""startLLA"":{""lat"":37.605262,""lon"":126.914124,""alt"":100},""endLLA"":{""lat"":37.611145,""lon"":126.922747,""alt"":15},""targetSpeed"":30,""seq"":9}","{""phase"":""J"",""startLLA"":{""lat"":37.611145,""lon"":126.922747,""alt"":15},""endLLA"":{""lat"":37.611145,""lon"":126.922747,""alt"":0},""targetSpeed"":10,""seq"":10}","{""phase"":""K"",""startLLA"":{""lat"":37.611145,""lon"":126.922747,""alt"":0},""endLLA"":{""lat"":37.611145,""lon"":126.922747,""alt"":0},""targetSpeed"":3,""seq"":11}",,,,,,,,,,
bfaef6930eb2,2026-07-11,FPL0315001,UAM0024,a2,2,1,0.5,상암,상암,마곡,마곡,13,G6,F1,G8,F1,13:00:00,13:07:06,13:10:53,13:16:51,13:26:51,426.86,226.37,358.28,1011.51,0,0,ready,상암 > 가양대교 남단 > 마곡,8.8347,9,"{""phase"":""A"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""targetSpeed"":3,""seq"":1}","{""phase"":""B"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":15},""targetSpeed"":10,""seq"":2}","{""phase"":""C"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":15},""endLLA"":{""lat"":37.565318,""lon"":126.877714,""alt"":100},""targetSpeed"":36,""seq"":3}","{""phase"":""E"",""startLLA"":{""lat"":37.565318,""lon"":126.877714,""alt"":100},""endLLA"":{""lat"":37.569391,""lon"":126.861026,""alt"":193.92},""targetSpeed"":50.689,""seq"":4}","{""phase"":""E"",""startLLA"":{""lat"":37.569391,""lon"":126.861026,""alt"":193.92},""endLLA"":{""lat"":37.567654,""lon"":126.840491,""alt"":305},""targetSpeed"":50.689,""seq"":5}","{""phase"":""G"",""startLLA"":{""lat"":37.567654,""lon"":126.840491,""alt"":305},""endLLA"":{""lat"":37.564448,""lon"":126.802593,""alt"":100},""targetSpeed"":36,""seq"":6}","{""phase"":""I"",""startLLA"":{""lat"":37.564448,""lon"":126.802593,""alt"":100},""endLLA"":{""lat"":37.563535,""lon"":126.791805,""alt"":15},""targetSpeed"":30,""seq"":7}","{""phase"":""J"",""startLLA"":{""lat"":37.563535,""lon"":126.791805,""alt"":15},""endLLA"":{""lat"":37.563535,""lon"":126.791805,""alt"":0},""targetSpeed"":10,""seq"":8}","{""phase"":""K"",""startLLA"":{""lat"":37.563535,""lon"":126.791805,""alt"":0},""endLLA"":{""lat"":37.563535,""lon"":126.791805,""alt"":0},""targetSpeed"":3,""seq"":9}",,,,,,,,,,,,
