scenario_id,scenario_date,fpl_id,aircraft_id,aircraft_type,capacity,passenger_count,load_factor,origin_vertiport_id,origin_vertiport,destination_vertiport_id,destination_vertiport,demand_hour,departure_gate_id,departure_fato_id,arrival_gate_id,arrival_fato_id,gate_out_time,takeoff_time,landing_time,gate_in_time,ready_time,gate_to_takeoff_sec,air_time_sec,landing_to_gate_sec,gate_to_gate_sec,departure_wait_sec,arrival_wait_sec,status,route_path,route_distance_km,segment_count,segment_001,segment_002,segment_003,segment_004,segment_005,segment_006,segment_007,segment_008,segment_009,segment_010,segment_011,segment_012,segment_013,segment_014,segment_015,segment_016,segment_017,segment_018,segment_019,segment_020,segment_021
bfaef6930eb2,2026-07-11,FPL0113001,UAM0001,a2,2,1,0.5,여의도,여의도,강남,강남,6,G1,F1,G8,F2,06:30:00,06:36:06,06:40:14,06:46:52,06:56:52,366.86,247.36,398.38,1012.6,0,40.09,ready,여의도 > 상도터널 > 이수고가차로 > 강남,9.7996,11,"{""phase"":""A"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""endLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""targetSpeed"":3,""seq"":1}","{""phase"":""B"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""endLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":15},""targetSpeed"":10,""seq"":2}","{""phase"":""C"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":15},""endLLA"":{""lat"":37.519918,""lon"":126.93367,""alt"":100},""targetSpeed"":36,""seq"":3}","{""phase"":""E"",""startLLA"":{""lat"":37.519918,""lon"":126.93367,""alt"":100},""endLLA"":{""lat"":37.508684,""lon"":126.95211,""alt"":219.28},""targetSpeed"":51.4,""seq"":4}","{""phase"":""E"",""startLLA"":{""lat"":37.508684,""lon"":126.95211,""alt"":219.28},""endLLA"":{""lat"":37.503382,""lon"":126.967423,""alt"":305},""targetSpeed"":51.4,""seq"":5}","{""phase"":""F"",""startLLA"":{""lat"":37.503382,""lon"":126.967423,""alt"":305},""endLLA"":{""lat"":37.501451,""lon"":126.972998,""alt"":305},""targetSpeed"":51.4,""seq"":6}","{""phase"":""G"",""startLLA"":{""lat"":37.501451,""lon"":126.972998,""alt"":305},""endLLA"":{""lat"":37.497738,""lon"":126.983721,""alt"":244.97},""targetSpeed"":36,""seq"":7}","{""phase"":""G"",""startLLA"":{""lat"":37.497738,""lon"":126.983721,""alt"":244.97},""endLLA"":{""lat"":37.496706,""lon"":127.011943,""alt"":100},""targetSpeed"":36,""seq"":8}","{""phase"":""I"",""startLLA"":{""lat"":37.496706,""lon"":127.011943,""alt"":100},""endLLA"":{""lat"":37.496291,""lon"":127.023303,""alt"":15},""targetSpeed"":30,""seq"":9}","{""phase"":""J"",""startLLA"":{""lat"":37.496291,""lon"":127.023303,""alt"":15},""endLLA"":{""lat"":37.496291,""lon"":127.023303,""alt"":0},""targetSpeed"":10,""seq"":10}","{""phase"":""K"",""startLLA"":{""lat"":37.496291,""lon"":127.023303,""alt"":0},""endLLA"":{""lat"":37.496291,""lon"":127.023303,""alt"":0},""targetSpeed"":3,""seq"":11}",,,,,,,,,,
bfaef6930eb2,2026-07-11,FPL0105001,UAM0002,a2,2,1,0.5,여의도,여의도,목동,목동,6,G2,F2,G1,F1,06:30:00,06:36:46,06:38:53,06:44:51,06:54:51,406.86,126.59,358.28,891.73,10,0,ready,여의도 > 영등포 > 목동,4.7875,9,"{""phase"":""A"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""endLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""targetSpeed"":3,""seq"":1}","{""phase"":""B"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""endLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":15},""targetSpeed"":10,""seq"":2}","{""phase"":""C"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":15},""endLLA"":{""lat"":37.522814,""lon"":126.917553,""alt"":100},""targetSpeed"":36,""seq"":3}","{""phase"":""E"",""startLLA"":{""lat"":37.522814,""lon"":126.917553,""alt"":100},""endLLA"":{""lat"":37.515965,""lon"":126.907756,""alt"":229.64},""targetSpeed"":43.96,""seq"":4}","{""phase"":""E"",""startLLA"":{""lat"":37.515965,""lon"":126.907756,""alt"":229.64},""endLLA"":{""lat"":37.518274,""lon"":126.900744,""alt"":305},""targetSpeed"":43.96,""seq"":5}","{""phase"":""G"",""startLLA"":{""lat"":37.518274,""lon"":126.900744,""alt"":305},""endLLA"":{""lat"":37.524555,""lon"":126.881672,""alt"":100},""targetSpeed"":36,""seq"":6}","{""phase"":""I"",""startLLA"":{""lat"":37.524555,""lon"":126.881672,""alt"":100},""endLLA"":{""lat"":37.526343,""lon"":126.876243,""alt"":15},""targetSpeed"":30,""seq"":7}","{""phase"":""J"",""startLLA"":{""lat"":37.526343,""lon"":126.876243,""alt"":15},""endLLA"":{""lat"":37.526343,""lon"":126.876243,""alt"":0},""targetSpeed"":10,""seq"":8}","{""phase"":""K"",""startLLA"":{""lat"":37.526343,""lon"":126.876243,""alt"":0},""endLLA"":{""lat"":37.526343,""lon"":126.876243,""alt"":0},""targetSpeed"":3,""seq"":9}",,,,,,,,,,,,
bfaef6930eb2,2026-07-11,FPL0103001,UAM0003,a2,2,1,0.5,여의도,여의도,상암,상암,6,G3,F1,G6,F1,06:30:00,06:41:35,06:43:47,06:50:45,07:00:45,695.43,131.58,418.28,1245.29,268.57,0,ready,여의도 > 선유도 17고지 > 상암,4.9896,9,"{""phase"":""A"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""endLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""targetSpeed"":3,""seq"":1}","{""phase"":""B"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""endLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":15},""targetSpeed"":10,""seq"":2}","{""phase"":""C"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":15},""endLLA"":{""lat"":37.53059,""lon"":126.91759,""alt"":100},""targetSpeed"":36,""seq"":3}","{""phase"":""E"",""startLLA"":{""lat"":37.53059,""lon"":126.91759,""alt"":100},""endLLA"":{""lat"":37.542307,""lon"":126.90249,""alt"":301.22},""targetSpeed"":44.296,""seq"":4}","{""phase"":""E"",""startLLA"":{""lat"":37.542307,""lon"":126.90249,""alt"":301.22},""endLLA"":{""lat"":37.542589,""lon"":126.902316,""alt"":305},""targetSpeed"":44.296,""seq"":5}","{""phase"":""G"",""startLLA"":{""lat"":37.542589,""lon"":126.902316,""alt"":305},""endLLA"":{""lat"":37.557919,""lon"":126.89285,""alt"":100},""targetSpeed"":36,""seq"":6}","{""phase"":""I"",""startLLA"":{""lat"":37.557919,""lon"":126.89285,""alt"":100},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":15},""targetSpeed"":30,""seq"":7}","{""phase"":""J"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":15},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""targetSpeed"":10,""seq"":8}","{""phase"":""K"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""targetSpeed"":3,""seq"":9}",,,,,,,,,,,,
bfaef6930eb2,2026-07-11,FPL0102001,UAM0004,a2,2,1,0.5,여의도,여의도,잠실,잠실,6,G4,F2,G1,F1,06:30:00,06:42:15,06:49:41,06:55:39,07:05:39,735.43,445.91,358.28,1539.62,278.57,0,ready,여의도 > 상도터널 > 이수고가차로 > 주흥교 > 성수대교 남단 > 청담대교 중간지점 > 건대입구 > 잠실,20.0046,15,"{""phase"":""A"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""endLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""targetSpeed"":3,""seq"":1}","{""phase"":""B"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""endLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":15},""targetSpeed"":10,""seq"":2}","{""phase"":""C"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":15},""endLLA"":{""lat"":37.519919,""lon"":126.933668,""alt"":100},""targetSpeed"":36,""seq"":3}","{""phase"":""E"",""startLLA"":{""lat"":37.519919,""lon"":126.933668,""alt"":100},""endLLA"":{""lat"":37.508684,""lon"":126.95211,""alt"":219.32},""targetSpeed"":51.4,""seq"":4}","{""phase"":""E"",""startLLA"":{""lat"":37.508684,""lon"":126.95211,""alt"":219.32},""endLLA"":{""lat"":37.503385,""lon"":126.967412,""alt"":305},""targetSpeed"":51.4,""seq"":5}","{""phase"":""F"",""startLLA"":{""lat"":37.503385,""lon"":126.967412,""alt"":305},""endLLA"":{""lat"":37.497738,""lon"":126.983721,""alt"":305},""targetSpeed"":51.4,""seq"":6}","{""phase"":""F"",""startLLA"":{""lat"":37.497738,""lon"":126.983721,""alt"":305},""endLLA"":{""lat"":37.509486,""lon"":127.016026,""alt"":305},""targetSpeed"":51.4,""seq"":7}","{""phase"":""F"",""startLLA"":{""lat"":37.509486,""lon"":127.016026,""alt"":305},""endLLA"":{""lat"":37.53537,""lon"":127.034503,""alt"":305},""targetSpeed"":51.4,""seq"":8}","{""phase"":""F"",""startLLA"":{""lat"":37.53537,""lon"":127.034503,""alt"":305},""endLLA"":{""lat"":37.526747,""lon"":127.063369,""alt"":305},""targetSpeed"":51.4,""seq"":9}","{""phase"":""G"",""startLLA"":{""lat"":37.526747,""lon"":127.063369,""alt"":305},""endLLA"":{""lat"":37.526451,""lon"":127.064361,""alt"":299.56},""targetSpeed"":36,""seq"":10}","{""phase"":""G"",""startLLA"":{""lat"":37.526451,""lon"":127.064361,""alt"":299.56},""endLLA"":{""lat"":37.540426,""lon"":127.069298,""alt"":205.68},""targetSpeed"":36,""seq"":11}","{""phase"":""G"",""startLLA"":{""lat"":37.540426,""lon"":127.069298,""alt"":205.68},""endLLA"":{""lat"":37.524091,""lon"":127.069069,""alt"":100},""targetSpeed"":36,""seq"":12}","{""phase"":""I"",""startLLA"":{""lat"":37.524091,""lon"":127.069069,""alt"":100},""endLLA"":{""lat"":37.515071,""lon"":127.068942,""alt"":15},""targetSpeed"":30,""seq"":13}","{""phase"":""J"",""startLLA"":{""lat"":37.515071,""lon"":127.068942,""alt"":15},""endLLA"":{""lat"":37.515071,""lon"":127.068942,""alt"":0},""targetSpeed"":10,""seq"":14}","{""phase"":""K"",""startLLA"":{""lat"":37.515071,""lon"":127.068942,""alt"":0},""endLLA"":{""lat"":37.515071,""lon"":127.068942,""alt"":0},""targetSpeed"":3,""seq"":15}",,,,,,
bfaef6930eb2,2026-07-11,FPL0112001,UAM0013,a2,2,2,1,여의도,여의도,광화문,광화문,7,G1,F1,G1,F1,07:00:00,07:06:06,07:13:13,07:19:12,07:29:12,366.86,427.14,358.28,1152.28,0,141.64,ready,여의도 > 선유도 17고지 > 성산대교 중간지점 > 홍대입구 > 광화문,11.7598,12,"{""phase"":""A"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""endLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""targetSpeed"":3,""seq"":1}","{""phase"":""B"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""endLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":15},""targetSpeed"":10,""seq"":2}","{""phase"":""C"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":15},""endLLA"":{""lat"":37.533922,""lon"":126.913296,""alt"":100},""targetSpeed"":36,""seq"":3}","{""phase"":""E"",""startLLA"":{""lat"":37.533922,""lon"":126.913296,""alt"":100},""endLLA"":{""lat"":37.542307,""lon"":126.90249,""alt"":179.24},""targetSpeed"":51.4,""seq"":4}","{""phase"":""E"",""startLLA"":{""lat"":37.542307,""lon"":126.90249,""alt"":179.24},""endLLA"":{""lat"":37.552574,""lon"":126.891431,""alt"":268.48},""targetSpeed"":51.4,""seq"":5}","{""phase"":""E"",""startLLA"":{""lat"":37.552574,""lon"":126.891431,""alt"":268.48},""endLLA"":{""lat"":37.553472,""lon"":126.898309,""alt"":305},""targetSpeed"":51.4,""seq"":6}","{""phase"":""F"",""startLLA"":{""lat"":37.553472,""lon"":126.898309,""alt"":305},""endLLA"":{""lat"":37.556786,""lon"":126.923706,""alt"":305},""targetSpeed"":51.4,""seq"":7}","{""phase"":""F"",""startLLA"":{""lat"":37.556786,""lon"":126.923706,""alt"":305},""endLLA"":{""lat"":37.557245,""lon"":126.92558,""alt"":305},""targetSpeed"":51.4,""seq"":8}","{""phase"":""G"",""startLLA"":{""lat"":37.557245,""lon"":126.92558,""alt"":305},""endLLA"":{""lat"":37.566403,""lon"":126.962963,""alt"":100},""targetSpeed"":36,""seq"":9}","{""phase"":""I"",""startLLA"":{""lat"":37.566403,""lon"":126.962963,""alt"":100},""endLLA"":{""lat"":37.56901,""lon"":126.973604,""alt"":15},""targetSpeed"":30,""seq"":10}","{""phase"":""J"",""startLLA"":{""lat"":37.56901,""lon"":126.973604,""alt"":15},""endLLA"":{""lat"":37.56901,""lon"":126.973604,""alt"":0},""targetSpeed"":10,""seq"":11}","{""phase"":""K"",""startLLA"":{""lat"":37.56901,""lon"":126.973604,""alt"":0},""endLLA"":{""lat"":37.56901,""lon"":126.973604,""alt"":0},""targetSpeed"":3,""seq"":12}",,,,,,,,,
bfaef6930eb2,2026-07-11,FPL0116001,UAM0050,a2,2,1,0.5,여의도,여의도,망우,망우,7,G8,F2,G1,F1,07:00:00,07:06:46,07:14:45,07:20:44,07:30:44,406.86,478.89,358.28,1244.03,40,0,ready,여의도 > 상도터널 > 이수고가차로 > 주흥교 > 성수대교 남단 > 왕십리역 > 청량리 > 망우,21.6999,15,"{""phase"":""A"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""endLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""targetSpeed"":3,""seq"":1}","{""phase"":""B"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""endLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":15},""targetSpeed"":10,""seq"":2}","{""phase"":""C"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":15},""endLLA"":{""lat"":37.51992,""lon"":126.933667,""alt"":100},""targetSpeed"":36,""seq"":3}","{""phase"":""E"",""startLLA"":{""lat"":37.51992,""lon"":126.933667,""alt"":100},""endLLA"":{""lat"":37.508684,""lon"":126.95211,""alt"":219.34},""targetSpeed"":51.4,""seq"":4}","{""phase"":""E"",""startLLA"":{""lat"":37.508684,""lon"":126.95211,""alt"":219.34},""endLLA"":{""lat"":37.503388,""lon"":126.967406,""alt"":305},""targetSpeed"":51.4,""seq"":5}","{""phase"":""F"",""startLLA"":{""lat"":37.503388,""lon"":126.967406,""alt"":305},""endLLA"":{""lat"":37.497738,""lon"":126.983721,""alt"":305},""targetSpeed"":51.4,""seq"":6}","{""phase"":""F"",""startLLA"":{""lat"":37.497738,""lon"":126.983721,""alt"":305},""endLLA"":{""lat"":37.509486,""lon"":127.016026,""alt"":305},""targetSpeed"":51.4,""seq"":7}","{""phase"":""F"",""startLLA"":{""lat"":37.509486,""lon"":127.016026,""alt"":305},""endLLA"":{""lat"":37.53537,""lon"":127.034503,""alt"":305},""targetSpeed"":51.4,""seq"":8}","{""phase"":""F"",""startLLA"":{""lat"":37.53537,""lon"":127.034503,""alt"":305},""endLLA"":{""lat"":37.561925,""lon"":127.038491,""alt"":305},""targetSpeed"":51.4,""seq"":9}","{""phase"":""F"",""startLLA"":{""lat"":37.561925,""lon"":127.038491,""alt"":305},""endLLA"":{""lat"":37.573838,""lon"":127.044841,""alt"":305},""targetSpeed"":51.4,""seq"":10}","{""phase"":""G"",""startLLA"":{""lat"":37.573838,""lon"":127.044841,""alt"":305},""endLLA"":{""lat"":37.581542,""lon"":127.048947,""alt"":250.89},""targetSpeed"":36,""seq"":11}","{""phase"":""G"",""startLLA"":{""lat"":37.581542,""lon"":127.048947,""alt"":250.89},""endLLA"":{""lat"":37.592631,""lon"":127.074841,""alt"":100},""targetSpeed"":36,""seq"":12}","{""phase"":""I"",""startLLA"":{""lat"":37.592631,""lon"":127.074841,""alt"":100},""endLLA"":{""lat"":37.596919,""lon"":127.084854,""alt"":15},""targetSpeed"":30,""seq"":13}","{""phase"":""J"",""startLLA"":{""lat"":37.596919,""lon"":127.084854,""alt"":15},""endLLA"":{""lat"":37.596919,""lon"":127.084854,""alt"":0},""targetSpeed"":10,""seq"":14}","{""phase"":""K"",""startLLA"":{""lat"":37.596919,""lon"":127.084854,""alt"":0},""endLLA"":{""lat"":37.596919,""lon"":127.084854,""alt"":0},""targetSpeed"":3,""seq"":15}",,,,,,
bfaef6930eb2,2026-07-11,FPL0107001,UAM0038,a2,2,1,0.5,여의도,여의도,봉천,봉천,7,G1,F1,G2,F1,07:27:37,07:33:43,07:36:34,07:43:02,07:53:02,366.86,170.24,388.28,925.38,0,0,ready,여의도 > 영등포 > 봉천,6.5579,9,"{""phase"":""A"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""endLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""targetSpeed"":3,""seq"":1}","{""phase"":""B"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""endLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":15},""targetSpeed"":10,""seq"":2}","{""phase"":""C"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":15},""endLLA"":{""lat"":37.521446,""lon"":126.915596,""alt"":100},""targetSpeed"":36,""seq"":3}","{""phase"":""E"",""startLLA"":{""lat"":37.521446,""lon"":126.915596,""alt"":100},""endLLA"":{""lat"":37.515965,""lon"":126.907756,""alt"":175.73},""targetSpeed"":46.903,""seq"":4}","{""phase"":""E"",""startLLA"":{""lat"":37.515965,""lon"":126.907756,""alt"":175.73},""endLLA"":{""lat"":37.505056,""lon"":126.919111,""alt"":305},""targetSpeed"":46.903,""seq"":5}","{""phase"":""G"",""startLLA"":{""lat"":37.505056,""lon"":126.919111,""alt"":305},""endLLA"":{""lat"":37.487756,""lon"":126.937119,""alt"":100},""targetSpeed"":36,""seq"":6}","{""phase"":""I"",""startLLA"":{""lat"":37.487756,""lon"":126.937119,""alt"":100},""endLLA"":{""lat"":37.482832,""lon"":126.942245,""alt"":15},""targetSpeed"":30,""seq"":7}","{""phase"":""J"",""startLLA"":{""lat"":37.482832,""lon"":126.942245,""alt"":15},""endLLA"":{""lat"":37.482832,""lon"":126.942245,""alt"":0},""targetSpeed"":10,""seq"":8}","{""phase"":""K"",""startLLA"":{""lat"":37.482832,""lon"":126.942245,""alt"":0},""endLLA"":{""lat"":37.482832,""lon"":126.942245,""alt"":0},""targetSpeed"":3,""seq"":9}",,,,,,,,,,,,
bfaef6930eb2,2026-07-11,FPL0114001,UAM0024,a2,2,1,0.5,여의도,여의도,가산,가산,8,G2,F1,G1,F1,08:00:00,08:06:36,08:09:06,08:15:04,08:25:04,396.86,149.33,358.28,904.47,0,0,ready,여의도 > 영등포 > 가산,5.7097,9,"{""phase"":""A"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""endLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""targetSpeed"":3,""seq"":1}","{""phase"":""B"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""endLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":15},""targetSpeed"":10,""seq"":2}","{""phase"":""C"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":15},""endLLA"":{""lat"":37.522101,""lon"":126.916534,""alt"":100},""targetSpeed"":36,""seq"":3}","{""phase"":""E"",""startLLA"":{""lat"":37.522101,""lon"":126.916534,""alt"":100},""endLLA"":{""lat"":37.515965,""lon"":126.907756,""alt"":197.39},""targetSpeed"":45.493,""seq"":4}","{""phase"":""E"",""startLLA"":{""lat"":37.515965,""lon"":126.907756,""alt"":197.39},""endLLA"":{""lat"":37.508169,""lon"":126.899359,""alt"":305},""targetSpeed"":45.493,""seq"":5}","{""phase"":""G"",""startLLA"":{""lat"":37.508169,""lon"":126.899359,""alt"":305},""endLLA"":{""lat"":37.493318,""lon"":126.883362,""alt"":100},""targetSpeed"":36,""seq"":6}","{""phase"":""I"",""startLLA"":{""lat"":37.493318,""lon"":126.883362,""alt"":100},""endLLA"":{""lat"":37.489091,""lon"":126.878809,""alt"":15},""targetSpeed"":30,""seq"":7}","{""phase"":""J"",""startLLA"":{""lat"":37.489091,""lon"":126.878809,""alt"":15},""endLLA"":{""lat"":37.489091,""lon"":126.878809,""alt"":0},""targetSpeed"":10,""seq"":8}","{""phase"":""K"",""startLLA"":{""lat"":37.489091,""lon"":126.878809,""alt"":0},""endLLA"":{""lat"":37.489091,""lon"":126.878809,""alt"":0},""targetSpeed"":3,""seq"":9}",,,,,,,,,,,,
bfaef6930eb2,2026-07-11,FPL0103002,UAM0015,a2,2,1,0.5,여의도,여의도,상암,상암,9,G7,F1,G1,F2,09:00:00,09:06:36,10:07:55,10:13:53,10:23:53,396.86,3678.57,358.28,4433.71,0,438.86,ready,여의도 > 선유도 17고지 > 상암,4.9896,9,"{""phase"":""A"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""endLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""targetSpeed"":3,""seq"":1}","{""phase"":""B"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""endLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":15},""targetSpeed"":10,""seq"":2}","{""phase"":""C"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":15},""endLLA"":{""lat"":37.53059,""lon"":126.91759,""alt"":100},""targetSpeed"":36,""seq"":3}","{""phase"":""E"",""startLLA"":{""lat"":37.53059,""lon"":126.91759,""alt"":100},""endLLA"":{""lat"":37.542307,""lon"":126.90249,""alt"":301.22},""targetSpeed"":44.296,""seq"":4}","{""phase"":""E"",""startLLA"":{""lat"":37.542307,""lon"":126.90249,""alt"":301.22},""endLLA"":{""lat"":37.542589,""lon"":126.902316,""alt"":305},""targetSpeed"":44.296,""seq"":5}","{""phase"":""G"",""startLLA"":{""lat"":37.542589,""lon"":126.902316,""alt"":305},""endLLA"":{""lat"":37.557919,""lon"":126.89285,""alt"":100},""targetSpeed"":36,""seq"":6}","{""phase"":""I"",""startLLA"":{""lat"":37.557919,""lon"":126.89285,""alt"":100},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":15},""targetSpeed"":30,""seq"":7}","{""phase"":""J"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":15},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""targetSpeed"":10,""seq"":8}","{""phase"":""K"",""startLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""endLLA"":{""lat"":37.562282,""lon"":126.890156,""alt"":0},""targetSpeed"":3,""seq"":9}",,,,,,,,,,,,
bfaef6930eb2,2026-07-11,FPL0109001,UAM0029,a2,2,1,0.5,여의도,여의도,성수,성수,9,G3,F2,G1,F1,09:00:00,09:07:16,09:12:34,09:18:32,09:28:32,436.86,317.79,358.28,1112.93,10,0,ready,여의도 > 상도터널 > 이수고가차로 > 주흥교 > 성수,13.4195,12,"{""phase"":""A"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""endLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""targetSpeed"":3,""seq"":1}","{""phase"":""B"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":0},""endLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":15},""targetSpeed"":10,""seq"":2}","{""phase"":""C"",""startLLA"":{""lat"":37.526513,""lon"":126.922845,""alt"":15},""endLLA"":{""lat"":37.519919,""lon"":126.933669,""alt"":100},""targetSpeed"":36,""seq"":3}","{""phase"":""E"",""startLLA"":{""lat"":37.519919,""lon"":126.933669,""alt"":100},""endLLA"":{""lat"":37.508684,""lon"":126.95211,""alt"":219.3},""targetSpeed"":51.4,""seq"":4}","{""phase"":""E"",""startLLA"":{""lat"":37.508684,""lon"":126.95211,""alt"":219.3},""endLLA"":{""lat"":37.503384,""lon"":126.967415,""alt"":305},""targetSpeed"":51.4,""seq"":5}","{""phase"":""F"",""startLLA"":{""lat"":37.503384,""lon"":126.967415,""alt"":305},""endLLA"":{""lat"":37.497738,""lon"":126.983721,""alt"":305},""targetSpeed"":51.4,""seq"":6}","{""phase"":""F"",""startLLA"":{""lat"":37.497738,""lon"":126.983721,""alt"":305},""endLLA"":{""lat"":37.507422,""lon"":127.010349,""alt"":305},""targetSpeed"":51.4,""seq"":7}","{""phase"":""G"",""startLLA"":{""lat"":37.507422,""lon"":127.010349,""alt"":305},""endLLA"":{""lat"":37.509486,""lon"":127.016026,""alt"":272.95},""targetSpeed"":36,""seq"":8}","{""phase"":""G"",""startLLA"":{""lat"":37.509486,""lon"":127.016026,""alt"":272.95},""endLLA"":{""lat"":37.531492,""lon"":127.035175,""alt"":100},""targetSpeed"":36,""seq"":9}","{""phase"":""I"",""startLLA"":{""lat"":37.531492,""lon"":127.035175,""alt"":100},""endLLA"":{""lat"":37.538917,""lon"":127.041635,""alt"":15},""targetSpeed"":30,""seq"":10}","{""phase"":""J"",""startLLA"":{""lat"":37.538917,""lon"":127.041635,""alt"":15},""endLLA"":{""lat"":37.538917,""lon"":127.041635,""alt"":0},""targetSpeed"":10,""seq"":11}","{""phase"":""K"",""startLLA"":{""lat"":37.538917,""lon"":127.041635,""alt"":0},""endLLA"":{""lat"":37.538917,""lon"":127.041635,""alt"":0},""targetSpeed"":3,""seq"":12}",,,,,,,,,
