type,vertiport_id,vertiport,bucket,value,description
arrival_wait,마곡,마곡,arrival,648.9,평균 도착 절차 대기시간(sec)
arrival_wait,상암,상암,arrival,502,평균 도착 절차 대기시간(sec)
arrival_wait,천호,천호,arrival,406.9,평균 도착 절차 대기시간(sec)
arrival_wait,목동,목동,arrival,394.4,평균 도착 절차 대기시간(sec)
arrival_wait,가산,가산,arrival,359.1,평균 도착 절차 대기시간(sec)
departure_wait,마곡,마곡,departure,273,평균 출발 절차 대기시간(sec)
departure_wait,목동,목동,departure,255.8,평균 출발 절차 대기시간(sec)
arrival_wait,망우,망우,arrival,235.3,평균 도착 절차 대기시간(sec)
departure_wait,가산,가산,departure,229.2,평균 출발 절차 대기시간(sec)
departure_wait,망우,망우,departure,223,평균 출발 절차 대기시간(sec)
departure_wait,미아,미아,departure,220.7,평균 출발 절차 대기시간(sec)
departure_wait,천호,천호,departure,219.1,평균 출발 절차 대기시간(sec)
departure_wait,광화문,광화문,departure,195.4,평균 출발 절차 대기시간(sec)
arrival_wait,성수,성수,arrival,193.9,평균 도착 절차 대기시간(sec)
departure_wait,사당,사당,departure,180.1,평균 출발 절차 대기시간(sec)
departure_wait,수서,수서,departure,175.3,평균 출발 절차 대기시간(sec)
departure_wait,봉천,봉천,departure,164.9,평균 출발 절차 대기시간(sec)
arrival_wait,강남,강남,arrival,163.5,평균 도착 절차 대기시간(sec)
departure_wait,상암,상암,departure,160.3,평균 출발 절차 대기시간(sec)
arrival_wait,여의도,여의도,arrival,152.1,평균 도착 절차 대기시간(sec)
departure_wait,여의도,여의도,departure,150.8,평균 출발 절차 대기시간(sec)
departure_wait,용산,용산,departure,146.2,평균 출발 절차 대기시간(sec)
departure_wait,잠실,잠실,departure,146,평균 출발 절차 대기시간(sec)
arrival_wait,광화문,광화문,arrival,141.6,평균 도착 절차 대기시간(sec)
