hour,hour_label,vertiport_id,vertiport,requested,processed,unserved,processing_rate,flight_count,avg_load_factor,avg_gate_to_gate_sec,avg_departure_wait_sec,avg_arrival_wait_sec
6,06:00,가산,가산,1,1,0,1,1,0.5,1327.23,0,0
6,06:00,강남,강남,3,3,0,1,2,0.75,1167.55,10,158.06
6,06:00,광화문,광화문,1,1,0,1,1,0.5,985.01,0,27.04
6,06:00,마곡,마곡,1,1,0,1,1,0.5,1442.59,0,0
6,06:00,목동,목동,2,2,0,1,2,0.5,967.15,10,0
6,06:00,미아,미아,1,1,0,1,1,0.5,1485.91,0,0
6,06:00,봉천,봉천,1,1,0,1,1,0.5,1026.18,0,0
6,06:00,사당,사당,1,1,0,1,1,0.5,1137.12,0,0
6,06:00,성수,성수,1,1,0,1,1,0.5,1041.79,0,0
6,06:00,여의도,여의도,4,4,0,1,4,0.5,1172.31,185.71333333333334,40.09
6,06:00,용산,용산,1,1,0,1,1,0.5,1122.28,0,250.6
6,06:00,잠실,잠실,1,1,0,1,1,0.5,964.31,0,0
6,06:00,천호,천호,2,2,0,1,2,0.5,1025.42,10,29.88
7,07:00,가산,가산,4,4,0,1,4,0.5,1371.6799999999998,130.38,231.24
7,07:00,강남,강남,3,3,0,1,3,0.5,1442.8266666666666,154.285,232.42000000000002
7,07:00,광화문,광화문,4,4,0,1,4,0.5,1320.0325,225.71333333333334,79.91333333333334
7,07:00,마곡,마곡,4,4,0,1,4,0.5,1521.1175,185.71333333333334,0
7,07:00,망우,망우,1,1,0,1,1,0.5,1152.28,0,190.3
7,07:00,목동,목동,6,6,0,1,5,0.6,1264.598,125.86999999999999,34.72
7,07:00,미아,미아,5,5,0,1,4,0.625,1598.5425,225.71333333333334,221.02
7,07:00,봉천,봉천,3,3,0,1,3,0.5,1507.14,139.285,271.77
7,07:00,사당,사당,3,3,0,1,3,0.5,1463.3500000000001,139.285,194.48333333333335
7,07:00,성수,성수,2,2,0,1,2,0.5,1281,10,207.15
7,07:00,수서,수서,5,5,0,1,4,0.625,8639.5725,215.71333333333334,399.55999999999995
7,07:00,여의도,여의도,4,4,0,1,3,0.6666666666666666,1107.23,40,141.64
7,07:00,연신내,연신내,3,3,0,1,3,0.5,1284.1766666666665,139.285,0
7,07:00,용산,용산,1,1,0,1,1,0.5,1309.77,0,0
7,07:00,잠실,잠실,5,5,0,1,5,0.5,4612.876,112.38,320.90999999999997
7,07:00,천호,천호,5,5,0,1,5,0.5,3237.5060000000003,249.57,374.6066666666666
8,08:00,가산,가산,4,3,1,0.75,3,0.5,1766.0166666666667,40,66.24
8,08:00,강남,강남,5,5,0,1,5,0.5,3907.2519999999995,328.57,249.59
8,08:00,광화문,광화문,6,6,0,1,6,0.5,1473.415,318.57,238
8,08:00,마곡,마곡,4,4,0,1,4,0.5,1546.205,313.57,154.72
8,08:00,망우,망우,2,2,0,1,2,0.5,1291.255,40,225.33
8,08:00,목동,목동,4,4,0,1,4,0.5,3106.965,265.7133333333333,570.485
8,08:00,봉천,봉천,1,1,0,1,1,0.5,1212.28,0,44.92
8,08:00,사당,사당,4,4,0,1,4,0.5,2254.685,373.57,407.3033333333333
8,08:00,성수,성수,4,2,2,0.5,2,0.5,1516.255,0,392.17
8,08:00,수서,수서,4,4,0,1,4,0.5,1386.815,124.285,202.13
8,08:00,여의도,여의도,1,1,0,1,1,0.5,904.47,0,0
8,08:00,연신내,연신내,2,2,0,1,2,0.5,1224.655,40,0
8,08:00,용산,용산,4,4,0,1,3,0.6666666666666666,1249.59,199.285,153.79
8,08:00,잠실,잠실,2,1,1,0.5,1,0.5,1520.88,0,40.98
8,08:00,천호,천호,5,4,1,0.8,4,0.5,1279.155,146.285,0
9,09:00,가산,가산,2,2,0,1,2,0.5,1225.9099999999999,0,171.05
9,09:00,강남,강남,6,6,0,1,5,0.6,1309.016,265.7133333333333,111.82000000000001
9,09:00,광화문,광화문,2,2,0,1,2,0.5,1062.435,0,0
9,09:00,마곡,마곡,2,2,0,1,2,0.5,1358.0700000000002,70,0
9,09:00,망우,망우,4,4,0,1,4,0.5,1401.8475,343.57,59.07666666666666
