vertiport_id,vertiport,phase,resource_type,resource_id,fpl_id,aircraft_id,state,description,start_sec,end_sec,start_time,end_time,duration_sec
여의도,여의도,departure,fato,fato-1,FPL0113001,UAM0001,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
잠실,잠실,departure,fato,fato-1,FPL0213001,UAM0005,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
용산,용산,departure,fato,fato-1,FPL0401001,UAM0013,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
목동,목동,departure,fato,fato-1,FPL0515001,UAM0017,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
미아,미아,departure,fato,fato-1,FPL0614001,UAM0021,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
봉천,봉천,departure,fato,fato-1,FPL0708001,UAM0025,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
사당,사당,departure,fato,fato-1,FPL0811001,UAM0029,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
성수,성수,departure,fato,fato-1,FPL0906001,UAM0033,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
천호,천호,departure,fato,fato-1,FPL1106001,UAM0041,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
광화문,광화문,departure,fato,fato-1,FPL1203001,UAM0045,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
강남,강남,departure,fato,fato-1,FPL1312001,UAM0049,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
가산,가산,departure,fato,fato-1,FPL1411001,UAM0053,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
마곡,마곡,departure,fato,fato-1,FPL1517001,UAM0057,procedure,engine start,23518.28,23758.28,06:31:58,06:35:58,240
여의도,여의도,departure,fato,fato-2,FPL0105001,UAM0002,procedure,engine start,23558.28,23798.28,06:32:38,06:36:38,240
목동,목동,departure,fato,fato-2,FPL0503001,UAM0018,procedure,engine start,23558.28,23798.28,06:32:38,06:36:38,240
천호,천호,departure,fato,fato-2,FPL1117001,UAM0042,procedure,engine start,23558.28,23798.28,06:32:38,06:36:38,240
강남,강남,departure,fato,fato-2,FPL1301001,UAM0050,procedure,engine start,23558.28,23798.28,06:32:38,06:36:38,240
여의도,여의도,departure,fato,fato-1,FPL0103001,UAM0003,procedure,engine start,23846.86,24086.86,06:37:26,06:41:26,240
여의도,여의도,departure,fato,fato-2,FPL0102001,UAM0004,procedure,engine start,23886.86,24126.86,06:38:06,06:42:06,240
목동,목동,arrival,fato,fato-1,FPL0105001,UAM0002,fatoLock,fato lock,23933.45,23993.45,06:38:53,06:39:53,60
상암,상암,arrival,fato,fato-1,FPL0503001,UAM0018,fatoLock,fato lock,23948.44,24008.44,06:39:08,06:40:08,60
