"LocalID","ID","Type","Pax","From","DepFATO_No","DepGate_No","STD","To","ArrFATO_No","ArrGate_No","STA","DepGateIn","DepGateOut","DepFATOIn","DepFATOOut","ArrFATOIn","ArrFATOOut","ArrGateIn","ArrGateOut"
"12-1","UAM0001","6인승","6","광화문","1","1","06:30:01","강남","2","1","06:46:21","06:29:01","06:30:01","06:35:01","06:37:01","06:46:21","06:48:21","06:53:21","06:59:21"
"12-2","UAM0017","6인승","6","광화문","1","1","06:32:11","목동","2","2","06:44:40","06:31:11","06:32:11","06:37:11","06:39:11","06:44:40","06:46:40","06:51:40","06:57:40"
"12-3","UAM0047","6인승","6","광화문","1","1","06:36:46","가산","2","2","06:52:39","06:35:46","06:36:46","06:41:46","06:43:46","06:52:39","06:54:39","06:59:39","07:05:39"
"12-4","UAM0053","6인승","6","광화문","1","2","06:37:13","수서","2","4","06:58:26","06:36:13","06:37:13","06:43:46","06:45:46","06:58:26","07:00:26","07:05:26","07:11:26"
"12-5","UAM0058","6인승","6","광화문","1","3","06:37:33","강남","2","4","07:01:18","06:36:33","06:37:33","06:45:46","06:47:46","07:01:18","07:03:18","07:08:18","07:14:18"
"12-6","UAM0059","6인승","6","광화문","1","4","06:37:36","잠실","2","1","06:59:23","06:36:36","06:37:36","06:47:46","06:49:46","06:59:23","07:01:23","07:06:23","07:12:23"
"12-7","UAM0070","6인승","6","광화문","1","1","06:39:11","미아","2","1","07:04:29","06:38:11","06:39:11","06:49:46","06:51:46","07:04:29","07:06:29","07:11:29","07:17:29"
"12-8","UAM0087","6인승","6","광화문","1","1","06:41:53","천호","2","1","07:06:27","06:40:53","06:41:53","06:51:46","06:53:46","07:06:27","07:08:27","07:13:27","07:19:27"
"12-9","UAM0090","6인승","6","광화문","1","2","06:42:24","봉천","2","2","07:03:34","06:41:24","06:42:24","06:53:46","06:55:46","07:03:34","07:05:34","07:10:34","07:16:34"
"12-10","UAM0091","6인승","6","광화문","1","3","06:42:29","사당","2","1","07:06:23","06:41:29","06:42:29","06:55:46","06:57:46","07:06:23","07:08:23","07:13:23","07:19:23"
"12-11","UAM0098","6인승","6","광화문","1","4","06:43:20","잠실","2","1","07:09:23","06:42:20","06:43:20","06:57:46","06:59:46","07:09:23","07:11:23","07:16:23","07:22:23"
"12-12","UAM0111","6인승","6","광화문","1","1","06:44:18","마곡","2","4","07:08:51","06:43:18","06:44:18","06:59:46","07:01:46","07:08:51","07:10:51","07:15:51","07:21:51"
"12-13","UAM0144","6인승","6","광화문","1","1","06:48:44","수서","2","1","07:16:02","06:47:44","06:48:44","07:01:46","07:03:46","07:16:02","07:18:02","07:23:02","07:29:02"
"12-14","UAM0145","6인승","6","광화문","1","2","06:48:49","목동","2","4","07:22:55","06:47:49","06:48:49","07:03:46","07:05:46","07:22:55","07:24:55","07:29:55","07:35:55"
"12-15","UAM0146","6인승","6","광화문","1","3","06:48:50","망우","2","1","07:17:41","06:47:50","06:48:50","07:05:46","07:07:46","07:17:41","07:19:41","07:24:41","07:30:41"
"12-16","UAM0155","6인승","6","광화문","1","4","06:49:52","천호","2","4","07:19:53","06:48:52","06:49:52","07:07:46","07:09:46","07:19:53","07:21:53","07:26:53","07:32:53"
"12-17","UAM0198","6인승","6","광화문","1","2","06:56:56","가산","2","2","07:20:39","06:55:56","06:56:56","07:09:46","07:11:46","07:20:39","07:22:39","07:27:39","07:33:39"
"12-18","UAM0206","6인승","6","광화문","1","3","06:57:42","강남","2","1","07:23:06","06:56:42","06:57:42","07:11:46","07:13:46","07:23:06","07:25:06","07:30:06","07:36:06"
"12-19","UAM0208","6인승","6","광화문","1","4","06:58:14","잠실","2","1","07:25:23","06:57:14","06:58:14","07:13:46","07:15:46","07:25:23","07:27:23","07:32:23","07:38:23"
"12-20","UAM0008","6인승","6","광화문","1","1","07:02:27","상암","2","2","07:26:30","07:02:45","07:03:45","07:15:46","07:17:46","07:26:30","07:28:30","07:33:30","07:39:30"
"12-21","UAM0239","6인승","6","광화문","1","4","07:03:30","마곡","2","3","07:48:42","07:02:30","07:03:30","07:17:46","07:19:46","07:48:42","07:50:42","07:55:42","08:01:42"
"12-22","UAM0241","6인승","6","광화문","1","5","07:03:36","목동","2","3","07:36:55","07:02:36","07:03:36","07:19:46","07:21:46","07:36:55","07:38:55","07:43:55","07:49:55"
"12-23","UAM0242","6인승","6","광화문","1","6","07:04:11","강남","2","1","07:33:06","07:03:11","07:04:11","07:21:46","07:23:46","07:33:06","07:35:06","07:40:06","07:46:06"
"12-24","UAM0012","6인승","6","광화문","1","2","07:07:17","가산","2","4","07:35:31","07:06:17","07:07:17","07:23:46","07:25:46","07:35:31","07:37:31","07:42:31","07:48:31"
"12-25","UAM0046","6인승","6","광화문","1","3","07:08:01","사당","2","1","07:35:22","07:08:26","07:09:26","07:25:46","07:27:46","07:35:22","07:37:22","07:42:22","07:48:22"
"12-26","UAM0268","6인승","6","광화문","1","4","07:10:25","잠실","2","1","07:44:55","07:09:25","07:10:25","07:27:46","07:29:46","07:44:55","07:46:55","07:51:55","07:57:55"
"12-27","UAM0043","6인승","6","광화문","1","1","07:11:16","수서","2","2","07:47:41","07:11:31","07:12:31","07:29:46","07:31:46","07:47:41","07:49:41","07:54:41","08:00:41"
"12-28","UAM0283","6인승","6","광화문","1","3","07:13:39","천호","2","3","07:53:23","07:12:39","07:13:39","07:31:46","07:33:46","07:53:23","07:55:23","08:00:23","08:06:23"
"12-29","UAM0076","6인승","6","광화문","1","2","07:14:52","사당","2","2","07:45:14","07:14:55","07:15:55","07:33:46","07:35:46","07:45:14","07:47:14","07:52:14","07:58:14"
"12-30","UAM0290","6인승","6","광화문","1","4","07:15:02","망우","2","2","07:47:58","07:14:02","07:15:02","07:35:46","07:37:46","07:47:58","07:49:58","07:54:58","08:00:58"
"12-31","UAM0293","6인승","6","광화문","1","5","07:15:12","마곡","2","1","08:06:42","07:14:12","07:15:12","07:37:46","07:39:46","08:06:42","08:08:42","08:13:42","08:19:42"
"12-32","UAM0294","6인승","6","광화문","1","6","07:15:16","강남","2","2","07:52:49","07:14:16","07:15:16","07:39:46","07:41:46","07:52:49","07:54:49","07:59:49","08:05:49"
"12-33","UAM0303","6인승","6","광화문","1","7","07:16:13","가산","2","1","07:52:39","07:15:13","07:16:13","07:41:46","07:43:46","07:52:39","07:54:39","07:59:39","08:05:39"
"12-34","UAM0309","6인승","6","광화문","1","4","07:18:11","미아","2","2","07:52:45","07:17:11","07:18:11","07:43:46","07:45:46","07:52:45","07:54:45","07:59:45","08:05:45"
"12-35","UAM0116","6인승","6","광화문","1","1","07:19:46","목동","2","2","08:14:55","07:19:37","07:20:37","07:45:46","07:47:46","08:14:55","08:16:55","08:21:55","08:27:55"
"12-36","UAM0127","6인승","6","광화문","1","3","07:23:47","봉천","2","1","07:59:56","07:27:44","07:28:44","07:47:46","07:49:46","07:59:56","08:01:56","08:06:56","08:12:56"
"12-37","UAM0148","6인승","6","광화문","1","2","07:25:30","목동","2","3","08:24:55","07:24:30","07:25:30","07:49:46","07:51:46","08:24:55","08:26:55","08:31:55","08:37:55"
"12-38","UAM0168","6인승","6","광화문","1","4","07:27:56","마곡","2","5","08:22:42","07:32:57","07:33:57","07:51:46","07:53:46","08:22:42","08:24:42","08:29:42","08:35:42"
"12-39","UAM0205","6인승","6","광화문","1","3","07:27:58","수서","2","1","08:08:02","07:29:14","07:30:14","07:53:46","07:55:46","08:08:02","08:10:02","08:15:02","08:21:02"
"12-40","UAM0344","6인승","6","광화문","1","2","07:28:07","강남","2","2","08:10:49","07:27:07","07:28:07","07:55:46","07:57:46","08:10:49","08:12:49","08:17:49","08:23:49"
"12-41","UAM0123","6인승","6","광화문","1","1","07:31:07","천호","2","3","08:27:23","07:30:57","07:31:57","07:57:46","07:59:46","08:27:23","08:29:23","08:34:23","08:40:23"
"12-42","UAM0212","6인승","6","광화문","1","4","07:34:30","강남","2","4","08:26:49","07:34:27","07:35:27","07:59:46","08:01:46","08:26:49","08:28:49","08:33:49","08:39:49"
"12-43","UAM0372","6인승","6","광화문","1","5","07:34:56","사당","2","2","08:11:22","07:33:56","07:34:56","08:01:46","08:03:46","08:11:22","08:13:22","08:18:22","08:24:22"
"12-44","UAM0211","6인승","6","광화문","1","2","07:37:17","수서","2","2","08:19:26","07:36:21","07:37:21","08:03:46","08:05:46","08:19:26","08:21:26","08:26:26","08:32:26"
"12-45","UAM0378","6인승","6","광화문","1","4","07:37:29","미아","2","3","08:15:04","07:36:29","07:37:29","08:05:46","08:07:46","08:15:04","08:17:04","08:22:04","08:28:04"
"12-46","UAM0379","6인승","6","광화문","1","5","07:38:05","잠실","2","1","08:19:23","07:37:05","07:38:05","08:07:46","08:09:46","08:19:23","08:21:23","08:26:23","08:32:23"
"12-47","UAM0179","6인승","6","광화문","1","1","07:38:42","망우","2","2","08:21:58","07:46:01","07:47:01","08:09:46","08:11:46","08:21:58","08:23:58","08:28:58","08:34:58"
"12-48","UAM0386","6인승","6","광화문","1","2","07:39:24","가산","2","1","08:22:39","07:38:24","07:39:24","08:11:46","08:13:46","08:22:39","08:24:39","08:29:39","08:35:39"
"12-49","UAM0256","6인승","6","광화문","1","3","07:41:58","목동","2","4","08:56:55","07:40:58","07:41:58","08:13:46","08:15:46","08:56:55","08:58:55","09:03:55","09:09:55"
"12-50","UAM0394","6인승","6","광화문","1","3","07:43:47","봉천","2","2","08:25:44","07:42:47","07:43:47","08:15:46","08:17:46","08:25:44","08:27:44","08:32:44","08:38:44"
"12-51","UAM0224","6인승","6","광화문","1","1","07:45:25","목동","2","5","08:58:55","07:47:31","07:48:31","08:17:46","08:19:46","08:58:55","09:00:55","09:05:55","09:11:55"
"12-52","UAM0400","6인승","6","광화문","1","4","07:45:41","상암","2","3","08:27:01","07:44:41","07:45:41","08:19:46","08:21:46","08:27:01","08:29:01","08:34:01","08:40:01"
"12-53","UAM0408","6인승","6","광화문","1","5","07:47:12","마곡","2","3","08:54:42","07:46:12","07:47:12","08:21:46","08:23:46","08:54:42","08:56:42","09:01:42","09:07:42"
"12-54","UAM0411","6인승","6","광화문","1","6","07:47:29","수서","2","2","08:38:02","07:46:29","07:47:29","08:23:46","08:25:46","08:38:02","08:40:02","08:45:02","08:51:02"
"12-55","UAM0412","6인승","6","광화문","1","7","07:47:52","천호","2","3","08:57:23","07:46:52","07:47:52","08:25:46","08:27:46","08:57:23","08:59:23","09:04:23","09:10:23"
"12-56","UAM0245","6인승","6","광화문","1","2","07:54:31","목동","2","3","09:22:55","08:00:55","08:01:55","08:27:46","08:29:46","09:22:55","09:24:55","09:29:55","09:35:55"
"12-57","UAM0254","6인승","6","광화문","1","3","07:54:41","강남","2","3","09:04:49","07:53:41","07:54:41","08:29:46","08:31:46","09:04:49","09:06:49","09:11:49","09:17:49"
"12-58","UAM0277","6인승","6","광화문","1","4","07:58:12","수서","2","2","08:46:02","07:57:12","07:58:12","08:31:46","08:33:46","08:46:02","08:48:02","08:53:02","08:59:02"
"12-59","UAM0086","6인승","6","광화문","1","5","07:58:32","잠실","2","3","08:45:23","07:57:32","07:58:32","08:33:46","08:35:46","08:45:23","08:47:23","08:52:23","08:58:23"
"12-60","UAM0240","6인승","6","광화문","1","1","07:59:08","강남","2","1","09:08:49","08:05:30","08:06:30","08:35:46","08:37:46","09:08:49","09:10:49","09:15:49","09:21:49"
"12-61","UAM0455","6인승","6","광화문","1","4","08:00:05","천호","2","1","09:15:23","07:59:05","08:00:05","08:37:46","08:39:46","09:15:23","09:17:23","09:22:23","09:28:23"
"12-62","UAM0279","6인승","6","광화문","1","2","08:00:33","사당","2","1","08:49:22","08:02:25","08:03:25","08:39:46","08:41:46","08:49:22","08:51:22","08:56:22","09:02:22"
"12-63","UAM0057","6인승","6","광화문","1","3","08:02:50","가산","2","2","08:55:54","08:02:55","08:03:55","08:41:46","08:43:46","08:55:54","08:57:54","09:02:54","09:08:54"
"12-64","UAM0077","6인승","6","광화문","1","1","08:06:57","천호","2","4","09:25:23","08:07:00","08:08:00","08:43:46","08:45:46","09:25:23","09:27:23","09:32:23","09:38:23"
"12-65","UAM0480","6인승","6","광화문","1","3","08:08:07","봉천","2","1","08:54:40","08:07:07","08:08:07","08:45:46","08:47:46","08:54:40","08:56:40","09:01:40","09:07:40"
"12-66","UAM0482","6인승","6","광화문","1","4","08:08:36","강남","2","1","09:24:49","08:07:36","08:08:36","08:47:46","08:49:46","09:24:49","09:26:49","09:31:49","09:37:49"
"12-67","UAM0483","6인승","6","광화문","1","5","08:09:01","망우","2","1","09:01:41","08:08:01","08:09:01","08:49:46","08:51:46","09:01:41","09:03:41","09:08:41","09:14:41"
"12-68","UAM0118","6인승","6","광화문","1","2","08:13:46","목동","2","3","10:06:55","08:12:46","08:13:46","08:51:46","08:53:46","10:06:55","10:08:55","10:13:55","10:19:55"
"12-69","UAM0365","6인승","6","광화문","1","3","08:14:42","천호","2","3","09:41:23","08:15:09","08:16:09","08:53:46","08:55:46","09:41:23","09:43:23","09:48:23","09:54:23"
"12-70","UAM0216","6인승","6","광화문","1","4","08:17:17","잠실","2","2","09:10:57","08:17:09","08:18:09","08:55:46","08:57:46","09:10:57","09:12:57","09:17:57","09:23:57"
"12-71","UAM0508","6인승","6","광화문","1","3","08:18:06","마곡","2","1","09:56:42","08:17:06","08:18:06","08:57:46","08:59:46","09:56:42","09:58:42","10:03:42","10:09:42"
"12-72","UAM0509","6인승","6","광화문","1","5","08:19:15","미아","2","3","09:08:45","08:18:15","08:19:15","08:59:46","09:01:46","09:08:45","09:10:45","09:15:45","09:21:45"
"12-73","UAM0305","6인승","6","광화문","1","1","08:21:16","강남","2","4","09:46:49","08:20:55","08:21:55","09:01:46","09:03:46","09:46:49","09:48:49","09:53:49","09:59:49"
"12-74","UAM0322","6인승","6","광화문","1","2","08:23:44","잠실","2","3","09:15:23","08:22:55","08:23:55","09:03:46","09:05:46","09:15:23","09:17:23","09:22:23","09:28:23"
"12-75","UAM0234","6인승","6","광화문","1","3","08:24:53","봉천","2","2","09:24:37","08:25:25","08:26:25","09:05:46","09:07:46","09:24:37","09:26:37","09:31:37","09:37:37"
"12-76","UAM0170","6인승","6","광화문","1","4","08:26:45","사당","2","2","09:17:22","08:26:55","08:27:55","09:07:46","09:09:46","09:17:22","09:19:22","09:24:22","09:30:22"
"12-77","UAM0008","6인승","6","광화문","1","1","08:28:58","강남","2","3","09:56:49","08:29:25","08:30:25","09:09:46","09:11:46","09:56:49","09:58:49","10:03:49","10:09:49"
"12-78","UAM0553","6인승","6","광화문","1","5","08:29:22","목동","2","4","10:44:55","08:28:22","08:29:22","09:11:46","09:13:46","10:44:55","10:46:55","10:51:55","10:57:55"
"12-79","UAM0274","6인승","6","광화문","1","2","08:30:29","수서","2","2","09:29:41","08:31:25","08:32:25","09:13:46","09:15:46","09:29:41","09:31:41","09:36:41","09:42:41"
"12-80","UAM0570","6인승","6","광화문","1","4","08:33:52","목동","2","3","10:50:55","08:32:52","08:33:52","09:15:46","09:17:46","10:50:55","10:52:55","10:57:55","11:03:55"
"12-81","UAM0573","6인승","6","광화문","1","2","08:34:01","망우","2","2","09:29:41","08:33:01","08:34:01","09:17:46","09:19:46","09:29:41","09:31:41","09:36:41","09:42:41"
"12-82","UAM0046","6인승","6","광화문","1","3","08:35:36","천호","2","2","10:17:23","08:43:00","08:44:00","09:19:46","09:21:46","10:17:23","10:19:23","10:24:23","10:30:23"
"12-83","UAM0577","6인승","6","광화문","1","4","08:35:49","강남","2","4","10:06:49","08:34:49","08:35:49","09:21:46","09:23:46","10:06:49","10:08:49","10:13:49","10:19:49"
"12-84","UAM0128","6인승","6","광화문","1","1","08:38:13","마곡","2","4","10:40:42","08:38:24","08:39:24","09:23:46","09:25:46","10:40:42","10:42:42","10:47:42","10:53:42"
"12-85","UAM0591","6인승","6","광화문","1","5","08:40:10","사당","2","3","09:36:41","08:39:10","08:40:10","09:25:46","09:27:46","09:36:41","09:38:41","09:43:41","09:49:41"
"12-86","UAM0229","6인승","6","광화문","1","2","08:41:09","상암","2","2","09:35:01","08:41:30","08:42:30","09:27:46","09:29:46","09:35:01","09:37:01","09:42:01","09:48:01"
"12-87","UAM0447","6인승","6","광화문","1","3","08:42:41","미아","2","2","09:39:33","08:44:30","08:45:30","09:29:46","09:31:46","09:39:33","09:41:33","09:46:33","09:52:33"
"12-88","UAM0598","6인승","6","광화문","1","1","08:43:18","마곡","2","1","10:50:42","08:42:18","08:43:18","09:31:46","09:33:46","10:50:42","10:52:42","10:57:42","11:03:42"
"12-89","UAM0602","6인승","6","광화문","1","5","08:43:42","수서","2","2","09:48:43","08:42:42","08:43:42","09:33:46","09:35:46","09:48:43","09:50:43","09:55:43","10:01:43"
"12-90","UAM0306","6인승","6","광화문","1","4","08:46:20","봉천","2","2","09:52:37","08:45:20","08:46:20","09:35:46","09:37:46","09:52:37","09:54:37","09:59:37","10:05:37"
