"LocalID","ID","Type","Pax","From","DepFATO_No","DepGate_No","STD","To","ArrFATO_No","ArrGate_No","STA","DepGateIn","DepGateOut","DepFATOIn","DepFATOOut","ArrFATOIn","ArrFATOOut","ArrGateIn","ArrGateOut"
"3-1","UAM0013","6인승","6","상암","1","1","06:31:22","천호","2","1","06:50:31","06:30:22","06:31:22","06:36:22","06:38:22","06:50:31","06:52:31","06:57:31","07:03:31"
"3-2","UAM0080","6인승","6","상암","1","1","06:41:20","가산","2","3","07:00:00","06:40:20","06:41:20","06:46:20","06:48:20","07:00:00","07:02:00","07:07:00","07:13:00"
"3-3","UAM0086","6인승","6","상암","1","2","06:41:42","수서","2","1","07:04:39","06:40:42","06:41:42","06:48:20","06:50:20","07:04:39","07:06:39","07:11:39","07:17:39"
"3-4","UAM0110","6인승","6","상암","1","1","06:44:18","망우","2","3","07:05:23","06:43:18","06:44:18","06:50:20","06:52:20","07:05:23","07:07:23","07:12:23","07:18:23"
"3-5","UAM0125","6인승","6","상암","1","2","06:45:45","성수","2","2","07:06:15","06:44:45","06:45:45","06:52:20","06:54:20","07:06:15","07:08:15","07:13:15","07:19:15"
"3-6","UAM0193","6인승","6","상암","1","1","06:55:38","미아","2","4","07:16:29","06:54:38","06:55:38","07:00:38","07:02:38","07:16:29","07:18:29","07:23:29","07:29:29"
"3-7","UAM0228","6인승","6","상암","1","2","07:01:14","마곡","2","2","07:42:42","07:00:14","07:01:14","07:06:14","07:08:14","07:42:42","07:44:42","07:49:42","07:55:42"
"3-8","UAM0011","6인승","6","상암","1","1","07:03:50","수서","2","1","07:31:41","07:03:56","07:04:56","07:09:56","07:11:56","07:31:41","07:33:41","07:38:41","07:44:41"
"3-9","UAM0253","6인승","6","상암","1","1","07:06:44","성수","2","4","07:33:41","07:05:44","07:06:44","07:11:56","07:13:56","07:33:41","07:35:41","07:40:41","07:46:41"
"3-10","UAM0256","6인승","6","상암","1","2","07:07:14","광화문","2","3","07:27:25","07:06:14","07:07:14","07:13:56","07:15:56","07:27:25","07:29:25","07:34:25","07:40:25"
"3-11","UAM0272","6인승","6","상암","1","1","07:11:24","천호","2","4","07:45:23","07:10:24","07:11:24","07:16:24","07:18:24","07:45:23","07:47:23","07:52:23","07:58:23"
"3-12","UAM0281","6인승","6","상암","1","1","07:13:33","사당","2","2","07:30:50","07:12:33","07:13:33","07:18:33","07:20:33","07:30:50","07:32:50","07:37:50","07:43:50"
"3-13","UAM0298","6인승","6","상암","1","1","07:15:38","강남","2","5","07:45:50","07:14:38","07:15:38","07:20:38","07:22:38","07:45:50","07:47:50","07:52:50","07:58:50"
"3-14","UAM0306","6인승","6","상암","1","1","07:17:41","잠실","2","2","07:48:55","07:16:41","07:17:41","07:22:41","07:24:41","07:48:55","07:50:55","07:55:55","08:01:55"
"3-15","UAM0317","6인승","6","상암","1","1","07:20:30","가산","2","2","07:54:39","07:19:30","07:20:30","07:25:30","07:27:30","07:54:39","07:56:39","08:01:39","08:07:39"
"3-16","UAM0115","6인승","6","상암","1","1","07:30:04","미아","2","2","08:00:45","07:29:44","07:30:44","07:35:44","07:37:44","08:00:45","08:02:45","08:07:45","08:13:45"
"3-17","UAM0119","6인승","6","상암","1","2","07:37:23","용산","2","2","07:56:29","07:40:00","07:41:00","07:46:00","07:48:00","07:56:29","07:58:29","08:03:29","08:09:29"
"3-18","UAM0187","6인승","6","상암","1","3","07:37:36","천호","2","2","08:41:23","07:42:04","07:43:04","07:48:04","07:50:04","08:41:23","08:43:23","08:48:23","08:54:23"
"3-19","UAM0223","6인승","6","상암","1","1","07:39:57","봉천","2","2","08:03:56","07:38:57","07:39:57","07:50:04","07:52:04","08:03:56","08:05:56","08:10:56","08:16:56"
"3-20","UAM0008","6인승","6","상암","1","2","07:45:23","광화문","2","1","08:15:25","07:44:23","07:45:23","07:52:04","07:54:04","08:15:25","08:17:25","08:22:25","08:28:25"
"3-21","UAM0041","6인승","6","상암","1","3","07:46:53","성수","2","2","08:37:08","07:45:53","07:46:53","07:54:04","07:56:04","08:37:08","08:39:08","08:44:08","08:50:08"
"3-22","UAM0407","6인승","6","상암","1","2","07:47:12","잠실","2","5","08:16:07","07:46:12","07:47:12","07:56:04","07:58:04","08:16:07","08:18:07","08:23:07","08:29:07"
"3-23","UAM0005","6인승","6","상암","1","1","07:48:52","마곡","2","4","09:04:42","07:48:32","07:49:32","07:58:04","08:00:04","09:04:42","09:06:42","09:11:42","09:17:42"
"3-24","UAM0428","6인승","6","상암","1","2","07:50:10","강남","2","2","08:54:49","07:49:10","07:50:10","08:00:04","08:02:04","08:54:49","08:56:49","09:01:49","09:07:49"
"3-25","UAM0430","6인승","6","상암","1","3","07:50:29","망우","2","3","08:33:46","07:49:29","07:50:29","08:02:04","08:04:04","08:33:46","08:35:46","08:40:46","08:46:46"
"3-26","UAM0432","6인승","6","상암","1","4","07:50:35","사당","2","3","08:24:41","07:49:35","07:50:35","08:04:04","08:06:04","08:24:41","08:26:41","08:31:41","08:37:41"
"3-27","UAM0433","6인승","6","상암","1","5","07:50:49","수서","2","2","08:27:41","07:49:49","07:50:49","08:06:04","08:08:04","08:27:41","08:29:41","08:34:41","08:40:41"
"3-28","UAM0315","6인승","6","상암","1","2","08:00:11","천호","2","4","09:17:23","07:59:11","08:00:11","08:08:04","08:10:04","09:17:23","09:19:23","09:24:23","09:30:23"
"3-29","UAM0320","6인승","6","상암","1","3","08:03:43","강남","2","3","09:20:49","08:03:20","08:04:20","08:10:04","08:12:04","09:20:49","09:22:49","09:27:49","09:33:49"
"3-30","UAM0343","6인승","6","상암","1","2","08:12:17","성수","2","2","09:11:08","08:11:17","08:12:17","08:17:17","08:19:17","09:11:08","09:13:08","09:18:08","09:24:08"
