"LocalID","ID","Type","Pax","From","DepFATO_No","DepGate_No","STD","To","ArrFATO_No","ArrGate_No","STA","DepGateIn","DepGateOut","DepFATOIn","DepFATOOut","ArrFATOIn","ArrFATOOut","ArrGateIn","ArrGateOut"
"1-1","UAM0014","6인승","6","여의도","1","1","06:31:31","미아","2","1","06:48:45","06:30:31","06:31:31","06:36:31","06:38:31","06:48:45","06:50:45","06:55:45","07:01:45"
"1-2","UAM0020","6인승","6","여의도","1","2","06:32:38","강남","2","3","06:51:28","06:31:38","06:32:38","06:38:31","06:40:31","06:51:28","06:53:28","06:58:28","07:04:28"
"1-3","UAM0039","6인승","6","여의도","1","1","06:35:54","성수","2","2","06:51:19","06:34:54","06:35:54","06:40:54","06:42:54","06:51:19","06:53:19","06:58:19","07:04:19"
"1-4","UAM0062","6인승","6","여의도","1","1","06:38:04","천호","2","4","07:00:27","06:37:04","06:38:04","06:43:04","06:45:04","07:00:27","07:02:27","07:07:27","07:13:27"
"1-5","UAM0102","6인승","6","여의도","1","1","06:43:37","잠실","2","3","07:04:18","06:42:37","06:43:37","06:48:37","06:50:37","07:04:18","07:06:18","07:11:18","07:17:18"
"1-6","UAM0107","6인승","6","여의도","1","2","06:44:01","연신내","2","2","07:03:26","06:43:01","06:44:01","06:50:37","06:52:37","07:03:26","07:05:26","07:10:26","07:16:26"
"1-7","UAM0112","6인승","6","여의도","1","3","06:44:25","수서","2","2","07:06:39","06:43:25","06:44:25","06:52:37","06:54:37","07:06:39","07:08:39","07:13:39","07:19:39"
"1-8","UAM0140","6인승","6","여의도","1","1","06:48:03","성수","2","3","07:08:15","06:47:03","06:48:03","06:54:37","06:56:37","07:08:15","07:10:15","07:15:15","07:21:15"
"1-9","UAM0153","6인승","6","여의도","1","2","06:49:32","마곡","2","1","07:22:42","06:48:32","06:49:32","06:56:37","06:58:37","07:22:42","07:24:42","07:29:42","07:35:42"
"1-10","UAM0181","6인승","6","여의도","1","1","06:54:03","강남","2","1","07:16:13","06:53:03","06:54:03","06:59:03","07:01:03","07:16:13","07:18:13","07:23:13","07:29:13"
"1-11","UAM0186","6인승","6","여의도","1","2","06:54:38","사당","2","4","07:10:23","06:53:38","06:54:38","07:01:03","07:03:03","07:10:23","07:12:23","07:17:23","07:23:23"
"1-12","UAM0229","6인승","6","여의도","1","3","07:01:25","천호","2","2","07:25:53","07:00:25","07:01:25","07:06:25","07:08:25","07:25:53","07:27:53","07:32:53","07:38:53"
"1-13","UAM0015","6인승","6","여의도","1","1","07:05:49","수서","2","2","07:33:41","07:09:10","07:10:10","07:15:10","07:17:10","07:33:41","07:35:41","07:40:41","07:46:41"
"1-14","UAM0026","6인승","6","여의도","1","2","07:09:05","망우","2","2","07:38:55","07:13:10","07:14:10","07:19:10","07:21:10","07:38:55","07:40:55","07:45:55","07:51:55"
"1-15","UAM0040","6인승","6","여의도","1","1","07:10:49","성수","2","5","07:35:41","07:17:40","07:18:40","07:23:40","07:25:40","07:35:41","07:37:41","07:42:41","07:48:41"
"1-16","UAM0042","6인승","6","여의도","1","3","07:13:18","강남","2","2","07:41:50","07:19:10","07:20:10","07:25:40","07:27:40","07:41:50","07:43:50","07:48:50","07:54:50"
"1-17","UAM0068","6인승","6","여의도","1","2","07:15:47","천호","2","4","07:55:23","07:14:47","07:15:47","07:27:40","07:29:40","07:55:23","07:57:23","08:02:23","08:08:23"
"1-18","UAM0092","6인승","6","여의도","1","4","07:17:23","마곡","2","4","08:12:42","07:16:23","07:17:23","07:29:40","07:31:40","08:12:42","08:14:42","08:19:42","08:25:42"
"1-19","UAM0097","6인승","6","여의도","1","1","07:18:36","수서","2","1","07:53:41","07:19:10","07:20:10","07:31:40","07:33:40","07:53:41","07:55:41","08:00:41","08:06:41"
"1-20","UAM0106","6인승","6","여의도","1","3","07:19:10","망우","2","3","07:49:58","07:20:40","07:21:40","07:33:40","07:35:40","07:49:58","07:51:58","07:56:58","08:02:58"
"1-21","UAM0314","6인승","6","여의도","1","4","07:19:49","잠실","2","3","07:50:55","07:18:49","07:19:49","07:35:40","07:37:40","07:50:55","07:52:55","07:57:55","08:03:55"
