"LocalID","ID","Type","Pax","From","DepFATO_No","DepGate_No","STD","To","ArrFATO_No","ArrGate_No","STA","DepGateIn","DepGateOut","DepFATOIn","DepFATOOut","ArrFATOIn","ArrFATOOut","ArrGateIn","ArrGateOut"
"4-1","UAM0129","6인승","6","용산","1","1","06:46:23","가산","2","2","07:12:28","06:45:23","06:46:23","06:51:23","06:53:23","07:12:28","07:14:28","07:19:28","07:25:28"
"4-2","UAM0156","6인승","6","용산","1","1","06:49:53","마곡","2","3","07:24:42","06:48:53","06:49:53","06:54:53","06:56:53","07:24:42","07:26:42","07:31:42","07:37:42"
"4-3","UAM0220","6인승","6","용산","1","1","07:00:28","성수","2","2","07:29:41","06:59:28","07:00:28","07:05:28","07:07:28","07:29:41","07:31:41","07:36:41","07:42:41"
"4-4","UAM0258","6인승","6","용산","1","1","07:07:52","천호","2","4","07:27:53","07:06:52","07:07:52","07:12:52","07:14:52","07:27:53","07:29:53","07:34:53","07:40:53"
"4-5","UAM0265","6인승","6","용산","1","1","07:09:29","연신내","2","1","07:24:20","07:08:29","07:09:29","07:14:52","07:16:52","07:24:20","07:26:20","07:31:20","07:37:20"
"4-6","UAM0282","6인승","6","용산","1","2","07:13:35","마곡","2","3","08:02:42","07:12:35","07:13:35","07:18:35","07:20:35","08:02:42","08:04:42","08:09:42","08:15:42"
"4-7","UAM0093","6인승","6","용산","1","1","07:17:48","목동","2","3","08:08:55","07:25:39","07:26:39","07:31:39","07:33:39","08:08:55","08:10:55","08:15:55","08:21:55"
"4-8","UAM0315","6인승","6","용산","1","3","07:19:49","상암","2","2","07:43:59","07:18:49","07:19:49","07:33:39","07:35:39","07:43:59","07:45:59","07:50:59","07:56:59"
"4-9","UAM0162","6인승","6","용산","1","2","07:22:35","성수","2","3","07:52:56","07:22:14","07:23:14","07:35:39","07:37:39","07:52:56","07:54:56","07:59:56","08:05:56"
"4-10","UAM0131","6인승","6","용산","1","1","07:27:14","수서","2","2","07:55:41","07:27:09","07:28:09","07:37:39","07:39:39","07:55:41","07:57:41","08:02:41","08:08:41"
