vertiport,vertiport_class,vertiport_lat_deg,vertiport_lon_deg,vertiport_angle_deg,s_id,node_id,semantic_id,display_id,node_type,source_layout_marker,local_x_cm,local_y_cm,local_z_cm,actor_x_cm,actor_y_cm,actor_z_cm,marker_x_cm,marker_y_cm,marker_z_cm,label_u_x_cm,label_u_y_cm,label_u_z_cm,airsim_x_m,airsim_y_m,airsim_z_m,lla_lon_deg,lla_lat_deg,lla_height_m,unreal_label_text,source_component_marker,source_component_label,trace_status,extraction_source
영등포,port,37.526513000000,126.922845000000,322.000000,S01,1,G8,S01 G8,gate,Cube,3900.000000,-2050.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-485729.181066,439653.118220,-29176.766458,-485729,439653,-29177,-4857.291811,4396.531182,-291.767665,126.923049892155,37.526874883950,61.600151,1 G8 | U -485729 / +439653 / -29177,GroundNodeMarker_0,GroundNodeLabel_0,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S02,2,G7,S02 G7,gate,Cube2,5600.000000,-2050.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-484388.949697,438607.280371,-29175.013456,-484389,438607,-29175,-4843.889497,4386.072804,-291.750135,126.923201442398,37.526969183755,61.600278,2 G7 | U -484389 / +438607 / -29175,GroundNodeMarker_1,GroundNodeLabel_1,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S03,3,G6,S03 G6,gate,Cube3,7285.000000,-2050.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-483060.543900,437570.670504,-29173.275922,-483061,437571,-29173,-4830.605439,4375.706705,-291.732759,126.923351655810,37.527062651309,61.600448,3 G6 | U -483061 / +437571 / -29173,GroundNodeMarker_2,GroundNodeLabel_2,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S04,4,G5,S04 G5,gate,Cube4,8970.000000,-2050.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-481732.138102,436534.060637,-29171.538388,-481732,436534,-29172,-4817.321381,4365.340606,-291.715384,126.923501869597,37.527156118671,61.600662,4 G5 | U -481732 / +436534 / -29172,GroundNodeMarker_3,GroundNodeLabel_3,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S05,5,,S05,taxi,Cube5,3900.000000,-805.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-484963.258156,440634.641060,-29176.866657,-484963,440635,-29177,-4849.632582,4406.346411,-291.768667,126.923136605091,37.526786489713,61.600124,5 | U -484963 / +440635 / -29177,GroundNodeMarker_4,GroundNodeLabel_4,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S06,6,,S06,taxi,Cube6,5600.000000,-805.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-483623.026787,439588.803211,-29175.113655,-483623,439589,-29175,-4836.230268,4395.888032,-291.751137,126.923288155265,37.526880789408,61.600250,6 | U -483623 / +439589 / -29175,GroundNodeMarker_5,GroundNodeLabel_5,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S07,7,,S07,taxi,Cube7,7285.000000,-805.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-482294.620989,438552.193344,-29173.376121,-482295,438552,-29173,-4822.946210,4385.521933,-291.733761,126.923438368608,37.526974256854,61.600420,7 | U -482295 / +438552 / -29173,GroundNodeMarker_6,GroundNodeLabel_6,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S08,8,,S08,taxi,Cube8,8970.000000,-805.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-480966.215191,437515.583476,-29171.638587,-480966,437516,-29172,-4809.662152,4375.155835,-291.716386,126.923588582326,37.527067724107,61.600634,8 | U -480966 / +437516 / -29172,GroundNodeMarker_7,GroundNodeLabel_7,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S09,9,,S09,taxi,Cube9,3900.000000,775.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-483991.243538,441880.268439,-29176.993817,-483991,441880,-29177,-4839.912435,4418.802684,-291.769938,126.923246650130,37.526674310588,61.600123,9 | U -483991 / +441880 / -29177,GroundNodeMarker_8,GroundNodeLabel_8,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S10,10,,S10,taxi,Cube10,5600.000000,775.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-482651.012170,440834.430590,-29175.240815,-482651,440834,-29175,-4826.510122,4408.344306,-291.752408,126.923398200215,37.526768610144,61.600250,10 | U -482651 / +440834 / -29175,GroundNodeMarker_9,GroundNodeLabel_9,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S11,11,,S11,taxi,Cube11,7285.000000,775.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-481322.606372,439797.820723,-29173.503281,-481323,439798,-29174,-4813.226064,4397.978207,-291.735033,126.923548413471,37.526862077451,61.600420,11 | U -481323 / +439798 / -29174,GroundNodeMarker_10,GroundNodeLabel_10,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S12,12,,S12,taxi,Cube12,8970.000000,775.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-479994.200574,438761.210856,-29171.765747,-479994,438761,-29172,-4799.942006,4387.612109,-291.717657,126.923698627101,37.526955544566,61.600634,12 | U -479994 / +438761 / -29172,GroundNodeMarker_11,GroundNodeLabel_11,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S13,13,G4,S13 G4,gate,Cube13,3900.000000,2020.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-483225.320628,442861.791279,-29177.094016,-483225,442862,-29177,-4832.253206,4428.617913,-291.770940,126.923333362602,37.526585916204,61.600151,13 G4 | U -483225 / +442862 / -29177,GroundNodeMarker_12,GroundNodeLabel_12,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S14,14,G3,S14 G3,gate,Cube14,5600.000000,2020.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-481885.089259,441815.953430,-29175.341015,-481885,441816,-29175,-4818.850893,4418.159534,-291.753410,126.923484912618,37.526680215650,61.600277,14 G3 | U -481885 / +441816 / -29175,GroundNodeMarker_13,GroundNodeLabel_13,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S15,15,G2,S15 G2,gate,Cube15,7285.000000,2020.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-480556.683461,440779.343563,-29173.603480,-480557,440779,-29174,-4805.566835,4407.793436,-291.736035,126.923635125804,37.526773682848,61.600447,15 G2 | U -480557 / +440779 / -29174,GroundNodeMarker_14,GroundNodeLabel_14,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S16,16,G1,S16 G1,gate,Cube16,8970.000000,2020.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-479228.277664,439742.733695,-29171.865946,-479228,439743,-29172,-4792.282777,4397.427337,-291.718659,126.923785339365,37.526867149854,61.600661,16 G1 | U -479228 / +439743 / -29172,GroundNodeMarker_15,GroundNodeLabel_15,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S17,17,,S17,connector,Cube17,3900.000000,-15.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-484477.250847,441257.454749,-29176.930237,-484477,441257,-29177,-4844.772508,4412.574547,-291.769302,126.923191627652,37.526730400164,61.600119,17 | U -484477 / +441257 / -29177,GroundNodeMarker_16,GroundNodeLabel_16,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S18,18,,S18,connector,Cube18,5600.000000,-15.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-483137.019478,440211.616901,-29175.177235,-483137,440212,-29175,-4831.370195,4402.116169,-291.751772,126.923343177782,37.526824699789,61.600245,18 | U -483137 / +440212 / -29175,GroundNodeMarker_17,GroundNodeLabel_17,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S19,19,,S19,connector,Cube19,7285.000000,-15.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-481808.613681,439175.007033,-29173.439701,-481809,439175,-29173,-4818.086137,4391.750070,-291.734397,126.923493391081,37.526918167165,61.600415,19 | U -481809 / +439175 / -29173,GroundNodeMarker_18,GroundNodeLabel_18,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S20,20,,S20,connector,Cube20,8970.000000,-15.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-480480.207883,438138.397166,-29171.702167,-480480,438138,-29172,-4804.802079,4381.383972,-291.717022,126.923643604755,37.527011634349,61.600629,20 | U -480480 / +438138 / -29172,GroundNodeMarker_19,GroundNodeLabel_19,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S21,21,,S21,connector,Cube21,4750.000000,-15.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-483807.135163,440734.535825,-29176.053736,-483807,440735,-29176,-4838.071352,4407.345358,-291.760537,126.923267402669,37.526777550001,61.600176,21 | U -483807 / +440735 / -29176,GroundNodeMarker_20,GroundNodeLabel_20,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S22,22,,S22,connector,Cube22,6443.000000,-15.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-482472.422394,439693.004368,-29174.307953,-482472,439693,-29174,-4824.724224,4396.930044,-291.743080,126.923418328958,37.526871461237,61.600324,22 | U -482472 / +439693 / -29174,GroundNodeMarker_21,GroundNodeLabel_21,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S23,23,,S23,connector,Cube23,8128.000000,-15.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-481144.016596,438656.394500,-29172.570418,-481144,438656,-29173,-4811.440166,4386.563945,-291.725704,126.923568542445,37.526964928517,61.600517,23 | U -481144 / +438656 / -29173,GroundNodeMarker_22,GroundNodeLabel_22,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S24,24,,S24,connector,Cube24,10015.000000,-15.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-479656.359777,437495.514489,-29170.624586,-479656,437496,-29171,-4796.563598,4374.955145,-291.706246,126.923736764165,37.527069600548,61.600785,24 | U -479656 / +437496 / -29171,GroundNodeMarker_23,GroundNodeLabel_23,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
영등포,port,37.526513000000,126.922845000000,322.000000,S25,25,F2,S25 F2,pad,Cube25,11860.000000,-2050.000000,160.000000,-487542.549144,443668.443737,-29340.952951,-479453.744775,434756.136294,-29168.558284,-479454,434756,-29169,-4794.537448,4347.561363,-291.685583,126.923759507172,37.527316427229,61.601134,25 F2 | U -479454 / +434756 / -29169,GroundNodeMarker_24,GroundNodeLabel_24,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
