vertiport,class,actor_anchor_lat_deg,actor_anchor_lon_deg,actor_angle_deg,cesium_height_before_trace_m,surface_lift_cm_after_line_trace,source
영등포,port,37.526513000000001,126.922845,322,60.0,8.0,D:\DTAMFramework\VisualizationModule_Source\Unreal\Environments\DTAMVisualization\Data\coordinateDB\vertiport_UE.csv
잠실,port,37.514368,127.069068,83,60.0,8.0,D:\DTAMFramework\VisualizationModule_Source\Unreal\Environments\DTAMVisualization\Data\coordinateDB\vertiport_UE.csv
상암,port,37.562282000000003,126.890156,38,60.0,8.0,D:\DTAMFramework\VisualizationModule_Source\Unreal\Environments\DTAMVisualization\Data\coordinateDB\vertiport_UE.csv
용산,port,37.529096000000003,126.95839100000001,76,60.0,8.0,D:\DTAMFramework\VisualizationModule_Source\Unreal\Environments\DTAMVisualization\Data\coordinateDB\vertiport_UE.csv
목동,port,37.526342999999997,126.876243,10,60.0,8.0,D:\DTAMFramework\VisualizationModule_Source\Unreal\Environments\DTAMVisualization\Data\coordinateDB\vertiport_UE.csv
미아,port,37.630206999999999,127.026053,74,60.0,8.0,D:\DTAMFramework\VisualizationModule_Source\Unreal\Environments\DTAMVisualization\Data\coordinateDB\vertiport_UE.csv
봉천,port,37.482832000000002,126.942245,8,60.0,8.0,D:\DTAMFramework\VisualizationModule_Source\Unreal\Environments\DTAMVisualization\Data\coordinateDB\vertiport_UE.csv
사당,port,37.475766999999998,126.982185,10,60.0,8.0,D:\DTAMFramework\VisualizationModule_Source\Unreal\Environments\DTAMVisualization\Data\coordinateDB\vertiport_UE.csv
성수,port,37.538916999999998,127.041635,295,60.0,8.0,D:\DTAMFramework\VisualizationModule_Source\Unreal\Environments\DTAMVisualization\Data\coordinateDB\vertiport_UE.csv
연신내,port,37.611145,126.922747,43,60.0,8.0,D:\DTAMFramework\VisualizationModule_Source\Unreal\Environments\DTAMVisualization\Data\coordinateDB\vertiport_UE.csv
천호,port,37.545732999999998,127.11923,110,60.0,8.0,D:\DTAMFramework\VisualizationModule_Source\Unreal\Environments\DTAMVisualization\Data\coordinateDB\vertiport_UE.csv
광화문,hub,37.569009999999999,126.97360399999999,130,60.0,8.0,D:\DTAMFramework\VisualizationModule_Source\Unreal\Environments\DTAMVisualization\Data\coordinateDB\vertiport_UE.csv
강남,hub,37.496290999999999,127.023303,69,60.0,8.0,D:\DTAMFramework\VisualizationModule_Source\Unreal\Environments\DTAMVisualization\Data\coordinateDB\vertiport_UE.csv
가산,hub,37.489091000000002,126.878809,87,60.0,8.0,D:\DTAMFramework\VisualizationModule_Source\Unreal\Environments\DTAMVisualization\Data\coordinateDB\vertiport_UE.csv
마곡,hub,37.563535000000002,126.791805,45,60.0,8.0,D:\DTAMFramework\VisualizationModule_Source\Unreal\Environments\DTAMVisualization\Data\coordinateDB\vertiport_UE.csv
망우,hub,37.596919,127.08485400000001,344,60.0,8.0,D:\DTAMFramework\VisualizationModule_Source\Unreal\Environments\DTAMVisualization\Data\coordinateDB\vertiport_UE.csv
수서,hub,37.487440999999997,127.10060300000001,222,60.0,8.0,D:\DTAMFramework\VisualizationModule_Source\Unreal\Environments\DTAMVisualization\Data\coordinateDB\vertiport_UE.csv
