s_id,node_id,semantic_id,node_type,role,local_x_cm,local_y_cm,local_z_cm,reference_x_cm,reference_y_cm,out_links,notes
S01,1,G8,gate,Gate G8,3900,-2050,160,2050.000,-3900.000,5,g8 stand marker
S02,2,G7,gate,Gate G7,5600,-2050,160,2050.000,-5600.000,6,g7 stand marker
S03,3,G6,gate,Gate G6,7285,-2050,160,2050.000,-7285.000,7,g6 stand marker
S04,4,G5,gate,Gate G5,8970,-2050,160,2050.000,-8970.000,8,g5 stand marker
S05,5,,taxi,Taxi,3900,-805,160,805.000,-3900.000,1|17|21,south inner 5
S06,6,,taxi,Taxi,5600,-805,160,805.000,-5600.000,2|18|21|22,south inner 6
S07,7,,taxi,Taxi,7285,-805,160,805.000,-7285.000,3|19|22|23,south inner 7
S08,8,,taxi,Taxi,8970,-805,160,805.000,-8970.000,4|20|23|24,south inner 8
S09,9,,taxi,Taxi,3900,775,160,-775.000,-3900.000,13|17|21,north inner 9 mirrored from node 5 about center axis
S10,10,,taxi,Taxi,5600,775,160,-775.000,-5600.000,14|18|21|22,north inner 10 mirrored from node 6 about center axis
S11,11,,taxi,Taxi,7285,775,160,-775.000,-7285.000,15|19|22|23,north inner 11 mirrored from node 7 about center axis
S12,12,,taxi,Taxi,8970,775,160,-775.000,-8970.000,16|20|23|24,north inner 12 mirrored from node 8 about center axis
S13,13,G4,gate,Gate G4,3900,2020,160,-2020.000,-3900.000,9,g4 stand marker mirrored from node 1 about center axis
S14,14,G3,gate,Gate G3,5600,2020,160,-2020.000,-5600.000,10,g3 stand marker mirrored from node 2 about center axis
S15,15,G2,gate,Gate G2,7285,2020,160,-2020.000,-7285.000,11,g2 stand marker mirrored from node 3 about center axis
S16,16,G1,gate,Gate G1,8970,2020,160,-2020.000,-8970.000,12,g1 stand marker mirrored from node 4 about center axis
S17,17,,connector,Connector,3900,-15,160,15.000,-3900.000,5|9|21,left spine 17
S18,18,,connector,Connector,5600,-15,160,15.000,-5600.000,6|10|21|22,spine 18
S19,19,,connector,Connector,7285,-15,160,15.000,-7285.000,7|11|22|23,spine 19
S20,20,,connector,Connector,8970,-15,160,15.000,-8970.000,8|12|23|24,right spine 20
S21,21,,connector,Connector,4750,-15,160,15.000,-4750.000,5|6|17|18|22,crossover 21 aligned between 17 and 18
S22,22,,connector,Connector,6443,-15,160,15.000,-6443.000,6|7|18|19|21|23,crossover 22 aligned between 18 and 19
S23,23,,connector,Connector,8128,-15,160,15.000,-8128.000,7|8|19|20|22|24,crossover 23 aligned between 19 and 20
S24,24,,connector,Connector,10015,-15,160,15.000,-10015.000,8|20|23|27,right connector 24 aligned between 20 and 27
S25,25,F2,pad,FATO F2,11860,-2050,160,2050.000,-11860.000,28,f2 pad marker snapped to fato column
S26,26,F1,pad,FATO F1,11860,2020,160,-2020.000,-11860.000,29,f1 pad marker mirrored from node 25 about center axis and snapped to fato column
S27,27,,branch,FATO branch,11060,-15,160,15.000,-11060.000,24|28|29,splitter 27
S28,28,,branch,FATO branch,11860,-655,160,655.000,-11860.000,25|27,f2 branch 28 snapped to fato column
S29,29,,branch,FATO branch,11860,625,160,-625.000,-11860.000,26|27,f1 branch 29 mirrored from node 28 about center axis and snapped to fato column
