Vertiport,Class,Angle_deg,Label,Category,X_cm,Y_cm,Z_cm,X_m,Y_m,Z_m,Yaw_deg,pt_lat_deg,pt_lon_deg,pt_h_m
영등포,port,322,GATE 8,GATE,-489394.7246,442314.0054,1878.265952,-4893.947246,4423.140054,18.78265952,412,37.52693954,126.9230881,30.04066154
영등포,port,322,GATE 7,GATE,-488010.0101,441232.1479,1878.265952,-4880.100101,4412.321479,18.78265952,412,37.52703713,126.9232448,30.03282319
영등포,port,322,GATE 6,GATE,-486679.4581,440192.6066,1878.265952,-4866.794581,4401.926066,18.78265952,412,37.52713091,126.9233952,30.02533709
영등포,port,322,GATE 5,GATE,-485308.5359,439121.5248,1878.265952,-4853.085359,4391.215248,18.78265952,412,37.52722753,126.9235503,30.01767065
영등포,port,322,GATE 4,GATE,-486751.2934,445624.2227,1878.265962,-4867.512934,4456.242227,18.78265962,232,37.52664129,126.9233872,30.04717245
영등포,port,322,GATE 3,GATE,-485402.8097,444570.6718,1878.265962,-4854.028097,4445.706718,18.78265962,232,37.52673632,126.9235397,30.03953946
영등포,port,322,GATE 2,GATE,-484071.8451,443530.8083,1878.265962,-4840.718451,4435.308083,18.78265962,232,37.52683013,126.9236902,30.0320507
영등포,port,322,GATE 1,GATE,-482734.6997,442486.1158,1878.265962,-4827.346997,4424.861158,18.78265962,232,37.52692436,126.9238414,30.02457225
영등포,port,322,FATO 2,FATO,-483000.9358,437451.0228,1878.265952,-4830.009358,4374.510228,18.78265952,322,37.52737823,126.9238113,30.00538969
영등포,port,322,FATO 1,FATO,-480478.2336,440723.1713,1878.265962,-4804.782336,4407.231713,18.78265962,322,37.52708339,126.9240966,30.01205464
영등포,port,322,TAXI 5,TAXI,-488057.3336,444025.7877,1878.265952,-4880.573336,4440.257877,18.78265952,322,37.52678531,126.9232394,30.04406869
영등포,port,322,TAXI 4,TAXI,-486686.1437,442954.4966,1878.265952,-4866.861437,4429.544966,18.78265952,322,37.52688194,126.9233945,30.0363065
영등포,port,322,TAXI 3,TAXI,-485345.0095,441906.6877,1878.265952,-4853.450095,4419.066877,18.78265952,322,37.52697646,126.9235462,30.02876041
영등포,port,322,TAXI 2,TAXI,-484002.3239,440857.6667,1878.265952,-4840.023239,4408.576667,18.78265952,322,37.52707109,126.923698,30.02125114
영등포,port,322,TAXI 1,TAXI,-481738.6002,439089.0519,1878.265952,-4817.386002,4390.890519,18.78265952,322,37.52723063,126.9239541,30.0086939
잠실,port,83,GATE 8,GATE,803509.9185,576363.5654,403.717077,8035.099185,5763.635654,4.03717077,173,37.51481713,127.06929,33.6081235
잠실,port,83,GATE 7,GATE,803724.0707,578107.6952,403.717077,8037.240707,5781.076952,4.03717077,173,37.51465989,127.0693139,33.62253448
잠실,port,83,GATE 6,GATE,803929.8465,579783.6042,403.717077,8039.298465,5797.836042,4.03717077,173,37.5145088,127.0693369,33.63642757
잠실,port,83,GATE 5,GATE,804141.8657,581510.3617,403.717077,8041.418657,5815.103617,4.03717077,173,37.51435312,127.0693606,33.65078911
잠실,port,83,GATE 4,GATE,799311.0407,576924.5403,403.717087,7993.110407,5769.245403,4.03717087,-7,37.51476693,127.068815,33.53750624
잠실,port,83,GATE 3,GATE,799519.5897,578623.0352,403.717087,7995.195897,5786.230352,4.03717087,-7,37.51461381,127.0688383,33.55154089
잠실,port,83,GATE 2,GATE,799725.4292,580299.4638,403.717087,7997.254292,5802.994638,4.03717087,-7,37.51446267,127.0688613,33.56543839
잠실,port,83,GATE 1,GATE,799932.2247,581983.6775,403.717087,7999.322247,5819.836775,4.03717087,-7,37.51431083,127.0688844,33.57944564
잠실,port,83,FATO 2,FATO,804385.2635,584348.7332,403.717077,8043.852635,5843.487332,4.03717077,83,37.51409724,127.0693876,33.67264132
잠실,port,83,FATO 1,FATO,800281.1971,584825.8301,403.717087,8002.811971,5848.258301,4.03717087,83,37.5140546,127.0689234,33.60318597
잠실,port,83,TAXI 5,TAXI,801353.8274,576628.3002,403.717077,8013.538274,5766.283002,4.03717077,83,37.51479345,127.0690461,33.57168508
잠실,port,83,TAXI 4,TAXI,801565.8881,578355.395,403.717077,8015.658881,5783.55395,4.03717077,83,37.51463775,127.0690698,33.58595514
잠실,port,83,TAXI 3,TAXI,801773.3004,580044.6328,403.717077,8017.733004,5800.446328,4.03717077,83,37.51448546,127.069093,33.59995851
잠실,port,83,TAXI 2,TAXI,801980.9527,581735.8248,403.717077,8019.809527,5817.358248,4.03717077,83,37.51433299,127.0691162,33.61402373
잠실,port,83,TAXI 1,TAXI,802331.0476,584587.1187,403.717077,8023.310476,5845.871187,4.03717077,83,37.51407594,127.0691553,33.63784069
상암,port,38,GATE 8,GATE,-775579.6117,50014.27097,2072.324453,-7755.796117,500.1427097,20.72324453,128,37.56228519,126.8907018,31.97065686
상암,port,38,GATE 7,GATE,-774194.8973,51096.12845,2072.324453,-7741.948973,510.9612845,20.72324453,128,37.56218778,126.8908585,31.95854746
상암,port,38,GATE 6,GATE,-772864.3452,52135.66964,2072.324453,-7728.643452,521.3566964,20.72324453,128,37.56209418,126.8910091,31.94695732
상암,port,38,GATE 5,GATE,-771493.423,53206.75138,2072.324453,-7714.93423,532.0675138,20.72324453,128,37.56199774,126.8911643,31.93506228
상암,port,38,GATE 4,GATE,-778151.9975,53379.99503,2072.324463,-7781.519975,533.7999503,20.72324463,-52,37.56198158,126.8904108,31.98153531
상암,port,38,GATE 3,GATE,-776803.5139,54433.54589,2072.324463,-7768.035139,544.3354589,20.72324463,-52,37.56188673,126.8905635,31.96974364
상암,port,38,GATE 2,GATE,-775472.5493,55473.4094,2072.324463,-7754.725493,554.734094,20.72324463,-52,37.5617931,126.8907141,31.95815018
