상세 위치,Vertiport 명,Class,위도,경도,x (km),y (km),INR(km),OTR(KM),MTR(km),INR_Deg,OTR_Deg,LINK1,LINK2,LINK3,LINK4,Circle Turn,Unnamed: 17,Unnamed: 18,Unnamed: 19,inr,otr,mtr
여의도 공원,영등포·여의도,port,37.526513,126.922845,-4.87592124,-4.47016592,1.4,0.0,2.7,0,170,선유도17고지,상도터널,영등포,-,Right,,,port ,1.4,2.2,2.7
잠실 스포츠 MICE,잠실,port,37.515249,127.073569,8.37874732,-5.7240744,1.0,0.0,2.7,45,180,대치교,건대입구,잠실대교 중간지점,-,Left,,,hub,1.4,2.7,3.7
평화의 공원 주차장,상암·수색,port,37.565692,126.894449,-7.37306548,-0.10875964,1.4,0.0,2.7,0,225,가양대교남단,선유도17고지,홍대입구,-,Right,,,,,,
용산국제업무지구,용산,port,37.529096,126.958391,-1.750006,-4.18262636,1.4,0.0,2.7,335,110,상도터널,서강대교 중간지점,-,-,Right,,,,,,
목동 공영 주차장,목동,port,37.52672,126.876692,-8.93461606,-4.44712268,1.0,0.0,2.7,270,30,영등포,성산대교 중간지점,선유도17고지,-,Right,,,,,,
오동공원,미아,port,37.630324,127.0327,4.78472746,7.0860746,1.4,0.0,2.7,45,225,월릉교,신설동역,-,-,Left,,,,,,
봉천역,봉천,port,37.482481,126.941657,-3.22159396,-9.37180816,1.4,0.0,2.7,135,280,채석장,영등포,-,-,Right,,,,,,
사당역,사당·이수,port,37.476727,126.981636,0.2941593,-10.01234344,1.4,0.0,2.7,135,330,경부고속도로 양재천 다리,180고지,-,-,Left,,,,,,
한강사업본부,성수,port,37.538917,127.041635,5.57047136,-3.08935264,1.4,0.0,2.7,225,45,건대입구,청담대교 중간지점,왕십리역,주흥교,Right,,,,,,
서울혁신파크,연신내·불광,port,37.607928,126.933189,-3.96626988,4.59295188,1.4,0.0,2.7,255,0,금화터널,수색교,서오룽,-,Right,,,,,,
천호유수지 공영주차장,천호·길동,port,37.544717,127.121866,12.6259855,-2.44369664,1.4,0.0,2.7,165,0,아차산,잠실대교 중간지점,-,-,Left,,,,,,
광화문,광화문,hub,37.569877,126.976185,-0.18520164,0.35711456,1.4,2.7,3.7,45,255,신설동역,홍대입구,-,-,Left,,,,,,
강남역,강남,hub,37.49793,127.027602,4.33640934,-7.65202548,1.4,2.7,3.7,315,125,청담대교 중간지점,채석장,이수고가차로,-,Left ,,,,,,
구로차량기지,가산·대림,hub,37.489091,126.878809,-8.74844708,-8.63598296,1.4,2.7,3.7,335,155,영등포,180고지,목동교,-,Right ,,,,,,
김포공항,마곡,hub,37.565615,126.801317,-15.56309356,-0.11733128,1.4,2.7,3.7,335,155,가양대교남단,서울식물원,-,-,Left,,,,,,
상봉역 복합환승센터,망우,hub,37.596919,127.084854,9.37115022,3.36743,1.4,2.7,3.7,225,45,아차산 고가차도,청량리,건대입구,-,Right,,,,,,
수서역,수서·문정,hub,37.487634,127.101302,10.81758734,-8.7981762,1.4,2.7,3.7,30,195,경부고속도로 양재천 다리,잠실대교 중간지점,-,-,Left,,,,,,
