sim_time,gid,Lmax_1s,Lmax_w
6:30:30,5352,65.8,75.8
6:30:30,5442,66,76
6:30:40,5352,66,76
6:30:40,5442,66,76
6:30:50,5352,66,76
6:30:50,5442,65.4,75.4
6:30:50,3852,66,76
6:31:00,5352,65.8,75.8
6:31:00,5442,65.4,75.4
6:31:00,3852,66,76
6:31:00,5844,66,76
6:31:10,5352,65.8,75.8
6:31:10,5442,65.4,75.4
6:31:10,3852,65.9,75.9
6:31:10,5844,65.9,75.9
6:31:20,5352,65.7,75.7
6:31:20,5442,65.5,75.5
6:31:20,3851,65.3,75.3
6:31:20,5844,65.7,75.7
6:31:20,3852,65.1,75.1
6:31:20,6355,66,76
6:31:30,5352,65.9,75.9
6:31:30,5342,65.3,75.3
6:31:30,3851,65.3,75.3
6:31:30,5844,65.7,75.7
6:31:30,6355,66,76
6:31:30,4956,65.9,75.9
6:31:40,5352,65.8,75.8
6:31:40,5342,65.3,75.3
6:31:40,3851,65.1,75.1
6:31:40,5844,65.7,75.7
6:31:40,6355,65.5,75.5
6:31:40,4956,66,76
6:31:50,5252,65.8,75.8
6:31:50,5342,65.4,75.4
6:31:50,3851,65.1,75.1
6:31:50,5844,65.7,75.7
6:31:50,6355,65.4,75.4
6:31:50,4956,65.6,75.6
6:31:50,5352,66,76
6:31:58,5252,65.9,75.9
6:31:58,5343,65.7,75.7
6:31:58,3851,65.1,75.1
6:31:58,5844,65.7,75.7
6:31:58,6355,65.5,75.5
6:31:58,4956,65.7,75.7
6:31:58,5352,66,76
6:31:58,6443,66,76
6:32:10,5252,66,76
6:32:10,5343,64.9,74.9
6:32:10,3851,65.2,75.2
6:32:10,5844,65.5,75.5
6:32:10,6355,65.5,75.5
6:32:10,4956,65.8,75.8
6:32:10,5352,65.8,75.8
6:32:10,6443,66,76
6:32:20,5151,66,76
6:32:20,5343,60.6,70.6
6:32:20,3850,65.3,75.3
6:32:20,5943,65.5,75.5
6:32:20,3851,65.2,75.2
6:32:20,6355,65.5,75.5
6:32:20,4956,65.8,75.8
6:32:20,5352,65.8,75.8
6:32:20,6443,66,76
6:32:30,5151,66,76
6:32:30,5242,60.3,70.3
6:32:30,3850,65.1,75.1
6:32:30,5943,65.6,75.6
6:32:30,6355,65.6,75.6
6:32:30,4957,66,76
6:32:30,5352,65.8,75.8
6:32:30,6443,66,76
6:32:30,6649,66,76
6:32:40,5151,65,75
6:32:40,5242,61.7,71.7
6:32:40,3950,65.1,75.1
6:32:40,5943,66,76
6:32:40,3850,65.1,75.1
6:32:40,6355,65.8,75.8
6:32:40,4957,66,76
6:32:40,5352,65.9,75.9
6:32:40,6443,66,76
6:32:40,6649,66,76
6:32:40,6246,66,76
6:32:50,5151,61.4,71.4
6:32:50,5243,61.1,71.1
6:32:50,3949,65.1,75.1
6:32:50,5943,65.4,75.4
6:32:50,3950,65.1,75.1
6:32:50,6456,65.7,75.7
6:32:50,4957,66,76
6:32:50,5352,65.9,75.9
6:32:50,6443,66,76
6:32:50,6649,65.3,75.3
6:32:50,6246,66,76
